MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
XAFFAN	0.0	0.0	2.5326106109	0.1795450918	10.0240621793	0.34972814020000004	12.5566727902	0.529273232	1e-06	0.1666665	0.8333325
XAFFAN	0.0	0.0	3.1074860551	0.1417895441	10.0627757987	1.1092182388	13.170261853800001	1.2510077829000001	1e-06	0.19999979999999998	0.7999991999999999
XAFFAN	0.0	0.0	3.917365527	0.15792776039999998	9.2602977727	0.42329813130000005	13.1776632997	0.5812258917	1e-06	0.24999975	0.74999925
XAFFAN	0.0	0.0	2.5894664240000003	0.263194739	10.187212432699999	0.47617719810000003	12.7766788567	0.7393719370999999	1e-05	0.166665	0.8333250000000001
XAFFAN	0.0007886671000000001	0.0031546683000000003	3.0815850735000003	0.2595669887	9.906262165800001	0.5960819925	12.9886359064	0.8588036495	1e-05	0.199998	0.799992
XAFFAN	0.0	0.0	3.8737760703	0.1244751061	9.214394481	0.8138350826	13.088170551300001	0.9383101887	1e-05	0.24999749999999998	0.7499925000000001
XAFFAN	0.0015773342000000002	0.0038636639	2.5313471483	0.11276712609999999	10.3376424968	0.5158594053	12.870566979300001	0.6324901953000001	0.0001	0.16665	0.8332499999999999
XAFFAN	0.0015773342000000002	0.0038636639	3.1927697748000003	0.1974966104	10.0555861265	0.4523895348	13.2499332355	0.6537498090999999	0.0001	0.19998	0.79992
XAFFAN	0.0023660013	0.0063093367	3.8725126077999996	0.30443941399999996	9.440592629	0.6235814339	13.315471238099999	0.9343301846	0.0001	0.249975	0.749925
XAFFAN	0.0228713454	0.0091973596	2.6172625993	0.1537380025	10.3326650315	0.6480255785	12.972798976199998	0.8109609406	0.001	0.1665	0.8325
XAFFAN	0.0173506758	0.016239649199999998	3.1776082245999997	0.2017192196	9.979264991	0.5172662779	13.1742238914	0.7352251467	0.001	0.1998	0.7992
XAFFAN	0.0212940113	0.023712532	3.8320818073000003	0.1725170045	9.269146600000001	0.1805694765	13.1225224186	0.37679901299999996	0.001	0.24975	0.74925
XAFFAN	0.0347013517	0.0168413203	2.5825173802	0.2319959397	10.084897867	0.4429526426	12.702116598900002	0.6917899026000001	0.002	0.16633333333333333	0.8316666666666667
XAFFAN	0.0394333542	0.0165432203	3.1428630055	0.1528215234	10.2043570356	0.5594128262	13.3866533953	0.7287775699	0.002	0.1996	0.7984
XAFFAN	0.0315466833	0.014963905800000002	3.8939914705	0.2850893348	9.2569794624	0.4421315477	13.182517616199998	0.7421847883	0.002	0.2495	0.7484999999999999
XAFFAN	0.0623046996	0.021396001600000002	2.5041827043000002	0.19217094559999998	10.4681626995	0.7009641848	13.034650103399999	0.914531132	0.003	0.16616666666666666	0.8308333333333333
XAFFAN	0.055206695800000004	0.0199518744	3.1712909121	0.0827543835	9.881374839	0.5638046825999999	13.1078724469	0.6665109404999999	0.003	0.1994	0.7976
XAFFAN	0.0599386983	0.030504191	3.8605097139	0.283826667	9.4328499051	0.4941373858	13.3532983173	0.8084682437999999	0.003	0.24925	0.74775
XAFFAN	0.066248035	0.0077273277	2.5559846674	0.2567472723	10.1523701752	0.41470175719999997	12.7746028776	0.6791763572	0.004	0.166	0.8300000000000001
XAFFAN	0.0788667083	0.0193183193	3.0733725672000003	0.1317277075	9.9626734398	0.4372873211	13.1149127153	0.5883333479	0.004	0.1992	0.7968
XAFFAN	0.0733460388	0.026675141200000002	3.8643001014	0.3013457425	9.341043321799999	0.46780459770000005	13.278689462	0.7958254814	0.004	0.249	0.747
XAFFAN	0.1127793929	0.02151197	2.5711462176	0.2473613094	10.4659504927	0.287318745	13.149876103199999	0.5561920243999999	0.005	0.16583333333333333	0.8291666666666666
XAFFAN	0.08438737789999999	0.043081729000000006	3.0449446606	0.08771742630000001	10.1396499859	0.48351270939999996	13.268982024400001	0.6143118647	0.005	0.19899999999999998	0.7959999999999999
XAFFAN	0.08438737789999999	0.0183947193	3.8390308511	0.1880650266	9.4483353529	0.36794193770000005	13.3717535819	0.5744016836	0.005	0.24875	0.74625
XAFFAN	0.0993720525	0.0328600769	2.5364009984	0.1193955364	10.344832169	0.5691544293999999	12.9806052199	0.7214100427	0.006	0.16566666666666666	0.8283333333333333
XAFFAN	0.12066606380000001	0.0522190525	3.0771629547000003	0.1644152659	9.921747613600001	0.6687307672999999	13.119576632100001	0.8853650856999999	0.006	0.1988	0.7952
XAFFAN	0.11435672710000001	0.026861033	3.8270279572000003	0.39388025950000005	9.311178529700001	0.6008534557	13.252563214	1.0215947481999998	0.006	0.2485	0.7455
XAFFAN	0.1072587233	0.051451083499999994	2.5029192418	0.1224059803	10.154582382000001	0.7176591247	12.764760347100001	0.8915161884999999	0.006999999999999999	0.1655	0.8275
XAFFAN	0.1285527346	0.0293401115	3.1378091554000003	0.0988896541	10.125823693200001	0.6606817814	13.3921855832	0.788911547	0.006999999999999999	0.1986	0.7944
XAFFAN	0.1435374092	0.030585644300000003	3.9211559146	0.07639509139999999	9.389711872000001	0.7045331745000001	13.4544051958	0.8115139102	0.006999999999999999	0.24825	0.74475
XAFFAN	0.1506354129	0.0246387473	2.5294519546000003	0.2242209938	10.135778624	0.2448114473	12.8158659915	0.4936711884	0.008	0.16533333333333333	0.8266666666666667
XAFFAN	0.15852208380000002	0.0605581295	3.0872706548	0.1591962769	9.8913297697	0.5884220654	13.1371225083	0.8081764718000001	0.008	0.1984	0.7936
XAFFAN	0.1403827409	0.0458784664	3.8453481637	0.4563286589	9.2066517571	0.6507856038000001	13.1923826617	1.1529927291	0.008	0.248	0.7440000000000001
XAFFAN	0.18770276589999998	0.0325558104	2.5256615669999998	0.1705721189	10.2403053965	0.8179139258	12.953669729400001	1.0210418551	0.009000000000000001	0.16516666666666666	0.8258333333333333
XAFFAN	0.1593107509	0.0747529931	3.0986418175	0.18884432829999998	9.683382328099999	0.3446963253	12.9413348965	0.6082936467	0.009000000000000001	0.1982	0.7928
XAFFAN	0.1711407571	0.046950537800000004	3.9255780334	0.22750746789999998	9.1153982256	0.4383520062	13.212117016099999	0.7128100118999999	0.009000000000000001	0.24775	0.74325
XAFFAN	0.17429542539999998	0.0394017949	2.5484038923	0.1473654495	10.349809634400001	0.4758996276	13.0725089521	0.6626668720000001	0.01	0.165	0.8250000000000001
XAFFAN	0.20820811	0.0367894386	3.1232793364999996	0.16663341480000002	9.8542753054	1.0105488146	13.1857627519	1.213971668	0.01	0.198	0.792
XAFFAN	0.198744105	0.050029101299999996	3.7986000506	0.2953531115	9.3277700809	0.5099292689	13.325114236500001	0.8553114817	0.01	0.2475	0.7424999999999999
XAFFAN	0.2097854442	0.0219697227	2.5509308173	0.2141783256	10.2176302765	0.9343595393999999	12.978346538	1.1705075877	0.012	0.16466666666666666	0.8233333333333333
XAFFAN	0.2247701188	0.023921457	3.0481033169	0.13460472099999998	9.6148039165	0.9684628644	12.8876773522	1.1269890424	0.012	0.1976	0.7904
XAFFAN	0.2350227909	0.0416129333	3.8402943136000003	0.309494163	9.1740217065	0.46343753060000004	13.249338811	0.8145446269	0.012	0.247	0.741
XAFFAN	0.2444867959	0.0588072825	2.5155538669	0.2908873784	10.5212556634	0.6607373337	13.2812963262	1.0104319946	0.013999999999999999	0.16433333333333333	0.8216666666666667
XAFFAN	0.2515847996	0.0714864829	3.0468398544	0.18285755609999998	9.7624687221	0.33078965260000004	13.0608933761	0.5851336916	0.013999999999999999	0.1972	0.7888
XAFFAN	0.25316213379999997	0.0350580039	3.8428212387	0.1760071761	9.08442733	0.49600321350000004	13.1804107025	0.7070683935	0.013999999999999999	0.2465	0.7395
XAFFAN	0.3036368271	0.0733078675	2.4940750042	0.1596468758	10.3028002393	0.5102171017	13.100512070599999	0.743171845	0.016	0.16399999999999998	0.8200000000000001
XAFFAN	0.2752448121	0.0815651074	3.1055908613	0.2089264304	9.9449757852	0.5114050918	13.325811458599999	0.8018966296	0.016	0.1968	0.7872
XAFFAN	0.2973274905	0.0262046433	3.9097847519	0.2610632765	9.214394481	0.5515830633	13.421506723399999	0.8388509831000001	0.016	0.24600000000000002	0.738
XAFFAN	0.320987503	0.0381832173	2.6021010492	0.1299832158	10.4405101142	0.2739387423	13.363598666400001	0.4421051754	0.018000000000000002	0.16366666666666665	0.8183333333333332
XAFFAN	0.34385884840000003	0.0476866494	3.0575792857	0.11137119279999999	9.8387898576	0.9933892521	13.240227991700001	1.1524470943	0.018000000000000002	0.1964	0.7856
XAFFAN	0.3367608446	0.0439394454	3.8282914197	0.1548450504	8.995939057000001	0.6898521447	13.160991321300001	0.8886366405	0.018000000000000002	0.2455	0.7364999999999999
XAFFAN	0.35253418630000005	0.055003521900000005	2.5825173802	0.1692096625	9.9272781306	0.4996478603	12.8623296971	0.7238610447	0.02	0.16333333333333333	0.8166666666666667
XAFFAN	0.37619419880000005	0.061414838099999994	3.0297831104000004	0.2381350337	9.9433166301	0.6109396764	13.3492939393	0.9104895481999999	0.02	0.196	0.784
XAFFAN	0.3407041801	0.0603935691	3.8579827888	0.1154945729	9.083321226599999	0.5073675979	13.2820081955	0.6832557399	0.02	0.245	0.735
XAFFAN	0.5536442926	0.0416129333	2.4902846166	0.090458975	9.7973109796	0.3742489088	12.8412398888	0.5063208171	0.03	0.16166666666666665	0.8083333333333332
XAFFAN	0.5426029534000001	0.1111545048	2.9280743780000003	0.1623930292	9.6059550892	0.4024362361	13.0766324206	0.6759837701000001	0.03	0.19399999999999998	0.7759999999999999
XAFFAN	0.5339276155	0.0747529931	3.7632231002	0.20828362539999998	8.8460620445	0.3374431289	13.143212760199999	0.6204797474	0.03	0.2425	0.7275
XAFFAN	0.7019137043000001	0.0470564016	2.420162447	0.1625600548	10.0539269714	0.9578204133	13.1760031227	1.1674368697	0.04	0.16	0.8
XAFFAN	0.7689504064	0.08165656519999999	3.0064090538999997	0.2160262281	9.6009776238	0.7040763108	13.376337084100001	1.0017591041	0.04	0.192	0.768
XAFFAN	0.7618524026000001	0.0993094402	3.7531154001	0.1869070636	8.929019800499999	0.4736267135	13.4439876032	0.7598432173	0.04	0.24	0.72
XAFFAN	0.9014464764	0.0800565075	2.5035509730000003	0.1178208434	9.8432142713	0.5339008902	13.248211720699999	0.7317782411	0.05	0.15833333333333333	0.7916666666666666
XAFFAN	0.9345704939	0.0721102255	2.8926974276	0.1791890984	9.5202320747	0.5882078658	13.347499996199998	0.8395071896999999	0.05	0.19	0.76
