MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
XAFXOT	0.0	0.0	1.5552615455	0.0500840558	11.940891876099998	0.9386611373999999	13.4961534216	0.9887451932	1e-06	0.1666665	0.8333325
XAFXOT	0.0	0.0	1.9240444243000001	0.12165550210000001	10.8532611191	1.4646301144999998	12.777305543399999	1.5862856166	1e-06	0.19999979999999998	0.7999991999999999
XAFXOT	0.0002882884	0.0011531536	2.4646334782	0.1799096487	10.6492798117	0.416065788	13.1142015783	0.5971285903	1e-06	0.24999975	0.74999925
XAFXOT	0.0002882884	0.0011531536	1.6210743949000002	0.1374715061	11.9724291249	1.2076023383	13.593791808199999	1.3462269980000001	1e-05	0.166665	0.8333250000000001
XAFXOT	0.0	0.0	1.8991048181999999	0.0550041162	11.4221445671	1.0988570578	13.3212493853	1.153861174	1e-05	0.199998	0.799992
XAFXOT	0.0002882884	0.0011531536	2.4232983903	0.133123439	10.5552745511	0.9166202904999999	12.9788612298	1.0508968831	1e-05	0.24999749999999998	0.7499925000000001
XAFXOT	0.0002882884	0.0011531536	1.6189960944	0.1803406898	11.581852429200001	0.8521691544	13.201136812	1.0336629978	0.0001	0.16665	0.8332499999999999
XAFXOT	0.0011531536	0.002824638	1.891484383	0.11079842470000001	10.7002245981	0.8478431823999999	12.5928621347	0.9614662451	0.0001	0.19998	0.79992
XAFXOT	0.0011531536	0.0021573529000000003	2.4510090637	0.0813607058	10.4758249438	0.4020091972	12.927987161099999	0.4855272559	0.0001	0.249975	0.749925
XAFXOT	0.008072075500000001	0.0059362217	1.5675004262999999	0.0974327839	11.782599147	0.7541223442	13.3581716488	0.8574913498000001	0.001	0.1665	0.8325
XAFXOT	0.0103783828	0.005879952900000001	1.9346668490999999	0.1495520852	11.234538369600001	1.0712026732	13.179583601500001	1.2266347113	0.001	0.1998	0.7992
XAFXOT	0.0095135175	0.0039105343	2.441310328	0.13544413519999998	10.836481685499999	0.8438978589	13.287305531	0.9832525284	0.001	0.24975	0.74925
XAFXOT	0.0204684771	0.0055901197	1.6009841566999998	0.0854799294	11.411227827200001	0.33719336200000005	13.032680460999998	0.4282634111	0.002	0.16633333333333333	0.8316666666666667
XAFXOT	0.0216216308	0.014240397	1.901414041	0.153735282	11.4524688447	1.2630304921	13.375504516500001	1.4310061711000002	0.002	0.1996	0.7984
XAFXOT	0.0219099192	0.0098862331	2.3754974787	0.1229981455	10.930689108	1.0174847521	13.3280965059	1.1503691307	0.002	0.2495	0.7484999999999999
XAFXOT	0.027387399	0.012231041399999998	1.6042170686000001	0.20227315329999998	11.6548328573	1.5878597399	13.2864373249	1.8023639346	0.003	0.16616666666666666	0.8308333333333333
XAFXOT	0.028540552599999998	0.010848228100000001	1.9282010253	0.1538781233	11.291548011500002	0.33680771060000003	13.2482895894	0.5015340620000001	0.003	0.1994	0.7976
XAFXOT	0.0383423586	0.0123123117	2.4923441516	0.1631730219	10.4370098684	1.1898097255	12.9676963786	1.3652950591	0.003	0.24925	0.74775
XAFXOT	0.041801819500000004	0.010314119699999999	1.571426105	0.1479128848	11.704968996300002	1.0019516596	13.318196920799998	1.1601786641	0.004	0.166	0.8300000000000001
XAFXOT	0.0412252427	0.0187365289	1.9187332119	0.0793432281	11.2102789475	0.8202826146	13.1702374021	0.9183623716	0.004	0.1992	0.7968
XAFXOT	0.045549568799999995	0.0088575412	2.4055173749	0.0716767278	10.2039172545	0.6298390014	12.6549841982	0.7103732704000001	0.004	0.249	0.747
XAFXOT	0.054198221100000006	0.0069668042	1.5908235763999998	0.1055433552	11.837587170399999	1.7596267825999998	13.4826089679	1.8721369419999998	0.005	0.16583333333333333	0.8291666666666666
XAFXOT	0.0544865095	0.011731602800000001	1.899797585	0.1263007653	11.3285436302	0.4284068632	13.2828277247	0.5664392313000001	0.005	0.19899999999999998	0.7959999999999999
XAFXOT	0.053909932699999996	0.0144259474	2.4124450432	0.1945818591	10.9604069	0.9776889885	13.426761875899999	1.186696795	0.005	0.24875	0.74625
XAFXOT	0.0608288546	0.026194615299999998	1.5818176076	0.11585764470000001	11.0831191434	0.7092091286	12.7257656056	0.8512613886	0.006	0.16566666666666666	0.8283333333333333
XAFXOT	0.0579459705	0.011731602800000001	1.8737033676	0.1353086327	11.6305734352	1.5400898372	13.562222773299998	1.6871300727	0.006	0.1988	0.7952
XAFXOT	0.0691892184	0.0163080552	2.3607184529	0.1633689848	11.214524346400001	1.7283954379	13.6444320177	1.9080724779	0.006	0.2485	0.7455
XAFXOT	0.0677477764	0.029001298199999997	1.5922091101	0.0551125904	11.7931115632	0.8139940918	13.4530684497	0.8981079804000001	0.006999999999999999	0.1655	0.8275
