MOF	argon_mass	argon_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	argon_comp	O2_comp	N2_comp
XUWVUG	0.0	0.0	0.1375053313	0.0171093517	0.183151273	0.020309146299999997	0.3206566043	0.037418498	1e-06	0.1666665	0.8333325
XUWVUG	0.0	0.0	0.1529885053	0.032032009199999996	0.2046130521	0.0204776899	0.35760155740000005	0.0525096991	1e-06	0.19999979999999998	0.7999991999999999
XUWVUG	0.0	0.0	0.2068109674	0.026726272000000002	0.1702419322	0.0374287409	0.3770528996	0.0641550129	1e-06	0.24999975	0.74999925
XUWVUG	0.0	0.0	0.1375053313	0.0171093517	0.183151273	0.020309146299999997	0.3206566043	0.037418498	1e-05	0.166665	0.8333250000000001
XUWVUG	0.0	0.0	0.1612830628	0.0211771579	0.1862172415	0.0034458511	0.3475003043	0.024623008999999998	1e-05	0.199998	0.799992
XUWVUG	0.0	0.0	0.2068109674	0.026726272000000002	0.1702419322	0.0374287409	0.3770528996	0.0641550129	1e-05	0.24999749999999998	0.7499925000000001
XUWVUG	0.00046022699999999996	0.0011273212	0.1303167148	0.0185645886	0.19493104649999998	0.0614856062	0.3257079883	0.08117751599999999	0.0001	0.16665	0.8332499999999999
XUWVUG	0.0	0.0	0.1583338868	0.02150827	0.197997015	0.0157644671	0.3563309018	0.0372727371	0.0001	0.19998	0.79992
XUWVUG	0.00023011349999999998	0.0009204539	0.1876413234	0.0284264847	0.1695964651	0.014119361	0.357467902	0.0434662996	0.0001	0.249975	0.749925
XUWVUG	0.0011505674	0.0014553654	0.1310540088	0.0263627716	0.20541988600000002	0.0293776154	0.3376244622	0.0571957524	0.001	0.1665	0.8325
XUWVUG	0.0009204539	0.0022546424	0.1601771218	0.0246028722	0.19622198059999998	0.032360372799999995	0.3573195563	0.0592178874	0.001	0.1998	0.7992
XUWVUG	0.0006903403999999999	0.0018409078	0.1869040294	0.0296617693	0.18056940489999998	0.0232368135	0.3681637747	0.054739490599999996	0.001	0.24975	0.74925
XUWVUG	0.0013806808999999999	0.0022546424	0.1406388308	0.0270044937	0.2025152843	0.0308206288	0.34453479600000003	0.0600797649	0.002	0.16633333333333333	0.8316666666666667
XUWVUG	0.0027613616999999997	0.0034440232	0.1581495633	0.015136988799999999	0.2018698172	0.0239214997	0.3627807422	0.0425025117	0.002	0.1996	0.7984
XUWVUG	0.0013806808999999999	0.0026835613	0.1850607944	0.0188479229	0.1707260325	0.0242716207	0.3571675078	0.0458031049	0.002	0.2495	0.7484999999999999
XUWVUG	0.0029914752	0.0023467062	0.13363453779999998	0.0181350346	0.2031607513	0.0143025942	0.3397867643	0.034784335	0.003	0.16616666666666666	0.8308333333333333
XUWVUG	0.0029914752	0.0023467062	0.1620203568	0.021884098199999997	0.1896059434	0.0364703158	0.3546177754	0.06070112019999999	0.003	0.1994	0.7976
XUWVUG	0.0025312483	0.0026835613	0.1983320864	0.0194511517	0.1813762387	0.0119629267	0.38223957340000003	0.0340976397	0.003	0.24925	0.74775
XUWVUG	0.0027613616999999997	0.0047383265	0.1251556568	0.0200701124	0.20396758510000002	0.028837283	0.3318846036	0.053645721900000005	0.004	0.166	0.8300000000000001
XUWVUG	0.0059829505000000005	0.0044620659	0.17547597239999999	0.0361687612	0.19009004370000002	0.0367774637	0.3715489666	0.0774082908	0.004	0.1992	0.7968
XUWVUG	0.0043721561	0.0033819635999999998	0.1963045279	0.032201268	0.1823444392	0.022242872900000002	0.3830211232	0.0578261045	0.004	0.249	0.747
XUWVUG	0.0043721561	0.0044620659	0.1389799193	0.0293392991	0.1929946454	0.043412157400000005	0.3363467208	0.0772135224	0.005	0.16583333333333333	0.8291666666666666
XUWVUG	0.0036818157	0.0026835613	0.1612830628	0.030264998300000002	0.1862172415	0.0451642472	0.35118212	0.0781128068	0.005	0.19899999999999998	0.7959999999999999
XUWVUG	0.0043721561	0.0017220116	0.1964888514	0.0188479229	0.1742761012	0.028209199	0.3751371087	0.048779133499999995	0.005	0.24875	0.74625
XUWVUG	0.0048323831	0.0026835613	0.1334502143	0.0293392991	0.19073551079999998	0.0434984449	0.3290181082	0.07552130530000001	0.006	0.16566666666666666	0.8283333333333333
XUWVUG	0.0046022696	0.0029107309	0.16054576880000002	0.0160435581	0.1886377429	0.021586988799999998	0.35378578130000005	0.0405412778	0.006	0.1988	0.7952
