MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
BIWSEG	0.0	0.0	2.3582678107	0.18974127940000002	9.882988976	0.7601479289	12.241256786700001	0.9498892083	1e-06	0.1666665	0.8333325
BIWSEG	0.0	0.0	2.9780689660000004	0.4542816618	9.3851746364	1.0005981472	12.3632436024	1.4548798090000001	1e-06	0.19999979999999998	0.7999991999999999
BIWSEG	0.0	0.0	3.6897355833999996	0.2216876677	9.118452025	0.6257204134000001	12.808187608399999	0.8474080811	1e-06	0.24999975	0.74999925
BIWSEG	0.0	0.0	2.5524644203	0.2704229299	10.260676338	0.9032907558	12.8131407583	1.1737136857	1e-05	0.166665	0.8333250000000001
BIWSEG	0.0	0.0	3.0792372597	0.3928725776	9.3342733747	0.6122522590999999	12.4135106344	1.0051248367	1e-05	0.199998	0.799992
BIWSEG	0.0	0.0	3.8060209784	0.4013851128	9.179533539	0.4598770544	12.9855545174	0.8612621672	1e-05	0.24999749999999998	0.7499925000000001
BIWSEG	7.32582e-05	0.0002930327	2.5989785783	0.4107360814	10.09575625	0.5363978728000001	12.6948080865	0.9474269868999999	0.0001	0.16665	0.8332499999999999
BIWSEG	0.0	0.0	3.0373745175	0.2216876677	9.7740602759	0.7257713167000001	12.811434793399998	0.9474589844	0.0001	0.19998	0.79992
BIWSEG	0.0	0.0	3.8409065969	0.3273056901	9.118452025	0.8989018704	12.9593586219	1.2262075605	0.0001	0.249975	0.749925
BIWSEG	0.00036629089999999995	0.00046332540000000003	2.6629355456	0.171378005	10.2576222623	0.7335265661	12.9209240988	0.9053678965	0.001	0.1665	0.8325
BIWSEG	0.0002197746	0.0005860655	3.0222574161	0.35693365850000003	9.722140989	1.1770414629000001	12.7446181797	1.5345611869	0.001	0.1998	0.7992
BIWSEG	0.0002197746	0.0003588903	3.9618434077999996	0.23518415690000002	9.229416775499999	0.7424580244	13.1914799579	0.9780010715999999	0.001	0.24975	0.74925
BIWSEG	0.0002930327	0.0008543299	2.5513015664	0.3130129819	10.292235120299999	0.9202182315999999	12.8438297194	1.2340855434	0.002	0.16633333333333333	0.8316666666666667
