MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
FIDRIV	0.0	0.0	1.9165605141	0.1230582608	20.8196409553	3.2459194219	22.7362014694	3.3689776826999998	1e-06	0.1666665	0.8333325
FIDRIV	0.0	0.0	2.2588141665	0.1501429711	19.5523904031	1.4959333604	21.8112045696	1.6460763315	1e-06	0.19999979999999998	0.7999991999999999
FIDRIV	0.0	0.0	2.8288373248000003	0.1638921859	17.5177055104	0.7903982122	20.3465428352	0.9542903981	1e-06	0.24999975	0.74999925
FIDRIV	0.0	0.0	1.8701075227000001	0.061914759900000005	19.5767908796	3.707909233	21.4468984023	3.7698239929	1e-05	0.166665	0.8333250000000001
FIDRIV	0.0	0.0	2.2462269043000003	0.1331274278	19.6274284275	4.3683123275	21.8736553318	4.5014397553	1e-05	0.199998	0.799992
FIDRIV	0.0	0.0	2.8288373248000003	0.1638921859	17.5177055104	0.7903982122	20.3465428352	0.9542903981	1e-05	0.24999749999999998	0.7499925000000001
FIDRIV	1.88805e-05	7.552189999999999e-05	1.9090680961000002	0.14185503970000002	24.4873211765	3.2904624211	26.396408153099998	3.4323929826999997	0.0001	0.16665	0.8332499999999999
FIDRIV	1.88805e-05	7.552189999999999e-05	2.2033702736	0.0985378017	19.3348850806	3.8981767592	21.538274234699998	3.9967900827999996	0.0001	0.19998	0.79992
FIDRIV	1.88805e-05	7.552189999999999e-05	2.8252409642000003	0.1375552437	18.95287332	3.1449065913	21.778133164699998	3.2825373569	0.0001	0.249975	0.749925
FIDRIV	9.44024e-05	0.0001194106	1.8701075227000001	0.0443308079	21.4847507171	4.2490836725	23.354952642199997	4.293533891	0.001	0.1665	0.8325
FIDRIV	0.0001888048	0.0004923426	2.2318414618	0.17476816120000002	20.1348533898	3.7828902626999996	22.3668836564	3.9581507664999998	0.001	0.1998	0.7992
FIDRIV	9.44024e-05	0.00016887209999999999	2.8624033573000003	0.1759135493	17.9057517975	2.7451587968	20.7682495572	2.9212412182	0.001	0.24975	0.74925
FIDRIV	0.0002832072	0.0002388212	1.8128654494999998	0.12478904960000001	20.9513510541	2.2277195177	22.7644997108	2.3527473885	0.002	0.16633333333333333	0.8316666666666667
FIDRIV	0.0002832072	0.0003159308	2.2770956663	0.1231837366	20.092086963299998	5.2128660873	22.3694658368	5.3363657547	0.002	0.1996	0.7984
FIDRIV	0.0003209681	0.0003887728	2.8657000212	0.1635542499	19.0016742729	4.7430679716	21.867695262199998	4.9070109943	0.002	0.2495	0.7484999999999999
FIDRIV	0.00041537050000000004	0.0003887728	1.8587190474000002	0.1485190019	21.767848718299998	3.2180246372	23.6269831362	3.3669324119	0.003	0.16616666666666666	0.8308333333333333
FIDRIV	0.0006419362	0.00040317669999999996	2.3058665512	0.1430705803	22.6221277655	2.2067661269	24.9286362529	2.3502398839	0.003	0.1994	0.7976
FIDRIV	0.0006608167	0.00016887209999999999	2.8216446036000002	0.2368552293	19.3629587471	3.445020402	22.185264167399996	3.6820445034	0.003	0.24925	0.74775
FIDRIV	0.0006608167	0.0003159308	1.9108662764	0.1576461714	20.67087676	4.3099464093	22.5824038531	4.4679085115	0.004	0.166	0.8300000000000001
FIDRIV	0.0004908924	0.0005776315000000001	2.2000736097	0.0725587975	21.1140208972	6.6523982497	23.314585399299997	6.7255346787	0.004	0.1992	0.7968
FIDRIV	0.0006985777	0.00048651589999999995	2.8680975949	0.1289880192	19.3794881021	2.8551111256	22.248284274699998	2.9845856607	0.004	0.249	0.747
FIDRIV	0.0006419362	0.00040317669999999996	1.8853920553999999	0.1476309807	20.5137167019	1.9962238537	22.3997506935	2.1442580111000002	0.005	0.16583333333333333	0.8291666666666666
FIDRIV	0.0007363386	0.0004686011	2.2462269043000003	0.09380076400000001	18.2770063588	3.5167873075	20.5239696017	3.6110566725999997	0.005	0.19899999999999998	0.7959999999999999
FIDRIV	0.0006985777	0.0006817917999999999	2.8896757587	0.0924815708	20.1820801185	3.993921984	23.072454454899997	4.0870853466	0.005	0.24875	0.74625
FIDRIV	0.0007552191	0.00033774419999999997	1.8569208671000001	0.0822152824	20.9508263126	2.9732493042000003	22.8085023988	3.0558023307999997	0.006	0.16566666666666666	0.8283333333333333
FIDRIV	0.0008307410000000001	0.00038508769999999996	2.2234499537	0.0788014324	19.244104813299998	4.0076810541	21.468385508	4.0868675742	0.006	0.1988	0.7952
FIDRIV	0.0009062628999999999	0.0006041753	2.7781885794	0.27611161300000003	18.9342449992	4.2211703548	21.7133398415	4.4978861431	0.006	0.2485	0.7455
FIDRIV	0.0008307410000000001	0.0002774852	1.838939064	0.1476188123	21.5797289158	2.6587920708	23.4194987208	2.8066883682999997	0.006999999999999999	0.1655	0.8275
FIDRIV	0.0011328286	0.0004136505	2.2198535931	0.1540639363	20.0863148076	2.871511298	22.3073012293	3.0259888848000003	0.006999999999999999	0.1986	0.7944
FIDRIV	0.0013216334	0.0007263465	2.7781885794	0.1592515156	17.3768124366	2.4399415679	20.1563226494	2.59991943	0.006999999999999999	0.24825	0.74475
FIDRIV	0.0011705896	0.0005549704	1.9246523255	0.1769033343	22.0281204673	3.3704724918999998	23.9539433824	3.5479307966	0.008	0.16533333333333333	0.8266666666666667
FIDRIV	0.0012838725	0.0005009557	2.2812914203	0.06311018019999999	19.5909588982	2.4895773008	21.873534190999997	2.5531884366999997	0.008	0.1984	0.7936
FIDRIV	0.0011517091	0.0004371147	2.8159503658999996	0.2674624889	18.3732964111	3.0196763388	21.190398486099998	3.2875759424	0.008	0.248	0.7440000000000001
FIDRIV	0.0012083506	0.0009046882	1.8997774978	0.1105129363	19.4584616872	2.0838118425	21.3594475356	2.195229467	0.009000000000000001	0.16516666666666666	0.8258333333333333
FIDRIV	0.0011328286	0.0002388212	2.2992732234	0.0822851711	19.3944432328	4.3675695311	21.6948492848	4.4500935234	0.009000000000000001	0.1982	0.7928
FIDRIV	0.0012838725	0.0005800948	2.7593076862	0.27954877100000003	20.882347556099997	3.0375927545	23.6429391148	3.3177216202999995	0.009000000000000001	0.24775	0.74325
FIDRIV	0.0013971553	0.0009280288000000001	1.8940832602000002	0.09064525300000001	22.4410919723	4.1609175024	24.3365723878	4.2524907842	0.01	0.165	0.8250000000000001
FIDRIV	0.0014160357999999998	0.0010613448	2.2764962728	0.1541781605	18.3630639532	3.7046307881000002	20.640976261800002	3.8598702933999998	0.01	0.198	0.792
FIDRIV	0.001264992	0.0007514335000000001	2.9142508896	0.1631451602	19.7365746449	3.5446823057	22.6520905265	3.7085788994	0.01	0.2475	0.7424999999999999
FIDRIV	0.0018314063000000002	0.000649664	1.7852933513999998	0.1369138472	20.2324552957	2.8199784084	22.019580053400002	2.9575419195999997	0.012	0.16466666666666666	0.8233333333333333
FIDRIV	0.0019069282	0.0010160434	2.2633096172	0.0759741526	21.8914253249	2.1793937405	24.156641870300003	2.2563839365000002	0.012	0.1976	0.7904
FIDRIV	0.0013971553	0.0002774852	2.7641028337	0.18733897789999998	18.023031507	1.9234215108000001	20.788531495999997	2.1110379739	0.012	0.247	0.741
FIDRIV	0.0021901354	0.0008221141999999999	1.825153015	0.17171340489999998	20.0396128204	4.2374497907999995	21.8669559708	4.4099853099	0.013999999999999999	0.16433333333333333	0.8216666666666667
FIDRIV	0.0022278963	0.000649664	2.3457262148	0.21859871239999998	18.740615411700002	3.7219420209	21.0885695228	3.9411903973	0.013999999999999999	0.1972	0.7888
FIDRIV	0.0020768525	0.0011265176	2.7877788744	0.1484827119	19.5369105309	3.9991145092	22.326766257800003	4.1487237387	0.013999999999999999	0.2465	0.7395
