MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
GAGZEV	0.0	0.0	2.8727069109	0.307102052	10.915340325599999	0.5984332806	13.7880472365	0.9055353326000001	1e-06	0.1666665	0.8333325
GAGZEV	0.0	0.0	3.4554078804	0.19050235129999998	10.4432584563	0.6129337369	13.898666336700002	0.8034360881999999	1e-06	0.19999979999999998	0.7999991999999999
GAGZEV	0.0	0.0	4.211943538	0.16299882699999999	9.8958608941	0.6024374861	14.1078044321	0.7654363131	1e-06	0.24999975	0.74999925
GAGZEV	0.0	0.0	2.8727069109	0.307102052	10.915340325599999	0.5984332806	13.7880472365	0.9055353326000001	1e-05	0.166665	0.8333250000000001
GAGZEV	0.0	0.0	3.4607293505000003	0.23193037030000002	10.4976099873	1.0166580116	13.9583393378	1.2485883818999999	1e-05	0.199998	0.799992
GAGZEV	0.0	0.0	4.2367770649	0.2402597724	9.7918165348	0.2774178221	14.0285935997	0.5176775945000001	1e-05	0.24999749999999998	0.7499925000000001
GAGZEV	0.0	0.0	2.8700461757999998	0.2518829153	10.6924990485	0.5861537481	13.5625452243	0.8380366634	0.0001	0.16665	0.8332499999999999
GAGZEV	5.58742e-05	0.0002234968	3.3205973060000002	0.2726961349	10.4743164741	0.5208587914	13.7949696543	0.7937784231	0.0001	0.19998	0.79992
GAGZEV	5.58742e-05	0.0002234968	4.331676614	0.2411617056	9.7902636339	0.33742645979999997	14.1219961221	0.5788116622	0.0001	0.249975	0.749925
GAGZEV	0.0002234968	0.0004181243	2.8177183870999998	0.3009546288	11.2305792054	0.7028038942	14.048521089300001	1.0041766473	0.001	0.1665	0.8325
GAGZEV	0.0002234968	0.0004181243	3.4261397951999997	0.1676802632	10.549632167	0.3861262368	13.975995459000002	0.5542246243	0.001	0.1998	0.7992
GAGZEV	0.0003911194	0.0004469936	4.3272420556	0.3066919536	10.128796027	0.7044934733	14.456429202	1.0116324205	0.001	0.24975	0.74925
GAGZEV	0.0007263647	0.0004469936	2.9090702895	0.17461126370000002	10.8252720742	0.3725861992	13.7350687284	0.5476444564999999	0.002	0.16633333333333333	0.8316666666666667
GAGZEV	0.0010057357	0.0007579146	3.4323481769	0.3348722919	10.4448113572	0.8015375806999999	13.8781652698	1.1371677872	0.002	0.1996	0.7984
GAGZEV	0.0003911194	0.0002737266	4.3077299988	0.24039069710000002	9.6668080135	0.4745122373	13.974929131700002	0.715176661	0.002	0.2495	0.7484999999999999
GAGZEV	0.0007822389	0.0004181243	2.9126179362	0.2466443799	11.0186082345	0.4762724485	13.9320084096	0.7233349526999999	0.003	0.16616666666666666	0.8308333333333333
GAGZEV	0.0006704905	0.0010363121	3.4323481769	0.1685598911	10.5806901847	0.6634104543	14.0137088521	0.8330066575	0.003	0.1994	0.7976
GAGZEV	0.0008381131	0.0003533795	4.1959791279	0.17045325620000001	9.5146237267	0.4952122768	13.7114409677	0.6660189125	0.003	0.24925	0.74775
GAGZEV	0.0017321003	0.0013867613000000001	2.9241477879000004	0.2007322329	11.0970297292	0.44423823450000005	14.0229096174	0.6463572287	0.004	0.166	0.8300000000000001
GAGZEV	0.0011174841	0.0007901806	3.2886684857999997	0.3995869299	10.483633879400001	0.49687004619999997	13.773419849300002	0.8972471567	0.004	0.1992	0.7968
GAGZEV	0.0012851067	0.0012035672	4.3494148474	0.2232763807	9.7087363374	0.4655699414	14.0594362915	0.6900498893000001	0.004	0.249	0.747
GAGZEV	0.0013409809	0.0014310779	2.8567425007	0.1197035086	10.9867737663	0.799585635	13.8448572479	0.9207202215000001	0.005	0.16583333333333333	0.8291666666666666
GAGZEV	0.002458465	0.0013409809	3.3933240632999997	0.3300646292	10.3656134121	0.5714379863	13.7613959404	0.9028435964	0.005	0.19899999999999998	0.7959999999999999
GAGZEV	0.0025702134	0.0015564752	4.2722535318	0.49146752130000004	10.1326782792	0.9529802395999999	14.407502024400001	1.4460042361	0.005	0.24875	0.74625
GAGZEV	0.002179094	0.0013409809	2.9436598447000004	0.2627055733	10.9401867398	0.3941738446	13.8860256785	0.6582203988	0.006	0.16566666666666666	0.8283333333333333
GAGZEV	0.0023467166	0.0010363121	3.4456518519999997	0.1968864012	10.5154683475	0.8518280656	13.9634669161	1.0497507789	0.006	0.1988	0.7952
GAGZEV	0.0026260876000000002	0.0013031992	4.3582839642	0.3414506277	9.9106134525	0.6970155449	14.271523504300001	1.0397693718	0.006	0.2485	0.7455
GAGZEV	0.0022349682	0.0013686329000000001	2.8611770591	0.383301842	10.864871046800001	0.7233685028	13.7282830741	1.1080389777	0.006999999999999999	0.1655	0.8275
GAGZEV	0.0030730813	0.0017668975	3.3374486277999997	0.2352975166	10.5605024732	0.46059679020000005	13.9010241823	0.6976612043000001	0.006999999999999999	0.1986	0.7944
GAGZEV	0.0034083265000000003	0.001083441	4.2021875096	0.3483926333	9.6062448789	0.7573731809	13.811840715	1.1068492552	0.006999999999999999	0.24825	0.74475
GAGZEV	0.0029613329	0.0002737266	2.7343486898	0.2890080315	10.774026345	1.2338909145	13.5113363677	1.5231726725999999	0.008	0.16533333333333333	0.8266666666666667
GAGZEV	0.0028495844	0.0009612962	3.2922161325	0.3396119025	10.3990007811	0.2327590709	13.694066498	0.5733322696	0.008	0.1984	0.7936
GAGZEV	0.0034642007	0.0011505203	4.3263551439	0.27293833160000003	9.5876100683	0.6034693524	13.917429412899999	0.8775582043000001	0.008	0.248	0.7440000000000001
GAGZEV	0.0037994459	0.0021955079	2.9143917595	0.2444660659	10.754615083900001	1.0474359642	13.6728062893	1.294097538	0.009000000000000001	0.16516666666666666	0.8258333333333333
GAGZEV	0.0034642007	0.0024123166	3.3959847982999998	0.2120739159	10.558173121900001	0.7202949595	13.9576221209	0.934781192	0.009000000000000001	0.1982	0.7928
GAGZEV	0.0027937102	0.0013686329000000001	4.2669320618	0.5328973937	9.7770639764	0.2637921104	14.046789748399998	0.7980581370000001	0.009000000000000001	0.24775	0.74325
GAGZEV	0.0035200749	0.0012035672	2.8194922104000004	0.17072992129999998	10.6350417157	0.6012073378	13.458054000999999	0.7731408262999999	0.01	0.165	0.8250000000000001
GAGZEV	0.0045258106	0.0019801869	3.4766937606	0.1693978079	10.50226869	0.3700794468	13.983488261199998	0.5414574416	0.01	0.198	0.792
GAGZEV	0.0039111943	0.0010601385000000001	4.3077299988	0.2517704648	10.1652891978	1.0588871204	14.4769303909	1.3117177237	0.01	0.2475	0.7424999999999999
GAGZEV	0.0037994459	0.0027509181	2.8904451443	0.23581845629999998	11.0807242699	0.5898448258	13.9749688601	0.8284142002	0.012	0.16466666666666666	0.8233333333333333
GAGZEV	0.0035759490999999997	0.0018497653	3.3046328958999998	0.147494238	10.463446167899999	0.8017301076000001	13.7716550129	0.9510741109	0.012	0.1976	0.7904
GAGZEV	0.0049728042	0.0022737438000000002	4.2775750019	0.463426414	9.6978660312	0.601776644	13.9804138373	1.0674768018	0.012	0.247	0.741
GAGZEV	0.0051963009999999995	0.0013957372	2.7423308948000003	0.26828748280000003	10.745297678599998	0.3808060015	13.4928248744	0.6504892215	0.013999999999999999	0.16433333333333333	0.8216666666666667
GAGZEV	0.0040229427000000005	0.0010949063	3.4137230318	0.22193358649999997	10.4168591413	0.5037338565	13.834605115799999	0.7267623493	0.013999999999999999	0.1972	0.7888
GAGZEV	0.0050286784	0.001457021	4.2039613330000005	0.2331076551	9.8267568047	0.5951157085000001	14.0357468161	0.8296803845999999	0.013999999999999999	0.2465	0.7395
GAGZEV	0.0068725272	0.0012543728	2.7467654532	0.177789846	10.7864495521	1.1496250172	13.5400875325	1.3286692359999999	0.016	0.16399999999999998	0.8200000000000001
GAGZEV	0.0063696593	0.0019801869	3.4154968551	0.3042714631	10.406765285499999	0.4595799611	13.8286317999	0.7658316111	0.016	0.1968	0.7872
GAGZEV	0.0056432947	0.0043193326	4.1853361878	0.2615051211	9.6435145002	0.18634810629999998	13.8344939827	0.45217256	0.016	0.24600000000000002	0.738
GAGZEV	0.006816653000000001	0.0016038914000000002	2.8203791221	0.217754427	10.8151782185	0.45392544009999997	13.6423739936	0.6732837585	0.018000000000000002	0.16366666666666665	0.8183333333333332
GAGZEV	0.006816653000000001	0.0020786406	3.364055978	0.4194857825	10.1924649633	0.7708491129999999	13.5633375943	1.1924135361	0.018000000000000002	0.1964	0.7856
GAGZEV	0.006816653000000001	0.001856504	4.1480858975	0.2582482114	9.738241454199999	0.7442041559	13.8931440047	1.0043088713	0.018000000000000002	0.2455	0.7364999999999999
GAGZEV	0.006537281999999999	0.0020786406	2.8008670653	0.31555115829999997	10.713463210499999	0.6326351252	13.520867557799999	0.9502649241	0.02	0.16333333333333333	0.8166666666666667
GAGZEV	0.0076547661	0.001856504	3.3454308329000004	0.1577207276	10.4820809785	0.7300781476	13.8351665775	0.8896553792	0.02	0.196	0.784
GAGZEV	0.0075430176	0.0045116474	4.252741475	0.4294704368	9.5845042665	0.7723617599	13.8447887591	1.2063438441	0.02	0.245	0.735
