MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
HIFTOG	0.0	0.0	3.3197663824	0.3122793315	9.594637147	0.4199966449	12.914403529400001	0.7322759764	1e-06	0.1666665	0.8333325
HIFTOG	0.0	0.0	3.9775508998	0.1250116091	9.7290803089	0.5829033021	13.7066312087	0.7079149112	1e-06	0.19999979999999998	0.7999991999999999
HIFTOG	0.0	0.0	4.8158527873	0.1173425969	8.7584177346	0.37852335740000004	13.5742705219	0.4958659543	1e-06	0.24999975	0.74999925
HIFTOG	0.0	0.0	3.2902212733	0.35260822799999997	9.6156705381	0.3298938892	12.905891811400002	0.6825021172	1e-05	0.166665	0.8333250000000001
HIFTOG	0.0	0.0	3.9775508998	0.1250116091	9.7290803089	0.5829033021	13.7066312087	0.7079149112	1e-05	0.199998	0.799992
HIFTOG	0.0	0.0	4.8158527873	0.1173425969	8.7584177346	0.37852335740000004	13.5742705219	0.4958659543	1e-05	0.24999749999999998	0.7499925000000001
HIFTOG	0.0	0.0	3.1717161652	0.19479642379999998	9.4971445371	0.7979274233	12.6688607023	0.9927238471	0.0001	0.16665	0.8332499999999999
HIFTOG	0.0	0.0	4.12625046	0.4092582176	9.4547935199	0.7977184175	13.5810439799	1.2069766351	0.0001	0.19998	0.79992
HIFTOG	2.04539e-05	8.18154e-05	4.9580589169	0.24851606739999998	9.0378207538	0.9719251631999999	13.9959001246	1.2205230459999998	0.0001	0.249975	0.749925
HIFTOG	6.13616e-05	0.0001636308	3.2035339751	0.0768477688	9.4030627473	0.29113547489999997	12.606658084000001	0.36814687450000005	0.001	0.1665	0.8325
HIFTOG	8.18154e-05	8.18154e-05	4.0239789284	0.2314013046	9.2757254609	0.4822267961	13.2997862047	0.7137099161	0.001	0.1998	0.7992
HIFTOG	0.0001636308	0.0002454463	4.9603316176	0.2252443684	8.7527330343	0.3819864804	13.7132282827	0.6074762951	0.001	0.24975	0.74925
HIFTOG	0.0002045386	0.0001829448	3.3233377692	0.2683005052	9.75125064	0.36724043840000004	13.074792947799999	0.6357238884	0.002	0.16633333333333333	0.8316666666666667
HIFTOG	0.0001022693	0.0001829448	3.9554732358	0.3549097926	9.5872470367	0.5286557324	13.542822541800001	0.8837484698	0.002	0.1996	0.7984
HIFTOG	0.0001227231	0.0001530626	4.9528641724	0.43340426579999997	8.8894500762	0.400761291	13.842436971700002	0.8343186194	0.002	0.2495	0.7484999999999999
HIFTOG	0.0003068078	0.0001829448	3.3736618562	0.2096925699	9.7953070672	0.6150535725	13.169275731199999	0.8249290872	0.003	0.16616666666666666	0.8308333333333333
HIFTOG	0.0002454463	0.00030612529999999997	3.9950831624000003	0.1302414486	9.346784214500001	0.5306064047	13.342112823199999	0.6611539786	0.003	0.1994	0.7976
HIFTOG	0.0002249924	0.0002713511	4.9824092816	0.2422876375	8.845677884	0.3023619354	13.828312158	0.544920924	0.003	0.24925	0.74775
HIFTOG	0.0003068078	0.00022406080000000002	3.298662733	0.1480302798	9.6563161452	0.6830720348999999	12.955285686	0.8313263755	0.004	0.166	0.8300000000000001
HIFTOG	0.0003272617	0.0001530626	3.8824221419	0.2990053803	9.4806589063	0.7280168193000001	13.3634083099	1.0271752621999999	0.004	0.1992	0.7968
HIFTOG	0.00036816940000000003	0.0003323358	4.9080595014999995	0.2634973001	8.9164524026	0.6254694665	13.8248800735	0.8892991024	0.004	0.249	0.747
HIFTOG	0.0003272617	0.000473541	3.3584022943000003	0.36415005829999997	9.8225936286	0.3769243516	13.1813231846	0.7415479509	0.005	0.16583333333333333	0.8291666666666666
HIFTOG	0.0005113464	0.00034225849999999997	3.9340449149000003	0.13450338550000002	9.1427034741	0.4290664762	13.0772597354	0.5639121202	0.005	0.19899999999999998	0.7959999999999999
HIFTOG	0.0006136157	0.0002587231	5.0402008137	0.2776076373	8.7962209915	0.146469036	13.8370354209	0.4243353964	0.005	0.24875	0.74625
HIFTOG	0.0004499848	0.0004770618	3.2405465293	0.1513735522	9.9371403394	0.49205801600000004	13.1781368535	0.64390863	0.006	0.16566666666666666	0.8283333333333333
HIFTOG	0.0006545234	0.0004942898	3.9983298776	0.22600496829999997	9.5070927626	0.45628918890000003	13.506077163599999	0.6827884470000001	0.006	0.1988	0.7952
HIFTOG	0.0004704387	0.00027744959999999997	5.0463695727	0.25500752670000004	8.8880289012	0.2863531997	13.9348689126	0.541638176	0.006	0.2485	0.7455
HIFTOG	0.0005931618	0.000473541	3.2493126606000002	0.3159879728	9.7296487789	0.3212957199	12.9795546013	0.6377572336999999	0.006999999999999999	0.1655	0.8275
HIFTOG	0.00040907709999999997	0.0005928091000000001	3.9113179079	0.21585749420000003	9.2288266835	0.5748477318	13.140553668499999	0.7912980351000001	0.006999999999999999	0.1986	0.7944
HIFTOG	0.0005318003	0.0005697785	4.829813663	0.3372798106	8.7393739886	0.3593099349	13.569719451900001	0.697159524	0.006999999999999999	0.24825	0.74475
HIFTOG	0.0007977004	0.0006122505999999999	3.3587269658	0.3068446555	9.6514841499	0.5615275469	13.011008816099999	0.8689844529999999	0.008	0.16533333333333333	0.8266666666666667
HIFTOG	0.0007977004	0.0003519014	4.022355570799999	0.28773591800000003	9.2251316283	0.4783275861	13.2482848995	0.7664154055	0.008	0.1984	0.7936
HIFTOG	0.0004704387	0.0001636308	4.9915000844	0.210505362	8.676558050399999	0.5957050569	13.6685285735	0.8063740497	0.008	0.248	0.7440000000000001
HIFTOG	0.000715885	0.0004664197	3.3522335353	0.1354000951	9.7356177142	0.47917876049999997	13.0885671345	0.6150452753	0.009000000000000001	0.16516666666666666	0.8258333333333333
HIFTOG	0.0006545234	0.0004591879	3.8989803898	0.15548207320000001	9.2805574561	0.4968421548	13.1801923693	0.6527834159	0.009000000000000001	0.1982	0.7928
HIFTOG	0.0011454159	0.000473541	4.8613068013	0.3779410887	8.785704296	0.4172198244	13.6481565132	0.7956344541	0.009000000000000001	0.24775	0.74325
HIFTOG	0.0009204235	0.0008482803999999999	3.3499608345999996	0.2545275698	9.5571181251	0.5387746488	12.9079993832	0.794150499	0.01	0.165	0.8250000000000001
HIFTOG	0.0010022389	0.0009628532	3.9447590754000004	0.1966769975	9.3433733943	0.4703023701	13.289134708599999	0.6679422208	0.01	0.198	0.792
HIFTOG	0.0007363388000000001	0.0002713511	4.8447485533	0.308411294	8.5645694548	0.8952773104	13.4100543469	1.2039599555	0.01	0.2475	0.7424999999999999
HIFTOG	0.0011045082	0.0003519014	3.2798317843	0.2344533118	9.737891594299999	0.6461856604999999	13.0188278868	0.8809908737000001	0.012	0.16466666666666666	0.8233333333333333
HIFTOG	0.0011045082	0.000758725	3.8743053536	0.3379679348	9.2612294751	0.47106103520000003	13.1366393369	0.809787695	0.012	0.1976	0.7904
HIFTOG	0.0011658698	0.0004770618	4.8544886992	0.192676619	8.5711068601	0.3664008735	13.4267614291	0.5595545543	0.012	0.247	0.741
HIFTOG	0.0014317699	0.0007202546	3.3408700318	0.2129112613	9.4806589063	0.43134477920000003	12.822960708	0.6449762951	0.013999999999999999	0.16433333333333333	0.8216666666666667
HIFTOG	0.0011249621	0.0003880846	3.8405395145999996	0.1548298576	9.2669141754	0.38206345810000003	13.1085786521	0.5372814003	0.013999999999999999	0.1972	0.7888
HIFTOG	0.0011045082	0.0003272617	4.7820869483	0.18786561899999998	8.5341563082	0.2548306006	13.317347764700001	0.4430234813	0.013999999999999999	0.2465	0.7395
HIFTOG	0.0014317699	0.0005928091000000001	3.2603514926	0.1502299756	9.3550270299	0.7606133235	12.6168102924	0.9114361082	0.016	0.16399999999999998	0.8200000000000001
HIFTOG	0.0013499545000000002	0.0007804694	3.9096945503	0.23461511420000003	9.4076105076	0.9991280834	13.3186550124	1.234523667	0.016	0.1968	0.7872
HIFTOG	0.0017999392999999999	0.0010070278999999998	4.9473447564	0.24202819809999998	8.5159652673	0.4790836607	13.465109963	0.7221188867	0.016	0.24600000000000002	0.738
HIFTOG	0.0014522238000000002	0.0005984282	3.220092223	0.2008412934	9.6207867684	0.5353816809	12.8423312152	0.7368214025	0.018000000000000002	0.16366666666666665	0.8183333333333332
HIFTOG	0.0013908622	0.0006545234	3.7921634568	0.2616618877	9.2251316283	0.4866794063	13.0186859473	0.7489958174	0.018000000000000002	0.1964	0.7856
HIFTOG	0.0017794854999999999	0.00020858919999999998	4.8551380423	0.33396945079999996	8.703560376799999	0.118050299	13.5604779046	0.452228339	0.018000000000000002	0.2455	0.7364999999999999
HIFTOG	0.002127201	0.0008119949	3.2317803981	0.3297639987	9.65375803	0.7758718367	12.8876656291	1.1064478303	0.02	0.16333333333333333	0.8166666666666667
HIFTOG	0.0017794854999999999	0.0006918122	3.9337202434	0.3634894608	9.2836840413	0.74051726	13.219183770199999	1.1046985329999999	0.02	0.196	0.784
HIFTOG	0.0018203932	0.0010136531	4.8859818375	0.3005511542	8.7052657869	0.2683431445	13.5930680176	0.5699079518	0.02	0.245	0.735
HIFTOG	0.0026590013	0.0013318585999999998	3.2220402522000002	0.1786507853	9.5488753097	1.0125199676999999	12.773574563199999	1.1925026116	0.03	0.16166666666666665	0.8083333333333332
HIFTOG	0.0028021782	0.0006416124	3.8532017043	0.1956086011	9.2970430869	0.4483834154	13.1530469694	0.6446336289	0.03	0.19399999999999998	0.7759999999999999
HIFTOG	0.0028021782	0.0003793625	4.7762428607	0.2746836263	8.4096613719	0.39705342509999997	13.1887064108	0.6721164139	0.03	0.2425	0.7275
HIFTOG	0.0033544323999999998	0.0006519616	3.2145728069999997	0.3076365104	9.7265221937	1.1131130912	12.944449433099999	1.4214015631999999	0.04	0.16	0.8
HIFTOG	0.0037635095	0.0008716319	3.7684624352	0.18267902589999999	9.2279739784	0.6048756184	13.0001999231	0.7884262762	0.04	0.192	0.768
HIFTOG	0.0034157939	0.0008639182	4.8129307435	0.246659779	8.3695842349	0.271526423	13.1859307723	0.5190501202000001	0.04	0.24	0.72
HIFTOG	0.0044180328999999996	0.0010300299	3.1551579173000004	0.1908737263	9.300169672100001	0.4276768948	12.4597456223	0.619580651	0.05	0.15833333333333333	0.7916666666666666
HIFTOG	0.0043566713	0.0003793625	3.6856711954000003	0.2487551809	8.8112854473	0.498480474	12.501313314	0.7476150173999999	0.05	0.19	0.76
HIFTOG	0.0042953096999999996	0.0014229770000000002	4.645400234599999	0.2291693475	8.2510582338	0.38506197670000003	12.900753778099999	0.6156543012	0.05	0.2375	0.7124999999999999
