MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
IRMOF-1	0.0	0.0	1.576604944	0.10106415070000001	6.1997341347	0.7134912602	7.7763390787	0.8145554109	1e-06	0.1666665	0.8333325
IRMOF-1	0.0	0.0	1.8441342837999999	0.1628285173	5.8575151773	0.4536148619	7.7016494611	0.6164433792	1e-06	0.19999979999999998	0.7999991999999999
IRMOF-1	0.0	0.0	2.3298428909	0.2293054589	5.6665092476	0.4162132425	7.9963521385	0.6455187014	1e-06	0.24999975	0.74999925
IRMOF-1	8.18154e-05	0.0003272617	1.5740075718000002	0.0909451258	6.2042818949	0.7079987831	7.7783712821	0.7992711706	1e-05	0.166665	0.8333250000000001
IRMOF-1	0.0	0.0	1.86880932	0.2912533445	6.1212852707000005	0.3708167951	7.990094590700001	0.6620701396	1e-05	0.199998	0.799992
IRMOF-1	0.0	0.0	2.3012717964	0.2001156893	5.5789648632	0.3179856914	7.8802366596	0.5181013807	1e-05	0.24999749999999998	0.7499925000000001
IRMOF-1	0.0	0.0	1.5779036302	0.1547563113	6.2349792765	0.3287624909	7.8128829067	0.4835188022	0.0001	0.16665	0.8332499999999999
IRMOF-1	0.0	0.0	1.8727053783	0.1247279673	6.1110528101999995	0.4110631896	7.9837581885	0.5357911569	0.0001	0.19998	0.79992
IRMOF-1	0.0	0.0	2.3571152994	0.0947239966	5.4902835387	0.33860205179999997	7.847398838099999	0.43332604840000005	0.0001	0.249975	0.749925
IRMOF-1	0.0002454463	0.0006545234	1.5168653827	0.207562384	6.4089311053	0.42214631799999996	7.9260419343	0.6303632254	0.001	0.1665	0.8325
IRMOF-1	8.18154e-05	0.0003272617	1.9220554506999998	0.1711114446	6.0780815485	0.3093981365	8.0002188146	0.4808368428	0.001	0.1998	0.7992
IRMOF-1	0.0003272617	0.0006122505999999999	2.3726995328	0.3533381021	5.614210005	0.3162737556	7.987236799500001	0.6702241083	0.001	0.24975	0.74925
