MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
KINKAV	0.0	0.0	3.11633436	0.3601419106	6.8023847521	0.8946482134	9.9187191121	1.2547901240000001	1e-06	0.1666665	0.8333325
KINKAV	0.0	0.0	3.6337287205	0.31764288420000003	6.5831609781	0.868117355	10.2168896986	1.1857602392	1e-06	0.19999979999999998	0.7999991999999999
KINKAV	0.0	0.0	4.6671364957	0.3927910932	6.071370182100001	0.8246980931	10.7385066778	1.2174891863	1e-06	0.24999975	0.74999925
KINKAV	0.0	0.0	3.11633436	0.3601419106	6.8023847521	0.8946482134	9.9187191121	1.2547901240000001	1e-05	0.166665	0.8333250000000001
KINKAV	0.0	0.0	3.8068072610000003	0.3138931627	6.3655491436	0.326655476	10.1723564046	0.6405486387	1e-05	0.199998	0.799992
KINKAV	0.0	0.0	4.6671364957	0.3927910932	6.071370182100001	0.8246980931	10.7385066778	1.2174891863	1e-05	0.24999749999999998	0.7499925000000001
KINKAV	0.0	0.0	3.0795091386	0.32566125890000003	6.7366982168	0.8366206782	9.8162073554	1.1622819371	0.0001	0.16665	0.8332499999999999
KINKAV	5.7998400000000004e-05	0.0002319938	3.665490474	0.2274646857	6.3522506426	0.5075856504	10.017799115	0.7352823299	0.0001	0.19998	0.79992
KINKAV	0.0	0.0	4.6114383484	0.5455666181000001	5.9581314312	1.1219347990000001	10.5695697796	1.6675014171	0.0001	0.249975	0.749925
KINKAV	0.0	0.0	3.0574140057999997	0.32437826059999997	6.7302504588	0.40681438270000003	9.7876644646	0.7311926433	0.001	0.1665	0.8325
KINKAV	0.0	0.0	3.5996653907	0.1818798766	6.2482805439	0.33945586200000005	9.8479459346	0.5213357386	0.001	0.1998	0.7992
KINKAV	0.0	0.0	4.5700099743	0.41301952490000005	6.1169074734	0.35779429520000006	10.686917447699999	0.7708138201000001	0.001	0.24975	0.74925
KINKAV	8.69977e-05	0.0001420666	3.1729531379	0.2241617198	6.762892234	0.2411264323	9.9359323696	0.46543021869999995	0.002	0.16633333333333333	0.8316666666666667
