MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
MOF-177	0.0	0.0	2.1236613383000003	0.2861126618	8.480977027	0.5456550415	10.6046383653	0.8317677032999999	1e-06	0.1666665	0.8333325
MOF-177	0.0	0.0	2.6417337024000003	0.2237842905	8.073926718500001	0.7567060619	10.7156604209	0.9804903523999999	1e-06	0.19999979999999998	0.7999991999999999
MOF-177	0.0	0.0	3.1972465904000003	0.2354203661	7.7263331967	0.2524195749	10.9235797871	0.487839941	1e-06	0.24999975	0.74999925
MOF-177	0.0	0.0	2.2281465209	0.1765115939	8.600652866799999	0.7151441099	10.8287993877	0.8916557037999999	1e-05	0.166665	0.8333250000000001
MOF-177	0.0	0.0	2.6426044123	0.1898067602	8.5198526183	0.3856375435	11.162457030599999	0.5754443037	1e-05	0.199998	0.799992
MOF-177	0.0	0.0	3.3182752604	0.21885149760000003	7.866590231799999	0.4881363233	11.1848654922	0.7069878209	1e-05	0.24999749999999998	0.7499925000000001
MOF-177	0.0	0.0	2.1410755353999997	0.1343717184	8.4969846234	0.2601373323	10.6380601588	0.39450905070000003	0.0001	0.16665	0.8332499999999999
MOF-177	0.0	0.0	2.6495700911	0.1359646269	8.1928402918	0.6565163736999999	10.842410382899999	0.7924810006	0.0001	0.19998	0.79992
MOF-177	5.4853500000000006e-05	0.0002194141	3.1963758806	0.0811957366	7.6706877425	0.41641244920000003	10.867118476600002	0.49782759990000003	0.0001	0.249975	0.749925
MOF-177	5.4853500000000006e-05	0.0002194141	2.1732918	0.2033363862	8.330048261	0.5719660946	10.503394914500001	0.7755218948999999	0.001	0.1665	0.8325
MOF-177	0.0004388281	0.0005593983	2.5685940746	0.3606462985	8.500795955900001	0.4468624389	11.0698288586	0.8080681356999999	0.001	0.1998	0.7992
MOF-177	0.00010970700000000001	0.0002687262	3.2921539647	0.2658960294	7.5464383038	0.4843842222	10.8387019755	0.7505489778	0.001	0.24975	0.74925
MOF-177	0.0004936816	0.0005374525	2.1489119241	0.2241363445	8.406274910499999	0.4709449961	10.5556805162	0.6956187931000001	0.002	0.16633333333333333	0.8316666666666667
MOF-177	0.0005485351	0.0013876963	2.5172221931	0.07017726980000001	8.3216633295	0.1311098372	10.8394340577	0.20267480329999998	0.002	0.1996	0.7984
MOF-177	0.0007679491999999999	0.0008776562	3.1423918695	0.2784856276	7.6043705574	0.5494751913	10.747530376099999	0.8288384751000001	0.002	0.2495	0.7484999999999999
MOF-177	0.0010422167	0.0007277141	2.1323684368	0.14739448859999998	8.1135645763	0.389350325	10.2469752298	0.5374725277	0.003	0.16616666666666666	0.8308333333333333
MOF-177	0.0005485351	0.00034692410000000006	2.6060345984	0.2149507368	8.0724021855	0.7959609958	10.678985319	1.0112586567	0.003	0.1994	0.7976
MOF-177	0.0007130957000000001	0.0002687262	3.2956368041000004	0.21391836760000002	7.597510159	0.4432853304	10.893860058800001	0.6574724242000001	0.003	0.24925	0.74775
MOF-177	0.0010422167	0.0007277141	2.1506533438	0.11577494699999999	8.4184711744	0.2752784848	10.5701667349	0.3917811459	0.004	0.166	0.8300000000000001
MOF-177	0.0012067773	0.0014962043	2.5738183337000002	0.2159220001	8.1120400433	0.32986328460000003	10.687065154299999	0.547281489	0.004	0.1992	0.7968
MOF-177	0.0013164843	0.0022854899	3.2268507255000003	0.2725419211	7.6295253518	0.4231066597	10.8576925616	0.6979340706999999	0.004	0.249	0.747
MOF-177	0.0010970703	0.0007757458	2.1323684368	0.1702143123	8.367399319199999	0.46041401130000004	10.500864826299999	0.6314040693999999	0.005	0.16583333333333333	0.8291666666666666
MOF-177	0.0012616308	0.0008912641	2.5746890435	0.14217921460000002	8.110515510299999	0.1417897643	10.6864661846	0.284860243	0.005	0.19899999999999998	0.7959999999999999
MOF-177	0.0010422167	0.0009437355000000001	3.1362969005	0.5286750631	7.7979862472	0.7174381631	10.9353253644	1.2470569617	0.005	0.24875	0.74625
MOF-177	0.0012616308	0.0008912641	2.1175663693	0.1184421467	8.3353841264	0.6541117126	10.4542121265	0.7734451234	0.006	0.16566666666666666	0.8283333333333333
