MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
MgMOF-74	0.0	0.0	2.4859729072	0.13389881480000002	10.6589501951	0.8011200031	13.1449231023	0.9350188179000001	1e-06	0.1666665	0.8333325
MgMOF-74	0.0	0.0	2.9526793576	0.09117749859999999	10.3327273665	0.4755665715	13.285406724100001	0.5667440700999999	1e-06	0.19999979999999998	0.7999991999999999
MgMOF-74	0.0	0.0	3.7354827222000004	0.17394425600000002	9.7744615187	0.47386542670000004	13.5099442409	0.6478096827000001	1e-06	0.24999975	0.74999925
MgMOF-74	0.0	0.0	2.5319797716	0.1642057925	10.7048378042	0.6797626664	13.2368175758	0.8439684589	1e-05	0.166665	0.8333250000000001
MgMOF-74	0.0	0.0	2.9899884068	0.1581070775	10.2124978229	0.8188721549	13.2024862297	0.9769792324	1e-05	0.199998	0.799992
MgMOF-74	0.0	0.0	3.7471561057	0.11738636699999999	9.429001963200001	0.3146708292	13.176158068900001	0.4320571962	1e-05	0.24999749999999998	0.7499925000000001
MgMOF-74	0.0	0.0	2.479106211	0.1531093616	10.8599339156	0.3604066493	13.3390401266	0.5135160109	0.0001	0.16665	0.8332499999999999
MgMOF-74	1.44197e-05	5.7678999999999994e-05	3.0208885397000005	0.2687818212	10.301868450299999	0.415203909	13.3227714097	0.6840434092000001	0.0001	0.19998	0.79992
MgMOF-74	2.8839499999999997e-05	0.00011535799999999999	3.6826091616000003	0.1300561844	9.5107580529	0.3906002757	13.193396054	0.5207718181000001	0.0001	0.249975	0.749925
MgMOF-74	0.00011535799999999999	7.064199999999999e-05	2.4862017971	0.1253564449	10.625085540299999	0.2100995748	13.111402695399999	0.3355266617	0.001	0.1665	0.8325
MgMOF-74	0.00018745669999999998	0.0001470531	3.0149374030000002	0.17987074390000002	10.3942448164	0.7578283459999999	13.409369676099999	0.937846143	0.001	0.1998	0.7992
MgMOF-74	0.0001586172	0.0002119261	3.6933669856	0.24849640679999999	9.3474462561	0.1564350183	13.0409718589	0.40514335119999995	0.001	0.24975	0.74925
MgMOF-74	0.00027397509999999996	0.0002307159	2.5161863704	0.1211050238	10.5539497269	0.304118169	13.0704100724	0.4254539087	0.002	0.16633333333333333	0.8316666666666667
MgMOF-74	0.0003172344	0.0002674464	3.0350797118	0.0999910851	10.1890530618	0.36314851090000005	13.224450008	0.4634070424	0.002	0.1996	0.7984
MgMOF-74	0.00033165410000000005	0.0002342931	3.7892718423000002	0.14504467869999998	9.9255499786	0.4016030711	13.715153475	0.5468820429	0.002	0.2495	0.7484999999999999
