MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
NIBHOW	0.0	0.0	2.2952601549000002	0.3273317207	9.1234728538	0.9074763687999999	11.418733008699999	1.2348080895	1e-06	0.1666665	0.8333325
NIBHOW	0.0	0.0	2.6906070061	0.25177152	8.7708035507	0.5303697625	11.4614105568	0.7821412825	1e-06	0.19999979999999998	0.7999991999999999
NIBHOW	0.0	0.0	3.5112796166000004	0.3102400591	8.4607826285	0.5918450304999999	11.9720622451	0.9020850895999999	1e-06	0.24999975	0.74999925
NIBHOW	0.0	0.0	2.2840180644	0.1955822221	8.8774245028	0.6888260192	11.1614425672	0.8844082413	1e-05	0.166665	0.8333250000000001
NIBHOW	0.0	0.0	2.7730490035	0.19935128629999999	8.8183728986	0.6009403221	11.5914219021	0.8002916084	1e-05	0.199998	0.799992
NIBHOW	0.0	0.0	3.4588165273	0.1596042552	8.4476600498	0.5603087568	11.906476577100001	0.719913012	1e-05	0.24999749999999998	0.7499925000000001
NIBHOW	0.0	0.0	2.3196180178	0.4567481215	9.2153309048	0.8303077718999999	11.5349489226	1.2870558934	0.0001	0.16665	0.8332499999999999
NIBHOW	0.0	0.0	2.8273857744999997	0.4155013401	8.7658825837	0.415153886	11.5932683582	0.8306552261	0.0001	0.19998	0.79992
NIBHOW	0.0	0.0	3.4700586179000004	0.18833997030000002	8.3213552296	0.23533909890000002	11.7914138475	0.42367906920000004	0.0001	0.249975	0.749925
NIBHOW	0.0008262755000000001	0.0016011636999999999	2.2933864732	0.1414102269	9.4072486185	0.3457930218	11.7014613672	0.4888044124	0.001	0.1665	0.8325
NIBHOW	0.0001180394	0.0004721574	2.7280806413	0.062029903600000005	8.9840454549	0.5296590421	11.712244135599999	0.5921611031	0.001	0.1998	0.7992
NIBHOW	0.0002360787	0.0005782723999999999	3.5075322531	0.3382190204	8.2672245924	0.5810539457	11.774992924200001	0.9198512385	0.001	0.24975	0.74925
NIBHOW	0.0003541181	0.0005782723999999999	2.2915127913999997	0.1636014968	8.8905470815	0.3236052922	11.182413990999999	0.4877850614	0.002	0.16633333333333333	0.8316666666666667
NIBHOW	0.0008262755000000001	0.0012037699	2.7899121393	0.5040726307	8.8462583783	0.4227578807	11.6369967931	0.9280342813	0.002	0.1996	0.7984
NIBHOW	0.0003541181	0.0005782723999999999	3.7192582919	0.2995547797	8.1573229956	0.8386908933	11.8769354056	1.1388239454	0.002	0.2495	0.7484999999999999
NIBHOW	0.0009443148	0.0019179123999999998	2.310249609	0.2078351456	9.0644212495	0.6777052839	11.3756151733	0.8874583419	0.003	0.16616666666666666	0.8308333333333333
NIBHOW	0.0007082361	0.0013765636	2.8142700022000002	0.43711031759999996	8.9676422315	0.9995258112000001	11.7826204698	1.4380126924	0.003	0.1994	0.7976
NIBHOW	0.0005901968	0.0007465464	3.2939325325	0.209852357	8.119595581799999	0.2974370767	11.4141183111	0.5080359801	0.003	0.24925	0.74775
NIBHOW	0.0014164722	0.002430579	2.3252390631	0.1897513327	9.0972276963	0.6802414963	11.423883231600001	0.872423408	0.004	0.166	0.8300000000000001
NIBHOW	0.0016525509	0.0013765636	2.8030279117	0.1419058829	8.7133922688	1.0669209309999999	11.5180727314	1.2102033775	0.004	0.1992	0.7968
NIBHOW	0.0015345116000000001	0.0009443148	3.5169006619	0.2064793898	8.2393391126	0.7906013354000001	11.757774286099998	0.99802504	0.004	0.249	0.747
NIBHOW	0.0015345116000000001	0.0012037699	2.3889442429	0.3053583949	9.2973470218	0.7933193073999999	11.6878257763	1.0998814722	0.005	0.16583333333333333	0.8291666666666666
NIBHOW	0.0015345116000000001	0.0009443148	2.8536173191	0.280827332	8.85445999	0.6734197481	11.7096118207	0.9551913948999999	0.005	0.19899999999999998	0.7959999999999999
NIBHOW	0.0016525509	0.0011565447	3.5187743436	0.3013309041	8.2754262041	0.3896930875	11.795853098599999	0.6921805363	0.005	0.24875	0.74625
NIBHOW	0.0018886296	0.0017348170999999999	2.2334286569	0.2928223519	9.4515373217	0.3854722598	11.686854608199999	0.6800294288	0.006	0.16566666666666666	0.8283333333333333
NIBHOW	0.0029509838	0.0016693285	2.7655542764999996	0.4614585662	8.6067713167	0.8761594105	11.375276577000001	1.3392873052	0.006	0.1988	0.7952
NIBHOW	0.002006669	0.0027531271	3.3838692569999997	0.217023795	8.1343584829	0.3908513315	11.5202344089	0.6106282536	0.006	0.2485	0.7455
NIBHOW	0.0031870625	0.0021893038	2.3121232908000002	0.2874498964	9.0365357698	0.6469111886	11.3518461231	0.9365503888	0.006999999999999999	0.1655	0.8275
NIBHOW	0.0027149051	0.0028525497999999996	2.7749226852999995	0.1690056792	8.7379971039	0.8895690516	11.515634694300001	1.0614272806	0.006999999999999999	0.1986	0.7944
NIBHOW	0.0021247083	0.0021893038	3.5881005687	0.3223603988	8.1999713765	0.6158880698	11.790196653499999	0.9404377723999999	0.006999999999999999	0.24825	0.74475
