MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
NU-100	0.0	0.0	2.6588504565999997	0.09651370529999999	9.9967163507	0.3273399235	12.6555668073	0.42385362880000005	1e-06	0.1666665	0.8333325
NU-100	0.0	0.0	3.2619939452999995	0.1763661329	9.6716350211	0.45538511719999997	12.9336289664	0.6317512501	1e-06	0.19999979999999998	0.7999991999999999
NU-100	0.0	0.0	3.9344691608	0.2882184028	8.836403151399999	0.3089773201	12.7708723122	0.5971957229	1e-06	0.24999975	0.74999925
NU-100	0.0	0.0	2.6713982231	0.29459580350000003	9.7228362615	0.8539272309999999	12.3942344846	1.1485230345	1e-05	0.166665	0.8333250000000001
NU-100	0.0	0.0	3.2145676413	0.3929142957	9.7677071666	0.6684256189	12.9822748079	1.0613399146	1e-05	0.199998	0.799992
NU-100	0.0	0.0	4.0584581078	0.23451145469999998	9.2242292737	0.5391354278	13.2826873815	0.7736468825	1e-05	0.24999749999999998	0.7499925000000001
NU-100	4.0194499999999996e-05	6.563729999999999e-05	2.7275441614	0.18410249350000002	10.1618636241	0.4553424863	12.88944798	0.6395106171	0.0001	0.16665	0.8332499999999999
NU-100	2.67963e-05	6.563729999999999e-05	3.1662906414	0.1695245321	9.4156288194	0.4497537238	12.5819462571	0.6193438932	0.0001	0.19998	0.79992
NU-100	1.33982e-05	5.3592700000000006e-05	3.9863616188999997	0.1350129919	9.0404633675	0.47101299490000004	13.0268383846	0.6060795795	0.0001	0.249975	0.749925
NU-100	0.0002813615	0.0001562481	2.6803305315	0.12461753269999999	9.8810946407	0.4103766314	12.561706533699999	0.5351504122	0.001	0.1665	0.8325
NU-100	0.0002545652	0.0001562481	3.2403011964	0.2962371071	9.6254608117	0.392058366	12.8660165733	0.6884517212000001	0.001	0.1998	0.7992
NU-100	0.0003885469	0.0003634832	4.1275771606000005	0.2001649989	8.9859107732	0.3683678512	13.1138764807	0.5688963333	0.001	0.24975	0.74925
NU-100	0.0006431119999999999	0.0004116531	2.7098922187	0.0655312089	10.000067704600001	0.44237025350000003	12.7106030353	0.5083131155	0.002	0.16633333333333333	0.8316666666666667
NU-100	0.0006297139	0.00032378130000000003	3.2564644211	0.2092375052	9.7230224478	0.7609229104	12.9801165828	0.9704841969	0.002	0.1996	0.7984
NU-100	0.0006699084	0.0007239971	4.087381773	0.10322382279999999	8.7485232043	0.5415834829	12.8365748857	0.6455313028	0.002	0.2495	0.7484999999999999
NU-100	0.0011656406	0.0005659041	2.7634860689	0.158543588	9.9777253452	0.2358298098	12.7423770547	0.3949393019	0.003	0.16616666666666666	0.8308333333333333
NU-100	0.0011388442	0.0002935391	3.1767116678	0.26351536940000003	9.8144399351	0.5025604618	12.9922904471	0.7663693703	0.003	0.1994	0.7976
NU-100	0.0009110753999999999	0.0003938241	3.9835968568	0.2599478487	8.944763594600001	0.5354747293	12.929271526800001	0.7958164020999999	0.003	0.24925	0.74775
NU-100	0.0010316589	0.0004838204	2.6758643773	0.062144495300000005	9.8794189638	0.6093780404	12.556315	0.6720063561	0.004	0.166	0.8300000000000001
