MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
RUTNOK	0.00017574470000000003	0.0007029786	2.3879482466999997	0.3187544205	9.0459773165	1.1857618443	11.434101307899999	1.5052192434	1e-06	0.1666665	0.8333325
RUTNOK	0.0	0.0	2.8147660992000003	0.2149305211	8.7577955337	0.6301491657	11.5725616329	0.8450796868000001	1e-06	0.19999979999999998	0.7999991999999999
RUTNOK	0.0	0.0	3.5261291867	0.40015810820000003	8.2180652457	0.5052500915	11.7441944324	0.9054081997	1e-06	0.24999975	0.74999925
RUTNOK	0.00017574470000000003	0.0007029786	2.3879482466999997	0.3187544205	9.0459773165	1.1857618443	11.434101307899999	1.5052192434	1e-05	0.166665	0.8333250000000001
RUTNOK	0.0	0.0	2.8147660992000003	0.2149305211	8.7577955337	0.6301491657	11.5725616329	0.8450796868000001	1e-05	0.199998	0.799992
RUTNOK	0.0	0.0	3.5261291867	0.4024850794	8.220507464199999	0.5190849097	11.7466366509	0.9215699891	1e-05	0.24999749999999998	0.7499925000000001
RUTNOK	0.00017574470000000003	0.0007029786	2.2679929025	0.4132463657	9.238912577799999	0.42960837840000005	11.507081225	0.8435577227	0.0001	0.16665	0.8332499999999999
RUTNOK	0.0	0.0	2.6808624591999997	0.23697329530000003	8.8237354331	0.6641038322999999	11.5045978923	0.9010771276	0.0001	0.19998	0.79992
RUTNOK	0.0	0.0	3.3559599775	0.41475017840000006	8.459844877	0.6044478448	11.8158048545	1.0191980232	0.0001	0.249975	0.749925
RUTNOK	0.0007029786	0.0013151526000000002	2.37678961	0.4298610422	9.3243902252	0.7403749619	11.701882813800001	1.1715511567	0.001	0.1665	0.8325
RUTNOK	0.0008787233	0.001571908	2.8817179192	0.46096110619999997	8.7431422227	0.6239856314	11.6257388652	1.0865186456	0.001	0.1998	0.7992
RUTNOK	0.0003514893	0.0008609695	3.5847120292000003	0.31413098230000003	8.2229496826	0.8848248956	11.8080132011	1.1998168474	0.001	0.24975	0.74925
RUTNOK	0.0012302126	0.0008609695	2.3237860858	0.35924918380000004	9.2193748298	0.7290748301000001	11.5443911282	1.0891849834	0.002	0.16633333333333333	0.8316666666666667
RUTNOK	0.000527234	0.0008609695	2.9486697392	0.5683241653	8.9385197026	1.0701265294	11.887716675799998	1.6393116641999999	0.002	0.1996	0.7984
RUTNOK	0.0003514893	0.0014059573	3.5623947558999998	0.44794664869999995	8.5282269949	0.6148573059	12.0909732401	1.0642099119	0.002	0.2495	0.7484999999999999
RUTNOK	0.0014059573	0.0014059573	2.2958894942	0.31982685	9.4220789651	0.5380867474000001	11.719374416600001	0.8593195547	0.003	0.16616666666666666	0.8308333333333333
RUTNOK	0.0007029786	0.0013151526000000002	2.9235628067	0.3246568855	8.9360774841	0.6561164422	11.860343269400001	0.9820884803000001	0.003	0.1994	0.7976
RUTNOK	0.0008787233	0.0011115068	3.3085357717000003	0.27525893690000003	8.2595829601	0.8658827048000001	11.5689974551	1.1422531485	0.003	0.24925	0.74775
RUTNOK	0.0015817019000000001	0.0013151526000000002	2.2875205167	0.34029268310000005	9.4318478391	0.6723157394	11.7209500577	1.0139235751	0.004	0.166	0.8300000000000001
RUTNOK	0.0017574466	0.0024854048	2.8398730317000003	0.4381097329	8.6796445418	0.9422533468000001	11.5212750201	1.3828484845	0.004	0.1992	0.7968
RUTNOK	0.0012302126	0.0017922508999999999	3.3671186142000002	0.2765001189	8.4525182215	0.8896382194	11.820867048299998	1.1679305892	0.004	0.249	0.747
RUTNOK	0.0015817019000000001	0.0023315163	2.2819411983	0.43881968270000005	9.3048524772	0.5183029817	11.5883753774	0.9594541806999999	0.005	0.16583333333333333	0.8291666666666666
RUTNOK	0.0019331912	0.0017219389000000002	2.81197644	0.2263581087	8.8799064586	0.4380770914	11.6938160898	0.666157139	0.005	0.19899999999999998	0.7959999999999999
RUTNOK	0.0021089359	0.0017922508999999999	3.3252737267000003	0.5669531878	8.5306692134	1.2024646636	11.858051876	1.7712101023	0.005	0.24875	0.74625
RUTNOK	0.0038663824	0.0030642128000000005	2.1870927867	0.37609737530000004	9.028881787000001	0.5670156073	11.219840956099999	0.9461771954000001	0.006	0.16566666666666666	0.8283333333333333
RUTNOK	0.0024604252	0.0034078153000000003	2.6334382533	0.45099394	8.970268543	0.6610431808	11.606167221500002	1.1154449361	0.006	0.1988	0.7952
RUTNOK	0.0021089359	0.0023839165	3.44801873	0.5202246889	8.3597139185	0.5492766037	11.8098415844	1.0718852091	0.006	0.2485	0.7455
RUTNOK	0.0040421271	0.0037856558	2.259623925	0.3347591	9.2218170483	0.6861547497	11.4854831004	1.0246995054999999	0.006999999999999999	0.1655	0.8275
RUTNOK	0.0038663824	0.0023839165	2.8733489417	0.3421173219	8.6332423903	1.3175310448	11.510457714400001	1.6620322831999998	0.006999999999999999	0.1986	0.7944
RUTNOK	0.0035148931	0.003686451	3.3392220225	0.3455575932	8.3279650781	0.41732647990000005	11.670701993699998	0.7665705240999999	0.006999999999999999	0.24825	0.74475
RUTNOK	0.0031634038000000002	0.0049208504	2.3126274492	0.1943974145	8.9775951985	0.4637386452	11.2933860515	0.6630569101	0.008	0.16533333333333333	0.8266666666666667
RUTNOK	0.0028119145	0.0023315163	2.7310763242	0.28030175469999996	8.5868402388	0.6626292829	11.3207284775	0.9452625539	0.008	0.1984	0.7936
RUTNOK	0.0033391485	0.004068783	3.598660325	0.6769164158	8.037341076799999	0.5461840262	11.6393405503	1.227169225	0.008	0.248	0.7440000000000001
RUTNOK	0.0021089359	0.0023839165	2.2735722208	0.1842020207	9.3024102587	0.5944983891	11.5780914154	0.7810843262999999	0.009000000000000001	0.16516666666666666	0.8258333333333333
