MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
SAPBIW	0.0	0.0	1.943593815	0.10365467800000001	7.4162160324	0.4474250868	9.3598098474	0.5510797648	1e-06	0.1666665	0.8333325
SAPBIW	0.0	0.0	2.262043174	0.1304487466	7.0984901125	0.2870027791	9.360533286499999	0.4174515257	1e-06	0.19999979999999998	0.7999991999999999
SAPBIW	0.0	0.0	2.8610437865	0.1799005339	6.726849859600001	0.272318179	9.5878936461	0.4522187129	1e-06	0.24999975	0.74999925
SAPBIW	0.0	0.0	1.9306979319	0.1263862204	7.3970925723	0.39440278759999997	9.3277905042	0.5207890079999999	1e-05	0.166665	0.8333250000000001
SAPBIW	0.0	0.0	2.2473050219	0.0746693135	6.9431984011	0.2028856253	9.190503423	0.2775549388	1e-05	0.199998	0.799992
SAPBIW	0.0	0.0	2.8105129791000003	0.1649909504	6.5883775769	0.38785819990000003	9.398890556	0.5528491503	1e-05	0.24999749999999998	0.7499925000000001
SAPBIW	1.65801e-05	6.63202e-05	1.9385933705	0.0338431081	7.449624486599999	0.4408801119	9.3882344372	0.4747895402	0.0001	0.16665	0.8332499999999999
SAPBIW	3.31601e-05	8.12254e-05	2.2759917822999998	0.1995990211	7.1526348487	0.4121483797	9.4286597911	0.6118286262	0.0001	0.19998	0.79992
SAPBIW	1.65801e-05	6.63202e-05	2.8239352248	0.1667913362	6.5667196824000005	0.4523075814	9.3906714873	0.6191652378	0.0001	0.249975	0.749925
SAPBIW	0.00033160110000000003	0.000432355	1.9035902591999998	0.15583888369999999	7.6422415053999995	0.2707698555	9.5461633657	0.4270410942	0.001	0.1665	0.8325
SAPBIW	0.0002155407	0.0001690841	2.2833608584	0.1544889855	6.992043865199999	0.2646432487	9.275620264299999	0.4193013183	0.001	0.1998	0.7992
SAPBIW	0.00039792129999999997	0.0004374119	2.8389365582	0.1261141008	6.5307767937	0.1581042346	9.370111273200001	0.2846557473	0.001	0.24975	0.74925
SAPBIW	0.0005139817	0.00038385599999999997	1.9075379785	0.1145924091	7.4841849565	0.455715264	9.3922369167	0.5706915291	0.002	0.16633333333333333	0.8316666666666667
SAPBIW	0.0006466222	0.0002852541	2.272044063	0.056460820999999994	6.9796020961	0.5022441617	9.2522927813	0.5589902368	0.002	0.1996	0.7984
SAPBIW	0.0004974017	0.0001816254	2.8926255411	0.177528606	6.7291538909	0.2594277886	9.6222768337	0.43713802	0.002	0.2495	0.7484999999999999
SAPBIW	0.0007129424000000001	0.000269394	1.8735875922999998	0.112884833	7.584179916	0.38442567619999995	9.4584804507	0.4975799032	0.003	0.16616666666666666	0.8308333333333333
SAPBIW	0.0008455829	0.0005072522	2.3196798762	0.0704500473	7.0466494076999995	0.576772999	9.3671748668	0.6477302985	0.003	0.1994	0.7976
SAPBIW	0.0009284831	0.00046186690000000005	2.7815630374	0.2831096792	6.5826174986	0.482156197	9.3651090191	0.7657277431	0.003	0.24925	0.74775
SAPBIW	0.0011274438	0.000589467	1.9420147273	0.0832818048	7.3065441412	0.42559793240000005	9.2496863123	0.5094692042	0.004	0.166	0.8300000000000001
SAPBIW	0.0010113834	0.0006582094	2.2744126946	0.1698088421	6.962552264299999	0.3865376336	9.2379763423	0.5570046851	0.004	0.1992	0.7968
SAPBIW	0.0011108638	0.0002249028	2.8060388972	0.21594084859999998	6.719016153099999	0.42606666600000004	9.5261659141	0.6422324174	0.004	0.249	0.747
SAPBIW	0.0012600843	0.0003381681	1.8630603408000002	0.09048844789999999	7.4187504668	0.6580636153	9.283070891900001	0.7488902313	0.005	0.16583333333333333	0.8291666666666666
SAPBIW	0.001492205	0.0006023833000000001	2.2888876654	0.1031267743	6.987666205700001	0.4732226826	9.2780460761	0.5769518402	0.005	0.19899999999999998	0.7959999999999999
SAPBIW	0.0015419452	0.0008163047	2.7676144291000004	0.056382253099999995	6.4927602769	0.5551137823	9.2619166512	0.6123123401	0.005	0.24875	0.74625
SAPBIW	0.0018569663000000001	0.0006514928	1.8980634521000002	0.1527685204	7.372439437200001	0.3646593808	9.2723598556	0.518079394	0.006	0.16566666666666666	0.8283333333333333
SAPBIW	0.0018901264000000001	0.00046186690000000005	2.2886244841	0.0707247993	7.1579341207	0.6069478021	9.4484487312	0.6781344683	0.006	0.1988	0.7952
SAPBIW	0.0018569663000000001	0.0005305618	2.9294709214999997	0.125704817	6.6300805439	0.2427858729	9.5614084317	0.3690212517	0.006	0.2485	0.7455
