MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
UIO-66	0.0	0.0	2.1547778289	0.1659583917	8.3308372028	0.371443333	10.4856150317	0.5374017247	1e-06	0.1666665	0.8333325
UIO-66	0.0	0.0	2.5777866963	0.0778914136	8.0390458469	0.49865137159999995	10.616832543200001	0.5765427852	1e-06	0.19999979999999998	0.7999991999999999
UIO-66	0.0	0.0	3.2083266482	0.057126489800000006	7.3408069261	0.328379226	10.549133574299999	0.3855057158	1e-06	0.24999975	0.74999925
UIO-66	0.0	0.0	2.1868702646	0.1314652534	8.330970990700001	0.5646019529999999	10.5178412553	0.6960672064	1e-05	0.166665	0.8333250000000001
UIO-66	0.0	0.0	2.5864975003	0.1622036225	8.172699934299999	0.5361069637	10.7591974346	0.6983105862000001	1e-05	0.199998	0.799992
UIO-66	0.0	0.0	3.2275821095999997	0.1853613756	7.5434955571	0.2890058418	10.7710776667	0.47436721740000004	1e-05	0.24999749999999998	0.7499925000000001
UIO-66	0.0	0.0	2.1417880335	0.0420188617	8.3618759899	0.3391615258	10.5036640234	0.3811803875	0.0001	0.16665	0.8332499999999999
UIO-66	9.6275e-06	3.85101e-05	2.6152278713	0.11899496960000001	8.1335000869	0.4749717543	10.748737585699999	0.5940052339999999	0.0001	0.19998	0.79992
UIO-66	1.9255e-05	4.7165e-05	3.1901409345999996	0.1643974603	7.6328658577	0.6021070372999999	10.8230260473	0.7665516626000001	0.0001	0.249975	0.749925
UIO-66	6.73926e-05	9.81818e-05	2.1540137233000003	0.200783926	8.436128260599999	0.3957990776	10.590209376499999	0.5966811854	0.001	0.1665	0.8325
UIO-66	7.70201e-05	9.81818e-05	2.5629630474000002	0.1136454974	8.1385840261	0.32540181739999996	10.7016240936	0.43914549659999996	0.001	0.1998	0.7992
UIO-66	6.73926e-05	0.0001785639	3.3073547356999997	0.149663617	7.5881807074	0.5517315948	10.8956028357	0.7015737756999999	0.001	0.24975	0.74925
