MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
VETTIZ	0.0	0.0	5.4276002497	0.1535523436	19.780873734300002	1.5680771997	25.208473984	1.7216295433000002	1e-06	0.1666665	0.8333325
VETTIZ	0.0	0.0	6.6217170560000005	0.4345625943	18.8353827074	0.3335205206	25.457099763400002	0.7680831148999999	1e-06	0.19999979999999998	0.7999991999999999
VETTIZ	0.0	0.0	8.3431546507	0.4960794736	18.2457567425	1.0106523799	26.5889113932	1.5067318535	1e-06	0.24999975	0.74999925
VETTIZ	0.0	0.0	5.4134289696	0.5405399041	20.3829060041	1.6642622112999998	25.7963349737	2.2048021153999997	1e-05	0.166665	0.8333250000000001
VETTIZ	0.0	0.0	6.6217170560000005	0.4345625943	18.8353827074	0.3335205206	25.457099763400002	0.7680831148999999	1e-05	0.199998	0.799992
VETTIZ	0.0	0.0	8.3573259307	0.4946779895	17.9911010101	0.7012547418	26.3484269408	1.1959327312999999	1e-05	0.24999749999999998	0.7499925000000001
VETTIZ	0.0	0.0	5.549920772	0.2632103333	19.6417925266	0.9694552042	25.1917132986	1.2326655375	0.0001	0.16665	0.8332499999999999
VETTIZ	0.0	0.0	6.6806397466	0.4073935351	18.394632401400003	1.1629745885	25.075272148000003	1.5703681236000002	0.0001	0.19998	0.79992
VETTIZ	0.0	0.0	8.1372981619	0.4407755222	17.8794442659	1.3025047385	26.0167424278	1.7432802607	0.0001	0.249975	0.749925
VETTIZ	0.0002349397	0.0002971779	5.6603075848	0.2408736564	20.0962550644	0.7927589012	25.7567975889	1.0339297355	0.001	0.1665	0.8325
VETTIZ	0.0001879518	0.0005479689	6.5419103737999995	0.6543065028	19.3662419649	1.2277754304000001	25.908340290500004	1.8826299021000001	0.001	0.1998	0.7992
VETTIZ	0.0004228915	0.0007518071000000001	8.1954749957	1.0294618663	17.635888911600002	1.4363200513999999	25.8317867988	2.4665337248	0.001	0.24975	0.74925
VETTIZ	0.0003759036	0.0008714966	5.5126279298	0.5677220070000001	19.5079350262	0.6678050664	25.0209388596	1.23639857	0.002	0.16633333333333333	0.8316666666666667
VETTIZ	0.0001409638	0.0003759036	6.4173522809	0.8321222329000001	19.0985269642	1.2959598363	25.5160202089	2.1284579728	0.002	0.1996	0.7984
VETTIZ	0.0005168674	0.0005479689	8.0358616312	0.3809101926	18.0433380834	0.5092880245	26.079716582	0.890746186	0.002	0.2495	0.7484999999999999
VETTIZ	0.0007048191999999999	0.0008405458999999999	5.4037328307	0.2928473711	19.448515355399998	1.0545227772	24.8529530053	1.3482106941999998	0.003	0.16616666666666666	0.8308333333333333
VETTIZ	0.0006108433	0.0004791849	6.6798938898	0.38035481460000004	19.244137805999998	1.1016682966	25.9246425391	1.4825022961	0.003	0.1994	0.7976
VETTIZ	0.0006108433	0.0007032512	8.170115863	0.3513104498	17.779540863199998	0.8451617040999999	25.9502675695	1.1971754051	0.003	0.24925	0.74775
VETTIZ	0.0009867469	0.0003516256	5.4186499675999995	0.2683012012	19.1768825742	0.861292161	24.596519288699998	1.1299449878	0.004	0.166	0.8300000000000001
VETTIZ	0.0007987951	0.0008714966	6.4016892872	0.3934449639	19.2480555865	0.9962912297	25.6505436688	1.3906076902000002	0.004	0.1992	0.7968
VETTIZ	0.0008927710000000001	0.0003516256	8.1917457114	0.4725131139	17.9264576319	1.1828150678	26.1190961143	1.6556798072999999	0.004	0.249	0.747
VETTIZ	0.0010807228	0.0008192628	5.3224344347	0.2888074813	19.4406797944	1.2991812761	24.764194951900002	1.5888080202000001	0.005	0.16583333333333333	0.8291666666666666
VETTIZ	0.0010337348	0.0014127673999999998	6.619479485499999	0.45897778219999996	19.298986733	0.45605463090000004	25.9194999533	0.9164451805	0.005	0.19899999999999998	0.7959999999999999
VETTIZ	0.0012216866	0.0010464712	8.3916353455	0.7159977073999999	18.2359622912	0.48866099909999994	26.6288193233	1.2057051776999999	0.005	0.24875	0.74625
VETTIZ	0.0016445780999999999	0.0012953683	5.574534047799999	0.47349633630000004	20.0126757471	1.39759433	25.588854373	1.8723860346	0.006	0.16566666666666666	0.8283333333333333
VETTIZ	0.0013626504000000001	0.001274751	6.5530982263999995	0.3219959967	19.304863403800002	1.4857579565	25.8593242806	1.8090287042	0.006	0.1988	0.7952
VETTIZ	0.0016445780999999999	0.0010294542999999998	8.3006408106	0.3917956962	17.5607981187	0.6034512534	25.8630835074	0.9962764039	0.006	0.2485	0.7455
VETTIZ	0.0019734937	0.0014739542999999999	5.501440077200001	0.5742884589	19.816133758699998	0.9926641842	25.3195473296	1.5684265974	0.006999999999999999	0.1655	0.8275
VETTIZ	0.001738554	0.0010121513	6.6060540623	0.1251262387	18.459928743	0.9369094448	25.0677213593	1.0630478348	0.006999999999999999	0.1986	0.7944
VETTIZ	0.0014096383999999999	0.0011509649	8.0873257534	0.8421063981999999	16.938523983	1.1841192254000001	25.0272593748	2.0273765885	0.006999999999999999	0.24825	0.74475
VETTIZ	0.0011277107	0.0013747488000000001	5.3492852811	0.09991141490000001	19.6163269533	0.7798756248000001	24.966739945100002	0.8811617884999999	0.008	0.16533333333333333	0.8266666666666667
VETTIZ	0.0013626504000000001	0.0007518071000000001	6.5911369254	0.40484570810000003	19.8735945394	0.4099736771	26.4660941152	0.8155711923000001	0.008	0.1984	0.7936
VETTIZ	0.0015506022	0.0004791849	8.368513783300001	0.3456465103	17.6071585213	1.4390578944999999	25.977222906799998	1.7851835897	0.008	0.248	0.7440000000000001
VETTIZ	0.0023024094	0.0008084111999999999	5.5767716184000005	0.4621328039	19.612409172899998	1.4348885559	25.191483200700002	1.8978297709999998	0.009000000000000001	0.16516666666666666	0.8258333333333333
VETTIZ	0.0022554214	0.001135515	6.5568275106	0.34495052509999996	18.8301590001	0.9528488209	25.3892419321	1.298934861	0.009000000000000001	0.1982	0.7928
VETTIZ	0.0031481924	0.0015327004	8.189508140900001	0.48824862280000003	17.8846679732	0.5070966189	26.0773243065	0.9968779420999999	0.009000000000000001	0.24775	0.74325
VETTIZ	0.0021144576	0.0012252957	5.708042422799999	0.7093502477	19.368853818599998	2.1565775367	25.079010699	2.8671530801	0.01	0.165	0.8250000000000001
VETTIZ	0.0023024094	0.0017174720999999999	6.427794276699999	0.1445192668	19.010376903	1.0406557204	25.440473589099998	1.1868924593	0.01	0.198	0.792
VETTIZ	0.0022554214	0.001135515	8.2499225452	0.2971993855	17.6274003872	0.8617474637	25.8795783538	1.1600823642	0.01	0.2475	0.7424999999999999
VETTIZ	0.002584337	0.00107149	5.326163719	0.3171216301	19.3120460013	1.2942413554	24.6407940573	1.6124344755000002	0.012	0.16466666666666666	0.8233333333333333
VETTIZ	0.0032891561999999997	0.0006645099000000001	6.6493137592	0.5314982356	18.8719486587	0.7248846831999999	25.5245515741	1.2570474287	0.012	0.1976	0.7904
VETTIZ	0.0031012045	0.0013747488000000001	8.098513606000001	0.7304920554000001	17.5451269968	1.666646111	25.6467418073	2.3985129152	0.012	0.247	0.741
VETTIZ	0.0031481924	0.001135515	5.3194510074	0.3177945382	19.6176328802	1.2514118403	24.94023208	1.5703418935	0.013999999999999999	0.16433333333333333	0.8216666666666667
VETTIZ	0.0028662646999999997	0.0011277107	6.6485679024	0.4855613978	18.954222049200002	0.33617407880000005	25.6056562163	0.8228631873000001	0.013999999999999999	0.1972	0.7888
VETTIZ	0.0029602406	0.0013488077999999999	7.894148830900001	0.7243710055	17.3733976183	0.5013398512	25.2705066898	1.2270596645	0.013999999999999999	0.2465	0.7395
VETTIZ	0.004369879	0.0020717369	5.446246670800001	0.372349187	19.7534492708	1.2210143523	25.2040658206	1.5954352762000001	0.016	0.16399999999999998	0.8200000000000001
VETTIZ	0.0032891561999999997	0.0018319273999999998	6.6366341929	0.35837160100000004	18.9894820737	0.8625604715	25.6294054228	1.2227639999	0.016	0.1968	0.7872
VETTIZ	0.0036650598	0.0017226066	8.4393701835	0.2878273059	17.6724548629	1.0926245828	26.1154901062	1.3821744953	0.016	0.24600000000000002	0.738
VETTIZ	0.0048397585	0.0024970014999999997	5.3440642832	0.22065264269999998	19.192553696199997	1.4451341721000002	24.5414577379	1.6682838163	0.018000000000000002	0.16366666666666665	0.8183333333333332
VETTIZ	0.0042759031	0.000690579	6.5993413507000005	0.7198442106	18.5892154995	0.7483701423000001	25.1928327533	1.4689049319	0.018000000000000002	0.1964	0.7856
VETTIZ	0.0045578308	0.001135515	8.0477953407	0.360056549	17.2552112399	0.6883163609999999	25.307564411399998	1.049508425	0.018000000000000002	0.2455	0.7364999999999999
VETTIZ	0.0045578308	0.0010121513	5.3671858454	0.2198140213	19.3740775259	0.33642256880000004	24.7458212021	0.5572487414	0.02	0.16333333333333333	0.8166666666666667
VETTIZ	0.0046518066999999995	0.0031924151	6.480004255800001	0.4400074968	18.913085354	1.656587619	25.3977414165	2.0997875309	0.02	0.196	0.784
VETTIZ	0.0046048187	0.0014739542999999999	8.182795429299999	0.49574294020000004	17.2486816057	0.7573857744	25.4360818537	1.2546026689	0.02	0.245	0.735
VETTIZ	0.005826505300000001	0.0020023703	5.430583677	0.428654252	18.9483453784	1.646153796	24.3847555607	2.0768104183	0.03	0.16166666666666665	0.8083333333333332
VETTIZ	0.0062963848	0.0015555777999999999	6.426302562999999	0.3174372334	18.7779219268	1.2521557171	25.2105208746	1.5711485283000002	0.03	0.19399999999999998	0.7759999999999999
VETTIZ	0.0066722883999999994	0.0021139354	8.074646187	0.4617667123	17.4295524721	1.2128861809	25.5108709475	1.6767668286000001	0.03	0.2425	0.7275
VETTIZ	0.0085518062	0.0015036143	5.3149758663	0.2350762818	19.3864838308	1.0323349547	24.7100115033	1.2689148507999999	0.04	0.16	0.8
VETTIZ	0.0100554205	0.0016652570999999999	6.3867721503	0.372349187	18.3332538403	1.3990225385	24.730081411100002	1.7730369825999999	0.04	0.192	0.768
VETTIZ	0.009021685699999999	0.0015036143	7.7069387632	0.21609778170000002	17.1056826176	0.34265589009999997	24.821643066500002	0.5602572861	0.04	0.24	0.72
VETTIZ	0.010619275800000001	0.0029777163	5.302296299999999	0.3508984965	19.2780919037	1.2778906115000002	24.591007479499996	1.6317668243	0.05	0.15833333333333333	0.7916666666666666
VETTIZ	0.0101963843	0.0016439067000000001	6.0339818634	0.18141348300000001	17.8500609122	0.8596986862999999	23.894239159899996	1.0427560759999999	0.05	0.19	0.76
