MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
XAFFAN	0.0	0.0	2.6039962429	0.14748455900000002	10.240858448200001	0.3464170383	12.844854691099998	0.4939015973	1e-06	0.1666665	0.8333325
XAFFAN	0.0	0.0	3.0531571669	0.2169921005	9.843767323	0.7932805261	12.8969244899	1.0102726266	1e-06	0.19999979999999998	0.7999991999999999
XAFFAN	0.0	0.0	3.85356067	0.1868899812	9.500875265	0.3072579287	13.354435935	0.4941479099	1e-06	0.24999975	0.74999925
XAFFAN	0.0	0.0	2.6324241495	0.2024932732	10.2441767584	0.4635431177	12.8766009079	0.6660363909	1e-05	0.166665	0.8333250000000001
XAFFAN	0.0	0.0	3.1043273987999997	0.0454495408	9.8266227201	0.6082120609	12.9309501189	0.6536616017	1e-05	0.199998	0.799992
XAFFAN	0.0	0.0	3.7809115754000002	0.2086435341	9.271911858500001	0.6167158908	13.0528234339	0.8253594248999999	1e-05	0.24999749999999998	0.7499925000000001
XAFFAN	7.95964e-05	0.0001949705	2.6463222372	0.0250790148	10.4128575289	0.5456869011	13.0592593625	0.5709608864	0.0001	0.16665	0.8332499999999999
XAFFAN	3.97982e-05	0.0001591928	3.1321235741000004	0.2169921005	9.806712858600001	0.7624944555	12.938876230899998	0.9796457488	0.0001	0.19998	0.79992
XAFFAN	3.97982e-05	0.0001591928	3.7891240818000003	0.13505462810000002	9.2774423756	0.6397065678	13.0666062556	0.7749203887	0.0001	0.249975	0.749925
XAFFAN	0.00023878919999999998	0.0004641227	2.611577018	0.17385354390000002	10.2961636188	0.2962334103	12.907979425999999	0.4705510769	0.001	0.1665	0.8325
XAFFAN	0.0003581837	0.0005279827	2.9956696225	0.270970738	10.0926405909	0.4838794736	13.088668397100001	0.7553781943000001	0.001	0.1998	0.7992
XAFFAN	0.0003183855	0.0001949705	3.9281049583999996	0.1594467668	9.541248039500001	0.6408397008	13.4696713834	0.8004814381	0.001	0.24975	0.74925
XAFFAN	0.0005173765	0.0003183855	2.6842261125999998	0.1710767436	10.4947091814	0.4570951443	13.1794526705	0.6284902734000001	0.002	0.16633333333333333	0.8316666666666667
XAFFAN	0.0003581837	0.0003899411	3.0664235232999997	0.19910662	9.890776718	1.0569129215000002	12.957558425	1.2564094826	0.002	0.1996	0.7984
XAFFAN	0.0003183855	0.000539849	3.9527424775	0.343062065	9.3222395638	0.3774293257	13.275300426800001	0.7210312396999999	0.002	0.2495	0.7484999999999999
XAFFAN	0.0007959639	0.0005034117	2.5086048231	0.1413949475	10.3293467212	0.9373637463	12.838747508199999	1.0792621055	0.003	0.16616666666666666	0.8308333333333333
XAFFAN	0.0006765692999999999	0.000539849	3.190874581	0.0852626594	9.9112396311	0.3528695261	13.102790781400001	0.43867203450000003	0.003	0.1994	0.7976
XAFFAN	0.0013133404	0.0003183855	3.9148386019999997	0.23026929289999998	9.4870489723	0.8460020944	13.403200914700001	1.0765897728	0.003	0.24925	0.74775
XAFFAN	0.0014327348999999998	0.0016389898999999999	2.6298972245	0.14791687580000001	10.5876218681	0.5796594008	13.2189518275	0.7292152665	0.004	0.166	0.8300000000000001
XAFFAN	0.0012735422	0.0007381464999999999	3.0392590793000003	0.106115809	9.8830339941	0.9828523978	12.923566615599999	1.0897063533	0.004	0.1992	0.7968
XAFFAN	0.0007561657000000001	0.0008117269999999999	3.8377673886	0.19061123289999998	9.1911663094	0.6428202563000001	13.029689863699998	0.8342432162000001	0.004	0.249	0.747
XAFFAN	0.0016715241	0.0008194949	2.6153674056	0.1415416404	10.2076753458	0.8594046267000001	12.8247142755	1.001765762	0.005	0.16583333333333333	0.8291666666666666
XAFFAN	0.0014327348999999998	0.0007295129	3.1782399558999996	0.20205132	10.0644349538	0.3037779666	13.2441076446	0.5065587995	0.005	0.19899999999999998	0.7959999999999999
XAFFAN	0.0014327348999999998	0.0010193311	3.8971501268	0.1472028722	9.3615062349	0.5433051157	13.260089096600002	0.6915273190000001	0.005	0.24875	0.74625
