MOF	hydrogen_mass	hydrogen_error	O2_mass	O2_error	N2_mass	N2_error	total_mass	total_mass_error	hydrogen_comp	O2_comp	N2_comp
YEQRIV	0.0	0.0	0.6142629874000001	0.1272011823	5.0392314913	0.7307840486	5.6534944787	0.8579852309	1e-06	0.1666665	0.8333325
YEQRIV	0.0	0.0	0.7652477973	0.0931821889	5.0748184865	0.9415969348000001	5.8400662838	1.0347791237000001	1e-06	0.19999979999999998	0.7999991999999999
YEQRIV	0.0	0.0	0.8826804272	0.08652877310000001	4.2201657294	0.6505551174	5.1028461566	0.7370838905	1e-06	0.24999975	0.74999925
YEQRIV	0.0	0.0	0.5936154920000001	0.0380633511	4.7641383699	1.0107999958	5.3577538619	1.0488633469	1e-05	0.166665	0.8333250000000001
YEQRIV	0.0	0.0	0.7652477973	0.0931821889	5.0748184865	0.9415969348000001	5.8400662838	1.0347791237000001	1e-05	0.199998	0.799992
YEQRIV	0.0	0.0	0.8826804272	0.08652877310000001	4.2201657294	0.6505551174	5.1028461566	0.7370838905	1e-05	0.24999749999999998	0.7499925000000001
YEQRIV	8.12977e-05	0.0001991379	0.6078106450999999	0.0723813625	5.2815619823	0.9296717206999999	5.8894539251	1.0022522211	0.0001	0.16665	0.8332499999999999
YEQRIV	0.0	0.0	0.6633007889	0.0615649489	4.679407428999999	0.7292367442000001	5.3427082179	0.7908016931	0.0001	0.19998	0.79992
YEQRIV	0.0	0.0	0.9446229133	0.1228591039	4.3495216325	0.33278639600000004	5.2941445458	0.45564549990000003	0.0001	0.249975	0.749925
YEQRIV	0.0001219466	0.0004877863	0.5613537805	0.034385597000000004	4.5822492833999995	1.0294309909000001	5.1437250105	1.0643043742	0.001	0.1665	0.8325
YEQRIV	4.0648899999999996e-05	0.0001625954	0.6826578158	0.1020694477	4.8138471885000005	0.7028308828000001	5.4965456532	0.8050629259000001	0.001	0.1998	0.7992
YEQRIV	8.12977e-05	0.0001991379	0.8613876976	0.038928537799999996	4.3981007052	0.1687977963	5.2595697005	0.207925472	0.001	0.24975	0.74925
YEQRIV	0.00040648860000000003	0.0007712578999999999	0.5781298705	0.0607206208	4.658507130199999	0.5980572071	5.2370434893	0.6595490857999999	0.002	0.16633333333333333	0.8316666666666667
YEQRIV	0.0002438932	0.0001625954	0.7194361669	0.0985329924	4.4619313474	0.45299006189999996	5.1816114075	0.5516856497	0.002	0.1996	0.7984
