Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	AXUHEH	2.6994644673	0.0	0.0	1.0
1	AXUHEH	3.0812760971	0.0	0.01	0.99
2	AXUHEH	3.4908308024	0.0	0.02	0.98
3	AXUHEH	3.4114484248	0.0	0.03	0.97
4	AXUHEH	3.1056009629	0.0	0.04	0.96
5	AXUHEH	3.2944894586	0.0	0.05	0.95
6	AXUHEH	3.2800654678	0.0	0.06	0.94
7	AXUHEH	3.4159651406	0.0	0.07	0.93
8	AXUHEH	3.3271658481	0.0	0.08	0.92
9	AXUHEH	3.4306179397	0.0	0.09	0.91
10	AXUHEH	3.3508742849	0.0	0.1	0.9
11	AXUHEH	3.4747535897	0.0	0.11	0.89
12	AXUHEH	3.318126768	0.0	0.12	0.88
13	AXUHEH	3.2896005484	0.0	0.13	0.87
14	AXUHEH	3.544770608	0.0	0.14	0.86
15	AXUHEH	3.5725136833	0.0	0.15	0.85
16	AXUHEH	3.3512950207	0.0	0.16	0.84
17	AXUHEH	3.3681365574	0.0	0.17	0.83
18	AXUHEH	3.4224432887	0.0	0.18	0.82
19	AXUHEH	3.3366087266	0.0	0.19	0.81
20	AXUHEH	3.7407179312	0.0	0.2	0.8
21	AXUHEH	3.5402587811	0.0	0.21	0.79
22	AXUHEH	3.2559381699	0.0	0.22	0.78
23	AXUHEH	3.5839481033	0.0	0.23	0.77
24	AXUHEH	3.393729279	0.0	0.24	0.76
25	AXUHEH	3.2544219339	0.0	0.25	0.75
26	AXUHEH	3.5753290074	0.0	0.26	0.74
27	AXUHEH	3.3648417823	0.0	0.27	0.73
28	AXUHEH	3.7976454248	0.0	0.28	0.72
29	AXUHEH	3.4609279591	0.0	0.29	0.71
30	AXUHEH	3.6342025071	0.0	0.3	0.7
31	AXUHEH	9.7072242437	0.01	0.0	0.99
32	AXUHEH	9.1479103076	0.01	0.01	0.98
33	AXUHEH	9.4141984816	0.01	0.02	0.97
34	AXUHEH	8.7231075879	0.01	0.03	0.96
35	AXUHEH	10.0055050737	0.01	0.04	0.95
36	AXUHEH	9.3580538866	0.01	0.05	0.94
37	AXUHEH	8.990914459	0.01	0.06	0.93
38	AXUHEH	9.7136102477	0.01	0.07	0.92
39	AXUHEH	8.9744831225	0.01	0.08	0.91
40	AXUHEH	10.3052842686	0.01	0.09	0.9
41	AXUHEH	9.9557294855	0.01	0.1	0.89
