Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	EDUVOO	1.1264636394	0.0	0.0	1.0
1	EDUVOO	1.2063707016	0.0	0.01	0.99
2	EDUVOO	1.1383815172	0.0	0.02	0.98
3	EDUVOO	1.221895694	0.0	0.03	0.97
4	EDUVOO	1.1395711699	0.0	0.04	0.96
5	EDUVOO	1.1435085166	0.0	0.05	0.95
6	EDUVOO	1.1850941296	0.0	0.06	0.94
7	EDUVOO	1.1555354119	0.0	0.07	0.93
8	EDUVOO	1.1395457321	0.0	0.08	0.92
9	EDUVOO	1.1347108083	0.0	0.09	0.91
10	EDUVOO	1.1362434118	0.0	0.1	0.9
11	EDUVOO	1.1919526892	0.0	0.11	0.89
12	EDUVOO	1.2012509687	0.0	0.12	0.88
13	EDUVOO	1.1481549302	0.0	0.13	0.87
14	EDUVOO	1.1303024149	0.0	0.14	0.86
15	EDUVOO	1.1956402038	0.0	0.15	0.85
16	EDUVOO	1.2208096065	0.0	0.16	0.84
17	EDUVOO	1.2296718163	0.0	0.17	0.83
18	EDUVOO	1.181282606	0.0	0.18	0.82
19	EDUVOO	1.1749373365	0.0	0.19	0.81
20	EDUVOO	1.2144388992	0.0	0.2	0.8
21	EDUVOO	1.2548189609	0.0	0.21	0.79
22	EDUVOO	1.1769895895	0.0	0.22	0.78
23	EDUVOO	1.2277644646	0.0	0.23	0.77
24	EDUVOO	1.2987997778	0.0	0.24	0.76
25	EDUVOO	1.2201046263	0.0	0.25	0.75
26	EDUVOO	1.2630915675	0.0	0.26	0.74
27	EDUVOO	1.2641881012	0.0	0.27	0.73
28	EDUVOO	1.2510392345	0.0	0.28	0.72
29	EDUVOO	1.2326543508	0.0	0.29	0.71
30	EDUVOO	1.224327689	0.0	0.3	0.7
31	EDUVOO	1.2930201532	0.01	0.0	0.99
32	EDUVOO	1.1885900319	0.01	0.01	0.98
33	EDUVOO	1.2609309075	0.01	0.02	0.97
34	EDUVOO	1.2604733096	0.01	0.03	0.96
35	EDUVOO	1.2737254077	0.01	0.04	0.95
36	EDUVOO	1.2944017312	0.01	0.05	0.94
