Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	FIDRIV	2.9931251136	0.0	0.0	1.0
1	FIDRIV	2.4551839643	0.0	0.01	0.99
2	FIDRIV	3.3293944763	0.0	0.02	0.98
3	FIDRIV	3.2057026256	0.0	0.03	0.97
4	FIDRIV	2.8572721391	0.0	0.04	0.96
5	FIDRIV	3.5768310559	0.0	0.05	0.95
6	FIDRIV	2.7595035101	0.0	0.06	0.94
7	FIDRIV	2.3240362435	0.0	0.07	0.93
8	FIDRIV	3.3742612677	0.0	0.08	0.92
9	FIDRIV	3.473650467	0.0	0.09	0.91
10	FIDRIV	3.005139732	0.0	0.1	0.9
11	FIDRIV	2.9653934458	0.0	0.11	0.89
12	FIDRIV	3.03203343	0.0	0.12	0.88
13	FIDRIV	3.3411786066	0.0	0.13	0.87
14	FIDRIV	2.6644643447	0.0	0.14	0.86
15	FIDRIV	2.231636027	0.0	0.15	0.85
16	FIDRIV	2.9487973702	0.0	0.16	0.84
17	FIDRIV	2.5062866863	0.0	0.17	0.83
18	FIDRIV	3.0984805625	0.0	0.18	0.82
19	FIDRIV	2.6734378273	0.0	0.19	0.81
20	FIDRIV	2.6516885857	0.0	0.2	0.8
21	FIDRIV	2.1443382755	0.0	0.21	0.79
22	FIDRIV	2.871774846	0.0	0.22	0.78
23	FIDRIV	2.4145032823	0.0	0.23	0.77
24	FIDRIV	2.8914098802	0.0	0.24	0.76
25	FIDRIV	2.8385472355	0.0	0.25	0.75
26	FIDRIV	1.9168795067	0.0	0.26	0.74
27	FIDRIV	2.4974457099	0.0	0.27	0.73
28	FIDRIV	2.4642246316	0.0	0.28	0.72
29	FIDRIV	2.4150634829	0.0	0.29	0.71
30	FIDRIV	2.3879878203	0.0	0.3	0.7
31	FIDRIV	88.0394869645	0.01	0.0	0.99
32	FIDRIV	89.1637735181	0.01	0.01	0.98
33	FIDRIV	87.1089548132	0.01	0.02	0.97
34	FIDRIV	91.9332115325	0.01	0.03	0.96
35	FIDRIV	92.4829699793	0.01	0.04	0.95
36	FIDRIV	89.3738916887	0.01	0.05	0.94
37	FIDRIV	83.8004889817	0.01	0.06	0.93
38	FIDRIV	89.4409408641	0.01	0.07	0.92
39	FIDRIV	94.3130946599	0.01	0.08	0.91
40	FIDRIV	87.9737758164	0.01	0.09	0.9
41	FIDRIV	97.77152925	0.01	0.1	0.89
42	FIDRIV	87.9304323895	0.01	0.11	0.88
43	FIDRIV	87.4928501461	0.01	0.12	0.87
44	FIDRIV	92.2192938985	0.01	0.13	0.86
45	FIDRIV	90.6166501134	0.01	0.14	0.85
46	FIDRIV	92.4352837377	0.01	0.15	0.84
47	FIDRIV	94.5731338161	0.01	0.16	0.83
48	FIDRIV	89.9587095161	0.01	0.17	0.82
49	FIDRIV	94.6933682059	0.01	0.18	0.81
50	FIDRIV	84.6163707311	0.01	0.19	0.8
51	FIDRIV	89.2790493911	0.01	0.2	0.79
52	FIDRIV	95.1593945552	0.01	0.21	0.78
53	FIDRIV	94.6787516684	0.01	0.22	0.77
54	FIDRIV	95.6832162281	0.01	0.23	0.76
55	FIDRIV	93.2689775836	0.01	0.24	0.75
56	FIDRIV	91.4753696395	0.01	0.25	0.74
57	FIDRIV	82.4272670411	0.01	0.26	0.73
58	FIDRIV	86.5256106154	0.01	0.27	0.72
59	FIDRIV	90.2336769479	0.01	0.28	0.71
60	FIDRIV	86.5657710704	0.01	0.29	0.7
61	FIDRIV	93.3251775924	0.01	0.3	0.69
62	FIDRIV	96.9405947681	0.02	0.0	0.98
63	FIDRIV	96.6997906903	0.02	0.01	0.97
64	FIDRIV	91.7870744533	0.02	0.02	0.96
65	FIDRIV	92.6370334553	0.02	0.03	0.95
66	FIDRIV	96.6061301442	0.02	0.04	0.94
67	FIDRIV	97.9708369935	0.02	0.05	0.93
68	FIDRIV	93.0699430643	0.02	0.06	0.92
69	FIDRIV	94.919169935	0.02	0.07	0.91
70	FIDRIV	95.2399483966	0.02	0.08	0.9
71	FIDRIV	96.2007089674	0.02	0.09	0.89
72	FIDRIV	98.8435741067	0.02	0.1	0.88
73	FIDRIV	100.6035220898	0.02	0.11	0.87
74	FIDRIV	102.707805529	0.02	0.12	0.86
