Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	GAGZEV	1.3417063652	0.0	0.0	1.0
1	GAGZEV	1.171764514	0.0	0.01	0.99
2	GAGZEV	1.3310376505	0.0	0.02	0.98
3	GAGZEV	1.3325905514	0.0	0.03	0.97
4	GAGZEV	1.4508254975	0.0	0.04	0.96
5	GAGZEV	1.3620698937	0.0	0.05	0.95
6	GAGZEV	1.374928502	0.0	0.06	0.94
7	GAGZEV	1.3145669589	0.0	0.07	0.93
8	GAGZEV	1.3183484154	0.0	0.08	0.92
9	GAGZEV	1.2968029509	0.0	0.09	0.91
10	GAGZEV	1.3586916202	0.0	0.1	0.9
11	GAGZEV	1.3775409096	0.0	0.11	0.89
12	GAGZEV	1.4054995692	0.0	0.12	0.88
13	GAGZEV	1.3968191567	0.0	0.13	0.87
14	GAGZEV	1.3744093332	0.0	0.14	0.86
15	GAGZEV	1.4653483871	0.0	0.15	0.85
16	GAGZEV	1.3706343203	0.0	0.16	0.84
17	GAGZEV	1.3987752406	0.0	0.17	0.83
18	GAGZEV	1.4318408914	0.0	0.18	0.82
19	GAGZEV	1.3583869302	0.0	0.19	0.81
20	GAGZEV	1.4535621728	0.0	0.2	0.8
21	GAGZEV	1.4506644062	0.0	0.21	0.79
22	GAGZEV	1.5078685982	0.0	0.22	0.78
23	GAGZEV	1.5107792521	0.0	0.23	0.77
24	GAGZEV	1.3745464881	0.0	0.24	0.76
25	GAGZEV	1.4137850806	0.0	0.25	0.75
26	GAGZEV	1.4639197538	0.0	0.26	0.74
27	GAGZEV	1.443049944	0.0	0.27	0.73
28	GAGZEV	1.4703522799	0.0	0.28	0.72
29	GAGZEV	1.489611196	0.0	0.29	0.71
30	GAGZEV	1.4689751958	0.0	0.3	0.7
31	GAGZEV	1.555911148	0.01	0.0	0.99
32	GAGZEV	1.5499044576	0.01	0.01	0.98
33	GAGZEV	1.6031393692	0.01	0.02	0.97
34	GAGZEV	1.526157773	0.01	0.03	0.96
35	GAGZEV	1.6177431038	0.01	0.04	0.95
36	GAGZEV	1.568061003	0.01	0.05	0.94
37	GAGZEV	1.6718766349	0.01	0.06	0.93
38	GAGZEV	1.4875008213	0.01	0.07	0.92
39	GAGZEV	1.5418728451	0.01	0.08	0.91
40	GAGZEV	1.5529220083	0.01	0.09	0.9
41	GAGZEV	1.5429541242	0.01	0.1	0.89
42	GAGZEV	1.4169459882	0.01	0.11	0.88
43	GAGZEV	1.5234227365	0.01	0.12	0.87
44	GAGZEV	1.6394388922	0.01	0.13	0.86
45	GAGZEV	1.6241121555	0.01	0.14	0.85
46	GAGZEV	1.5921483941	0.01	0.15	0.84
47	GAGZEV	1.6300821442	0.01	0.16	0.83
48	GAGZEV	1.6085488863	0.01	0.17	0.82
49	GAGZEV	1.6648974048	0.01	0.18	0.81
50	GAGZEV	1.5677249751	0.01	0.19	0.8
51	GAGZEV	1.5229124525	0.01	0.2	0.79
52	GAGZEV	1.6673042186	0.01	0.21	0.78
53	GAGZEV	1.6025224658	0.01	0.22	0.77
54	GAGZEV	1.6322031178	0.01	0.23	0.76
55	GAGZEV	1.5719009292	0.01	0.24	0.75
56	GAGZEV	1.7335784381	0.01	0.25	0.74
57	GAGZEV	1.6594745968	0.01	0.26	0.73
58	GAGZEV	1.704728084	0.01	0.27	0.72
59	GAGZEV	1.5920513402	0.01	0.28	0.71
60	GAGZEV	1.7541555651	0.01	0.29	0.7
61	GAGZEV	1.6951548972	0.01	0.3	0.69
62	GAGZEV	1.688259592	0.02	0.0	0.98
63	GAGZEV	1.654997514	0.02	0.01	0.97
64	GAGZEV	1.5819802335	0.02	0.02	0.96
65	GAGZEV	1.7385706809	0.02	0.03	0.95
66	GAGZEV	1.767639117	0.02	0.04	0.94
67	GAGZEV	1.7454248406	0.02	0.05	0.93
68	GAGZEV	1.8230380657	0.02	0.06	0.92
69	GAGZEV	1.6824327208	0.02	0.07	0.91
70	GAGZEV	1.7274570813	0.02	0.08	0.9
71	GAGZEV	1.8039552481	0.02	0.09	0.89
72	GAGZEV	1.7216688719	0.02	0.1	0.88
73	GAGZEV	1.7742165211	0.02	0.11	0.87
74	GAGZEV	1.843617634	0.02	0.12	0.86
75	GAGZEV	1.8848682609	0.02	0.13	0.85
76	GAGZEV	1.693005661	0.02	0.14	0.84
77	GAGZEV	1.7446847493	0.02	0.15	0.83
78	GAGZEV	1.7679754221	0.02	0.16	0.82
79	GAGZEV	1.6590601232	0.02	0.17	0.81
80	GAGZEV	1.688313179	0.02	0.18	0.8
81	GAGZEV	1.7011918812	0.02	0.19	0.79
82	GAGZEV	1.7470982883	0.02	0.2	0.78
83	GAGZEV	1.7450826506	0.02	0.21	0.77
84	GAGZEV	1.7923244399	0.02	0.22	0.76
85	GAGZEV	1.8302448215	0.02	0.23	0.75
86	GAGZEV	1.8690497732	0.02	0.24	0.74
87	GAGZEV	1.8306564082	0.02	0.25	0.73
88	GAGZEV	1.8637004863	0.02	0.26	0.72
89	GAGZEV	1.7836433466	0.02	0.27	0.71
90	GAGZEV	1.652555637	0.02	0.28	0.7
91	GAGZEV	1.9716616145	0.02	0.29	0.69
92	GAGZEV	1.7795921412	0.02	0.3	0.68
93	GAGZEV	1.9139927653	0.03	0.0	0.97
94	GAGZEV	1.9612053763	0.03	0.01	0.96
95	GAGZEV	2.1029507558	0.03	0.02	0.95
96	GAGZEV	1.7804308831	0.03	0.03	0.94
97	GAGZEV	1.9796030556	0.03	0.04	0.93
98	GAGZEV	2.075155824	0.03	0.05	0.92
99	GAGZEV	1.9571382793	0.03	0.06	0.91
100	GAGZEV	1.8560244681	0.03	0.07	0.9
101	GAGZEV	1.9136759862	0.03	0.08	0.89
102	GAGZEV	1.9120915479	0.03	0.09	0.88
103	GAGZEV	1.9498054553	0.03	0.1	0.87
104	GAGZEV	1.9190155899	0.03	0.11	0.86
105	GAGZEV	1.8794984813	0.03	0.12	0.85
106	GAGZEV	1.9318330131	0.03	0.13	0.84
107	GAGZEV	1.8511293967	0.03	0.14	0.83
108	GAGZEV	1.9313878465	0.03	0.15	0.82
109	GAGZEV	1.950667854	0.03	0.16	0.81
110	GAGZEV	2.0917405014	0.03	0.17	0.8
111	GAGZEV	1.8987618808	0.03	0.18	0.79
112	GAGZEV	1.8892173089	0.03	0.19	0.78
113	GAGZEV	2.0056450516	0.03	0.2	0.77
114	GAGZEV	2.0111652726	0.03	0.21	0.76
115	GAGZEV	1.9517133936	0.03	0.22	0.75
116	GAGZEV	2.1027265073	0.03	0.23	0.74
117	GAGZEV	2.1056360814	0.03	0.24	0.73
118	GAGZEV	2.0095947193	0.03	0.25	0.72
119	GAGZEV	2.0503691234	0.03	0.26	0.71
120	GAGZEV	2.0044764838	0.03	0.27	0.7
121	GAGZEV	2.0699027529	0.03	0.28	0.69
122	GAGZEV	1.9667656984	0.03	0.29	0.68
123	GAGZEV	2.0128788613	0.03	0.3	0.67
124	GAGZEV	1.9442971592	0.04	0.0	0.96
125	GAGZEV	2.1062144405	0.04	0.01	0.95
126	GAGZEV	2.1401217156	0.04	0.02	0.94
127	GAGZEV	2.0128255094	0.04	0.03	0.93
128	GAGZEV	2.0822132538	0.04	0.04	0.92
129	GAGZEV	2.1534224504	0.04	0.05	0.91
130	GAGZEV	2.1361031278	0.04	0.06	0.9
131	GAGZEV	2.0391859629	0.04	0.07	0.89
132	GAGZEV	2.1478289078	0.04	0.08	0.88
133	GAGZEV	2.0491320747	0.04	0.09	0.87
134	GAGZEV	2.0524568388	0.04	0.1	0.86
135	GAGZEV	2.1737948638	0.04	0.11	0.85
136	GAGZEV	2.1551215908	0.04	0.12	0.84
137	GAGZEV	2.1533326383	0.04	0.13	0.83
138	GAGZEV	2.2178574478	0.04	0.14	0.82
139	GAGZEV	2.1626414404	0.04	0.15	0.81
140	GAGZEV	1.9972047284	0.04	0.16	0.8
141	GAGZEV	2.2300626549	0.04	0.17	0.79
142	GAGZEV	2.2530950228	0.04	0.18	0.78
143	GAGZEV	2.1043015796	0.04	0.19	0.77
144	GAGZEV	2.2186864663	0.04	0.2	0.76
145	GAGZEV	2.1085031087	0.04	0.21	0.75
146	GAGZEV	2.1317585588	0.04	0.22	0.74
147	GAGZEV	2.170790196	0.04	0.23	0.73
148	GAGZEV	2.2898451936	0.04	0.24	0.72
149	GAGZEV	2.1261813071	0.04	0.25	0.71
150	GAGZEV	2.2672290956	0.04	0.26	0.7
151	GAGZEV	2.1514697658	0.04	0.27	0.69
152	GAGZEV	2.1556664122	0.04	0.28	0.68
153	GAGZEV	2.2925095141	0.04	0.29	0.67
154	GAGZEV	2.0858050859	0.04	0.3	0.66
155	GAGZEV	2.2405689566	0.05	0.0	0.95
156	GAGZEV	2.0986369972	0.05	0.01	0.94
157	GAGZEV	2.3287587607	0.05	0.02	0.93
158	GAGZEV	2.3021801895	0.05	0.03	0.92
159	GAGZEV	2.0664713271	0.05	0.04	0.91
160	GAGZEV	2.067564132	0.05	0.05	0.9
161	GAGZEV	2.1872706883	0.05	0.06	0.89
162	GAGZEV	2.3043667616	0.05	0.07	0.88
163	GAGZEV	2.3761968597	0.05	0.08	0.87
164	GAGZEV	2.2926257349	0.05	0.09	0.86
165	GAGZEV	2.2043516002	0.05	0.1	0.85
166	GAGZEV	2.1655101462	0.05	0.11	0.84
167	GAGZEV	2.2415934046	0.05	0.12	0.83
168	GAGZEV	2.1890066125	0.05	0.13	0.82
169	GAGZEV	2.3442367835	0.05	0.14	0.81
170	GAGZEV	2.3757315639	0.05	0.15	0.8
171	GAGZEV	2.2733011029	0.05	0.16	0.79
172	GAGZEV	2.3501903637	0.05	0.17	0.78
173	GAGZEV	2.268138478	0.05	0.18	0.77
174	GAGZEV	2.2703318928	0.05	0.19	0.76
175	GAGZEV	2.3683577544	0.05	0.2	0.75
176	GAGZEV	2.3011360891	0.05	0.21	0.74
177	GAGZEV	2.2523534881	0.05	0.22	0.73
178	GAGZEV	2.2321871496	0.05	0.23	0.72
179	GAGZEV	2.3763390613	0.05	0.24	0.71
180	GAGZEV	2.4009093185	0.05	0.25	0.7
181	GAGZEV	2.4139730395	0.05	0.26	0.69
182	GAGZEV	2.2838300173	0.05	0.27	0.68
183	GAGZEV	2.5095641529	0.05	0.28	0.67
184	GAGZEV	2.1718174023	0.05	0.29	0.66
185	GAGZEV	2.4700617742	0.05	0.3	0.65
186	GAGZEV	2.5348230741	0.06	0.0	0.94
187	GAGZEV	2.3505042557	0.06	0.01	0.93
188	GAGZEV	2.2693699212	0.06	0.02	0.92
189	GAGZEV	2.3389756656	0.06	0.03	0.91
190	GAGZEV	2.5764477059	0.06	0.04	0.9
191	GAGZEV	2.5518761692	0.06	0.05	0.89
192	GAGZEV	2.4380647545	0.06	0.06	0.88
193	GAGZEV	2.3298120234	0.06	0.07	0.87
194	GAGZEV	2.3289791664	0.06	0.08	0.86
195	GAGZEV	2.4730820057	0.06	0.09	0.85
196	GAGZEV	2.5631302454	0.06	0.1	0.84
197	GAGZEV	2.3670750013	0.06	0.11	0.83
198	GAGZEV	2.5085620758	0.06	0.12	0.82
199	GAGZEV	2.3812685106	0.06	0.13	0.81
200	GAGZEV	2.5635149776	0.06	0.14	0.8
201	GAGZEV	2.4635242295	0.06	0.15	0.79
202	GAGZEV	2.4666247494	0.06	0.16	0.78
203	GAGZEV	2.3880989377	0.06	0.17	0.77
204	GAGZEV	2.6384534009	0.06	0.18	0.76
205	GAGZEV	2.6340356323	0.06	0.19	0.75
206	GAGZEV	2.4473069602	0.06	0.2	0.74
207	GAGZEV	2.6965216702	0.06	0.21	0.73
208	GAGZEV	2.4969049298	0.06	0.22	0.72
209	GAGZEV	2.4842746499	0.06	0.23	0.71
210	GAGZEV	2.5352843276	0.06	0.24	0.7
211	GAGZEV	2.4967219531	0.06	0.25	0.69
212	GAGZEV	2.4765146289	0.06	0.26	0.68
213	GAGZEV	2.5723010077	0.06	0.27	0.67
214	GAGZEV	2.687585394	0.06	0.28	0.66
215	GAGZEV	2.4869059893	0.06	0.29	0.65
