Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	HIFTOG	1.2750782747	0.0	0.0	1.0
1	HIFTOG	1.2808344128	0.0	0.01	0.99
2	HIFTOG	1.2449304925	0.0	0.02	0.98
3	HIFTOG	1.3326177525	0.0	0.03	0.97
4	HIFTOG	1.2969611691	0.0	0.04	0.96
5	HIFTOG	1.28265911	0.0	0.05	0.95
6	HIFTOG	1.2738752875	0.0	0.06	0.94
7	HIFTOG	1.2376431575	0.0	0.07	0.93
8	HIFTOG	1.3063424404	0.0	0.08	0.92
9	HIFTOG	1.3875315521	0.0	0.09	0.91
10	HIFTOG	1.3151670359	0.0	0.1	0.9
11	HIFTOG	1.2460563114	0.0	0.11	0.89
12	HIFTOG	1.2929063964	0.0	0.12	0.88
13	HIFTOG	1.3936613905	0.0	0.13	0.87
14	HIFTOG	1.3877984323	0.0	0.14	0.86
15	HIFTOG	1.3799968803	0.0	0.15	0.85
16	HIFTOG	1.3753658883	0.0	0.16	0.84
17	HIFTOG	1.3856697864	0.0	0.17	0.83
18	HIFTOG	1.3977481737	0.0	0.18	0.82
19	HIFTOG	1.4460586908	0.0	0.19	0.81
20	HIFTOG	1.442548127	0.0	0.2	0.8
21	HIFTOG	1.4979919825	0.0	0.21	0.79
22	HIFTOG	1.4499099315	0.0	0.22	0.78
23	HIFTOG	1.4436614788	0.0	0.23	0.77
24	HIFTOG	1.4690643722	0.0	0.24	0.76
25	HIFTOG	1.4268429206	0.0	0.25	0.75
26	HIFTOG	1.4994311852	0.0	0.26	0.74
27	HIFTOG	1.4934779188	0.0	0.27	0.73
28	HIFTOG	1.4665957224	0.0	0.28	0.72
29	HIFTOG	1.4929047311	0.0	0.29	0.71
30	HIFTOG	1.58300167	0.0	0.3	0.7
31	HIFTOG	2.9768710366	0.01	0.0	0.99
32	HIFTOG	2.8375755195	0.01	0.01	0.98
33	HIFTOG	2.8442683025	0.01	0.02	0.97
34	HIFTOG	2.8315994253	0.01	0.03	0.96
35	HIFTOG	2.7021709047	0.01	0.04	0.95
36	HIFTOG	2.9873059001	0.01	0.05	0.94
37	HIFTOG	2.6235526467	0.01	0.06	0.93
38	HIFTOG	2.6381343168	0.01	0.07	0.92
39	HIFTOG	3.0238670418	0.01	0.08	0.91
40	HIFTOG	2.9556678117	0.01	0.09	0.9
41	HIFTOG	2.9182426298	0.01	0.1	0.89
42	HIFTOG	2.9793482548	0.01	0.11	0.88
43	HIFTOG	2.8587788913	0.01	0.12	0.87
44	HIFTOG	2.9906375599	0.01	0.13	0.86
45	HIFTOG	2.6517209728	0.01	0.14	0.85
46	HIFTOG	2.9066115074	0.01	0.15	0.84
47	HIFTOG	2.9252455898	0.01	0.16	0.83
