Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	HKUST-1	1.9219928709	0.0	0.0	1.0
1	HKUST-1	1.9784189224	0.0	0.01	0.99
2	HKUST-1	1.8603473317	0.0	0.02	0.98
3	HKUST-1	2.0482703111	0.0	0.03	0.97
4	HKUST-1	1.8324071189	0.0	0.04	0.96
5	HKUST-1	1.9552083332	0.0	0.05	0.95
6	HKUST-1	2.0845982486	0.0	0.06	0.94
7	HKUST-1	1.9531073262	0.0	0.07	0.93
8	HKUST-1	1.9735751961	0.0	0.08	0.92
9	HKUST-1	1.9994023913	0.0	0.09	0.91
10	HKUST-1	2.0938636097	0.0	0.1	0.9
11	HKUST-1	2.0442021293	0.0	0.11	0.89
12	HKUST-1	2.0975337217	0.0	0.12	0.88
13	HKUST-1	2.1221255353	0.0	0.13	0.87
14	HKUST-1	2.069817422	0.0	0.14	0.86
15	HKUST-1	2.1502055856	0.0	0.15	0.85
16	HKUST-1	2.0943551869	0.0	0.16	0.84
17	HKUST-1	2.0478722412	0.0	0.17	0.83
18	HKUST-1	2.0616853505	0.0	0.18	0.82
19	HKUST-1	2.1497457485	0.0	0.19	0.81
20	HKUST-1	2.0904011078	0.0	0.2	0.8
21	HKUST-1	2.0293972809	0.0	0.21	0.79
22	HKUST-1	2.1114686522	0.0	0.22	0.78
23	HKUST-1	2.287571432	0.0	0.23	0.77
24	HKUST-1	2.0519121092	0.0	0.24	0.76
25	HKUST-1	2.100024214	0.0	0.25	0.75
26	HKUST-1	2.1986394032	0.0	0.26	0.74
27	HKUST-1	2.2568884999	0.0	0.27	0.73
28	HKUST-1	2.1632628799	0.0	0.28	0.72
29	HKUST-1	2.3011606282	0.0	0.29	0.71
30	HKUST-1	2.1843364297	0.0	0.3	0.7
31	HKUST-1	3.5966239137	0.01	0.0	0.99
32	HKUST-1	3.3982582765	0.01	0.01	0.98
33	HKUST-1	3.5123396792	0.01	0.02	0.97
34	HKUST-1	3.5056780162	0.01	0.03	0.96
35	HKUST-1	3.5909696171	0.01	0.04	0.95
36	HKUST-1	3.4867015241	0.01	0.05	0.94
37	HKUST-1	3.5447170052	0.01	0.06	0.93
38	HKUST-1	3.4237981462	0.01	0.07	0.92
39	HKUST-1	3.5829664263	0.01	0.08	0.91
40	HKUST-1	3.5903172393	0.01	0.09	0.9
41	HKUST-1	3.6474278284	0.01	0.1	0.89
42	HKUST-1	3.538658189	0.01	0.11	0.88
43	HKUST-1	3.5502520908	0.01	0.12	0.87
44	HKUST-1	3.3860955105	0.01	0.13	0.86
45	HKUST-1	3.3683237715	0.01	0.14	0.85
46	HKUST-1	3.5014021871	0.01	0.15	0.84
47	HKUST-1	3.4747188396	0.01	0.16	0.83
48	HKUST-1	3.756842753	0.01	0.17	0.82
49	HKUST-1	3.7936535428	0.01	0.18	0.81
50	HKUST-1	3.5247464224	0.01	0.19	0.8
51	HKUST-1	3.4683100774	0.01	0.2	0.79
52	HKUST-1	3.6561536412	0.01	0.21	0.78
53	HKUST-1	3.5298397201	0.01	0.22	0.77
54	HKUST-1	3.7098540928	0.01	0.23	0.76
55	HKUST-1	3.6736841948	0.01	0.24	0.75
56	HKUST-1	3.7005170389	0.01	0.25	0.74
57	HKUST-1	3.6467778312	0.01	0.26	0.73
58	HKUST-1	3.8011521785	0.01	0.27	0.72
59	HKUST-1	3.9146261509	0.01	0.28	0.71
60	HKUST-1	3.8959946058	0.01	0.29	0.7
61	HKUST-1	3.7804733795	0.01	0.3	0.69
62	HKUST-1	4.9875205017	0.02	0.0	0.98
63	HKUST-1	4.8862839372	0.02	0.01	0.97
64	HKUST-1	5.1911222314	0.02	0.02	0.96
65	HKUST-1	5.1530703171	0.02	0.03	0.95
66	HKUST-1	5.0639523108	0.02	0.04	0.94
