Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	IRMOF-1	0.7708453591	0.0	0.0	1.0
1	IRMOF-1	0.834504567	0.0	0.01	0.99
2	IRMOF-1	0.7497240186	0.0	0.02	0.98
3	IRMOF-1	0.7627108797	0.0	0.03	0.97
4	IRMOF-1	0.7380216905	0.0	0.04	0.96
5	IRMOF-1	0.7753648134	0.0	0.05	0.95
6	IRMOF-1	0.8179215514	0.0	0.06	0.94
7	IRMOF-1	0.8169322044	0.0	0.07	0.93
8	IRMOF-1	0.7928994348	0.0	0.08	0.92
9	IRMOF-1	0.8208235452	0.0	0.09	0.91
10	IRMOF-1	0.6980434542	0.0	0.1	0.9
11	IRMOF-1	0.6857035773	0.0	0.11	0.89
12	IRMOF-1	0.7685243025	0.0	0.12	0.88
13	IRMOF-1	0.7184895046	0.0	0.13	0.87
14	IRMOF-1	0.7818157851	0.0	0.14	0.86
15	IRMOF-1	0.7685054319	0.0	0.15	0.85
16	IRMOF-1	0.8474348164	0.0	0.16	0.84
17	IRMOF-1	0.9084872168	0.0	0.17	0.83
18	IRMOF-1	0.8366935293	0.0	0.18	0.82
19	IRMOF-1	0.9253559833	0.0	0.19	0.81
20	IRMOF-1	0.8892879582	0.0	0.2	0.8
21	IRMOF-1	0.8116714129	0.0	0.21	0.79
22	IRMOF-1	0.8106915012	0.0	0.22	0.78
23	IRMOF-1	0.8168567219	0.0	0.23	0.77
24	IRMOF-1	0.8707828605	0.0	0.24	0.76
25	IRMOF-1	0.8210621194	0.0	0.25	0.75
26	IRMOF-1	0.8405565641	0.0	0.26	0.74
27	IRMOF-1	0.792814517	0.0	0.27	0.73
28	IRMOF-1	0.7905217663	0.0	0.28	0.72
29	IRMOF-1	0.763235205	0.0	0.29	0.71
30	IRMOF-1	0.833392561	0.0	0.3	0.7
31	IRMOF-1	0.7604268597	0.01	0.0	0.99
32	IRMOF-1	0.7497008686	0.01	0.01	0.98
33	IRMOF-1	0.7727514408	0.01	0.02	0.97
34	IRMOF-1	0.8149778293	0.01	0.03	0.96
35	IRMOF-1	0.818870459	0.01	0.04	0.95
36	IRMOF-1	0.8633691464	0.01	0.05	0.94
37	IRMOF-1	0.834781467	0.01	0.06	0.93
38	IRMOF-1	0.8077962446	0.01	0.07	0.92
39	IRMOF-1	0.7853727892	0.01	0.08	0.91
