Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	LODPUQ	5.7999997973	0.0	0.0	1.0
1	LODPUQ	5.6903974029	0.0	0.01	0.99
2	LODPUQ	5.8474304707	0.0	0.02	0.98
3	LODPUQ	5.8113936506	0.0	0.03	0.97
4	LODPUQ	6.0987147895	0.0	0.04	0.96
5	LODPUQ	5.9697874186	0.0	0.05	0.95
6	LODPUQ	5.9331765909	0.0	0.06	0.94
7	LODPUQ	5.9067412779	0.0	0.07	0.93
8	LODPUQ	5.6895820346	0.0	0.08	0.92
9	LODPUQ	6.0396650195	0.0	0.09	0.91
10	LODPUQ	6.0225696006	0.0	0.1	0.9
11	LODPUQ	6.2383672861	0.0	0.11	0.89
12	LODPUQ	6.0501990023	0.0	0.12	0.88
13	LODPUQ	6.1390573761	0.0	0.13	0.87
14	LODPUQ	6.112263736	0.0	0.14	0.86
15	LODPUQ	6.302849014	0.0	0.15	0.85
16	LODPUQ	6.1221067417	0.0	0.16	0.84
17	LODPUQ	6.1654461836	0.0	0.17	0.83
18	LODPUQ	5.9660913099	0.0	0.18	0.82
19	LODPUQ	6.2498828137	0.0	0.19	0.81
20	LODPUQ	6.0798080429	0.0	0.2	0.8
21	LODPUQ	6.290412984	0.0	0.21	0.79
22	LODPUQ	6.3511070321	0.0	0.22	0.78
23	LODPUQ	6.1578719601	0.0	0.23	0.77
24	LODPUQ	6.3378854519	0.0	0.24	0.76
25	LODPUQ	6.3401172914	0.0	0.25	0.75
26	LODPUQ	6.469936342	0.0	0.26	0.74
27	LODPUQ	6.3665222194	0.0	0.27	0.73
28	LODPUQ	6.5798882175	0.0	0.28	0.72
29	LODPUQ	6.4026685905	0.0	0.29	0.71
30	LODPUQ	6.0433037674	0.0	0.3	0.7
31	LODPUQ	10.459931976	0.01	0.0	0.99
32	LODPUQ	10.5657131692	0.01	0.01	0.98
33	LODPUQ	10.3118333856	0.01	0.02	0.97
34	LODPUQ	10.5896678721	0.01	0.03	0.96
35	LODPUQ	10.4410826219	0.01	0.04	0.95
36	LODPUQ	10.7800930915	0.01	0.05	0.94
37	LODPUQ	10.6220921217	0.01	0.06	0.93
38	LODPUQ	10.503644241	0.01	0.07	0.92
39	LODPUQ	10.2328656355	0.01	0.08	0.91
40	LODPUQ	10.7364904747	0.01	0.09	0.9
41	LODPUQ	10.5152825008	0.01	0.1	0.89
42	LODPUQ	10.4850366372	0.01	0.11	0.88
43	LODPUQ	10.3833265932	0.01	0.12	0.87
44	LODPUQ	10.9583049771	0.01	0.13	0.86
45	LODPUQ	10.7158605988	0.01	0.14	0.85
46	LODPUQ	10.5374986504	0.01	0.15	0.84
47	LODPUQ	10.7903815903	0.01	0.16	0.83
48	LODPUQ	10.5478042888	0.01	0.17	0.82
49	LODPUQ	10.6525984759	0.01	0.18	0.81
50	LODPUQ	10.7753647347	0.01	0.19	0.8
51	LODPUQ	10.7303196855	0.01	0.2	0.79
52	LODPUQ	10.7362498332	0.01	0.21	0.78
53	LODPUQ	10.698894427	0.01	0.22	0.77
54	LODPUQ	10.7542794798	0.01	0.23	0.76
55	LODPUQ	11.2934354342	0.01	0.24	0.75
56	LODPUQ	10.8522350114	0.01	0.25	0.74
57	LODPUQ	10.9784835818	0.01	0.26	0.73
58	LODPUQ	10.8655409826	0.01	0.27	0.72
59	LODPUQ	10.9101261046	0.01	0.28	0.71
60	LODPUQ	11.1353049603	0.01	0.29	0.7
61	LODPUQ	10.8009977427	0.01	0.3	0.69
62	LODPUQ	14.3866819344	0.02	0.0	0.98
63	LODPUQ	14.4728151921	0.02	0.01	0.97
64	LODPUQ	14.7381410281	0.02	0.02	0.96
65	LODPUQ	14.4908694548	0.02	0.03	0.95
66	LODPUQ	15.1932203076	0.02	0.04	0.94
67	LODPUQ	14.6792937059	0.02	0.05	0.93
68	LODPUQ	14.8136910433	0.02	0.06	0.92
69	LODPUQ	14.6058240408	0.02	0.07	0.91
70	LODPUQ	14.6244812948	0.02	0.08	0.9
71	LODPUQ	14.6404583915	0.02	0.09	0.89
72	LODPUQ	14.8290770334	0.02	0.1	0.88
73	LODPUQ	14.8410345801	0.02	0.11	0.87
74	LODPUQ	14.3682385148	0.02	0.12	0.86
75	LODPUQ	14.4488905131	0.02	0.13	0.85
76	LODPUQ	14.762099101	0.02	0.14	0.84
77	LODPUQ	14.6977256925	0.02	0.15	0.83
78	LODPUQ	14.9512293808	0.02	0.16	0.82
79	LODPUQ	14.8960735728	0.02	0.17	0.81
80	LODPUQ	14.8711566698	0.02	0.18	0.8
81	LODPUQ	14.9624496337	0.02	0.19	0.79
82	LODPUQ	14.7614265393	0.02	0.2	0.78
83	LODPUQ	14.7566524503	0.02	0.21	0.77
84	LODPUQ	15.4993472511	0.02	0.22	0.76
85	LODPUQ	15.0811617978	0.02	0.23	0.75
86	LODPUQ	14.8338931781	0.02	0.24	0.74
87	LODPUQ	15.2027969868	0.02	0.25	0.73
88	LODPUQ	15.169367984	0.02	0.26	0.72
89	LODPUQ	15.0923629802	0.02	0.27	0.71
90	LODPUQ	14.8753828434	0.02	0.28	0.7
91	LODPUQ	15.233631142	0.02	0.29	0.69
92	LODPUQ	15.2701987918	0.02	0.3	0.68
93	LODPUQ	19.009282659	0.03	0.0	0.97
94	LODPUQ	18.5336567002	0.03	0.01	0.96
95	LODPUQ	19.0265091115	0.03	0.02	0.95
96	LODPUQ	18.7291853473	0.03	0.03	0.94
97	LODPUQ	19.0848071809	0.03	0.04	0.93
98	LODPUQ	18.2723491727	0.03	0.05	0.92
99	LODPUQ	19.0933598703	0.03	0.06	0.91
100	LODPUQ	18.7189153509	0.03	0.07	0.9
101	LODPUQ	18.0236274467	0.03	0.08	0.89
102	LODPUQ	18.948626637	0.03	0.09	0.88
103	LODPUQ	18.7802997815	0.03	0.1	0.87
104	LODPUQ	18.5702217695	0.03	0.11	0.86
105	LODPUQ	18.9745774109	0.03	0.12	0.85
106	LODPUQ	18.2896346889	0.03	0.13	0.84
107	LODPUQ	19.1337979967	0.03	0.14	0.83
108	LODPUQ	18.9454663136	0.03	0.15	0.82
109	LODPUQ	19.1728995783	0.03	0.16	0.81
110	LODPUQ	18.3473153	0.03	0.17	0.8
111	LODPUQ	19.3305847478	0.03	0.18	0.79
112	LODPUQ	18.6200337892	0.03	0.19	0.78
113	LODPUQ	18.7718610016	0.03	0.2	0.77
114	LODPUQ	19.2683121529	0.03	0.21	0.76
115	LODPUQ	18.6095988095	0.03	0.22	0.75
116	LODPUQ	18.8961212044	0.03	0.23	0.74
117	LODPUQ	18.7853999229	0.03	0.24	0.73
118	LODPUQ	19.0722952274	0.03	0.25	0.72
119	LODPUQ	19.0305678376	0.03	0.26	0.71
120	LODPUQ	19.0714588104	0.03	0.27	0.7
