Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	MOF-177	1.0199125708	0.0	0.0	1.0
1	MOF-177	1.0512644515	0.0	0.01	0.99
2	MOF-177	1.0094450747	0.0	0.02	0.98
3	MOF-177	0.9739470425	0.0	0.03	0.97
4	MOF-177	0.9941870928	0.0	0.04	0.96
5	MOF-177	1.0057200448	0.0	0.05	0.95
6	MOF-177	1.0780174295	0.0	0.06	0.94
7	MOF-177	1.0521003687	0.0	0.07	0.93
8	MOF-177	1.0372824863	0.0	0.08	0.92
9	MOF-177	1.1544419879	0.0	0.09	0.91
10	MOF-177	1.0673203948	0.0	0.1	0.9
11	MOF-177	1.0414096599	0.0	0.11	0.89
12	MOF-177	1.122624704	0.0	0.12	0.88
13	MOF-177	1.028537432	0.0	0.13	0.87
14	MOF-177	1.0973393255	0.0	0.14	0.86
15	MOF-177	1.0555326005	0.0	0.15	0.85
16	MOF-177	1.0794533993	0.0	0.16	0.84
17	MOF-177	1.0818771089	0.0	0.17	0.83
18	MOF-177	1.1345471477	0.0	0.18	0.82
19	MOF-177	1.0200155905	0.0	0.19	0.81
20	MOF-177	1.0727046072	0.0	0.2	0.8
21	MOF-177	1.0125845085	0.0	0.21	0.79
22	MOF-177	1.1053641342	0.0	0.22	0.78
23	MOF-177	1.0757473472	0.0	0.23	0.77
24	MOF-177	1.1397334512	0.0	0.24	0.76
25	MOF-177	1.1911464513	0.0	0.25	0.75
26	MOF-177	1.0966190799	0.0	0.26	0.74
27	MOF-177	1.1952546471	0.0	0.27	0.73
28	MOF-177	1.0471833641	0.0	0.28	0.72
29	MOF-177	1.1673476501	0.0	0.29	0.71
30	MOF-177	1.1037889936	0.0	0.3	0.7
31	MOF-177	1.0965358218	0.01	0.0	0.99
32	MOF-177	1.0348920543	0.01	0.01	0.98
33	MOF-177	1.0340227789	0.01	0.02	0.97
34	MOF-177	1.1019549247	0.01	0.03	0.96
35	MOF-177	1.1450771545	0.01	0.04	0.95
36	MOF-177	1.1315520656	0.01	0.05	0.94
37	MOF-177	1.0294260769	0.01	0.06	0.93
38	MOF-177	1.0964758232	0.01	0.07	0.92
39	MOF-177	1.205791844	0.01	0.08	0.91
40	MOF-177	1.1861836718	0.01	0.09	0.9
41	MOF-177	1.0553156333	0.01	0.1	0.89
