Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	MUDTEL	1.2954891549	0.0	0.0	1.0
1	MUDTEL	1.334796365	0.0	0.01	0.99
2	MUDTEL	1.2283446702	0.0	0.02	0.98
3	MUDTEL	1.3229813647	0.0	0.03	0.97
4	MUDTEL	1.2685377541	0.0	0.04	0.96
5	MUDTEL	1.3166133606	0.0	0.05	0.95
6	MUDTEL	1.3680015836	0.0	0.06	0.94
7	MUDTEL	1.3416963945	0.0	0.07	0.93
8	MUDTEL	1.3075086829	0.0	0.08	0.92
9	MUDTEL	1.3803661764	0.0	0.09	0.91
10	MUDTEL	1.3002284543	0.0	0.1	0.9
11	MUDTEL	1.3879036341	0.0	0.11	0.89
12	MUDTEL	1.3612885146	0.0	0.12	0.88
13	MUDTEL	1.3241069004	0.0	0.13	0.87
14	MUDTEL	1.4698218874	0.0	0.14	0.86
15	MUDTEL	1.3367814238	0.0	0.15	0.85
16	MUDTEL	1.278414119	0.0	0.16	0.84
17	MUDTEL	1.3014066914	0.0	0.17	0.83
18	MUDTEL	1.3168178883	0.0	0.18	0.82
19	MUDTEL	1.3818192098	0.0	0.19	0.81
20	MUDTEL	1.2678124902	0.0	0.2	0.8
21	MUDTEL	1.4534457647	0.0	0.21	0.79
22	MUDTEL	1.4467941807	0.0	0.22	0.78
23	MUDTEL	1.4842593748	0.0	0.23	0.77
24	MUDTEL	1.4398238827	0.0	0.24	0.76
25	MUDTEL	1.3651507238	0.0	0.25	0.75
26	MUDTEL	1.3965666277	0.0	0.26	0.74
27	MUDTEL	1.4174248206	0.0	0.27	0.73
28	MUDTEL	1.549827856	0.0	0.28	0.72
29	MUDTEL	1.4116591104	0.0	0.29	0.71
30	MUDTEL	1.4261844334	0.0	0.3	0.7
31	MUDTEL	1.4048469649	0.01	0.0	0.99
32	MUDTEL	1.5233602496	0.01	0.01	0.98
33	MUDTEL	1.5064245509	0.01	0.02	0.97
34	MUDTEL	1.5284961152	0.01	0.03	0.96
35	MUDTEL	1.5481385369	0.01	0.04	0.95
36	MUDTEL	1.6037779518	0.01	0.05	0.94
37	MUDTEL	1.4900617396	0.01	0.06	0.93
38	MUDTEL	1.6140141648	0.01	0.07	0.92
39	MUDTEL	1.5937774169	0.01	0.08	0.91
40	MUDTEL	1.6608579047	0.01	0.09	0.9
41	MUDTEL	1.5595678823	0.01	0.1	0.89
42	MUDTEL	1.6264154758	0.01	0.11	0.88
43	MUDTEL	1.7427640466	0.01	0.12	0.87
44	MUDTEL	1.6575219932	0.01	0.13	0.86
45	MUDTEL	1.7031708568	0.01	0.14	0.85
46	MUDTEL	1.6206206311	0.01	0.15	0.84
47	MUDTEL	1.6493280681	0.01	0.16	0.83
48	MUDTEL	1.6868065734	0.01	0.17	0.82
49	MUDTEL	1.6913216501	0.01	0.18	0.81
50	MUDTEL	1.7526715621	0.01	0.19	0.8
51	MUDTEL	1.7236752013	0.01	0.2	0.79
52	MUDTEL	1.740308937	0.01	0.21	0.78
53	MUDTEL	1.6979817457	0.01	0.22	0.77
54	MUDTEL	1.6329519455	0.01	0.23	0.76
55	MUDTEL	1.6852369538	0.01	0.24	0.75
56	MUDTEL	1.5449696189	0.01	0.25	0.74
57	MUDTEL	1.8152213739	0.01	0.26	0.73
58	MUDTEL	1.5461275051	0.01	0.27	0.72
59	MUDTEL	1.6803573893	0.01	0.28	0.71
60	MUDTEL	1.6994299792	0.01	0.29	0.7
61	MUDTEL	1.7831523305	0.01	0.3	0.69
62	MUDTEL	1.6348749179	0.02	0.0	0.98
63	MUDTEL	1.8181080723	0.02	0.01	0.97
64	MUDTEL	1.7690932347	0.02	0.02	0.96
65	MUDTEL	1.7757931042	0.02	0.03	0.95
66	MUDTEL	1.7261316711	0.02	0.04	0.94
67	MUDTEL	1.8304468584	0.02	0.05	0.93
68	MUDTEL	1.7902044011	0.02	0.06	0.92
69	MUDTEL	1.8730460622	0.02	0.07	0.91
70	MUDTEL	1.8948022404	0.02	0.08	0.9
71	MUDTEL	1.8693807972	0.02	0.09	0.89
72	MUDTEL	1.8482508639	0.02	0.1	0.88
