Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	NU-125	1.5042059825	0.0	0.0	1.0
1	NU-125	1.3683062899	0.0	0.01	0.99
2	NU-125	1.3693368648	0.0	0.02	0.98
3	NU-125	1.4442795889	0.0	0.03	0.97
4	NU-125	1.3750753063	0.0	0.04	0.96
5	NU-125	1.4102407632	0.0	0.05	0.95
6	NU-125	1.4326040792	0.0	0.06	0.94
7	NU-125	1.4073525479	0.0	0.07	0.93
8	NU-125	1.501762775	0.0	0.08	0.92
9	NU-125	1.4392466481	0.0	0.09	0.91
10	NU-125	1.4504896304	0.0	0.1	0.9
11	NU-125	1.4485169392	0.0	0.11	0.89
12	NU-125	1.4966375767	0.0	0.12	0.88
13	NU-125	1.4780438098	0.0	0.13	0.87
14	NU-125	1.5095661651	0.0	0.14	0.86
15	NU-125	1.5491827946	0.0	0.15	0.85
16	NU-125	1.4670423259	0.0	0.16	0.84
17	NU-125	1.4731791044	0.0	0.17	0.83
18	NU-125	1.455519856	0.0	0.18	0.82
19	NU-125	1.5337111435	0.0	0.19	0.81
20	NU-125	1.5051844565	0.0	0.2	0.8
21	NU-125	1.524927648	0.0	0.21	0.79
22	NU-125	1.4561293004	0.0	0.22	0.78
23	NU-125	1.5211201098	0.0	0.23	0.77
24	NU-125	1.4799139306	0.0	0.24	0.76
25	NU-125	1.535741902	0.0	0.25	0.75
26	NU-125	1.5290765398	0.0	0.26	0.74
27	NU-125	1.5442269155	0.0	0.27	0.73
28	NU-125	1.5510111275	0.0	0.28	0.72
29	NU-125	1.4930878163	0.0	0.29	0.71
30	NU-125	1.5550525663	0.0	0.3	0.7
31	NU-125	1.6422964948	0.01	0.0	0.99
32	NU-125	1.6850659151	0.01	0.01	0.98
33	NU-125	1.7352673336	0.01	0.02	0.97
34	NU-125	1.7257238795	0.01	0.03	0.96
35	NU-125	1.7263839136	0.01	0.04	0.95
36	NU-125	1.7423182453	0.01	0.05	0.94
37	NU-125	1.7593137784	0.01	0.06	0.93
38	NU-125	1.63961875	0.01	0.07	0.92
39	NU-125	1.7187312011	0.01	0.08	0.91
40	NU-125	1.703433944	0.01	0.09	0.9
41	NU-125	1.6748991401	0.01	0.1	0.89
42	NU-125	1.7338730587	0.01	0.11	0.88
43	NU-125	1.85195126	0.01	0.12	0.87
44	NU-125	1.7079949776	0.01	0.13	0.86
45	NU-125	1.7560652124	0.01	0.14	0.85
46	NU-125	1.6292387921	0.01	0.15	0.84
47	NU-125	1.7104349026	0.01	0.16	0.83
48	NU-125	1.8156885709	0.01	0.17	0.82
49	NU-125	1.7723898127	0.01	0.18	0.81
50	NU-125	1.7398270913	0.01	0.19	0.8
51	NU-125	1.7379866047	0.01	0.2	0.79
52	NU-125	1.7577203579	0.01	0.21	0.78
53	NU-125	1.805169447	0.01	0.22	0.77
54	NU-125	1.7892387966	0.01	0.23	0.76
55	NU-125	1.8381229563	0.01	0.24	0.75
56	NU-125	1.8389073136	0.01	0.25	0.74
57	NU-125	1.7763891106	0.01	0.26	0.73
58	NU-125	1.8536461148	0.01	0.27	0.72
59	NU-125	1.7187070624	0.01	0.28	0.71
60	NU-125	1.7719047858	0.01	0.29	0.7
61	NU-125	1.7864264392	0.01	0.3	0.69
62	NU-125	1.916437712	0.02	0.0	0.98
63	NU-125	1.9061094994	0.02	0.01	0.97
64	NU-125	1.9900496563	0.02	0.02	0.96
65	NU-125	1.9938048818	0.02	0.03	0.95
66	NU-125	2.0043869582	0.02	0.04	0.94
67	NU-125	1.9422825716	0.02	0.05	0.93
68	NU-125	1.8840964564	0.02	0.06	0.92
69	NU-125	2.0030719414	0.02	0.07	0.91
70	NU-125	2.0068543265	0.02	0.08	0.9
71	NU-125	1.9397700663	0.02	0.09	0.89
72	NU-125	1.9239203458	0.02	0.1	0.88
73	NU-125	1.9662948264	0.02	0.11	0.87
74	NU-125	2.0238013942	0.02	0.12	0.86
75	NU-125	1.9302944224	0.02	0.13	0.85
76	NU-125	1.9628813075	0.02	0.14	0.84
77	NU-125	2.1420016558	0.02	0.15	0.83
78	NU-125	2.065752267	0.02	0.16	0.82
79	NU-125	2.0091173803	0.02	0.17	0.81
80	NU-125	2.0724008283	0.02	0.18	0.8
81	NU-125	2.0692686858	0.02	0.19	0.79
82	NU-125	2.0920110608	0.02	0.2	0.78
83	NU-125	2.0705214324	0.02	0.21	0.77
84	NU-125	2.0164020749	0.02	0.22	0.76
85	NU-125	2.1017934667	0.02	0.23	0.75
86	NU-125	2.0119300671	0.02	0.24	0.74
87	NU-125	1.9967722112	0.02	0.25	0.73
88	NU-125	2.0532524528	0.02	0.26	0.72
89	NU-125	2.0144214328	0.02	0.27	0.71
90	NU-125	2.1549585568	0.02	0.28	0.7
91	NU-125	2.1975742522	0.02	0.29	0.69
92	NU-125	2.1721927582	0.02	0.3	0.68
93	NU-125	2.2781337757	0.03	0.0	0.97
94	NU-125	2.2104509278	0.03	0.01	0.96
95	NU-125	2.1871420495	0.03	0.02	0.95
96	NU-125	2.19875805	0.03	0.03	0.94
97	NU-125	2.1911732471	0.03	0.04	0.93
98	NU-125	2.1510374032	0.03	0.05	0.92
99	NU-125	2.240723717	0.03	0.06	0.91
100	NU-125	2.3128851116	0.03	0.07	0.9
101	NU-125	2.2388843169	0.03	0.08	0.89
102	NU-125	2.2322266008	0.03	0.09	0.88
103	NU-125	2.2588626823	0.03	0.1	0.87
104	NU-125	2.2469552303	0.03	0.11	0.86
105	NU-125	2.2342773919	0.03	0.12	0.85
106	NU-125	2.1798848924	0.03	0.13	0.84
107	NU-125	2.1512245613	0.03	0.14	0.83
108	NU-125	2.2746212984	0.03	0.15	0.82
109	NU-125	2.2726460815	0.03	0.16	0.81
110	NU-125	2.2713423438	0.03	0.17	0.8
111	NU-125	2.2742013718	0.03	0.18	0.79
112	NU-125	2.2330366275	0.03	0.19	0.78
113	NU-125	2.320218954	0.03	0.2	0.77
114	NU-125	2.3791991487	0.03	0.21	0.76
115	NU-125	2.4028524462	0.03	0.22	0.75
116	NU-125	2.2605821713	0.03	0.23	0.74
117	NU-125	2.3693504869	0.03	0.24	0.73
118	NU-125	2.4296032256	0.03	0.25	0.72
119	NU-125	2.3600284021	0.03	0.26	0.71
120	NU-125	2.3090396301	0.03	0.27	0.7
121	NU-125	2.3984747718	0.03	0.28	0.69
122	NU-125	2.292815217	0.03	0.29	0.68
123	NU-125	2.4359713098	0.03	0.3	0.67
124	NU-125	2.4857157525	0.04	0.0	0.96
125	NU-125	2.4488494247	0.04	0.01	0.95
126	NU-125	2.4396793902	0.04	0.02	0.94
127	NU-125	2.6029459564	0.04	0.03	0.93
128	NU-125	2.3853954994	0.04	0.04	0.92
129	NU-125	2.5131441694	0.04	0.05	0.91
130	NU-125	2.4037239155	0.04	0.06	0.9
131	NU-125	2.6012534859	0.04	0.07	0.89
132	NU-125	2.539773857	0.04	0.08	0.88
133	NU-125	2.3726711052	0.04	0.09	0.87
134	NU-125	2.5020058099	0.04	0.1	0.86
135	NU-125	2.6546884381	0.04	0.11	0.85
136	NU-125	2.4702240481	0.04	0.12	0.84
137	NU-125	2.5564956873	0.04	0.13	0.83
138	NU-125	2.4399909198	0.04	0.14	0.82
139	NU-125	2.6867372318	0.04	0.15	0.81
140	NU-125	2.5314749636	0.04	0.16	0.8
141	NU-125	2.5123889276	0.04	0.17	0.79
142	NU-125	2.612779918	0.04	0.18	0.78
143	NU-125	2.4757791761	0.04	0.19	0.77
144	NU-125	2.4246440417	0.04	0.2	0.76
145	NU-125	2.4422836588	0.04	0.21	0.75
146	NU-125	2.5192633209	0.04	0.22	0.74
147	NU-125	2.5896034587	0.04	0.23	0.73
148	NU-125	2.6693491854	0.04	0.24	0.72
149	NU-125	2.6001954232	0.04	0.25	0.71
150	NU-125	2.6197599238	0.04	0.26	0.7
151	NU-125	2.6327137135	0.04	0.27	0.69
152	NU-125	2.5228991568	0.04	0.28	0.68
153	NU-125	2.6969171695	0.04	0.29	0.67
154	NU-125	2.658055025	0.04	0.3	0.66
155	NU-125	2.718161566	0.05	0.0	0.95
156	NU-125	2.7730281637	0.05	0.01	0.94
157	NU-125	2.6212398714	0.05	0.02	0.93
158	NU-125	2.8161506873	0.05	0.03	0.92
159	NU-125	2.7969424038	0.05	0.04	0.91
160	NU-125	2.7252705658	0.05	0.05	0.9
161	NU-125	2.8306604732	0.05	0.06	0.89
162	NU-125	2.7135198834	0.05	0.07	0.88
163	NU-125	2.8019884617	0.05	0.08	0.87
164	NU-125	2.7714177579	0.05	0.09	0.86
165	NU-125	2.6819609784	0.05	0.1	0.85
166	NU-125	2.9109087101	0.05	0.11	0.84
167	NU-125	2.806304364	0.05	0.12	0.83
168	NU-125	2.7441794261	0.05	0.13	0.82
169	NU-125	2.8499567445	0.05	0.14	0.81
170	NU-125	2.9813179107	0.05	0.15	0.8
171	NU-125	2.7967255159	0.05	0.16	0.79
172	NU-125	2.9343886516	0.05	0.17	0.78
173	NU-125	2.8145930621	0.05	0.18	0.77
174	NU-125	2.8088190606	0.05	0.19	0.76
175	NU-125	2.9801128241	0.05	0.2	0.75
176	NU-125	2.7338069483	0.05	0.21	0.74
177	NU-125	2.8605934906	0.05	0.22	0.73
178	NU-125	2.8576112256	0.05	0.23	0.72
179	NU-125	2.8658013418	0.05	0.24	0.71
180	NU-125	2.8798037805	0.05	0.25	0.7
181	NU-125	2.9283909878	0.05	0.26	0.69
182	NU-125	2.9263214651	0.05	0.27	0.68
183	NU-125	3.0600448578	0.05	0.28	0.67
184	NU-125	2.9073412767	0.05	0.29	0.66
185	NU-125	2.8898269999	0.05	0.3	0.65
186	NU-125	3.1237669393	0.06	0.0	0.94
187	NU-125	3.0862474211	0.06	0.01	0.93
188	NU-125	2.9794226092	0.06	0.02	0.92
189	NU-125	3.0170625826	0.06	0.03	0.91
190	NU-125	3.0162590648	0.06	0.04	0.9
191	NU-125	3.0728733517	0.06	0.05	0.89
192	NU-125	3.0992749443	0.06	0.06	0.88
193	NU-125	3.0741836977	0.06	0.07	0.87
194	NU-125	3.0099925378	0.06	0.08	0.86
195	NU-125	3.0854188469	0.06	0.09	0.85
196	NU-125	2.9043463863	0.06	0.1	0.84
197	NU-125	3.1646182688	0.06	0.11	0.83
198	NU-125	3.2451484219	0.06	0.12	0.82
199	NU-125	3.076477191	0.06	0.13	0.81
200	NU-125	3.0911090582	0.06	0.14	0.8
201	NU-125	2.9680876989	0.06	0.15	0.79
202	NU-125	3.0351482939	0.06	0.16	0.78
