Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	RAVXOD	1.4500329577	0.0	0.0	1.0
1	RAVXOD	1.4717270599	0.0	0.01	0.99
2	RAVXOD	1.4653136524	0.0	0.02	0.98
3	RAVXOD	1.4554265411	0.0	0.03	0.97
4	RAVXOD	1.4492387105	0.0	0.04	0.96
5	RAVXOD	1.4403304497	0.0	0.05	0.95
6	RAVXOD	1.4304433383	0.0	0.06	0.94
7	RAVXOD	1.3354835756	0.0	0.07	0.93
8	RAVXOD	1.390608532	0.0	0.08	0.92
9	RAVXOD	1.4010170365	0.0	0.09	0.91
10	RAVXOD	1.4528718033	0.0	0.1	0.9
11	RAVXOD	1.4507011324	0.0	0.11	0.89
12	RAVXOD	1.575901254	0.0	0.12	0.88
13	RAVXOD	1.4331993376	0.0	0.13	0.87
14	RAVXOD	1.4619520602	0.0	0.14	0.86
15	RAVXOD	1.5476510135	0.0	0.15	0.85
16	RAVXOD	1.512697853	0.0	0.16	0.84
17	RAVXOD	1.5039134121	0.0	0.17	0.83
18	RAVXOD	1.5017175266	0.0	0.18	0.82
19	RAVXOD	1.5261257556	0.0	0.19	0.81
20	RAVXOD	1.5523741695	0.0	0.2	0.8
21	RAVXOD	1.5171188894	0.0	0.21	0.79
22	RAVXOD	1.4808532406	0.0	0.22	0.78
23	RAVXOD	1.5187271938	0.0	0.23	0.77
24	RAVXOD	1.4595724705	0.0	0.24	0.76
25	RAVXOD	1.4741030435	0.0	0.25	0.75
26	RAVXOD	1.57109705	0.0	0.26	0.74
27	RAVXOD	1.5806410682	0.0	0.27	0.73
28	RAVXOD	1.5521107708	0.0	0.28	0.72
29	RAVXOD	1.5449314823	0.0	0.29	0.71
30	RAVXOD	1.726845954	0.0	0.3	0.7
31	RAVXOD	1.9530261402	0.01	0.0	0.99
32	RAVXOD	1.8507281134	0.01	0.01	0.98
33	RAVXOD	1.8487772841	0.01	0.02	0.97
34	RAVXOD	2.079886928	0.01	0.03	0.96
35	RAVXOD	2.0024464642	0.01	0.04	0.95
36	RAVXOD	2.2294785782	0.01	0.05	0.94
37	RAVXOD	1.9127319588	0.01	0.06	0.93
38	RAVXOD	1.9536524248	0.01	0.07	0.92
39	RAVXOD	2.0315869315	0.01	0.08	0.91
40	RAVXOD	2.2953890364	0.01	0.09	0.9
41	RAVXOD	2.129993266	0.01	0.1	0.89
42	RAVXOD	2.2364639432	0.01	0.11	0.88
43	RAVXOD	2.07310864	0.01	0.12	0.87
44	RAVXOD	1.8573614006	0.01	0.13	0.86
45	RAVXOD	2.1952395203	0.01	0.14	0.85
46	RAVXOD	1.9855661776	0.01	0.15	0.84
47	RAVXOD	2.1061631605	0.01	0.16	0.83
48	RAVXOD	1.9785845878	0.01	0.17	0.82
49	RAVXOD	1.9913049094	0.01	0.18	0.81
50	RAVXOD	2.1845679502	0.01	0.19	0.8
51	RAVXOD	2.0175052999	0.01	0.2	0.79
52	RAVXOD	2.2354787468	0.01	0.21	0.78
53	RAVXOD	2.2164492683	0.01	0.22	0.77
54	RAVXOD	2.121737794	0.01	0.23	0.76
55	RAVXOD	2.2974121003	0.01	0.24	0.75
56	RAVXOD	2.0129190797	0.01	0.25	0.74
57	RAVXOD	2.2146301622	0.01	0.26	0.73
58	RAVXOD	2.0760250674	0.01	0.27	0.72
59	RAVXOD	2.164745962	0.01	0.28	0.71
60	RAVXOD	2.0361047337	0.01	0.29	0.7
61	RAVXOD	2.2073570678	0.01	0.3	0.69
62	RAVXOD	2.6895410137	0.02	0.0	0.98
63	RAVXOD	2.9035481431	0.02	0.01	0.97
64	RAVXOD	2.5141450591	0.02	0.02	0.96
65	RAVXOD	2.5136135849	0.02	0.03	0.95
66	RAVXOD	2.5648805526	0.02	0.04	0.94
67	RAVXOD	2.659253027	0.02	0.05	0.93
68	RAVXOD	2.7017345549	0.02	0.06	0.92
69	RAVXOD	2.4344947707	0.02	0.07	0.91
70	RAVXOD	2.7266645099	0.02	0.08	0.9
71	RAVXOD	2.8807883287	0.02	0.09	0.89
72	RAVXOD	2.5669174027	0.02	0.1	0.88
73	RAVXOD	3.1529996147	0.02	0.11	0.87
74	RAVXOD	2.4352295066	0.02	0.12	0.86
75	RAVXOD	2.9863145151	0.02	0.13	0.85
76	RAVXOD	2.7054768451	0.02	0.14	0.84
77	RAVXOD	2.7535237021	0.02	0.15	0.83
78	RAVXOD	2.5638091455	0.02	0.16	0.82
79	RAVXOD	2.9893305087	0.02	0.17	0.81
80	RAVXOD	2.3711992286	0.02	0.18	0.8
81	RAVXOD	2.7635007096	0.02	0.19	0.79
82	RAVXOD	2.9251779553	0.02	0.2	0.78
83	RAVXOD	2.9353888185	0.02	0.21	0.77
84	RAVXOD	2.9789907965	0.02	0.22	0.76
85	RAVXOD	3.1896016431	0.02	0.23	0.75
86	RAVXOD	3.0271007048	0.02	0.24	0.74
87	RAVXOD	3.1800172371	0.02	0.25	0.73
88	RAVXOD	2.6183112651	0.02	0.26	0.72
89	RAVXOD	2.7339400761	0.02	0.27	0.71
90	RAVXOD	2.6574283441	0.02	0.28	0.7
91	RAVXOD	3.0584102757	0.02	0.29	0.69
92	RAVXOD	2.9537459747	0.02	0.3	0.68
93	RAVXOD	3.4382261163	0.03	0.0	0.97
94	RAVXOD	3.2046559713	0.03	0.01	0.96
95	RAVXOD	3.2752876302	0.03	0.02	0.95
96	RAVXOD	3.333636653	0.03	0.03	0.94
97	RAVXOD	3.6969080582	0.03	0.04	0.93
98	RAVXOD	3.3352186062	0.03	0.05	0.92
99	RAVXOD	3.6599821609	0.03	0.06	0.91
100	RAVXOD	2.8804513613	0.03	0.07	0.9
101	RAVXOD	3.5217443901	0.03	0.08	0.89
102	RAVXOD	3.3181619948	0.03	0.09	0.88
