Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	RUTNOK	1.0843450131	0.0	0.0	1.0
1	RUTNOK	1.2273834487	0.0	0.01	0.99
2	RUTNOK	1.1701599673	0.0	0.02	0.98
3	RUTNOK	1.0515234492	0.0	0.03	0.97
4	RUTNOK	1.0354803755	0.0	0.04	0.96
5	RUTNOK	1.317367691	0.0	0.05	0.95
6	RUTNOK	1.222478744	0.0	0.06	0.94
7	RUTNOK	1.1254646178	0.0	0.07	0.93
8	RUTNOK	0.96707799	0.0	0.08	0.92
9	RUTNOK	1.1659096088	0.0	0.09	0.91
10	RUTNOK	1.0919279049	0.0	0.1	0.9
11	RUTNOK	1.3194117997	0.0	0.11	0.89
12	RUTNOK	1.1331083125	0.0	0.12	0.88
13	RUTNOK	1.1309831332	0.0	0.13	0.87
14	RUTNOK	1.2035548069	0.0	0.14	0.86
15	RUTNOK	1.2084392439	0.0	0.15	0.85
16	RUTNOK	1.0730850383	0.0	0.16	0.84
17	RUTNOK	1.2174929689	0.0	0.17	0.83
18	RUTNOK	1.1400368583	0.0	0.18	0.82
19	RUTNOK	1.123973517	0.0	0.19	0.81
20	RUTNOK	1.0702852453	0.0	0.2	0.8
21	RUTNOK	1.1909456046	0.0	0.21	0.79
22	RUTNOK	1.2237469009	0.0	0.22	0.78
23	RUTNOK	1.2704863592	0.0	0.23	0.77
24	RUTNOK	1.1881458116	0.0	0.24	0.76
25	RUTNOK	1.1902304556	0.0	0.25	0.75
26	RUTNOK	1.3074164083	0.0	0.26	0.74
27	RUTNOK	1.269730675	0.0	0.27	0.73
28	RUTNOK	1.217432166	0.0	0.28	0.72
29	RUTNOK	1.1295123001	0.0	0.29	0.71
30	RUTNOK	1.2662360006	0.0	0.3	0.7
31	RUTNOK	1.2112857375	0.01	0.0	0.99
32	RUTNOK	1.3452676792	0.01	0.01	0.98
33	RUTNOK	1.009650929	0.01	0.02	0.97
34	RUTNOK	1.2894213717	0.01	0.03	0.96
35	RUTNOK	1.21197785	0.01	0.04	0.95
36	RUTNOK	1.2398471229	0.01	0.05	0.94
37	RUTNOK	1.1673104468	0.01	0.06	0.93
38	RUTNOK	1.1687051195	0.01	0.07	0.92
39	RUTNOK	1.147054781	0.01	0.08	0.91
40	RUTNOK	1.1770513744	0.01	0.09	0.9
41	RUTNOK	1.2886432788	0.01	0.1	0.89
42	RUTNOK	1.3256390407	0.01	0.11	0.88
43	RUTNOK	1.3339803856	0.01	0.12	0.87
44	RUTNOK	1.3311756826	0.01	0.13	0.86
45	RUTNOK	1.2733049064	0.01	0.14	0.85
46	RUTNOK	1.2997837889	0.01	0.15	0.84
47	RUTNOK	1.2404980724	0.01	0.16	0.83
48	RUTNOK	1.4211697448	0.01	0.17	0.82
49	RUTNOK	1.3199940094	0.01	0.18	0.81
50	RUTNOK	1.2634703196	0.01	0.19	0.8
51	RUTNOK	1.3625614109	0.01	0.2	0.79
52	RUTNOK	1.3025584043	0.01	0.21	0.78
53	RUTNOK	1.3576057233	0.01	0.22	0.77
54	RUTNOK	1.2572108497	0.01	0.23	0.76
55	RUTNOK	1.2620547515	0.01	0.24	0.75
56	RUTNOK	1.2801677392	0.01	0.25	0.74
57	RUTNOK	1.3346187464	0.01	0.26	0.73
58	RUTNOK	1.3562586371	0.01	0.27	0.72
59	RUTNOK	1.2767206514	0.01	0.28	0.71
60	RUTNOK	1.1853033423	0.01	0.29	0.7
61	RUTNOK	1.2760104123	0.01	0.3	0.69
62	RUTNOK	1.1693957186	0.02	0.0	0.98
63	RUTNOK	1.2775258051	0.02	0.01	0.97
64	RUTNOK	1.2105334498	0.02	0.02	0.96
65	RUTNOK	1.4554222344	0.02	0.03	0.95
66	RUTNOK	1.1309773375	0.02	0.04	0.94
67	RUTNOK	1.3270447887	0.02	0.05	0.93
68	RUTNOK	1.2739807754	0.02	0.06	0.92
69	RUTNOK	1.3179582072	0.02	0.07	0.91
70	RUTNOK	1.2433089407	0.02	0.08	0.9
71	RUTNOK	1.2216662811	0.02	0.09	0.89
72	RUTNOK	1.1679697029	0.02	0.1	0.88
73	RUTNOK	1.316555228	0.02	0.11	0.87
74	RUTNOK	1.3402622641	0.02	0.12	0.86
75	RUTNOK	1.3102558508	0.02	0.13	0.85
76	RUTNOK	1.341619798	0.02	0.14	0.84
77	RUTNOK	1.398797834	0.02	0.15	0.83
78	RUTNOK	1.2879078621	0.02	0.16	0.82
79	RUTNOK	1.2592807639	0.02	0.17	0.81
80	RUTNOK	1.20136026	0.02	0.18	0.8
81	RUTNOK	1.4294908221	0.02	0.19	0.79
82	RUTNOK	1.3136743645	0.02	0.2	0.78
83	RUTNOK	1.2202031267	0.02	0.21	0.77
84	RUTNOK	1.3638833196	0.02	0.22	0.76
85	RUTNOK	1.327625743	0.02	0.23	0.75
86	RUTNOK	1.3080999562	0.02	0.24	0.74
87	RUTNOK	1.1560231532	0.02	0.25	0.73
