Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	SAPBIW	0.8870520605	0.0	0.0	1.0
1	SAPBIW	0.9056115996	0.0	0.01	0.99
2	SAPBIW	0.9313435458	0.0	0.02	0.98
3	SAPBIW	0.8892695026	0.0	0.03	0.97
4	SAPBIW	0.9193472862	0.0	0.04	0.96
5	SAPBIW	0.8875535661	0.0	0.05	0.95
6	SAPBIW	0.9047192138	0.0	0.06	0.94
7	SAPBIW	0.9157766521	0.0	0.07	0.93
8	SAPBIW	0.914189916	0.0	0.08	0.92
9	SAPBIW	0.936372261	0.0	0.09	0.91
10	SAPBIW	0.9157613554	0.0	0.1	0.9
11	SAPBIW	0.9331313204	0.0	0.11	0.89
12	SAPBIW	0.9418885516	0.0	0.12	0.88
13	SAPBIW	0.9260053488	0.0	0.13	0.87
14	SAPBIW	0.9078372355	0.0	0.14	0.86
15	SAPBIW	0.9787841916	0.0	0.15	0.85
16	SAPBIW	0.9099948575	0.0	0.16	0.84
17	SAPBIW	0.9706150552	0.0	0.17	0.83
18	SAPBIW	0.924343496	0.0	0.18	0.82
19	SAPBIW	0.9303186808	0.0	0.19	0.81
20	SAPBIW	0.9352583492	0.0	0.2	0.8
21	SAPBIW	0.9319556764	0.0	0.21	0.79
22	SAPBIW	0.9103576021	0.0	0.22	0.78
23	SAPBIW	0.9325959429	0.0	0.23	0.77
24	SAPBIW	0.9774812591	0.0	0.24	0.76
25	SAPBIW	0.9374719671	0.0	0.25	0.75
26	SAPBIW	0.9685292712	0.0	0.26	0.74
27	SAPBIW	0.9655524679	0.0	0.27	0.73
28	SAPBIW	0.9718726431	0.0	0.28	0.72
29	SAPBIW	0.9539629308	0.0	0.29	0.71
30	SAPBIW	0.9607362638	0.0	0.3	0.7
31	SAPBIW	0.9315189068	0.01	0.0	0.99
32	SAPBIW	0.9494207094	0.01	0.01	0.98
33	SAPBIW	1.008134299	0.01	0.02	0.97
34	SAPBIW	0.958353897	0.01	0.03	0.96
35	SAPBIW	0.9519030133	0.01	0.04	0.95
36	SAPBIW	0.9482778322	0.01	0.05	0.94
37	SAPBIW	1.0221285052	0.01	0.06	0.93
38	SAPBIW	0.9944017108	0.01	0.07	0.92
39	SAPBIW	0.92580635	0.01	0.08	0.91
40	SAPBIW	0.9979511937	0.01	0.09	0.9
41	SAPBIW	0.9729896165	0.01	0.1	0.89
42	SAPBIW	0.9863547326	0.01	0.11	0.88
43	SAPBIW	1.016558617	0.01	0.12	0.87
44	SAPBIW	0.9623099824	0.01	0.13	0.86
45	SAPBIW	0.9630965155	0.01	0.14	0.85
46	SAPBIW	1.0083172616	0.01	0.15	0.84
47	SAPBIW	0.9853293814	0.01	0.16	0.83
48	SAPBIW	1.0077083952	0.01	0.17	0.82
49	SAPBIW	0.9915024227	0.01	0.18	0.81
50	SAPBIW	0.9483241478	0.01	0.19	0.8
51	SAPBIW	1.0200067364	0.01	0.2	0.79
52	SAPBIW	1.0080200965	0.01	0.21	0.78
53	SAPBIW	1.0101731699	0.01	0.22	0.77
54	SAPBIW	1.0300477777	0.01	0.23	0.76
55	SAPBIW	0.9804284652	0.01	0.24	0.75
56	SAPBIW	1.008653035	0.01	0.25	0.74
57	SAPBIW	1.0708480922	0.01	0.26	0.73
58	SAPBIW	1.0476145545	0.01	0.27	0.72
59	SAPBIW	1.0198244363	0.01	0.28	0.71
60	SAPBIW	1.023438953	0.01	0.29	0.7
61	SAPBIW	1.0036332625	0.01	0.3	0.69
62	SAPBIW	1.0519382299	0.02	0.0	0.98
63	SAPBIW	0.9452446395	0.02	0.01	0.97
64	SAPBIW	1.0215826631	0.02	0.02	0.96
65	SAPBIW	1.01987434	0.02	0.03	0.95
66	SAPBIW	1.0669958744	0.02	0.04	0.94
67	SAPBIW	1.026565608	0.02	0.05	0.93
68	SAPBIW	1.0852220976	0.02	0.06	0.92
69	SAPBIW	1.0257751918	0.02	0.07	0.91
70	SAPBIW	1.0298551816	0.02	0.08	0.9
71	SAPBIW	1.0551153716	0.02	0.09	0.89
