Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	WIYMOG	0.8965742998	0.0	0.0	1.0
1	WIYMOG	0.9183538059	0.0	0.01	0.99
2	WIYMOG	0.8513640935	0.0	0.02	0.98
3	WIYMOG	0.9193715226	0.0	0.03	0.97
4	WIYMOG	0.8800727485	0.0	0.04	0.96
5	WIYMOG	0.8787276028	0.0	0.05	0.95
6	WIYMOG	0.9218510616	0.0	0.06	0.94
7	WIYMOG	0.8613463924	0.0	0.07	0.93
8	WIYMOG	0.8797367671	0.0	0.08	0.92
9	WIYMOG	0.8136480947	0.0	0.09	0.91
10	WIYMOG	0.8895981131	0.0	0.1	0.9
11	WIYMOG	0.9085920319	0.0	0.11	0.89
12	WIYMOG	0.844090411	0.0	0.12	0.88
13	WIYMOG	0.8789823369	0.0	0.13	0.87
14	WIYMOG	0.8985455904	0.0	0.14	0.86
15	WIYMOG	0.8882444149	0.0	0.15	0.85
16	WIYMOG	0.857608451	0.0	0.16	0.84
17	WIYMOG	0.9110459139	0.0	0.17	0.83
18	WIYMOG	0.9134045001	0.0	0.18	0.82
19	WIYMOG	0.9272328645	0.0	0.19	0.81
20	WIYMOG	0.911326305	0.0	0.2	0.8
21	WIYMOG	0.9093989961	0.0	0.21	0.79
22	WIYMOG	0.9643196622	0.0	0.22	0.78
23	WIYMOG	0.935904227	0.0	0.23	0.77
24	WIYMOG	0.8169602549	0.0	0.24	0.76
25	WIYMOG	0.9628150781	0.0	0.25	0.75
26	WIYMOG	0.9380777178	0.0	0.26	0.74
27	WIYMOG	0.9336580412	0.0	0.27	0.73
28	WIYMOG	0.9115639345	0.0	0.28	0.72
29	WIYMOG	0.9845774795	0.0	0.29	0.71
30	WIYMOG	0.9407081429	0.0	0.3	0.7
31	WIYMOG	0.9139076468	0.01	0.0	0.99
32	WIYMOG	0.8828387855	0.01	0.01	0.98
33	WIYMOG	0.9231771088	0.01	0.02	0.97
34	WIYMOG	0.9462830359	0.01	0.03	0.96
35	WIYMOG	0.9100472649	0.01	0.04	0.95
36	WIYMOG	0.8985645258	0.01	0.05	0.94
37	WIYMOG	0.952585772	0.01	0.06	0.93
38	WIYMOG	0.9449305062	0.01	0.07	0.92
39	WIYMOG	1.0407589627	0.01	0.08	0.91
40	WIYMOG	0.9352092895	0.01	0.09	0.9
41	WIYMOG	0.9271087496	0.01	0.1	0.89
42	WIYMOG	0.9591964959	0.01	0.11	0.88
43	WIYMOG	1.0030493121	0.01	0.12	0.87
44	WIYMOG	0.9870019065	0.01	0.13	0.86
45	WIYMOG	0.9746242884	0.01	0.14	0.85
46	WIYMOG	0.9335575113	0.01	0.15	0.84
47	WIYMOG	1.0056621805	0.01	0.16	0.83
48	WIYMOG	0.9725429856	0.01	0.17	0.82
49	WIYMOG	1.0187552915	0.01	0.18	0.81
50	WIYMOG	0.9821099435	0.01	0.19	0.8
51	WIYMOG	1.0141848612	0.01	0.2	0.79
52	WIYMOG	0.9513362412	0.01	0.21	0.78
53	WIYMOG	0.9894467843	0.01	0.22	0.77
54	WIYMOG	1.0163810882	0.01	0.23	0.76
55	WIYMOG	1.0677362124	0.01	0.24	0.75
56	WIYMOG	1.0674407884	0.01	0.25	0.74
57	WIYMOG	1.0602324167	0.01	0.26	0.73
58	WIYMOG	1.0054641242	0.01	0.27	0.72
59	WIYMOG	0.9773547372	0.01	0.28	0.71
60	WIYMOG	1.1039284505	0.01	0.29	0.7
61	WIYMOG	1.0147138254	0.01	0.3	0.69
62	WIYMOG	1.0153089762	0.02	0.0	0.98
63	WIYMOG	0.9949907082	0.02	0.01	0.97
64	WIYMOG	1.0301683376	0.02	0.02	0.96
65	WIYMOG	1.0484178662	0.02	0.03	0.95
66	WIYMOG	0.9528646211	0.02	0.04	0.94
67	WIYMOG	0.927243193	0.02	0.05	0.93
68	WIYMOG	0.9658211621	0.02	0.06	0.92
69	WIYMOG	0.9968678715	0.02	0.07	0.91
70	WIYMOG	1.0178895203	0.02	0.08	0.9
71	WIYMOG	1.0251114916	0.02	0.09	0.89
72	WIYMOG	1.003761775	0.02	0.1	0.88
73	WIYMOG	0.9968342463	0.02	0.11	0.87
74	WIYMOG	1.0005096652	0.02	0.12	0.86
75	WIYMOG	1.0415736537	0.02	0.13	0.85
76	WIYMOG	1.0735105141	0.02	0.14	0.84
77	WIYMOG	1.1082393097	0.02	0.15	0.83
78	WIYMOG	1.0582013375	0.02	0.16	0.82
79	WIYMOG	1.0687851086	0.02	0.17	0.81
80	WIYMOG	1.0973446301	0.02	0.18	0.8
81	WIYMOG	1.0863102728	0.02	0.19	0.79
82	WIYMOG	1.0400743818	0.02	0.2	0.78
83	WIYMOG	1.0176997514	0.02	0.21	0.77
84	WIYMOG	1.0338854013	0.02	0.22	0.76
85	WIYMOG	1.0263674218	0.02	0.23	0.75
86	WIYMOG	1.0578569362	0.02	0.24	0.74
87	WIYMOG	1.1719185334	0.02	0.25	0.73
88	WIYMOG	1.0003193121	0.02	0.26	0.72
89	WIYMOG	1.0995082677	0.02	0.27	0.71
90	WIYMOG	1.1033161127	0.02	0.28	0.7
91	WIYMOG	1.0996389412	0.02	0.29	0.69
92	WIYMOG	1.091533089	0.02	0.3	0.68
93	WIYMOG	1.082265593	0.03	0.0	0.97
94	WIYMOG	1.1027013867	0.03	0.01	0.96
95	WIYMOG	1.0061537996	0.03	0.02	0.95
96	WIYMOG	1.0299896681	0.03	0.03	0.94
97	WIYMOG	1.0632414216	0.03	0.04	0.93
98	WIYMOG	1.091946704	0.03	0.05	0.92
99	WIYMOG	1.0922267757	0.03	0.06	0.91
100	WIYMOG	1.0226077288	0.03	0.07	0.9
101	WIYMOG	1.0501206363	0.03	0.08	0.89
102	WIYMOG	1.1113549277	0.03	0.09	0.88
103	WIYMOG	1.0617182451	0.03	0.1	0.87
104	WIYMOG	1.1178194935	0.03	0.11	0.86
105	WIYMOG	1.1635839471	0.03	0.12	0.85
106	WIYMOG	1.1061793333	0.03	0.13	0.84
107	WIYMOG	1.0334578397	0.03	0.14	0.83
108	WIYMOG	1.1113297225	0.03	0.15	0.82
109	WIYMOG	1.0678904946	0.03	0.16	0.81
110	WIYMOG	1.0564074361	0.03	0.17	0.8
111	WIYMOG	1.084504127	0.03	0.18	0.79
112	WIYMOG	1.0849513406	0.03	0.19	0.78
113	WIYMOG	1.1151147533	0.03	0.2	0.77
114	WIYMOG	1.1382392728	0.03	0.21	0.76
115	WIYMOG	1.1131866732	0.03	0.22	0.75
116	WIYMOG	1.163215057	0.03	0.23	0.74
117	WIYMOG	1.1225860376	0.03	0.24	0.73
118	WIYMOG	1.1620329093	0.03	0.25	0.72
119	WIYMOG	1.1874867983	0.03	0.26	0.71
120	WIYMOG	1.1643748425	0.03	0.27	0.7
