Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XAFXOT	1.8562501135	0.0	0.0	1.0
1	XAFXOT	2.0475477121	0.0	0.01	0.99
2	XAFXOT	2.1792913293	0.0	0.02	0.98
3	XAFXOT	1.9391721829	0.0	0.03	0.97
4	XAFXOT	1.9834109958	0.0	0.04	0.96
5	XAFXOT	2.0357904481	0.0	0.05	0.95
6	XAFXOT	2.0821625658	0.0	0.06	0.94
7	XAFXOT	1.9336015271	0.0	0.07	0.93
8	XAFXOT	1.9140080052	0.0	0.08	0.92
9	XAFXOT	2.1324528126	0.0	0.09	0.91
10	XAFXOT	2.0367956247	0.0	0.1	0.9
11	XAFXOT	1.9265168742	0.0	0.11	0.89
12	XAFXOT	2.016503464	0.0	0.12	0.88
13	XAFXOT	2.0718399679	0.0	0.13	0.87
14	XAFXOT	1.8439063757	0.0	0.14	0.86
15	XAFXOT	2.0081193194	0.0	0.15	0.85
16	XAFXOT	1.8977238495	0.0	0.16	0.84
17	XAFXOT	2.1623766005	0.0	0.17	0.83
18	XAFXOT	1.903198397	0.0	0.18	0.82
19	XAFXOT	1.9259454997	0.0	0.19	0.81
20	XAFXOT	1.932703961	0.0	0.2	0.8
21	XAFXOT	1.9768751867	0.0	0.21	0.79
22	XAFXOT	1.9434872043	0.0	0.22	0.78
23	XAFXOT	1.8970374332	0.0	0.23	0.77
24	XAFXOT	1.8659687399	0.0	0.24	0.76
25	XAFXOT	1.9807731831	0.0	0.25	0.75
26	XAFXOT	1.7873305359	0.0	0.26	0.74
27	XAFXOT	2.0229144018	0.0	0.27	0.73
28	XAFXOT	1.9404898876	0.0	0.28	0.72
29	XAFXOT	1.9101756763	0.0	0.29	0.71
30	XAFXOT	1.8641134517	0.0	0.3	0.7
31	XAFXOT	64.8449677751	0.01	0.0	0.99
32	XAFXOT	64.2298083153	0.01	0.01	0.98
33	XAFXOT	67.367953355	0.01	0.02	0.97
34	XAFXOT	66.3626377024	0.01	0.03	0.96
35	XAFXOT	67.4594863236	0.01	0.04	0.95
36	XAFXOT	66.6065489236	0.01	0.05	0.94
37	XAFXOT	68.4486544352	0.01	0.06	0.93
38	XAFXOT	68.7732454811	0.01	0.07	0.92
39	XAFXOT	68.4350676429	0.01	0.08	0.91
40	XAFXOT	64.6864408437	0.01	0.09	0.9
41	XAFXOT	68.5268042498	0.01	0.1	0.89
42	XAFXOT	66.9193665866	0.01	0.11	0.88
43	XAFXOT	61.5672449472	0.01	0.12	0.87
44	XAFXOT	66.5966479155	0.01	0.13	0.86
45	XAFXOT	67.5669253643	0.01	0.14	0.85
46	XAFXOT	65.9750097247	0.01	0.15	0.84
47	XAFXOT	66.9100156652	0.01	0.16	0.83
48	XAFXOT	62.0863535667	0.01	0.17	0.82
49	XAFXOT	66.3223777604	0.01	0.18	0.81
50	XAFXOT	67.6921979433	0.01	0.19	0.8
51	XAFXOT	66.1339114432	0.01	0.2	0.79
52	XAFXOT	65.0162227931	0.01	0.21	0.78
53	XAFXOT	67.228583516	0.01	0.22	0.77
54	XAFXOT	64.9037116339	0.01	0.23	0.76
55	XAFXOT	64.1066812943	0.01	0.24	0.75
56	XAFXOT	65.7896573906	0.01	0.25	0.74
57	XAFXOT	68.8364068841	0.01	0.26	0.73
58	XAFXOT	62.4778767905	0.01	0.27	0.72
59	XAFXOT	66.7255735252	0.01	0.28	0.71
60	XAFXOT	69.9990373487	0.01	0.29	0.7
61	XAFXOT	67.9864899107	0.01	0.3	0.69
62	XAFXOT	77.907430961	0.02	0.0	0.98
63	XAFXOT	74.4707116306	0.02	0.01	0.97
64	XAFXOT	75.1734699443	0.02	0.02	0.96
65	XAFXOT	78.1005003737	0.02	0.03	0.95
66	XAFXOT	75.5559256706	0.02	0.04	0.94
67	XAFXOT	70.323248934	0.02	0.05	0.93
68	XAFXOT	75.8906624397	0.02	0.06	0.92
69	XAFXOT	78.6152083341	0.02	0.07	0.91
70	XAFXOT	77.2463455491	0.02	0.08	0.9
71	XAFXOT	77.3688646202	0.02	0.09	0.89
72	XAFXOT	74.755478519	0.02	0.1	0.88
73	XAFXOT	73.8085377414	0.02	0.11	0.87
74	XAFXOT	75.5163852821	0.02	0.12	0.86
75	XAFXOT	76.1898019766	0.02	0.13	0.85
76	XAFXOT	75.6920448905	0.02	0.14	0.84
77	XAFXOT	75.2474106914	0.02	0.15	0.83
78	XAFXOT	78.2252814289	0.02	0.16	0.82
79	XAFXOT	77.1543112716	0.02	0.17	0.81
80	XAFXOT	77.0514963361	0.02	0.18	0.8
81	XAFXOT	76.9281710562	0.02	0.19	0.79
82	XAFXOT	75.5954411745	0.02	0.2	0.78
83	XAFXOT	75.0971381005	0.02	0.21	0.77
84	XAFXOT	74.9941845713	0.02	0.22	0.76
85	XAFXOT	74.1973720913	0.02	0.23	0.75
86	XAFXOT	75.9802215254	0.02	0.24	0.74
87	XAFXOT	77.1298877703	0.02	0.25	0.73
88	XAFXOT	73.3882773572	0.02	0.26	0.72
89	XAFXOT	76.060527488	0.02	0.27	0.71
90	XAFXOT	78.501347101	0.02	0.28	0.7
91	XAFXOT	76.5268876488	0.02	0.29	0.69
92	XAFXOT	73.4449156755	0.02	0.3	0.68
93	XAFXOT	76.5907520762	0.03	0.0	0.97
94	XAFXOT	79.7094569325	0.03	0.01	0.96
95	XAFXOT	81.0765657052	0.03	0.02	0.95
96	XAFXOT	82.7518986744	0.03	0.03	0.94
97	XAFXOT	78.4176827215	0.03	0.04	0.93
98	XAFXOT	79.5319214342	0.03	0.05	0.92
99	XAFXOT	80.6587640475	0.03	0.06	0.91
100	XAFXOT	82.5523409534	0.03	0.07	0.9
101	XAFXOT	81.0471081276	0.03	0.08	0.89
102	XAFXOT	83.1156063747	0.03	0.09	0.88
103	XAFXOT	79.6714842656	0.03	0.1	0.87
104	XAFXOT	80.7772200607	0.03	0.11	0.86
105	XAFXOT	79.9915560819	0.03	0.12	0.85
106	XAFXOT	80.4585987188	0.03	0.13	0.84
107	XAFXOT	77.1084142337	0.03	0.14	0.83
108	XAFXOT	81.9243885133	0.03	0.15	0.82
109	XAFXOT	79.4932806724	0.03	0.16	0.81
110	XAFXOT	81.0316833571	0.03	0.17	0.8
111	XAFXOT	79.7439846782	0.03	0.18	0.79
112	XAFXOT	80.0203490629	0.03	0.19	0.78
113	XAFXOT	80.5415408647	0.03	0.2	0.77
114	XAFXOT	78.2372861879	0.03	0.21	0.76
115	XAFXOT	78.0277265996	0.03	0.22	0.75
116	XAFXOT	79.2044345115	0.03	0.23	0.74
117	XAFXOT	78.0084739399	0.03	0.24	0.73
118	XAFXOT	81.1264756133	0.03	0.25	0.72
119	XAFXOT	77.8463137678	0.03	0.26	0.71
120	XAFXOT	83.6612645059	0.03	0.27	0.7
121	XAFXOT	79.1962284728	0.03	0.28	0.69
122	XAFXOT	79.8936371086	0.03	0.29	0.68
123	XAFXOT	83.4546526119	0.03	0.3	0.67
124	XAFXOT	79.6637494503	0.04	0.0	0.96
125	XAFXOT	80.7953964628	0.04	0.01	0.95
126	XAFXOT	81.6491784633	0.04	0.02	0.94
127	XAFXOT	80.9270228769	0.04	0.03	0.93
128	XAFXOT	83.4508106052	0.04	0.04	0.92
129	XAFXOT	79.6791704071	0.04	0.05	0.91
130	XAFXOT	82.1942657834	0.04	0.06	0.9
131	XAFXOT	83.9075616346	0.04	0.07	0.89
132	XAFXOT	81.4366180788	0.04	0.08	0.88
133	XAFXOT	81.9123791061	0.04	0.09	0.87
134	XAFXOT	81.3874711532	0.04	0.1	0.86
135	XAFXOT	80.8888657608	0.04	0.11	0.85
136	XAFXOT	83.0107009928	0.04	0.12	0.84
137	XAFXOT	80.4356181986	0.04	0.13	0.83
138	XAFXOT	82.6208507205	0.04	0.14	0.82
139	XAFXOT	81.2064353353	0.04	0.15	0.81
140	XAFXOT	81.6220372991	0.04	0.16	0.8
141	XAFXOT	84.1185475307	0.04	0.17	0.79
142	XAFXOT	83.8404053566	0.04	0.18	0.78
143	XAFXOT	83.0153151448	0.04	0.19	0.77
144	XAFXOT	83.3443812945	0.04	0.2	0.76
145	XAFXOT	80.6802130418	0.04	0.21	0.75
146	XAFXOT	82.8821319791	0.04	0.22	0.74
147	XAFXOT	83.4317817245	0.04	0.23	0.73
148	XAFXOT	83.5811301893	0.04	0.24	0.72
149	XAFXOT	83.8039122075	0.04	0.25	0.71
150	XAFXOT	84.7837875329	0.04	0.26	0.7
151	XAFXOT	81.3728705268	0.04	0.27	0.69
152	XAFXOT	80.2359730482	0.04	0.28	0.68
153	XAFXOT	81.0373332389	0.04	0.29	0.67
154	XAFXOT	83.3069744401	0.04	0.3	0.66
155	XAFXOT	82.0716992791	0.05	0.0	0.95
156	XAFXOT	82.9324232039	0.05	0.01	0.94
157	XAFXOT	80.9442201746	0.05	0.02	0.93
158	XAFXOT	85.4763931964	0.05	0.03	0.92
159	XAFXOT	83.5966156588	0.05	0.04	0.91
160	XAFXOT	83.3349702151	0.05	0.05	0.9
161	XAFXOT	85.5666140338	0.05	0.06	0.89
162	XAFXOT	85.2693712886	0.05	0.07	0.88
163	XAFXOT	84.05504933	0.05	0.08	0.87
164	XAFXOT	84.1445987691	0.05	0.09	0.86
165	XAFXOT	86.9139485758	0.05	0.1	0.85
166	XAFXOT	84.1341991332	0.05	0.11	0.84
167	XAFXOT	83.6724106723	0.05	0.12	0.83
168	XAFXOT	83.3561587418	0.05	0.13	0.82
169	XAFXOT	84.427646816	0.05	0.14	0.81
170	XAFXOT	86.0049701657	0.05	0.15	0.8
171	XAFXOT	85.4297518375	0.05	0.16	0.79
172	XAFXOT	83.6873673457	0.05	0.17	0.78
173	XAFXOT	84.6075390957	0.05	0.18	0.77
174	XAFXOT	83.4564393217	0.05	0.19	0.76
175	XAFXOT	83.2011427318	0.05	0.2	0.75
176	XAFXOT	80.9383814114	0.05	0.21	0.74
177	XAFXOT	85.1332941357	0.05	0.22	0.73
178	XAFXOT	82.9828656913	0.05	0.23	0.72
179	XAFXOT	83.436578985	0.05	0.24	0.71
180	XAFXOT	84.5251445632	0.05	0.25	0.7
181	XAFXOT	84.3598680215	0.05	0.26	0.69
182	XAFXOT	84.1651385289	0.05	0.27	0.68
183	XAFXOT	82.5120647018	0.05	0.28	0.67
184	XAFXOT	82.3230648499	0.05	0.29	0.66
185	XAFXOT	82.8778600552	0.05	0.3	0.65
186	XAFXOT	83.6746636974	0.06	0.0	0.94
187	XAFXOT	85.4337389289	0.06	0.01	0.93
188	XAFXOT	87.2674997602	0.06	0.02	0.92
189	XAFXOT	83.6029652734	0.06	0.03	0.91
190	XAFXOT	82.6906422132	0.06	0.04	0.9
191	XAFXOT	86.5190643525	0.06	0.05	0.89
192	XAFXOT	86.1485443281	0.06	0.06	0.88
193	XAFXOT	84.401029925	0.06	0.07	0.87
194	XAFXOT	86.5210874195	0.06	0.08	0.86
195	XAFXOT	84.3376470684	0.06	0.09	0.85
196	XAFXOT	85.6889570098	0.06	0.1	0.84
197	XAFXOT	83.3426967243	0.06	0.11	0.83
198	XAFXOT	85.8525623937	0.06	0.12	0.82
199	XAFXOT	85.9658791995	0.06	0.13	0.81
200	XAFXOT	85.0623448061	0.06	0.14	0.8
201	XAFXOT	84.9532200186	0.06	0.15	0.79
202	XAFXOT	84.8819279505	0.06	0.16	0.78
203	XAFXOT	85.3319988503	0.06	0.17	0.77
204	XAFXOT	85.0525794	0.06	0.18	0.76
205	XAFXOT	84.2154752798	0.06	0.19	0.75
206	XAFXOT	86.5303150879	0.06	0.2	0.74
207	XAFXOT	85.4077441694	0.06	0.21	0.73
208	XAFXOT	85.0180503486	0.06	0.22	0.72
209	XAFXOT	83.1043947359	0.06	0.23	0.71
210	XAFXOT	82.5033007329	0.06	0.24	0.7
211	XAFXOT	87.3527484611	0.06	0.25	0.69
212	XAFXOT	84.3640812052	0.06	0.26	0.68
213	XAFXOT	85.3860863263	0.06	0.27	0.67
214	XAFXOT	85.1193112524	0.06	0.28	0.66
215	XAFXOT	84.1724129268	0.06	0.29	0.65
216	XAFXOT	87.0477635022	0.06	0.3	0.64
217	XAFXOT	83.2037452797	0.07	0.0	0.93
218	XAFXOT	85.3914139567	0.07	0.01	0.92
219	XAFXOT	85.4053142147	0.07	0.02	0.91
