Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XAHQAA	1.3661613843	0.0	0.0	1.0
1	XAHQAA	1.501813066	0.0	0.01	0.99
2	XAHQAA	1.3747136381	0.0	0.02	0.98
3	XAHQAA	1.5956053667	0.0	0.03	0.97
4	XAHQAA	1.5824599637	0.0	0.04	0.96
5	XAHQAA	1.4437657132	0.0	0.05	0.95
6	XAHQAA	1.510838236	0.0	0.06	0.94
7	XAHQAA	1.5748681899	0.0	0.07	0.93
8	XAHQAA	1.5314728764	0.0	0.08	0.92
9	XAHQAA	1.4427319929	0.0	0.09	0.91
10	XAHQAA	1.493158276	0.0	0.1	0.9
11	XAHQAA	1.5551500854	0.0	0.11	0.89
12	XAHQAA	1.5733029614	0.0	0.12	0.88
13	XAHQAA	1.4442386292	0.0	0.13	0.87
14	XAHQAA	1.5934500378	0.0	0.14	0.86
15	XAHQAA	1.4698953907	0.0	0.15	0.85
16	XAHQAA	1.4537513631	0.0	0.16	0.84
17	XAHQAA	1.4719188872	0.0	0.17	0.83
18	XAHQAA	1.4335896387	0.0	0.18	0.82
19	XAHQAA	1.6700352945	0.0	0.19	0.81
20	XAHQAA	1.5111793196	0.0	0.2	0.8
21	XAHQAA	1.4597925564	0.0	0.21	0.79
22	XAHQAA	1.586316532	0.0	0.22	0.78
23	XAHQAA	1.5625807308	0.0	0.23	0.77
24	XAHQAA	1.5978967065	0.0	0.24	0.76
25	XAHQAA	1.5399225938	0.0	0.25	0.75
26	XAHQAA	1.5161574965	0.0	0.26	0.74
27	XAHQAA	1.7204029854	0.0	0.27	0.73
28	XAHQAA	1.6013975433	0.0	0.28	0.72
29	XAHQAA	1.5943519257	0.0	0.29	0.71
30	XAHQAA	1.6069218764	0.0	0.3	0.7
31	XAHQAA	1.4841320123	0.01	0.0	0.99
32	XAHQAA	1.665673419	0.01	0.01	0.98
33	XAHQAA	1.4876403998	0.01	0.02	0.97
34	XAHQAA	1.4941802566	0.01	0.03	0.96
35	XAHQAA	1.6787369371	0.01	0.04	0.95
36	XAHQAA	1.5072650664	0.01	0.05	0.94
37	XAHQAA	1.5032580153	0.01	0.06	0.93
38	XAHQAA	1.6111273565	0.01	0.07	0.92
39	XAHQAA	1.5062404444	0.01	0.08	0.91
40	XAHQAA	1.4023544079	0.01	0.09	0.9
41	XAHQAA	1.5899425576	0.01	0.1	0.89
42	XAHQAA	1.5788534958	0.01	0.11	0.88
43	XAHQAA	1.5676916474	0.01	0.12	0.87
44	XAHQAA	1.6176010703	0.01	0.13	0.86
45	XAHQAA	1.6831669568	0.01	0.14	0.85
46	XAHQAA	1.5914021549	0.01	0.15	0.84
47	XAHQAA	1.5803106383	0.01	0.16	0.83
48	XAHQAA	1.709868538	0.01	0.17	0.82
