Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XALTIP	0.8445632493	0.0	0.0	1.0
1	XALTIP	0.8545775343	0.0	0.01	0.99
2	XALTIP	0.8580134875	0.0	0.02	0.98
3	XALTIP	0.89231338	0.0	0.03	0.97
4	XALTIP	0.8633675431	0.0	0.04	0.96
5	XALTIP	0.869234409	0.0	0.05	0.95
6	XALTIP	0.8474658124	0.0	0.06	0.94
7	XALTIP	0.842603987	0.0	0.07	0.93
8	XALTIP	0.8660773301	0.0	0.08	0.92
9	XALTIP	0.8839862016	0.0	0.09	0.91
10	XALTIP	0.9404578829	0.0	0.1	0.9
11	XALTIP	0.8853944342	0.0	0.11	0.89
12	XALTIP	0.8962209834	0.0	0.12	0.88
13	XALTIP	0.8657484762	0.0	0.13	0.87
14	XALTIP	0.8608895908	0.0	0.14	0.86
15	XALTIP	0.8866871687	0.0	0.15	0.85
16	XALTIP	0.8990315685	0.0	0.16	0.84
17	XALTIP	0.9342386434	0.0	0.17	0.83
18	XALTIP	0.9454713248	0.0	0.18	0.82
19	XALTIP	0.9534520093	0.0	0.19	0.81
20	XALTIP	0.9375679184	0.0	0.2	0.8
21	XALTIP	0.8813986313	0.0	0.21	0.79
22	XALTIP	0.9003096031	0.0	0.22	0.78
23	XALTIP	0.9119513566	0.0	0.23	0.77
24	XALTIP	0.974782134	0.0	0.24	0.76
25	XALTIP	0.9207325456	0.0	0.25	0.75
26	XALTIP	0.9197275051	0.0	0.26	0.74
27	XALTIP	0.951587665	0.0	0.27	0.73
28	XALTIP	0.9291281821	0.0	0.28	0.72
29	XALTIP	0.9443986649	0.0	0.29	0.71
30	XALTIP	0.9613944741	0.0	0.3	0.7
31	XALTIP	0.9181023363	0.01	0.0	0.99
32	XALTIP	0.9074768903	0.01	0.01	0.98
33	XALTIP	0.9699095147	0.01	0.02	0.97
34	XALTIP	0.9777971074	0.01	0.03	0.96
35	XALTIP	1.0130105549	0.01	0.04	0.95
36	XALTIP	0.9781004332	0.01	0.05	0.94
37	XALTIP	0.9711115136	0.01	0.06	0.93
38	XALTIP	0.9588740114	0.01	0.07	0.92
39	XALTIP	1.0143065774	0.01	0.08	0.91
40	XALTIP	0.9449800051	0.01	0.09	0.9
41	XALTIP	0.9776621434	0.01	0.1	0.89
42	XALTIP	0.9990110593	0.01	0.11	0.88
43	XALTIP	0.9605371591	0.01	0.12	0.87
44	XALTIP	0.9732899189	0.01	0.13	0.86
45	XALTIP	0.9641778678	0.01	0.14	0.85
46	XALTIP	0.9174234648	0.01	0.15	0.84
47	XALTIP	1.0319820058	0.01	0.16	0.83
48	XALTIP	0.9757063512	0.01	0.17	0.82
49	XALTIP	1.022049765	0.01	0.18	0.81
50	XALTIP	0.9955151553	0.01	0.19	0.8
51	XALTIP	1.0685728615	0.01	0.2	0.79
52	XALTIP	1.0405352298	0.01	0.21	0.78
53	XALTIP	1.0479382071	0.01	0.22	0.77
54	XALTIP	1.0264679508	0.01	0.23	0.76
55	XALTIP	1.0007601232	0.01	0.24	0.75
56	XALTIP	1.0390010354	0.01	0.25	0.74
57	XALTIP	1.0127957561	0.01	0.26	0.73
58	XALTIP	1.0084413535	0.01	0.27	0.72
59	XALTIP	1.0075094464	0.01	0.28	0.71
60	XALTIP	1.0406978028	0.01	0.29	0.7
61	XALTIP	1.0638815347	0.01	0.3	0.69
62	XALTIP	1.0017649248	0.02	0.0	0.98
63	XALTIP	1.1356437828	0.02	0.01	0.97
64	XALTIP	1.0470902047	0.02	0.02	0.96
65	XALTIP	1.134746079	0.02	0.03	0.95
66	XALTIP	1.0014436858	0.02	0.04	0.94
67	XALTIP	1.0315009305	0.02	0.05	0.93
68	XALTIP	1.0893885502	0.02	0.06	0.92
69	XALTIP	1.0155033872	0.02	0.07	0.91
70	XALTIP	1.0413985126	0.02	0.08	0.9
71	XALTIP	1.0381638451	0.02	0.09	0.89
72	XALTIP	0.9856301899	0.02	0.1	0.88
73	XALTIP	1.0912643418	0.02	0.11	0.87
74	XALTIP	1.0466392982	0.02	0.12	0.86
75	XALTIP	1.0365177139	0.02	0.13	0.85
76	XALTIP	1.1006862573	0.02	0.14	0.84
77	XALTIP	1.1039945134	0.02	0.15	0.83
78	XALTIP	1.0543019569	0.02	0.16	0.82
79	XALTIP	1.0706107516	0.02	0.17	0.81
80	XALTIP	1.029599973	0.02	0.18	0.8
81	XALTIP	1.0754503532	0.02	0.19	0.79
82	XALTIP	1.0798859594	0.02	0.2	0.78
83	XALTIP	1.0977108158	0.02	0.21	0.77
84	XALTIP	1.0986001387	0.02	0.22	0.76
85	XALTIP	1.0589267245	0.02	0.23	0.75
86	XALTIP	1.1091164594	0.02	0.24	0.74
87	XALTIP	1.106788883	0.02	0.25	0.73
88	XALTIP	1.1361407609	0.02	0.26	0.72
89	XALTIP	1.0737851951	0.02	0.27	0.71
90	XALTIP	1.1238545375	0.02	0.28	0.7
91	XALTIP	1.0079955934	0.02	0.29	0.69
92	XALTIP	1.0927850767	0.02	0.3	0.68
93	XALTIP	1.0563739756	0.03	0.0	0.97
94	XALTIP	1.1265161538	0.03	0.01	0.96
95	XALTIP	1.0802630205	0.03	0.02	0.95
96	XALTIP	1.1381450335	0.03	0.03	0.94
97	XALTIP	1.0731668017	0.03	0.04	0.93
98	XALTIP	1.1332664625	0.03	0.05	0.92
99	XALTIP	1.1499570287	0.03	0.06	0.91
100	XALTIP	1.1151372412	0.03	0.07	0.9
101	XALTIP	1.1504620416	0.03	0.08	0.89
102	XALTIP	1.1130157538	0.03	0.09	0.88
103	XALTIP	1.1314265697	0.03	0.1	0.87
104	XALTIP	1.1331466376	0.03	0.11	0.86
105	XALTIP	1.2110601607	0.03	0.12	0.85
106	XALTIP	1.1432311696	0.03	0.13	0.84
107	XALTIP	1.1049732011	0.03	0.14	0.83
108	XALTIP	1.086568083	0.03	0.15	0.82
109	XALTIP	1.0921381241	0.03	0.16	0.81
110	XALTIP	1.1207643286	0.03	0.17	0.8
111	XALTIP	1.1572998194	0.03	0.18	0.79
112	XALTIP	1.1203390036	0.03	0.19	0.78
113	XALTIP	1.1188191449	0.03	0.2	0.77
114	XALTIP	1.155245821	0.03	0.21	0.76
115	XALTIP	1.1367280164	0.03	0.22	0.75
116	XALTIP	1.1963155794	0.03	0.23	0.74
117	XALTIP	1.1681850752	0.03	0.24	0.73
118	XALTIP	1.1374140456	0.03	0.25	0.72
119	XALTIP	1.13204476	0.03	0.26	0.71
120	XALTIP	1.1390299363	0.03	0.27	0.7
121	XALTIP	1.1339598315	0.03	0.28	0.69
122	XALTIP	1.1911338484	0.03	0.29	0.68
123	XALTIP	1.1504458617	0.03	0.3	0.67
124	XALTIP	1.1773803562	0.04	0.0	0.96
125	XALTIP	1.1954073014	0.04	0.01	0.95
126	XALTIP	1.2299950328	0.04	0.02	0.94
127	XALTIP	1.1342703515	0.04	0.03	0.93
128	XALTIP	1.1568362929	0.04	0.04	0.92
129	XALTIP	1.1728149912	0.04	0.05	0.91
130	XALTIP	1.1898986873	0.04	0.06	0.9
131	XALTIP	1.1594380684	0.04	0.07	0.89
132	XALTIP	1.2340175505	0.04	0.08	0.88
133	XALTIP	1.2921979037	0.04	0.09	0.87
134	XALTIP	1.2402780762	0.04	0.1	0.86
135	XALTIP	1.1903672692	0.04	0.11	0.85
136	XALTIP	1.1967573555	0.04	0.12	0.84
137	XALTIP	1.1411005678	0.04	0.13	0.83
138	XALTIP	1.1954383432	0.04	0.14	0.82
139	XALTIP	1.2121248555	0.04	0.15	0.81
140	XALTIP	1.2626006407	0.04	0.16	0.8
141	XALTIP	1.2023894447	0.04	0.17	0.79
142	XALTIP	1.1963193763	0.04	0.18	0.78
143	XALTIP	1.2089753918	0.04	0.19	0.77
144	XALTIP	1.2820314539	0.04	0.2	0.76
145	XALTIP	1.2826326809	0.04	0.21	0.75
146	XALTIP	1.2630860056	0.04	0.22	0.74
147	XALTIP	1.2243172353	0.04	0.23	0.73
148	XALTIP	1.3425276611	0.04	0.24	0.72
149	XALTIP	1.2379852314	0.04	0.25	0.71
150	XALTIP	1.2474777579	0.04	0.26	0.7
151	XALTIP	1.2628555398	0.04	0.27	0.69
152	XALTIP	1.2534308129	0.04	0.28	0.68
153	XALTIP	1.2456386686	0.04	0.29	0.67
154	XALTIP	1.3002916208	0.04	0.3	0.66
155	XALTIP	1.2599301125	0.05	0.0	0.95
156	XALTIP	1.2525459262	0.05	0.01	0.94
157	XALTIP	1.2399017992	0.05	0.02	0.93
158	XALTIP	1.2592151225	0.05	0.03	0.92
159	XALTIP	1.254553067	0.05	0.04	0.91
160	XALTIP	1.1845168919	0.05	0.05	0.9
161	XALTIP	1.3241500205	0.05	0.06	0.89
162	XALTIP	1.325079464	0.05	0.07	0.88
163	XALTIP	1.3188841085	0.05	0.08	0.87
164	XALTIP	1.2822480392	0.05	0.09	0.86
165	XALTIP	1.352082345	0.05	0.1	0.85
166	XALTIP	1.2678862006	0.05	0.11	0.84
167	XALTIP	1.3194786897	0.05	0.12	0.83
168	XALTIP	1.2930526216	0.05	0.13	0.82
169	XALTIP	1.3023723682	0.05	0.14	0.81
170	XALTIP	1.2715060189	0.05	0.15	0.8
171	XALTIP	1.3377735151	0.05	0.16	0.79
172	XALTIP	1.4000020051	0.05	0.17	0.78
173	XALTIP	1.2877955297	0.05	0.18	0.77
174	XALTIP	1.3434342383	0.05	0.19	0.76
175	XALTIP	1.3334856161	0.05	0.2	0.75
176	XALTIP	1.2730938806	0.05	0.21	0.74
177	XALTIP	1.3382584785	0.05	0.22	0.73
178	XALTIP	1.3369366546	0.05	0.23	0.72
179	XALTIP	1.3215399905	0.05	0.24	0.71
180	XALTIP	1.3523955117	0.05	0.25	0.7
181	XALTIP	1.305637328	0.05	0.26	0.69
182	XALTIP	1.2845989887	0.05	0.27	0.68
183	XALTIP	1.3557126252	0.05	0.28	0.67
184	XALTIP	1.3326651906	0.05	0.29	0.66
185	XALTIP	1.3791859684	0.05	0.3	0.65
186	XALTIP	1.3283212328	0.06	0.0	0.94
187	XALTIP	1.3723505651	0.06	0.01	0.93
188	XALTIP	1.3600753894	0.06	0.02	0.92
189	XALTIP	1.3967020176	0.06	0.03	0.91
190	XALTIP	1.3520759511	0.06	0.04	0.9
191	XALTIP	1.3546044487	0.06	0.05	0.89
192	XALTIP	1.3614809015	0.06	0.06	0.88
193	XALTIP	1.3933600346	0.06	0.07	0.87
194	XALTIP	1.3165427266	0.06	0.08	0.86
195	XALTIP	1.4533458952	0.06	0.09	0.85
196	XALTIP	1.3431406803	0.06	0.1	0.84
197	XALTIP	1.3675204563	0.06	0.11	0.83
198	XALTIP	1.4156845536	0.06	0.12	0.82
199	XALTIP	1.4039665447	0.06	0.13	0.81
200	XALTIP	1.4203405096	0.06	0.14	0.8
201	XALTIP	1.4382439939	0.06	0.15	0.79
202	XALTIP	1.3643578079	0.06	0.16	0.78
203	XALTIP	1.3964441441	0.06	0.17	0.77
204	XALTIP	1.3915768028	0.06	0.18	0.76
205	XALTIP	1.5231234469	0.06	0.19	0.75
206	XALTIP	1.3412780712	0.06	0.2	0.74
207	XALTIP	1.4361757883	0.06	0.21	0.73
208	XALTIP	1.4774513251	0.06	0.22	0.72
209	XALTIP	1.3889194782	0.06	0.23	0.71
210	XALTIP	1.4666383991	0.06	0.24	0.7
211	XALTIP	1.3787798524	0.06	0.25	0.69
212	XALTIP	1.3360925058	0.06	0.26	0.68
213	XALTIP	1.4344312529	0.06	0.27	0.67
214	XALTIP	1.4091329364	0.06	0.28	0.66
215	XALTIP	1.4271228829	0.06	0.29	0.65
216	XALTIP	1.4193338606	0.06	0.3	0.64
217	XALTIP	1.4344525257	0.07	0.0	0.93
218	XALTIP	1.4730875906	0.07	0.01	0.92
219	XALTIP	1.4676312588	0.07	0.02	0.91
220	XALTIP	1.4671196535	0.07	0.03	0.9
221	XALTIP	1.412554315	0.07	0.04	0.89
222	XALTIP	1.4735793281	0.07	0.05	0.88
223	XALTIP	1.4989874284	0.07	0.06	0.87
224	XALTIP	1.5691968761	0.07	0.07	0.86
225	XALTIP	1.4196243846	0.07	0.08	0.85
226	XALTIP	1.4485679937	0.07	0.09	0.84
227	XALTIP	1.4993596678	0.07	0.1	0.83
228	XALTIP	1.51220583	0.07	0.11	0.82
229	XALTIP	1.4250789652	0.07	0.12	0.81
230	XALTIP	1.4238692066	0.07	0.13	0.8
231	XALTIP	1.5216118031	0.07	0.14	0.79
232	XALTIP	1.4997248223	0.07	0.15	0.78
233	XALTIP	1.4887074514	0.07	0.16	0.77
234	XALTIP	1.5261420169	0.07	0.17	0.76
235	XALTIP	1.542527249	0.07	0.18	0.75
236	XALTIP	1.5163097708	0.07	0.19	0.74
237	XALTIP	1.54291512	0.07	0.2	0.73
238	XALTIP	1.4545859831	0.07	0.21	0.72
239	XALTIP	1.4841125582	0.07	0.22	0.71
240	XALTIP	1.5042530652	0.07	0.23	0.7
241	XALTIP	1.426432634	0.07	0.24	0.69
242	XALTIP	1.5959286618	0.07	0.25	0.68
243	XALTIP	1.4919860721	0.07	0.26	0.67
244	XALTIP	1.4980617473	0.07	0.27	0.66
245	XALTIP	1.4310691988	0.07	0.28	0.65
246	XALTIP	1.5105081501	0.07	0.29	0.64
247	XALTIP	1.5171707541	0.07	0.3	0.63
248	XALTIP	1.4942214316	0.08	0.0	0.92
249	XALTIP	1.5326801017	0.08	0.01	0.91
250	XALTIP	1.5295132337	0.08	0.02	0.9
251	XALTIP	1.5362016227	0.08	0.03	0.89
252	XALTIP	1.543300819	0.08	0.04	0.88
253	XALTIP	1.5173927287	0.08	0.05	0.87
254	XALTIP	1.4775934437	0.08	0.06	0.86
255	XALTIP	1.5511647633	0.08	0.07	0.85
256	XALTIP	1.532658847	0.08	0.08	0.84
257	XALTIP	1.5269729974	0.08	0.09	0.83
258	XALTIP	1.5258475645	0.08	0.1	0.82
259	XALTIP	1.6269204216	0.08	0.11	0.81
260	XALTIP	1.5112653388	0.08	0.12	0.8
261	XALTIP	1.4998343492	0.08	0.13	0.79
262	XALTIP	1.6087071852	0.08	0.14	0.78
263	XALTIP	1.5548575863	0.08	0.15	0.77
264	XALTIP	1.5661082555	0.08	0.16	0.76
265	XALTIP	1.534833509	0.08	0.17	0.75
