Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	YEQRIV	0.6213602332	0.0	0.0	1.0
1	YEQRIV	0.5167760343	0.0	0.01	0.99
2	YEQRIV	0.53065443	0.0	0.02	0.98
3	YEQRIV	0.5209688848	0.0	0.03	0.97
4	YEQRIV	0.5955321128	0.0	0.04	0.96
5	YEQRIV	0.6281293329	0.0	0.05	0.95
6	YEQRIV	0.5193522833	0.0	0.06	0.94
7	YEQRIV	0.5808360407	0.0	0.07	0.93
8	YEQRIV	0.531930835	0.0	0.08	0.92
9	YEQRIV	0.5813182085	0.0	0.09	0.91
10	YEQRIV	0.5546864752	0.0	0.1	0.9
11	YEQRIV	0.5480687225	0.0	0.11	0.89
12	YEQRIV	0.5453176873	0.0	0.12	0.88
13	YEQRIV	0.5433796408	0.0	0.13	0.87
14	YEQRIV	0.5172300752	0.0	0.14	0.86
15	YEQRIV	0.5125456813	0.0	0.15	0.85
16	YEQRIV	0.5194942547	0.0	0.16	0.84
17	YEQRIV	0.4649450074	0.0	0.17	0.83
18	YEQRIV	0.5651662577	0.0	0.18	0.82
19	YEQRIV	0.4956041809	0.0	0.19	0.81
20	YEQRIV	0.5835495735	0.0	0.2	0.8
21	YEQRIV	0.5695104552	0.0	0.21	0.79
22	YEQRIV	0.4865521504	0.0	0.22	0.78
23	YEQRIV	0.5059279285	0.0	0.23	0.77
24	YEQRIV	0.4775188712	0.0	0.24	0.76
25	YEQRIV	0.563530905	0.0	0.25	0.75
26	YEQRIV	0.5254456781	0.0	0.26	0.74
27	YEQRIV	0.5646512753	0.0	0.27	0.73
28	YEQRIV	0.5139921845	0.0	0.28	0.72
29	YEQRIV	0.4858905089	0.0	0.29	0.71
30	YEQRIV	0.4642739903	0.0	0.3	0.7
31	YEQRIV	27.8699762955	0.01	0.0	0.99
32	YEQRIV	15.1237643465	0.01	0.01	0.98
33	YEQRIV	20.8743050112	0.01	0.02	0.97
34	YEQRIV	17.600846163	0.01	0.03	0.96
35	YEQRIV	24.0622607539	0.01	0.04	0.95
36	YEQRIV	17.5164182064	0.01	0.05	0.94
37	YEQRIV	16.2595883272	0.01	0.06	0.93
38	YEQRIV	20.2472868407	0.01	0.07	0.92
39	YEQRIV	17.4528946742	0.01	0.08	0.91
40	YEQRIV	18.9538982436	0.01	0.09	0.9
41	YEQRIV	20.674750888	0.01	0.1	0.89
42	YEQRIV	18.7346700457	0.01	0.11	0.88
43	YEQRIV	19.9302961596	0.01	0.12	0.87
44	YEQRIV	14.9975779569	0.01	0.13	0.86
45	YEQRIV	20.6611902402	0.01	0.14	0.85
46	YEQRIV	18.9302872198	0.01	0.15	0.84
47	YEQRIV	12.8134267948	0.01	0.16	0.83
48	YEQRIV	21.5227208884	0.01	0.17	0.82
49	YEQRIV	18.8664216555	0.01	0.18	0.81
50	YEQRIV	25.6709484518	0.01	0.19	0.8
51	YEQRIV	19.8439551409	0.01	0.2	0.79
52	YEQRIV	15.2234057966	0.01	0.21	0.78
53	YEQRIV	19.5411620293	0.01	0.22	0.77
54	YEQRIV	17.3376765534	0.01	0.23	0.76
55	YEQRIV	20.1652890291	0.01	0.24	0.75
56	YEQRIV	19.0308033595	0.01	0.25	0.74
57	YEQRIV	20.7293576924	0.01	0.26	0.73
58	YEQRIV	18.9251284625	0.01	0.27	0.72
59	YEQRIV	19.451794042	0.01	0.28	0.71
60	YEQRIV	15.0347755663	0.01	0.29	0.7
61	YEQRIV	21.879146948	0.01	0.3	0.69
62	YEQRIV	33.7777990341	0.02	0.0	0.98
63	YEQRIV	46.6027790585	0.02	0.01	0.97
64	YEQRIV	30.9679800951	0.02	0.02	0.96
65	YEQRIV	27.9729236561	0.02	0.03	0.95
66	YEQRIV	38.1526729589	0.02	0.04	0.94
67	YEQRIV	40.9983698134	0.02	0.05	0.93
68	YEQRIV	28.641705212	0.02	0.06	0.92
69	YEQRIV	33.2320806075	0.02	0.07	0.91
70	YEQRIV	29.4354737607	0.02	0.08	0.9
71	YEQRIV	31.4465487696	0.02	0.09	0.89
72	YEQRIV	34.585781897	0.02	0.1	0.88
73	YEQRIV	34.9082714462	0.02	0.11	0.87
74	YEQRIV	30.4227018767	0.02	0.12	0.86
75	YEQRIV	33.8384281935	0.02	0.13	0.85
