Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	ZIF-8	1.117991399	0.0	0.0	1.0
1	ZIF-8	1.0193529001	0.0	0.01	0.99
2	ZIF-8	1.0277724301	0.0	0.02	0.98
3	ZIF-8	1.1227284057	0.0	0.03	0.97
4	ZIF-8	1.1038563766	0.0	0.04	0.96
5	ZIF-8	1.18727611	0.0	0.05	0.95
6	ZIF-8	1.1195018751	0.0	0.06	0.94
7	ZIF-8	1.0901021085	0.0	0.07	0.93
8	ZIF-8	1.1156449345	0.0	0.08	0.92
9	ZIF-8	1.1108733479	0.0	0.09	0.91
10	ZIF-8	1.0988731329	0.0	0.1	0.9
11	ZIF-8	1.1036234395	0.0	0.11	0.89
12	ZIF-8	1.165711442	0.0	0.12	0.88
13	ZIF-8	1.155256283	0.0	0.13	0.87
14	ZIF-8	1.1341901679	0.0	0.14	0.86
15	ZIF-8	1.1367543684	0.0	0.15	0.85
16	ZIF-8	1.1166781377	0.0	0.16	0.84
17	ZIF-8	1.1845196313	0.0	0.17	0.83
18	ZIF-8	1.141934068	0.0	0.18	0.82
19	ZIF-8	1.103945674	0.0	0.19	0.81
20	ZIF-8	1.1922927912	0.0	0.2	0.8
21	ZIF-8	1.1079530919	0.0	0.21	0.79
22	ZIF-8	1.1999720926	0.0	0.22	0.78
23	ZIF-8	1.1049302385	0.0	0.23	0.77
24	ZIF-8	1.140807765	0.0	0.24	0.76
25	ZIF-8	1.1351295126	0.0	0.25	0.75
26	ZIF-8	1.1819907696	0.0	0.26	0.74
27	ZIF-8	1.2214569609	0.0	0.27	0.73
28	ZIF-8	1.1452578758	0.0	0.28	0.72
29	ZIF-8	1.1836429841	0.0	0.29	0.71
30	ZIF-8	1.1731931451	0.0	0.3	0.7
31	ZIF-8	1.2070077297	0.01	0.0	0.99
32	ZIF-8	1.2732966331	0.01	0.01	0.98
33	ZIF-8	1.2500212809	0.01	0.02	0.97
34	ZIF-8	1.2905021398	0.01	0.03	0.96
35	ZIF-8	1.3154738828	0.01	0.04	0.95
36	ZIF-8	1.3327692993	0.01	0.05	0.94
37	ZIF-8	1.3293792726	0.01	0.06	0.93
38	ZIF-8	1.3596023218	0.01	0.07	0.92
39	ZIF-8	1.2706809673	0.01	0.08	0.91
40	ZIF-8	1.3341256303	0.01	0.09	0.9
41	ZIF-8	1.2421881475	0.01	0.1	0.89
42	ZIF-8	1.3180981225	0.01	0.11	0.88
43	ZIF-8	1.2877872131	0.01	0.12	0.87
44	ZIF-8	1.2218459716	0.01	0.13	0.86
45	ZIF-8	1.2772366258	0.01	0.14	0.85
46	ZIF-8	1.2947236259	0.01	0.15	0.84
47	ZIF-8	1.3212598878	0.01	0.16	0.83
48	ZIF-8	1.3399452414	0.01	0.17	0.82
49	ZIF-8	1.3501654962	0.01	0.18	0.81
50	ZIF-8	1.3721478272	0.01	0.19	0.8
51	ZIF-8	1.3921105715	0.01	0.2	0.79
52	ZIF-8	1.3084989249	0.01	0.21	0.78
53	ZIF-8	1.3703829354	0.01	0.22	0.77
54	ZIF-8	1.3656207339	0.01	0.23	0.76
55	ZIF-8	1.3199270006	0.01	0.24	0.75
56	ZIF-8	1.3494917994	0.01	0.25	0.74
57	ZIF-8	1.3028915989	0.01	0.26	0.73
58	ZIF-8	1.3691659134	0.01	0.27	0.72
59	ZIF-8	1.3522154649	0.01	0.28	0.71
60	ZIF-8	1.3665947408	0.01	0.29	0.7
61	ZIF-8	1.3610150564	0.01	0.3	0.69
62	ZIF-8	1.409200341	0.02	0.0	0.98
63	ZIF-8	1.3927114041	0.02	0.01	0.97
64	ZIF-8	1.4212682604	0.02	0.02	0.96
65	ZIF-8	1.3896821404	0.02	0.03	0.95
66	ZIF-8	1.3403315922	0.02	0.04	0.94
67	ZIF-8	1.4658466116	0.02	0.05	0.93
68	ZIF-8	1.4688574538	0.02	0.06	0.92
69	ZIF-8	1.4635413358	0.02	0.07	0.91
70	ZIF-8	1.4418485121	0.02	0.08	0.9
71	ZIF-8	1.4231408709	0.02	0.09	0.89
72	ZIF-8	1.4605146838	0.02	0.1	0.88
73	ZIF-8	1.4491477036	0.02	0.11	0.87
74	ZIF-8	1.5275109366	0.02	0.12	0.86
75	ZIF-8	1.4666349848	0.02	0.13	0.85
76	ZIF-8	1.4767814885	0.02	0.14	0.84
77	ZIF-8	1.4670656327	0.02	0.15	0.83
78	ZIF-8	1.5659489957	0.02	0.16	0.82
79	ZIF-8	1.482521762	0.02	0.17	0.81
80	ZIF-8	1.5161205785	0.02	0.18	0.8
81	ZIF-8	1.5093237221	0.02	0.19	0.79
82	ZIF-8	1.4900144363	0.02	0.2	0.78
83	ZIF-8	1.5521793297	0.02	0.21	0.77
84	ZIF-8	1.491008633	0.02	0.22	0.76
85	ZIF-8	1.5286207497	0.02	0.23	0.75
86	ZIF-8	1.5499650876	0.02	0.24	0.74
87	ZIF-8	1.4933540056	0.02	0.25	0.73
88	ZIF-8	1.5388698525	0.02	0.26	0.72
89	ZIF-8	1.5072839312	0.02	0.27	0.71
90	ZIF-8	1.5390395117	0.02	0.28	0.7
91	ZIF-8	1.4620315681	0.02	0.29	0.69
92	ZIF-8	1.5402244489	0.02	0.3	0.68
93	ZIF-8	1.6311713662	0.03	0.0	0.97
94	ZIF-8	1.6661625328	0.03	0.01	0.96
