Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	HIFTOG	72.0274265363	0.0	0.0	1.0
1	HIFTOG	71.3930908051	0.0	0.01	0.99
2	HIFTOG	72.8452206964	0.0	0.02	0.98
3	HIFTOG	73.351819139	0.0	0.03	0.97
4	HIFTOG	72.738256995	0.0	0.04	0.96
5	HIFTOG	74.151831341	0.0	0.05	0.95
6	HIFTOG	73.2690947637	0.0	0.06	0.94
7	HIFTOG	73.3093445906	0.0	0.07	0.93
8	HIFTOG	73.9322007147	0.0	0.08	0.92
9	HIFTOG	75.2666721359	0.0	0.09	0.91
10	HIFTOG	74.7134298175	0.0	0.1	0.9
11	HIFTOG	76.1285394052	0.0	0.11	0.89
12	HIFTOG	75.1432982789	0.0	0.12	0.88
13	HIFTOG	76.7323195954	0.0	0.13	0.87
14	HIFTOG	76.332466127	0.0	0.14	0.86
15	HIFTOG	77.8129962643	0.0	0.15	0.85
16	HIFTOG	78.5047545302	0.0	0.16	0.84
17	HIFTOG	77.7722574726	0.0	0.17	0.83
18	HIFTOG	77.7918823184	0.0	0.18	0.82
19	HIFTOG	78.9459974427	0.0	0.19	0.81
20	HIFTOG	79.0421729914	0.0	0.2	0.8
21	HIFTOG	79.1691584726	0.0	0.21	0.79
22	HIFTOG	80.1981178563	0.0	0.22	0.78
23	HIFTOG	80.4864308915	0.0	0.23	0.77
24	HIFTOG	81.7389024448	0.0	0.24	0.76
25	HIFTOG	81.886352847	0.0	0.25	0.75
26	HIFTOG	81.2280925194	0.0	0.26	0.74
27	HIFTOG	81.5589454334	0.0	0.27	0.73
28	HIFTOG	81.7781120217	0.0	0.28	0.72
29	HIFTOG	84.1752156729	0.0	0.29	0.71
30	HIFTOG	83.3068219276	0.0	0.3	0.7
31	HIFTOG	106.0080357181	0.01	0.0	0.99
32	HIFTOG	106.5955536582	0.01	0.01	0.98
33	HIFTOG	107.5137838626	0.01	0.02	0.97
34	HIFTOG	106.2379421989	0.01	0.03	0.96
35	HIFTOG	108.1308806725	0.01	0.04	0.95
36	HIFTOG	107.3061289488	0.01	0.05	0.94
37	HIFTOG	107.8892885063	0.01	0.06	0.93
38	HIFTOG	106.8530225225	0.01	0.07	0.92
39	HIFTOG	108.5310449005	0.01	0.08	0.91
40	HIFTOG	108.186218703	0.01	0.09	0.9
41	HIFTOG	109.2846733486	0.01	0.1	0.89
42	HIFTOG	109.412561439	0.01	0.11	0.88
43	HIFTOG	109.056470838	0.01	0.12	0.87
44	HIFTOG	110.5474813521	0.01	0.13	0.86
45	HIFTOG	111.0272921309	0.01	0.14	0.85
46	HIFTOG	109.9830114695	0.01	0.15	0.84
47	HIFTOG	110.7845303126	0.01	0.16	0.83
48	HIFTOG	111.2911471453	0.01	0.17	0.82
49	HIFTOG	111.6486362606	0.01	0.18	0.81
50	HIFTOG	110.1322234049	0.01	0.19	0.8
51	HIFTOG	111.9854260194	0.01	0.2	0.79
52	HIFTOG	111.3276224024	0.01	0.21	0.78
53	HIFTOG	111.6714641793	0.01	0.22	0.77
54	HIFTOG	114.2819049624	0.01	0.23	0.76
55	HIFTOG	113.628146811	0.01	0.24	0.75
56	HIFTOG	113.4257535835	0.01	0.25	0.74
57	HIFTOG	112.9075481562	0.01	0.26	0.73
58	HIFTOG	115.214601972	0.01	0.27	0.72
59	HIFTOG	113.6267068153	0.01	0.28	0.71
60	HIFTOG	113.7789898795	0.01	0.29	0.7
61	HIFTOG	114.3421770984	0.01	0.3	0.69
62	HIFTOG	129.5953446548	0.02	0.0	0.98
63	HIFTOG	128.3725178731	0.02	0.01	0.97
64	HIFTOG	128.9017534778	0.02	0.02	0.96
65	HIFTOG	128.6218626632	0.02	0.03	0.95
66	HIFTOG	129.5246165088	0.02	0.04	0.94
67	HIFTOG	129.6272051199	0.02	0.05	0.93
68	HIFTOG	130.3079126194	0.02	0.06	0.92
69	HIFTOG	130.2974696527	0.02	0.07	0.91
70	HIFTOG	131.4938835635	0.02	0.08	0.9
71	HIFTOG	131.5908564299	0.02	0.09	0.89
72	HIFTOG	130.7053422923	0.02	0.1	0.88
73	HIFTOG	131.5302155978	0.02	0.11	0.87
74	HIFTOG	131.6704011476	0.02	0.12	0.86
75	HIFTOG	132.4377960192	0.02	0.13	0.85
76	HIFTOG	132.5115129867	0.02	0.14	0.84
77	HIFTOG	132.7224190997	0.02	0.15	0.83
78	HIFTOG	132.6982130122	0.02	0.16	0.82
79	HIFTOG	132.9365078832	0.02	0.17	0.81
80	HIFTOG	133.0585277671	0.02	0.18	0.8
81	HIFTOG	132.2396745576	0.02	0.19	0.79
82	HIFTOG	134.5216604586	0.02	0.2	0.78
83	HIFTOG	135.2528117193	0.02	0.21	0.77
84	HIFTOG	133.4419144224	0.02	0.22	0.76
85	HIFTOG	134.8621736967	0.02	0.23	0.75
86	HIFTOG	133.8750904578	0.02	0.24	0.74
87	HIFTOG	134.8548138873	0.02	0.25	0.73
88	HIFTOG	136.0413750358	0.02	0.26	0.72
89	HIFTOG	133.7943446094	0.02	0.27	0.71
90	HIFTOG	136.5081852842	0.02	0.28	0.7
91	HIFTOG	136.807807169	0.02	0.29	0.69
92	HIFTOG	137.8531325335	0.02	0.3	0.68
93	HIFTOG	146.6709429073	0.03	0.0	0.97
94	HIFTOG	147.7162475739	0.03	0.01	0.96
95	HIFTOG	148.9021151737	0.03	0.02	0.95
96	HIFTOG	148.3237040482	0.03	0.03	0.94
97	HIFTOG	149.6182592997	0.03	0.04	0.93
98	HIFTOG	148.1580811437	0.03	0.05	0.92
99	HIFTOG	147.2317829665	0.03	0.06	0.91
100	HIFTOG	148.4177120029	0.03	0.07	0.9
101	HIFTOG	148.2112710328	0.03	0.08	0.89
102	HIFTOG	151.1370503685	0.03	0.09	0.88
103	HIFTOG	151.1043253323	0.03	0.1	0.87
104	HIFTOG	148.1641890408	0.03	0.11	0.86
105	HIFTOG	151.0568026552	0.03	0.12	0.85
106	HIFTOG	150.7752257419	0.03	0.13	0.84
107	HIFTOG	150.6460725432	0.03	0.14	0.83
108	HIFTOG	150.993357155	0.03	0.15	0.82
109	HIFTOG	150.0277575917	0.03	0.16	0.81
110	HIFTOG	152.0598956059	0.03	0.17	0.8
111	HIFTOG	152.168408297	0.03	0.18	0.79
112	HIFTOG	152.049484437	0.03	0.19	0.78
113	HIFTOG	150.2417403692	0.03	0.2	0.77
114	HIFTOG	151.7078437316	0.03	0.21	0.76
115	HIFTOG	154.1377560892	0.03	0.22	0.75
116	HIFTOG	154.3903780588	0.03	0.23	0.74
117	HIFTOG	153.5384204406	0.03	0.24	0.73
118	HIFTOG	152.0378523649	0.03	0.25	0.72
119	HIFTOG	154.7001051175	0.03	0.26	0.71
120	HIFTOG	155.0314298058	0.03	0.27	0.7
121	HIFTOG	153.2648967725	0.03	0.28	0.69
122	HIFTOG	154.6439422663	0.03	0.29	0.68
123	HIFTOG	154.6325058752	0.03	0.3	0.67
124	HIFTOG	163.7104142501	0.04	0.0	0.96
125	HIFTOG	163.2713363587	0.04	0.01	0.95
126	HIFTOG	163.8904530023	0.04	0.02	0.94
127	HIFTOG	165.0609088462	0.04	0.03	0.93
128	HIFTOG	164.337273803	0.04	0.04	0.92
129	HIFTOG	163.9985630522	0.04	0.05	0.91
130	HIFTOG	164.0106599968	0.04	0.06	0.9
131	HIFTOG	165.5026865794	0.04	0.07	0.89
132	HIFTOG	164.9908842216	0.04	0.08	0.88
133	HIFTOG	164.5353677712	0.04	0.09	0.87
134	HIFTOG	167.1887363586	0.04	0.1	0.86
135	HIFTOG	166.9073568441	0.04	0.11	0.85
136	HIFTOG	166.0166754277	0.04	0.12	0.84
137	HIFTOG	164.7156217741	0.04	0.13	0.83
138	HIFTOG	166.4995982269	0.04	0.14	0.82
139	HIFTOG	165.4266129975	0.04	0.15	0.81
140	HIFTOG	166.2362328086	0.04	0.16	0.8
141	HIFTOG	164.9055653565	0.04	0.17	0.79
142	HIFTOG	168.4883543089	0.04	0.18	0.78
143	HIFTOG	167.7136700909	0.04	0.19	0.77
144	HIFTOG	167.1211543814	0.04	0.2	0.76
145	HIFTOG	167.8543327075	0.04	0.21	0.75
146	HIFTOG	167.3691662069	0.04	0.22	0.74
147	HIFTOG	166.5350072973	0.04	0.23	0.73
148	HIFTOG	167.4410715369	0.04	0.24	0.72
149	HIFTOG	166.1777872141	0.04	0.25	0.71
150	HIFTOG	167.2112619311	0.04	0.26	0.7
151	HIFTOG	169.1572696859	0.04	0.27	0.69
152	HIFTOG	170.3601723308	0.04	0.28	0.68
153	HIFTOG	168.3215879805	0.04	0.29	0.67
154	HIFTOG	169.5418652256	0.04	0.3	0.66
155	HIFTOG	179.0396204858	0.05	0.0	0.95
156	HIFTOG	177.4313862189	0.05	0.01	0.94
157	HIFTOG	177.339060871	0.05	0.02	0.93
158	HIFTOG	177.2110235405	0.05	0.03	0.92
159	HIFTOG	176.8476678112	0.05	0.04	0.91
160	HIFTOG	178.5383339149	0.05	0.05	0.9
161	HIFTOG	178.189122135	0.05	0.06	0.89
162	HIFTOG	177.972840368	0.05	0.07	0.88
163	HIFTOG	178.5515587149	0.05	0.08	0.87
164	HIFTOG	178.9965711401	0.05	0.09	0.86
165	HIFTOG	179.2412303547	0.05	0.1	0.85
166	HIFTOG	179.6909187506	0.05	0.11	0.84
167	HIFTOG	179.420998621	0.05	0.12	0.83
168	HIFTOG	179.7021381944	0.05	0.13	0.82
169	HIFTOG	178.0083772469	0.05	0.14	0.81
170	HIFTOG	178.1797889379	0.05	0.15	0.8
171	HIFTOG	179.133478043	0.05	0.16	0.79
172	HIFTOG	178.2568871875	0.05	0.17	0.78
173	HIFTOG	180.9242748698	0.05	0.18	0.77
174	HIFTOG	179.9522645891	0.05	0.19	0.76
175	HIFTOG	180.7225302823	0.05	0.2	0.75
176	HIFTOG	180.9802676525	0.05	0.21	0.74
177	HIFTOG	181.947454748	0.05	0.22	0.73
178	HIFTOG	181.4164344803	0.05	0.23	0.72
179	HIFTOG	180.6646763995	0.05	0.24	0.71
180	HIFTOG	182.954178147	0.05	0.25	0.7
181	HIFTOG	180.3761154479	0.05	0.26	0.69
182	HIFTOG	181.2551752728	0.05	0.27	0.68
183	HIFTOG	180.9144639031	0.05	0.28	0.67
184	HIFTOG	182.9580800853	0.05	0.29	0.66
185	HIFTOG	183.3149236377	0.05	0.3	0.65
186	HIFTOG	189.8935477736	0.06	0.0	0.94
187	HIFTOG	189.6414233583	0.06	0.01	0.93
188	HIFTOG	190.3049837723	0.06	0.02	0.92
189	HIFTOG	190.417204382	0.06	0.03	0.91
190	HIFTOG	190.2183928939	0.06	0.04	0.9
191	HIFTOG	192.5518653151	0.06	0.05	0.89
192	HIFTOG	189.6263041774	0.06	0.06	0.88
193	HIFTOG	191.2400303336	0.06	0.07	0.87
194	HIFTOG	188.4216864315	0.06	0.08	0.86
195	HIFTOG	192.0886394043	0.06	0.09	0.85
196	HIFTOG	189.9551611187	0.06	0.1	0.84
197	HIFTOG	189.1717863704	0.06	0.11	0.83
198	HIFTOG	192.4237381909	0.06	0.12	0.82
199	HIFTOG	190.3773820866	0.06	0.13	0.81
200	HIFTOG	190.960003983	0.06	0.14	0.8
201	HIFTOG	191.3680039385	0.06	0.15	0.79
