Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	JEWCAP	39.4227971228	0.0	0.0	1.0
1	JEWCAP	38.4590784231	0.0	0.01	0.99
2	JEWCAP	39.1625239705	0.0	0.02	0.98
3	JEWCAP	39.7893458924	0.0	0.03	0.97
4	JEWCAP	40.1882991901	0.0	0.04	0.96
5	JEWCAP	40.0357412345	0.0	0.05	0.95
6	JEWCAP	40.4358855703	0.0	0.06	0.94
7	JEWCAP	40.7160620322	0.0	0.07	0.93
8	JEWCAP	40.028631843	0.0	0.08	0.92
9	JEWCAP	40.9746464168	0.0	0.09	0.91
10	JEWCAP	40.8083901922	0.0	0.1	0.9
11	JEWCAP	41.8175860138	0.0	0.11	0.89
12	JEWCAP	40.4423424746	0.0	0.12	0.88
13	JEWCAP	40.8270060046	0.0	0.13	0.87
14	JEWCAP	39.9732298347	0.0	0.14	0.86
15	JEWCAP	40.3489431669	0.0	0.15	0.85
16	JEWCAP	41.3496288979	0.0	0.16	0.84
17	JEWCAP	41.4222721261	0.0	0.17	0.83
18	JEWCAP	40.987307024	0.0	0.18	0.82
19	JEWCAP	41.2607418646	0.0	0.19	0.81
20	JEWCAP	41.8770681864	0.0	0.2	0.8
21	JEWCAP	41.190000402	0.0	0.21	0.79
22	JEWCAP	42.1501895277	0.0	0.22	0.78
23	JEWCAP	43.4164732372	0.0	0.23	0.77
24	JEWCAP	41.5442274943	0.0	0.24	0.76
25	JEWCAP	43.1722536328	0.0	0.25	0.75
26	JEWCAP	41.3141027257	0.0	0.26	0.74
27	JEWCAP	43.2033740007	0.0	0.27	0.73
28	JEWCAP	42.947704231	0.0	0.28	0.72
29	JEWCAP	42.3720553787	0.0	0.29	0.71
30	JEWCAP	43.3847003822	0.0	0.3	0.7
31	JEWCAP	75.3619151665	0.01	0.0	0.99
32	JEWCAP	77.2904799806	0.01	0.01	0.98
33	JEWCAP	75.1570729887	0.01	0.02	0.97
34	JEWCAP	78.532118609	0.01	0.03	0.96
35	JEWCAP	80.7909107844	0.01	0.04	0.95
36	JEWCAP	77.1843519404	0.01	0.05	0.94
37	JEWCAP	77.5267894937	0.01	0.06	0.93
38	JEWCAP	76.9142903591	0.01	0.07	0.92
39	JEWCAP	76.2411982479	0.01	0.08	0.91
40	JEWCAP	81.4118295452	0.01	0.09	0.9
41	JEWCAP	79.0219848756	0.01	0.1	0.89
42	JEWCAP	77.1864484234	0.01	0.11	0.88
43	JEWCAP	77.0715539009	0.01	0.12	0.87
44	JEWCAP	80.1646371	0.01	0.13	0.86
45	JEWCAP	80.701698119	0.01	0.14	0.85
46	JEWCAP	78.1502382177	0.01	0.15	0.84
47	JEWCAP	81.0661505945	0.01	0.16	0.83
48	JEWCAP	80.6619326036	0.01	0.17	0.82
49	JEWCAP	77.910081402	0.01	0.18	0.81
