Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	KICXAX	5.6777119367	0.0	0.0	1.0
1	KICXAX	6.0076777662	0.0	0.01	0.99
2	KICXAX	6.0801346759	0.0	0.02	0.98
3	KICXAX	5.9256550782	0.0	0.03	0.97
4	KICXAX	6.0858018291	0.0	0.04	0.96
5	KICXAX	6.1927640733	0.0	0.05	0.95
6	KICXAX	5.942566631	0.0	0.06	0.94
7	KICXAX	6.0911755121	0.0	0.07	0.93
8	KICXAX	6.2098704609	0.0	0.08	0.92
9	KICXAX	6.2049242961	0.0	0.09	0.91
10	KICXAX	6.1008698582	0.0	0.1	0.9
11	KICXAX	6.2470118473	0.0	0.11	0.89
12	KICXAX	6.0916819786	0.0	0.12	0.88
13	KICXAX	6.3159531053	0.0	0.13	0.87
14	KICXAX	6.1358705989	0.0	0.14	0.86
15	KICXAX	5.9820069631	0.0	0.15	0.85
16	KICXAX	6.040892009	0.0	0.16	0.84
17	KICXAX	6.0685490037	0.0	0.17	0.83
18	KICXAX	6.0916230178	0.0	0.18	0.82
19	KICXAX	6.3934991573	0.0	0.19	0.81
20	KICXAX	6.1994979409	0.0	0.2	0.8
21	KICXAX	6.4286378048	0.0	0.21	0.79
22	KICXAX	6.1918559529	0.0	0.22	0.78
23	KICXAX	6.209013993	0.0	0.23	0.77
24	KICXAX	6.155030663	0.0	0.24	0.76
25	KICXAX	6.2491904375	0.0	0.25	0.75
26	KICXAX	6.252741199	0.0	0.26	0.74
27	KICXAX	6.0852923053	0.0	0.27	0.73
28	KICXAX	6.3023677383	0.0	0.28	0.72
29	KICXAX	6.2494783252	0.0	0.29	0.71
30	KICXAX	6.2071439817	0.0	0.3	0.7
31	KICXAX	11.3099245139	0.01	0.0	0.99
32	KICXAX	11.2143925835	0.01	0.01	0.98
33	KICXAX	10.6275963002	0.01	0.02	0.97
34	KICXAX	11.2569954942	0.01	0.03	0.96
35	KICXAX	11.2662683129	0.01	0.04	0.95
36	KICXAX	10.9447932217	0.01	0.05	0.94
37	KICXAX	11.1074467792	0.01	0.06	0.93
38	KICXAX	10.9766596303	0.01	0.07	0.92
39	KICXAX	11.139939365	0.01	0.08	0.91
40	KICXAX	11.059232583	0.01	0.09	0.9
41	KICXAX	11.4427300443	0.01	0.1	0.89
42	KICXAX	11.0875392151	0.01	0.11	0.88
43	KICXAX	11.3542688542	0.01	0.12	0.87
44	KICXAX	11.2795883042	0.01	0.13	0.86
45	KICXAX	10.6599274948	0.01	0.14	0.85
46	KICXAX	11.1684786539	0.01	0.15	0.84
47	KICXAX	11.0394323366	0.01	0.16	0.83
48	KICXAX	11.2301901833	0.01	0.17	0.82
