Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	KIFJUF	117.842862537	0.0	0.0	1.0
1	KIFJUF	118.030344619	0.0	0.01	0.99
2	KIFJUF	119.0349156988	0.0	0.02	0.98
3	KIFJUF	117.9515416097	0.0	0.03	0.97
4	KIFJUF	117.6304016546	0.0	0.04	0.96
5	KIFJUF	114.0575121102	0.0	0.05	0.95
6	KIFJUF	116.6406021355	0.0	0.06	0.94
7	KIFJUF	118.4978924773	0.0	0.07	0.93
8	KIFJUF	116.3789707945	0.0	0.08	0.92
9	KIFJUF	118.3003396707	0.0	0.09	0.91
10	KIFJUF	117.7204338445	0.0	0.1	0.9
11	KIFJUF	117.9659379648	0.0	0.11	0.89
12	KIFJUF	117.8288301761	0.0	0.12	0.88
13	KIFJUF	116.8613587866	0.0	0.13	0.87
14	KIFJUF	119.2920174107	0.0	0.14	0.86
15	KIFJUF	118.4182870688	0.0	0.15	0.85
16	KIFJUF	119.9931302474	0.0	0.16	0.84
17	KIFJUF	118.5349400868	0.0	0.17	0.83
18	KIFJUF	116.8269310952	0.0	0.18	0.82
19	KIFJUF	118.3760494656	0.0	0.19	0.81
20	KIFJUF	118.8511067801	0.0	0.2	0.8
21	KIFJUF	117.9514319156	0.0	0.21	0.79
22	KIFJUF	119.2866126445	0.0	0.22	0.78
23	KIFJUF	120.0620534261	0.0	0.23	0.77
24	KIFJUF	116.4579327893	0.0	0.24	0.76
25	KIFJUF	119.333216302	0.0	0.25	0.75
26	KIFJUF	120.6077512885	0.0	0.26	0.74
27	KIFJUF	120.6329485279	0.0	0.27	0.73
28	KIFJUF	118.9081134201	0.0	0.28	0.72
29	KIFJUF	118.8561184932	0.0	0.29	0.71
30	KIFJUF	120.5353395308	0.0	0.3	0.7
31	KIFJUF	255.0075054674	0.01	0.0	0.99
32	KIFJUF	250.3691279608	0.01	0.01	0.98
33	KIFJUF	254.2743261733	0.01	0.02	0.97
34	KIFJUF	255.8124565082	0.01	0.03	0.96
35	KIFJUF	252.807300741	0.01	0.04	0.95
36	KIFJUF	252.712039487	0.01	0.05	0.94
37	KIFJUF	256.724644792	0.01	0.06	0.93
38	KIFJUF	255.1596697545	0.01	0.07	0.92
39	KIFJUF	253.5872104998	0.01	0.08	0.91
40	KIFJUF	258.0464979674	0.01	0.09	0.9
41	KIFJUF	252.5010765543	0.01	0.1	0.89
42	KIFJUF	256.6188612226	0.01	0.11	0.88
43	KIFJUF	252.3472704017	0.01	0.12	0.87
44	KIFJUF	258.1709838572	0.01	0.13	0.86
45	KIFJUF	259.4787599149	0.01	0.14	0.85
46	KIFJUF	253.9375668204	0.01	0.15	0.84
47	KIFJUF	256.9930587052	0.01	0.16	0.83
48	KIFJUF	260.4321429503	0.01	0.17	0.82
49	KIFJUF	259.6421907224	0.01	0.18	0.81
50	KIFJUF	254.5624222818	0.01	0.19	0.8
51	KIFJUF	258.9168954504	0.01	0.2	0.79
52	KIFJUF	255.5101020709	0.01	0.21	0.78
53	KIFJUF	259.92887037	0.01	0.22	0.77
54	KIFJUF	264.4963526767	0.01	0.23	0.76
