Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	LOFVUY	84.0878706272	0.0	0.0	1.0
1	LOFVUY	82.8100823476	0.0	0.01	0.99
2	LOFVUY	83.5208182883	0.0	0.02	0.98
3	LOFVUY	84.9282022744	0.0	0.03	0.97
4	LOFVUY	84.8775760964	0.0	0.04	0.96
5	LOFVUY	82.3463011046	0.0	0.05	0.95
6	LOFVUY	85.3772944243	0.0	0.06	0.94
7	LOFVUY	86.0234874344	0.0	0.07	0.93
8	LOFVUY	84.0934205856	0.0	0.08	0.92
9	LOFVUY	85.6862762681	0.0	0.09	0.91
10	LOFVUY	85.7066329773	0.0	0.1	0.9
11	LOFVUY	86.238812816	0.0	0.11	0.89
12	LOFVUY	87.4173197371	0.0	0.12	0.88
13	LOFVUY	88.3555835675	0.0	0.13	0.87
14	LOFVUY	87.9362374283	0.0	0.14	0.86
15	LOFVUY	87.6811526911	0.0	0.15	0.85
16	LOFVUY	88.6667439177	0.0	0.16	0.84
17	LOFVUY	86.948066198	0.0	0.17	0.83
18	LOFVUY	89.3539577049	0.0	0.18	0.82
19	LOFVUY	87.6087314666	0.0	0.19	0.81
20	LOFVUY	87.0763341201	0.0	0.2	0.8
21	LOFVUY	89.0621164732	0.0	0.21	0.79
22	LOFVUY	88.3205384543	0.0	0.22	0.78
23	LOFVUY	89.0692616718	0.0	0.23	0.77
24	LOFVUY	92.1832463979	0.0	0.24	0.76
25	LOFVUY	91.4956731909	0.0	0.25	0.75
26	LOFVUY	90.3512307986	0.0	0.26	0.74
27	LOFVUY	89.9577093927	0.0	0.27	0.73
28	LOFVUY	89.1041997222	0.0	0.28	0.72
29	LOFVUY	91.3686096373	0.0	0.29	0.71
30	LOFVUY	90.561000464	0.0	0.3	0.7
31	LOFVUY	152.4231517302	0.01	0.0	0.99
32	LOFVUY	153.2155705661	0.01	0.01	0.98
33	LOFVUY	156.6278782832	0.01	0.02	0.97
34	LOFVUY	158.2917044455	0.01	0.03	0.96
35	LOFVUY	154.5320243293	0.01	0.04	0.95
36	LOFVUY	160.2182611818	0.01	0.05	0.94
37	LOFVUY	152.5293151204	0.01	0.06	0.93
38	LOFVUY	155.4972132496	0.01	0.07	0.92
39	LOFVUY	156.2723762841	0.01	0.08	0.91
40	LOFVUY	158.8053404279	0.01	0.09	0.9
41	LOFVUY	156.7845168592	0.01	0.1	0.89
42	LOFVUY	158.2006079652	0.01	0.11	0.88
43	LOFVUY	157.0733270107	0.01	0.12	0.87
44	LOFVUY	155.6139665878	0.01	0.13	0.86
45	LOFVUY	161.1314343017	0.01	0.14	0.85
46	LOFVUY	158.1642105727	0.01	0.15	0.84
47	LOFVUY	158.9510659782	0.01	0.16	0.83
48	LOFVUY	158.2724673762	0.01	0.17	0.82
49	LOFVUY	159.0583049244	0.01	0.18	0.81
50	LOFVUY	163.7016396873	0.01	0.19	0.8
51	LOFVUY	161.547423514	0.01	0.2	0.79
52	LOFVUY	157.107700838	0.01	0.21	0.78
53	LOFVUY	164.1652834241	0.01	0.22	0.77
54	LOFVUY	161.4453108974	0.01	0.23	0.76
55	LOFVUY	163.4381548317	0.01	0.24	0.75
56	LOFVUY	157.8930707989	0.01	0.25	0.74
57	LOFVUY	161.2393220677	0.01	0.26	0.73
58	LOFVUY	161.2858682877	0.01	0.27	0.72
59	LOFVUY	163.4648262675	0.01	0.28	0.71
60	LOFVUY	164.0844414582	0.01	0.29	0.7
61	LOFVUY	159.9065568123	0.01	0.3	0.69
62	LOFVUY	186.0180294985	0.02	0.0	0.98
63	LOFVUY	185.8218395258	0.02	0.01	0.97
64	LOFVUY	189.5602979588	0.02	0.02	0.96
65	LOFVUY	189.4940971869	0.02	0.03	0.95
66	LOFVUY	178.3879843406	0.02	0.04	0.94
67	LOFVUY	185.7499904262	0.02	0.05	0.93
68	LOFVUY	189.3749798326	0.02	0.06	0.92
69	LOFVUY	184.8007535301	0.02	0.07	0.91
70	LOFVUY	186.1358469457	0.02	0.08	0.9
71	LOFVUY	192.6167257896	0.02	0.09	0.89
72	LOFVUY	186.3849302446	0.02	0.1	0.88
73	LOFVUY	188.3139397197	0.02	0.11	0.87
74	LOFVUY	186.8240959737	0.02	0.12	0.86
75	LOFVUY	182.291228886	0.02	0.13	0.85
76	LOFVUY	187.8146553647	0.02	0.14	0.84
77	LOFVUY	189.0948897422	0.02	0.15	0.83
78	LOFVUY	191.2072186219	0.02	0.16	0.82
79	LOFVUY	188.6885039159	0.02	0.17	0.81
80	LOFVUY	190.2792619131	0.02	0.18	0.8
81	LOFVUY	185.2748312912	0.02	0.19	0.79
82	LOFVUY	188.0498334712	0.02	0.2	0.78
83	LOFVUY	187.026967038	0.02	0.21	0.77
84	LOFVUY	192.6624206313	0.02	0.22	0.76
85	LOFVUY	191.6230787948	0.02	0.23	0.75
86	LOFVUY	191.6452269416	0.02	0.24	0.74
87	LOFVUY	190.5365414185	0.02	0.25	0.73
88	LOFVUY	190.66297834	0.02	0.26	0.72
89	LOFVUY	187.8969407851	0.02	0.27	0.71
90	LOFVUY	188.8809155369	0.02	0.28	0.7
91	LOFVUY	191.9836709462	0.02	0.29	0.69
92	LOFVUY	187.3585269324	0.02	0.3	0.68
93	LOFVUY	210.5370166974	0.03	0.0	0.97
94	LOFVUY	207.173209005	0.03	0.01	0.96
95	LOFVUY	215.3690301499	0.03	0.02	0.95
