Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	MgMOF-74	93.7053032847	0.0	0.0	1.0
1	MgMOF-74	97.8605284803	0.0	0.01	0.99
2	MgMOF-74	95.6300392902	0.0	0.02	0.98
3	MgMOF-74	93.1419201148	0.0	0.03	0.97
4	MgMOF-74	96.1647136676	0.0	0.04	0.96
5	MgMOF-74	94.9984685566	0.0	0.05	0.95
6	MgMOF-74	96.5403838194	0.0	0.06	0.94
7	MgMOF-74	96.7168326048	0.0	0.07	0.93
8	MgMOF-74	97.2878091375	0.0	0.08	0.92
9	MgMOF-74	98.0527560008	0.0	0.09	0.91
10	MgMOF-74	98.7237313976	0.0	0.1	0.9
11	MgMOF-74	99.0199270027	0.0	0.11	0.89
12	MgMOF-74	97.6511584225	0.0	0.12	0.88
13	MgMOF-74	97.7844462019	0.0	0.13	0.87
14	MgMOF-74	98.838025689	0.0	0.14	0.86
15	MgMOF-74	97.1693032839	0.0	0.15	0.85
16	MgMOF-74	100.834410045	0.0	0.16	0.84
17	MgMOF-74	98.8089558231	0.0	0.17	0.83
18	MgMOF-74	98.5713408036	0.0	0.18	0.82
19	MgMOF-74	99.5898192526	0.0	0.19	0.81
20	MgMOF-74	99.8734165339	0.0	0.2	0.8
21	MgMOF-74	100.3614634261	0.0	0.21	0.79
22	MgMOF-74	101.3844716816	0.0	0.22	0.78
23	MgMOF-74	100.7598044843	0.0	0.23	0.77
24	MgMOF-74	102.3001765527	0.0	0.24	0.76
25	MgMOF-74	102.5625149837	0.0	0.25	0.75
26	MgMOF-74	99.8637620136	0.0	0.26	0.74
27	MgMOF-74	101.3470900184	0.0	0.27	0.73
28	MgMOF-74	100.2748192304	0.0	0.28	0.72
29	MgMOF-74	102.642387658	0.0	0.29	0.71
30	MgMOF-74	101.8924736322	0.0	0.3	0.7
31	MgMOF-74	151.0012436686	0.01	0.0	0.99
32	MgMOF-74	149.6967819511	0.01	0.01	0.98
33	MgMOF-74	153.1197516961	0.01	0.02	0.97
34	MgMOF-74	148.08383418	0.01	0.03	0.96
35	MgMOF-74	151.062313605	0.01	0.04	0.95
36	MgMOF-74	151.5115507433	0.01	0.05	0.94
37	MgMOF-74	149.3940880607	0.01	0.06	0.93
38	MgMOF-74	150.1001931789	0.01	0.07	0.92
39	MgMOF-74	154.991867064	0.01	0.08	0.91
40	MgMOF-74	154.8182106338	0.01	0.09	0.9
41	MgMOF-74	153.5916932058	0.01	0.1	0.89
42	MgMOF-74	150.7284786863	0.01	0.11	0.88
43	MgMOF-74	152.6817270709	0.01	0.12	0.87
44	MgMOF-74	153.1854524658	0.01	0.13	0.86
45	MgMOF-74	151.4038207995	0.01	0.14	0.85
46	MgMOF-74	155.0636132457	0.01	0.15	0.84
