Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	NIBHOW	102.7760365202	0.0	0.0	1.0
1	NIBHOW	106.5208914405	0.0	0.01	0.99
2	NIBHOW	102.6303949375	0.0	0.02	0.98
3	NIBHOW	103.4014494936	0.0	0.03	0.97
4	NIBHOW	103.2935090805	0.0	0.04	0.96
5	NIBHOW	105.2621622982	0.0	0.05	0.95
6	NIBHOW	106.3050436439	0.0	0.06	0.94
7	NIBHOW	108.7827315698	0.0	0.07	0.93
8	NIBHOW	105.5286665219	0.0	0.08	0.92
9	NIBHOW	105.8855489258	0.0	0.09	0.91
10	NIBHOW	104.7351608142	0.0	0.1	0.9
11	NIBHOW	108.0841720159	0.0	0.11	0.89
12	NIBHOW	107.2322097842	0.0	0.12	0.88
13	NIBHOW	108.7711704965	0.0	0.13	0.87
14	NIBHOW	106.5154054366	0.0	0.14	0.86
15	NIBHOW	107.7496881905	0.0	0.15	0.85
16	NIBHOW	110.0909386286	0.0	0.16	0.84
17	NIBHOW	107.9938540906	0.0	0.17	0.83
18	NIBHOW	112.1061178727	0.0	0.18	0.82
19	NIBHOW	108.2554422119	0.0	0.19	0.81
20	NIBHOW	108.6348049137	0.0	0.2	0.8
21	NIBHOW	108.227740484	0.0	0.21	0.79
22	NIBHOW	109.5269204989	0.0	0.22	0.78
23	NIBHOW	111.8235662372	0.0	0.23	0.77
24	NIBHOW	111.7957653362	0.0	0.24	0.76
25	NIBHOW	115.072520678	0.0	0.25	0.75
26	NIBHOW	112.3857582457	0.0	0.26	0.74
27	NIBHOW	113.808369839	0.0	0.27	0.73
28	NIBHOW	112.6244732606	0.0	0.28	0.72
29	NIBHOW	114.2312987838	0.0	0.29	0.71
30	NIBHOW	112.0839622353	0.0	0.3	0.7
31	NIBHOW	112.9894229869	0.01	0.0	0.99
32	NIBHOW	107.0532356521	0.01	0.01	0.98
33	NIBHOW	109.5736918368	0.01	0.02	0.97
34	NIBHOW	109.4245477572	0.01	0.03	0.96
35	NIBHOW	104.7966920389	0.01	0.04	0.95
36	NIBHOW	113.0818906772	0.01	0.05	0.94
37	NIBHOW	108.910443299	0.01	0.06	0.93
38	NIBHOW	112.2067171316	0.01	0.07	0.92
39	NIBHOW	112.4572513058	0.01	0.08	0.91
40	NIBHOW	112.7943663052	0.01	0.09	0.9
41	NIBHOW	111.6142325629	0.01	0.1	0.89
42	NIBHOW	113.9279148762	0.01	0.11	0.88
43	NIBHOW	112.1489802455	0.01	0.12	0.87
44	NIBHOW	113.228376001	0.01	0.13	0.86
45	NIBHOW	113.1217679287	0.01	0.14	0.85
46	NIBHOW	111.4057464989	0.01	0.15	0.84
47	NIBHOW	113.8781049449	0.01	0.16	0.83
48	NIBHOW	112.4634510594	0.01	0.17	0.82
49	NIBHOW	116.6455627941	0.01	0.18	0.81
50	NIBHOW	113.1755867571	0.01	0.19	0.8
51	NIBHOW	114.315588577	0.01	0.2	0.79
52	NIBHOW	113.4843983809	0.01	0.21	0.78
53	NIBHOW	113.5976570784	0.01	0.22	0.77
54	NIBHOW	116.5209752701	0.01	0.23	0.76
55	NIBHOW	115.365911688	0.01	0.24	0.75
56	NIBHOW	113.156146594	0.01	0.25	0.74
57	NIBHOW	119.0321457722	0.01	0.26	0.73
58	NIBHOW	115.7866601757	0.01	0.27	0.72
59	NIBHOW	114.1578938549	0.01	0.28	0.71
60	NIBHOW	117.9429931978	0.01	0.29	0.7
61	NIBHOW	115.948503277	0.01	0.3	0.69
62	NIBHOW	115.0895869708	0.02	0.0	0.98
63	NIBHOW	114.8145568804	0.02	0.01	0.97
64	NIBHOW	118.2207402239	0.02	0.02	0.96
65	NIBHOW	111.0912065201	0.02	0.03	0.95
66	NIBHOW	114.0636732602	0.02	0.04	0.94
67	NIBHOW	115.5684633076	0.02	0.05	0.93
68	NIBHOW	112.0945182984	0.02	0.06	0.92
69	NIBHOW	116.9898452697	0.02	0.07	0.91
70	NIBHOW	115.9387896622	0.02	0.08	0.9
