Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	NIBJAK	107.6279171415	0.0	0.0	1.0
1	NIBJAK	107.1463507608	0.0	0.01	0.99
2	NIBJAK	109.5631620881	0.0	0.02	0.98
3	NIBJAK	110.8849846525	0.0	0.03	0.97
4	NIBJAK	109.8678639106	0.0	0.04	0.96
5	NIBJAK	107.6106331751	0.0	0.05	0.95
6	NIBJAK	110.5143083348	0.0	0.06	0.94
7	NIBJAK	112.6930192089	0.0	0.07	0.93
8	NIBJAK	114.7038649285	0.0	0.08	0.92
9	NIBJAK	111.5978197899	0.0	0.09	0.91
10	NIBJAK	111.350311941	0.0	0.1	0.9
11	NIBJAK	113.0988255511	0.0	0.11	0.89
12	NIBJAK	113.0686728092	0.0	0.12	0.88
13	NIBJAK	110.6721606577	0.0	0.13	0.87
14	NIBJAK	114.9492945313	0.0	0.14	0.86
15	NIBJAK	113.0940604548	0.0	0.15	0.85
16	NIBJAK	114.3186562053	0.0	0.16	0.84
17	NIBJAK	113.4884757819	0.0	0.17	0.83
18	NIBJAK	116.7860123314	0.0	0.18	0.82
19	NIBJAK	115.3881312135	0.0	0.19	0.81
20	NIBJAK	115.4870497559	0.0	0.2	0.8
21	NIBJAK	116.0956523391	0.0	0.21	0.79
22	NIBJAK	115.3211848169	0.0	0.22	0.78
23	NIBJAK	115.0152324142	0.0	0.23	0.77
24	NIBJAK	114.8320935168	0.0	0.24	0.76
25	NIBJAK	116.2040827322	0.0	0.25	0.75
26	NIBJAK	116.1118830254	0.0	0.26	0.74
27	NIBJAK	116.595272158	0.0	0.27	0.73
28	NIBJAK	115.0609424559	0.0	0.28	0.72
29	NIBJAK	116.9051022665	0.0	0.29	0.71
30	NIBJAK	117.776121542	0.0	0.3	0.7
31	NIBJAK	109.6908626479	0.01	0.0	0.99
32	NIBJAK	113.6551590461	0.01	0.01	0.98
33	NIBJAK	113.4210014288	0.01	0.02	0.97
34	NIBJAK	114.6265969337	0.01	0.03	0.96
35	NIBJAK	115.9318193457	0.01	0.04	0.95
36	NIBJAK	115.4842203961	0.01	0.05	0.94
37	NIBJAK	114.7035925303	0.01	0.06	0.93
38	NIBJAK	115.8519883325	0.01	0.07	0.92
39	NIBJAK	115.9271903066	0.01	0.08	0.91
40	NIBJAK	115.5598316486	0.01	0.09	0.9
41	NIBJAK	118.5967132626	0.01	0.1	0.89
42	NIBJAK	117.6999135753	0.01	0.11	0.88
43	NIBJAK	116.2851682409	0.01	0.12	0.87
44	NIBJAK	119.9845233144	0.01	0.13	0.86
45	NIBJAK	116.9495987318	0.01	0.14	0.85
46	NIBJAK	118.2529132698	0.01	0.15	0.84
47	NIBJAK	118.6632514274	0.01	0.16	0.83
48	NIBJAK	117.4515501297	0.01	0.17	0.82
49	NIBJAK	117.0648534622	0.01	0.18	0.81
50	NIBJAK	118.9624956219	0.01	0.19	0.8
51	NIBJAK	120.1109974293	0.01	0.2	0.79
52	NIBJAK	117.7684782523	0.01	0.21	0.78
53	NIBJAK	116.8655163477	0.01	0.22	0.77
54	NIBJAK	120.2414889229	0.01	0.23	0.76
55	NIBJAK	119.2928905566	0.01	0.24	0.75
56	NIBJAK	118.4178440502	0.01	0.25	0.74
57	NIBJAK	120.72378736	0.01	0.26	0.73
58	NIBJAK	118.0685078114	0.01	0.27	0.72
59	NIBJAK	123.5846327729	0.01	0.28	0.71
60	NIBJAK	120.3678931054	0.01	0.29	0.7
61	NIBJAK	120.1045835291	0.01	0.3	0.69
62	NIBJAK	119.4612295004	0.02	0.0	0.98
63	NIBJAK	119.0895385843	0.02	0.01	0.97
64	NIBJAK	117.0694814625	0.02	0.02	0.96
65	NIBJAK	116.8514631408	0.02	0.03	0.95
66	NIBJAK	118.3541070467	0.02	0.04	0.94
67	NIBJAK	118.583210729	0.02	0.05	0.93
68	NIBJAK	117.7365923274	0.02	0.06	0.92
69	NIBJAK	120.9422324712	0.02	0.07	0.91
70	NIBJAK	122.4400104492	0.02	0.08	0.9
71	NIBJAK	122.93102906	0.02	0.09	0.89
72	NIBJAK	122.7485860983	0.02	0.1	0.88
73	NIBJAK	119.873819169	0.02	0.11	0.87
74	NIBJAK	120.7670646875	0.02	0.12	0.86
75	NIBJAK	120.8342461469	0.02	0.13	0.85
76	NIBJAK	124.3170473272	0.02	0.14	0.84
77	NIBJAK	122.2983618528	0.02	0.15	0.83
78	NIBJAK	123.9262471399	0.02	0.16	0.82
79	NIBJAK	120.7578570728	0.02	0.17	0.81
80	NIBJAK	124.9319336943	0.02	0.18	0.8
81	NIBJAK	124.1265204426	0.02	0.19	0.79
82	NIBJAK	122.473008476	0.02	0.2	0.78
83	NIBJAK	124.6382186703	0.02	0.21	0.77
84	NIBJAK	123.3943506476	0.02	0.22	0.76
85	NIBJAK	128.6333430588	0.02	0.23	0.75
86	NIBJAK	125.6617005596	0.02	0.24	0.74
87	NIBJAK	125.8250045138	0.02	0.25	0.73
88	NIBJAK	123.9103285724	0.02	0.26	0.72
89	NIBJAK	126.6696359641	0.02	0.27	0.71
90	NIBJAK	125.3909167273	0.02	0.28	0.7
91	NIBJAK	127.7651694595	0.02	0.29	0.69
92	NIBJAK	127.4763306231	0.02	0.3	0.68
93	NIBJAK	125.5263970297	0.03	0.0	0.97
94	NIBJAK	122.5959880865	0.03	0.01	0.96
95	NIBJAK	121.2059884097	0.03	0.02	0.95
96	NIBJAK	127.2934657379	0.03	0.03	0.94
97	NIBJAK	124.732819717	0.03	0.04	0.93
98	NIBJAK	124.4560460892	0.03	0.05	0.92
99	NIBJAK	125.0086969449	0.03	0.06	0.91
100	NIBJAK	124.6280163295	0.03	0.07	0.9
101	NIBJAK	123.6321755824	0.03	0.08	0.89
102	NIBJAK	126.0000262402	0.03	0.09	0.88
103	NIBJAK	123.4066995969	0.03	0.1	0.87
104	NIBJAK	124.2218119994	0.03	0.11	0.86
105	NIBJAK	127.7745639666	0.03	0.12	0.85
106	NIBJAK	123.1808094388	0.03	0.13	0.84
107	NIBJAK	125.9550053542	0.03	0.14	0.83
108	NIBJAK	124.5944359354	0.03	0.15	0.82
109	NIBJAK	128.2729950194	0.03	0.16	0.81
110	NIBJAK	128.5428400186	0.03	0.17	0.8
111	NIBJAK	129.8538866321	0.03	0.18	0.79
112	NIBJAK	128.1693510611	0.03	0.19	0.78
113	NIBJAK	125.7436812455	0.03	0.2	0.77
114	NIBJAK	129.1154151067	0.03	0.21	0.76
115	NIBJAK	132.2428262093	0.03	0.22	0.75
116	NIBJAK	129.8216442017	0.03	0.23	0.74
117	NIBJAK	128.5317606627	0.03	0.24	0.73
118	NIBJAK	130.3447375156	0.03	0.25	0.72
119	NIBJAK	129.349576088	0.03	0.26	0.71
120	NIBJAK	129.036321867	0.03	0.27	0.7
121	NIBJAK	129.8070467099	0.03	0.28	0.69
122	NIBJAK	131.390457098	0.03	0.29	0.68
