Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	NU-100	104.9882364146	0.0	0.0	1.0
1	NU-100	104.8293922066	0.0	0.01	0.99
2	NU-100	104.4571389561	0.0	0.02	0.98
3	NU-100	106.8050061599	0.0	0.03	0.97
4	NU-100	106.3913283816	0.0	0.04	0.96
5	NU-100	107.3670681214	0.0	0.05	0.95
6	NU-100	107.5698297704	0.0	0.06	0.94
7	NU-100	107.6010035541	0.0	0.07	0.93
8	NU-100	106.7642170705	0.0	0.08	0.92
9	NU-100	106.6090460404	0.0	0.09	0.91
10	NU-100	108.9096049202	0.0	0.1	0.9
11	NU-100	108.7121591117	0.0	0.11	0.89
12	NU-100	109.0938591765	0.0	0.12	0.88
13	NU-100	108.2520108941	0.0	0.13	0.87
14	NU-100	109.5403359591	0.0	0.14	0.86
15	NU-100	109.6679355013	0.0	0.15	0.85
16	NU-100	109.9088742843	0.0	0.16	0.84
17	NU-100	110.4167104547	0.0	0.17	0.83
18	NU-100	110.1707723227	0.0	0.18	0.82
19	NU-100	110.4453288323	0.0	0.19	0.81
20	NU-100	111.3329427307	0.0	0.2	0.8
21	NU-100	111.014257286	0.0	0.21	0.79
22	NU-100	111.6655604486	0.0	0.22	0.78
23	NU-100	113.195852029	0.0	0.23	0.77
24	NU-100	112.5211432268	0.0	0.24	0.76
25	NU-100	113.3312638846	0.0	0.25	0.75
26	NU-100	114.0091706125	0.0	0.26	0.74
27	NU-100	113.4933347027	0.0	0.27	0.73
28	NU-100	115.0904842829	0.0	0.28	0.72
29	NU-100	114.3763907246	0.0	0.29	0.71
30	NU-100	115.0800028681	0.0	0.3	0.7
31	NU-100	111.382780725	0.01	0.0	0.99
32	NU-100	111.7327985612	0.01	0.01	0.98
33	NU-100	112.4514428327	0.01	0.02	0.97
34	NU-100	111.7301302231	0.01	0.03	0.96
35	NU-100	112.682593827	0.01	0.04	0.95
36	NU-100	113.1305559503	0.01	0.05	0.94
37	NU-100	113.9719579923	0.01	0.06	0.93
38	NU-100	113.8037969836	0.01	0.07	0.92
39	NU-100	114.6748295771	0.01	0.08	0.91
40	NU-100	114.4246314298	0.01	0.09	0.9
41	NU-100	115.2227206104	0.01	0.1	0.89
42	NU-100	115.0286417721	0.01	0.11	0.88
43	NU-100	116.647463094	0.01	0.12	0.87
44	NU-100	116.3771634961	0.01	0.13	0.86
45	NU-100	115.8674480794	0.01	0.14	0.85
46	NU-100	116.8560169304	0.01	0.15	0.84
47	NU-100	117.2992238423	0.01	0.16	0.83
48	NU-100	118.960656422	0.01	0.17	0.82
49	NU-100	117.1698405374	0.01	0.18	0.81
50	NU-100	118.4677259686	0.01	0.19	0.8
51	NU-100	118.7668135948	0.01	0.2	0.79
52	NU-100	119.5234169891	0.01	0.21	0.78
53	NU-100	119.3970145849	0.01	0.22	0.77
54	NU-100	119.0915510836	0.01	0.23	0.76
55	NU-100	120.5469055519	0.01	0.24	0.75
56	NU-100	120.4188536744	0.01	0.25	0.74
57	NU-100	119.8479966881	0.01	0.26	0.73
58	NU-100	120.5798806471	0.01	0.27	0.72
59	NU-100	120.573644343	0.01	0.28	0.71
60	NU-100	121.9523340367	0.01	0.29	0.7
61	NU-100	122.0440403442	0.01	0.3	0.69
62	NU-100	118.7684476512	0.02	0.0	0.98
63	NU-100	118.3785847126	0.02	0.01	0.97
64	NU-100	119.003741791	0.02	0.02	0.96
65	NU-100	118.4833867756	0.02	0.03	0.95
66	NU-100	119.0845653725	0.02	0.04	0.94
67	NU-100	120.2687156087	0.02	0.05	0.93
68	NU-100	121.2902165806	0.02	0.06	0.92
69	NU-100	120.2437039601	0.02	0.07	0.91
70	NU-100	120.4040996391	0.02	0.08	0.9
71	NU-100	121.2293250336	0.02	0.09	0.89
72	NU-100	123.0953293891	0.02	0.1	0.88
73	NU-100	122.0652113524	0.02	0.11	0.87
74	NU-100	122.4553981924	0.02	0.12	0.86
75	NU-100	123.1730773737	0.02	0.13	0.85
76	NU-100	122.8911363924	0.02	0.14	0.84
77	NU-100	124.3968740914	0.02	0.15	0.83
78	NU-100	123.5690126653	0.02	0.16	0.82
79	NU-100	125.0961431556	0.02	0.17	0.81
80	NU-100	124.0812068459	0.02	0.18	0.8
81	NU-100	124.9369198699	0.02	0.19	0.79
82	NU-100	124.8113568885	0.02	0.2	0.78
83	NU-100	125.6128805401	0.02	0.21	0.77
84	NU-100	125.831036914	0.02	0.22	0.76
85	NU-100	125.6185998782	0.02	0.23	0.75
86	NU-100	125.5366094378	0.02	0.24	0.74
87	NU-100	126.172115209	0.02	0.25	0.73
88	NU-100	126.8551375974	0.02	0.26	0.72
89	NU-100	127.0598937046	0.02	0.27	0.71
90	NU-100	127.4485574756	0.02	0.28	0.7
91	NU-100	127.8100268	0.02	0.29	0.69
92	NU-100	128.1602734318	0.02	0.3	0.68
93	NU-100	125.6269999612	0.03	0.0	0.97
94	NU-100	126.1831135665	0.03	0.01	0.96
95	NU-100	125.8341835083	0.03	0.02	0.95
96	NU-100	125.7130714515	0.03	0.03	0.94
97	NU-100	126.0927958649	0.03	0.04	0.93
98	NU-100	127.0824582688	0.03	0.05	0.92
99	NU-100	126.8959294128	0.03	0.06	0.91
100	NU-100	127.7352439642	0.03	0.07	0.9
101	NU-100	127.1207542409	0.03	0.08	0.89
102	NU-100	127.9101602339	0.03	0.09	0.88
103	NU-100	128.1310156161	0.03	0.1	0.87
104	NU-100	128.2217245616	0.03	0.11	0.86
105	NU-100	128.4974845334	0.03	0.12	0.85
106	NU-100	129.3327500696	0.03	0.13	0.84
107	NU-100	129.2288209416	0.03	0.14	0.83
108	NU-100	130.9685736296	0.03	0.15	0.82
109	NU-100	129.322478994	0.03	0.16	0.81
110	NU-100	130.888470327	0.03	0.17	0.8
111	NU-100	130.0200091245	0.03	0.18	0.79
112	NU-100	132.2089775228	0.03	0.19	0.78
113	NU-100	131.3582993037	0.03	0.2	0.77
114	NU-100	131.5560897363	0.03	0.21	0.76
115	NU-100	131.0056075017	0.03	0.22	0.75
116	NU-100	133.0662465281	0.03	0.23	0.74
117	NU-100	132.8823605686	0.03	0.24	0.73
118	NU-100	132.9473553924	0.03	0.25	0.72
119	NU-100	133.0776407922	0.03	0.26	0.71
120	NU-100	135.0234244501	0.03	0.27	0.7
121	NU-100	134.4486800342	0.03	0.28	0.69
122	NU-100	134.8112240522	0.03	0.29	0.68
123	NU-100	134.5012462827	0.03	0.3	0.67
124	NU-100	133.0524315668	0.04	0.0	0.96
125	NU-100	131.8487069843	0.04	0.01	0.95
126	NU-100	131.3806436794	0.04	0.02	0.94
127	NU-100	132.1636637453	0.04	0.03	0.93
128	NU-100	132.1578012749	0.04	0.04	0.92
129	NU-100	132.6293666926	0.04	0.05	0.91
130	NU-100	133.0032771373	0.04	0.06	0.9
131	NU-100	133.3682424535	0.04	0.07	0.89
132	NU-100	134.0771605228	0.04	0.08	0.88
133	NU-100	134.7088553151	0.04	0.09	0.87
134	NU-100	134.2628346051	0.04	0.1	0.86
135	NU-100	133.0019024805	0.04	0.11	0.85
136	NU-100	136.1513485981	0.04	0.12	0.84
137	NU-100	135.9192248417	0.04	0.13	0.83
138	NU-100	136.7388186373	0.04	0.14	0.82
139	NU-100	135.9394810215	0.04	0.15	0.81
140	NU-100	137.1508314864	0.04	0.16	0.8
141	NU-100	137.2225086819	0.04	0.17	0.79
142	NU-100	136.7957014661	0.04	0.18	0.78
143	NU-100	135.945075023	0.04	0.19	0.77
144	NU-100	137.6002303348	0.04	0.2	0.76
145	NU-100	138.9020577213	0.04	0.21	0.75
146	NU-100	136.9229491451	0.04	0.22	0.74
147	NU-100	137.9194476473	0.04	0.23	0.73
148	NU-100	139.2931748626	0.04	0.24	0.72
149	NU-100	139.6486438032	0.04	0.25	0.71
150	NU-100	139.2927272909	0.04	0.26	0.7
151	NU-100	138.9167151926	0.04	0.27	0.69
152	NU-100	140.1787454219	0.04	0.28	0.68
153	NU-100	140.5461777764	0.04	0.29	0.67
154	NU-100	141.2974443465	0.04	0.3	0.66
155	NU-100	137.863843007	0.05	0.0	0.95
156	NU-100	137.7587381671	0.05	0.01	0.94
157	NU-100	138.6094263922	0.05	0.02	0.93
158	NU-100	137.7532446686	0.05	0.03	0.92
159	NU-100	138.8439022014	0.05	0.04	0.91
160	NU-100	138.5996925822	0.05	0.05	0.9
161	NU-100	139.412313613	0.05	0.06	0.89
162	NU-100	140.1865293481	0.05	0.07	0.88
