Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	RAVXET	78.6800461438	0.0	0.0	1.0
1	RAVXET	82.1770744165	0.0	0.01	0.99
2	RAVXET	79.8820029136	0.0	0.02	0.98
3	RAVXET	84.293996444	0.0	0.03	0.97
4	RAVXET	83.0406725161	0.0	0.04	0.96
5	RAVXET	83.9561537046	0.0	0.05	0.95
6	RAVXET	85.5738932494	0.0	0.06	0.94
7	RAVXET	84.1779543691	0.0	0.07	0.93
8	RAVXET	84.5038324569	0.0	0.08	0.92
9	RAVXET	82.4304184868	0.0	0.09	0.91
10	RAVXET	84.0178164063	0.0	0.1	0.9
11	RAVXET	84.5277690057	0.0	0.11	0.89
12	RAVXET	83.0114888014	0.0	0.12	0.88
13	RAVXET	84.7953211932	0.0	0.13	0.87
14	RAVXET	83.211455631	0.0	0.14	0.86
15	RAVXET	85.6771671567	0.0	0.15	0.85
16	RAVXET	84.0388357908	0.0	0.16	0.84
17	RAVXET	85.9922958328	0.0	0.17	0.83
18	RAVXET	86.6849925891	0.0	0.18	0.82
19	RAVXET	85.8205824852	0.0	0.19	0.81
20	RAVXET	87.1869192169	0.0	0.2	0.8
21	RAVXET	86.144610625	0.0	0.21	0.79
22	RAVXET	87.5095506091	0.0	0.22	0.78
23	RAVXET	88.0422525739	0.0	0.23	0.77
24	RAVXET	87.5974256325	0.0	0.24	0.76
25	RAVXET	87.6586881594	0.0	0.25	0.75
26	RAVXET	88.157220696	0.0	0.26	0.74
27	RAVXET	88.5960421603	0.0	0.27	0.73
28	RAVXET	88.3632520706	0.0	0.28	0.72
29	RAVXET	87.9433040353	0.0	0.29	0.71
30	RAVXET	87.754257151	0.0	0.3	0.7
31	RAVXET	107.7216013122	0.01	0.0	0.99
32	RAVXET	107.8140090878	0.01	0.01	0.98
33	RAVXET	105.8405510462	0.01	0.02	0.97
34	RAVXET	106.7980523439	0.01	0.03	0.96
35	RAVXET	107.0377740028	0.01	0.04	0.95
36	RAVXET	105.7586911651	0.01	0.05	0.94
37	RAVXET	107.0890783587	0.01	0.06	0.93
38	RAVXET	106.4973615846	0.01	0.07	0.92
39	RAVXET	107.2462870576	0.01	0.08	0.91
40	RAVXET	106.3178095951	0.01	0.09	0.9
41	RAVXET	106.3062823336	0.01	0.1	0.89
42	RAVXET	107.1137472721	0.01	0.11	0.88
43	RAVXET	109.0700707794	0.01	0.12	0.87
44	RAVXET	107.6946782554	0.01	0.13	0.86
45	RAVXET	109.5833772613	0.01	0.14	0.85
46	RAVXET	108.0107977378	0.01	0.15	0.84
47	RAVXET	106.4222572572	0.01	0.16	0.83
48	RAVXET	108.3528886478	0.01	0.17	0.82
49	RAVXET	109.7933683173	0.01	0.18	0.81
50	RAVXET	111.1527112734	0.01	0.19	0.8
51	RAVXET	110.9307861223	0.01	0.2	0.79
52	RAVXET	109.0646347899	0.01	0.21	0.78
53	RAVXET	110.1296366327	0.01	0.22	0.77
54	RAVXET	110.799750264	0.01	0.23	0.76
55	RAVXET	114.1926201753	0.01	0.24	0.75
56	RAVXET	109.4712029219	0.01	0.25	0.74
57	RAVXET	111.6713420678	0.01	0.26	0.73
58	RAVXET	112.3326227029	0.01	0.27	0.72
59	RAVXET	112.7963567511	0.01	0.28	0.71
60	RAVXET	110.5726184654	0.01	0.29	0.7
61	RAVXET	115.5659187114	0.01	0.3	0.69
62	RAVXET	120.5133710233	0.02	0.0	0.98
63	RAVXET	122.0728655386	0.02	0.01	0.97
64	RAVXET	118.5436633384	0.02	0.02	0.96
65	RAVXET	119.6927162506	0.02	0.03	0.95
66	RAVXET	120.7236089584	0.02	0.04	0.94
67	RAVXET	120.4853967203	0.02	0.05	0.93
68	RAVXET	120.6482860885	0.02	0.06	0.92
69	RAVXET	122.5591886882	0.02	0.07	0.91
70	RAVXET	121.4289110566	0.02	0.08	0.9
71	RAVXET	122.278136206	0.02	0.09	0.89
72	RAVXET	122.1710477809	0.02	0.1	0.88
73	RAVXET	122.7759125311	0.02	0.11	0.87
74	RAVXET	125.3781607157	0.02	0.12	0.86
75	RAVXET	122.0272546322	0.02	0.13	0.85
76	RAVXET	120.4640888262	0.02	0.14	0.84
77	RAVXET	123.272179993	0.02	0.15	0.83
78	RAVXET	122.2685081016	0.02	0.16	0.82
79	RAVXET	122.4656756357	0.02	0.17	0.81
80	RAVXET	124.2963601248	0.02	0.18	0.8
81	RAVXET	123.9527526644	0.02	0.19	0.79
82	RAVXET	123.0188431712	0.02	0.2	0.78
83	RAVXET	127.9447343314	0.02	0.21	0.77
84	RAVXET	123.2330357257	0.02	0.22	0.76
85	RAVXET	124.1839190594	0.02	0.23	0.75
86	RAVXET	124.067413218	0.02	0.24	0.74
