Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	SAPBIW	81.8488696336	0.0	0.0	1.0
1	SAPBIW	80.927836177	0.0	0.01	0.99
2	SAPBIW	80.9029168487	0.0	0.02	0.98
3	SAPBIW	81.0410128584	0.0	0.03	0.97
4	SAPBIW	81.7005257707	0.0	0.04	0.96
5	SAPBIW	81.8748651362	0.0	0.05	0.95
6	SAPBIW	82.1916387063	0.0	0.06	0.94
7	SAPBIW	82.1746639854	0.0	0.07	0.93
8	SAPBIW	81.5274087249	0.0	0.08	0.92
9	SAPBIW	83.2931626012	0.0	0.09	0.91
10	SAPBIW	82.7412071029	0.0	0.1	0.9
11	SAPBIW	82.773363286	0.0	0.11	0.89
12	SAPBIW	82.4006480404	0.0	0.12	0.88
13	SAPBIW	84.0770838966	0.0	0.13	0.87
14	SAPBIW	83.4164843753	0.0	0.14	0.86
15	SAPBIW	83.6609375856	0.0	0.15	0.85
16	SAPBIW	84.1618929889	0.0	0.16	0.84
17	SAPBIW	84.7833176841	0.0	0.17	0.83
18	SAPBIW	84.0146690616	0.0	0.18	0.82
19	SAPBIW	84.7991424157	0.0	0.19	0.81
20	SAPBIW	85.9145213793	0.0	0.2	0.8
21	SAPBIW	84.5508836428	0.0	0.21	0.79
22	SAPBIW	85.8369873657	0.0	0.22	0.78
23	SAPBIW	85.0134170296	0.0	0.23	0.77
24	SAPBIW	85.8429969561	0.0	0.24	0.76
25	SAPBIW	86.3864506036	0.0	0.25	0.75
26	SAPBIW	87.0743862798	0.0	0.26	0.74
27	SAPBIW	86.9330340149	0.0	0.27	0.73
28	SAPBIW	86.8012917647	0.0	0.28	0.72
29	SAPBIW	86.3791792899	0.0	0.29	0.71
30	SAPBIW	87.6388026324	0.0	0.3	0.7
31	SAPBIW	85.9676483405	0.01	0.0	0.99
32	SAPBIW	85.9614645088	0.01	0.01	0.98
33	SAPBIW	85.4686277877	0.01	0.02	0.97
34	SAPBIW	85.1356235042	0.01	0.03	0.96
35	SAPBIW	86.2909068789	0.01	0.04	0.95
36	SAPBIW	86.9441968639	0.01	0.05	0.94
37	SAPBIW	86.9746490501	0.01	0.06	0.93
38	SAPBIW	87.0779933961	0.01	0.07	0.92
39	SAPBIW	88.9762960344	0.01	0.08	0.91
40	SAPBIW	88.2877391291	0.01	0.09	0.9
41	SAPBIW	89.074764632	0.01	0.1	0.89
42	SAPBIW	88.4834201595	0.01	0.11	0.88
43	SAPBIW	88.0701229908	0.01	0.12	0.87
44	SAPBIW	88.1437006946	0.01	0.13	0.86
45	SAPBIW	88.4702085575	0.01	0.14	0.85
46	SAPBIW	88.3486655516	0.01	0.15	0.84
47	SAPBIW	90.0895046007	0.01	0.16	0.83
48	SAPBIW	88.77562719	0.01	0.17	0.82
49	SAPBIW	89.8438285767	0.01	0.18	0.81
50	SAPBIW	89.7510690111	0.01	0.19	0.8
51	SAPBIW	89.4091041697	0.01	0.2	0.79
52	SAPBIW	88.7385080678	0.01	0.21	0.78
53	SAPBIW	91.3426541502	0.01	0.22	0.77
54	SAPBIW	91.1635422328	0.01	0.23	0.76
55	SAPBIW	91.16140815	0.01	0.24	0.75
56	SAPBIW	91.1383055598	0.01	0.25	0.74
57	SAPBIW	91.9730985477	0.01	0.26	0.73
58	SAPBIW	93.0460228748	0.01	0.27	0.72
59	SAPBIW	92.383495396	0.01	0.28	0.71
60	SAPBIW	92.78322368	0.01	0.29	0.7
61	SAPBIW	92.7631297892	0.01	0.3	0.69
62	SAPBIW	89.604403671	0.02	0.0	0.98
63	SAPBIW	91.2794607925	0.02	0.01	0.97
64	SAPBIW	89.6636140404	0.02	0.02	0.96
65	SAPBIW	91.4820679771	0.02	0.03	0.95
66	SAPBIW	90.9157800307	0.02	0.04	0.94
67	SAPBIW	91.9707541693	0.02	0.05	0.93
68	SAPBIW	92.5258534228	0.02	0.06	0.92
69	SAPBIW	92.5647839377	0.02	0.07	0.91
70	SAPBIW	91.5661470785	0.02	0.08	0.9
71	SAPBIW	92.6639609879	0.02	0.09	0.89
72	SAPBIW	93.4020893229	0.02	0.1	0.88
73	SAPBIW	93.3574122441	0.02	0.11	0.87
74	SAPBIW	93.5732738969	0.02	0.12	0.86
75	SAPBIW	93.4314599118	0.02	0.13	0.85
76	SAPBIW	94.9573154574	0.02	0.14	0.84
77	SAPBIW	94.459504718	0.02	0.15	0.83
78	SAPBIW	94.4176602795	0.02	0.16	0.82
79	SAPBIW	93.6844779717	0.02	0.17	0.81
80	SAPBIW	94.8970418325	0.02	0.18	0.8
81	SAPBIW	95.0427044895	0.02	0.19	0.79
82	SAPBIW	94.7799083596	0.02	0.2	0.78
83	SAPBIW	95.6075010638	0.02	0.21	0.77
84	SAPBIW	95.7480392001	0.02	0.22	0.76
85	SAPBIW	96.1094122622	0.02	0.23	0.75
86	SAPBIW	95.6014832329	0.02	0.24	0.74
87	SAPBIW	97.0633917946	0.02	0.25	0.73
88	SAPBIW	97.1059577243	0.02	0.26	0.72
89	SAPBIW	95.8615484394	0.02	0.27	0.71
90	SAPBIW	97.0790480515	0.02	0.28	0.7
91	SAPBIW	97.6743456842	0.02	0.29	0.69
92	SAPBIW	97.918589391	0.02	0.3	0.68
93	SAPBIW	95.1301431219	0.03	0.0	0.97
94	SAPBIW	96.6307481835	0.03	0.01	0.96
95	SAPBIW	94.9270667036	0.03	0.02	0.95
96	SAPBIW	96.3973793899	0.03	0.03	0.94
97	SAPBIW	97.2956256316	0.03	0.04	0.93
98	SAPBIW	96.9140583053	0.03	0.05	0.92
99	SAPBIW	97.2297649322	0.03	0.06	0.91
100	SAPBIW	97.3141882428	0.03	0.07	0.9
101	SAPBIW	97.7144577854	0.03	0.08	0.89
102	SAPBIW	96.726451973	0.03	0.09	0.88
103	SAPBIW	97.7354181305	0.03	0.1	0.87
104	SAPBIW	97.4322286172	0.03	0.11	0.86
105	SAPBIW	97.8180575222	0.03	0.12	0.85
106	SAPBIW	99.1218417671	0.03	0.13	0.84
107	SAPBIW	98.7259422203	0.03	0.14	0.83
108	SAPBIW	99.9390869769	0.03	0.15	0.82
109	SAPBIW	99.5313628599	0.03	0.16	0.81
110	SAPBIW	99.7939407937	0.03	0.17	0.8
111	SAPBIW	100.6833850949	0.03	0.18	0.79
112	SAPBIW	99.8376887808	0.03	0.19	0.78
113	SAPBIW	99.8427699315	0.03	0.2	0.77
114	SAPBIW	100.4448624833	0.03	0.21	0.76
