Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	SICZOV	107.4857190959	0.0	0.0	1.0
1	SICZOV	108.6613971607	0.0	0.01	0.99
2	SICZOV	109.5417149014	0.0	0.02	0.98
3	SICZOV	108.4092013407	0.0	0.03	0.97
4	SICZOV	108.6670059135	0.0	0.04	0.96
5	SICZOV	108.4380324045	0.0	0.05	0.95
6	SICZOV	111.7380319685	0.0	0.06	0.94
7	SICZOV	110.9076004901	0.0	0.07	0.93
8	SICZOV	110.8300237328	0.0	0.08	0.92
9	SICZOV	110.2915161044	0.0	0.09	0.91
10	SICZOV	111.2387285489	0.0	0.1	0.9
11	SICZOV	111.5858187267	0.0	0.11	0.89
12	SICZOV	110.6269113908	0.0	0.12	0.88
13	SICZOV	112.1014369765	0.0	0.13	0.87
14	SICZOV	112.9558824699	0.0	0.14	0.86
15	SICZOV	112.7993841555	0.0	0.15	0.85
16	SICZOV	113.2061163155	0.0	0.16	0.84
17	SICZOV	112.3007443808	0.0	0.17	0.83
18	SICZOV	114.5088083746	0.0	0.18	0.82
19	SICZOV	114.3895839017	0.0	0.19	0.81
20	SICZOV	113.9606968799	0.0	0.2	0.8
21	SICZOV	114.6845218427	0.0	0.21	0.79
22	SICZOV	114.5331325615	0.0	0.22	0.78
23	SICZOV	114.9887453234	0.0	0.23	0.77
24	SICZOV	114.2269500388	0.0	0.24	0.76
25	SICZOV	114.6772759141	0.0	0.25	0.75
26	SICZOV	115.9976722175	0.0	0.26	0.74
27	SICZOV	116.6819886082	0.0	0.27	0.73
28	SICZOV	116.1218577516	0.0	0.28	0.72
29	SICZOV	118.0087922387	0.0	0.29	0.71
30	SICZOV	117.4782500586	0.0	0.3	0.7
31	SICZOV	126.5474873319	0.01	0.0	0.99
32	SICZOV	127.5268120647	0.01	0.01	0.98
33	SICZOV	128.6559504082	0.01	0.02	0.97
34	SICZOV	129.214525571	0.01	0.03	0.96
35	SICZOV	128.5299960292	0.01	0.04	0.95
36	SICZOV	129.1069253769	0.01	0.05	0.94
37	SICZOV	130.2068225233	0.01	0.06	0.93
38	SICZOV	127.3054108752	0.01	0.07	0.92
39	SICZOV	130.5227191717	0.01	0.08	0.91
40	SICZOV	129.9499067504	0.01	0.09	0.9
41	SICZOV	130.6034705221	0.01	0.1	0.89
42	SICZOV	132.1122271004	0.01	0.11	0.88
43	SICZOV	131.3607206394	0.01	0.12	0.87
44	SICZOV	130.8066382358	0.01	0.13	0.86
45	SICZOV	130.0766740911	0.01	0.14	0.85
46	SICZOV	131.9236879317	0.01	0.15	0.84
47	SICZOV	131.8771716194	0.01	0.16	0.83
48	SICZOV	132.3754246313	0.01	0.17	0.82
49	SICZOV	133.3067530609	0.01	0.18	0.81
50	SICZOV	133.9781965656	0.01	0.19	0.8
51	SICZOV	133.5658031298	0.01	0.2	0.79
52	SICZOV	133.7843400193	0.01	0.21	0.78
53	SICZOV	134.164148294	0.01	0.22	0.77
54	SICZOV	133.6694124866	0.01	0.23	0.76
55	SICZOV	134.1310537199	0.01	0.24	0.75
56	SICZOV	134.7341010288	0.01	0.25	0.74
57	SICZOV	135.7801659387	0.01	0.26	0.73
58	SICZOV	135.4135552734	0.01	0.27	0.72
59	SICZOV	135.5083486685	0.01	0.28	0.71
60	SICZOV	136.3187842174	0.01	0.29	0.7
61	SICZOV	136.107394613	0.01	0.3	0.69
62	SICZOV	144.2480758018	0.02	0.0	0.98
63	SICZOV	144.9109727208	0.02	0.01	0.97
64	SICZOV	144.9942240587	0.02	0.02	0.96
65	SICZOV	144.9146530408	0.02	0.03	0.95
66	SICZOV	144.5390219525	0.02	0.04	0.94
67	SICZOV	145.2608275666	0.02	0.05	0.93
68	SICZOV	147.0849148833	0.02	0.06	0.92
69	SICZOV	144.8676142405	0.02	0.07	0.91
