Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	TOHSAL	142.5344410268	0.0	0.0	1.0
1	TOHSAL	145.372649411	0.0	0.01	0.99
2	TOHSAL	144.8053936528	0.0	0.02	0.98
3	TOHSAL	146.2262774738	0.0	0.03	0.97
4	TOHSAL	146.9596128431	0.0	0.04	0.96
5	TOHSAL	148.3234611082	0.0	0.05	0.95
6	TOHSAL	148.2352714952	0.0	0.06	0.94
7	TOHSAL	148.6073082523	0.0	0.07	0.93
8	TOHSAL	149.4409384726	0.0	0.08	0.92
9	TOHSAL	149.9004799087	0.0	0.09	0.91
10	TOHSAL	151.0763015243	0.0	0.1	0.9
11	TOHSAL	151.502235888	0.0	0.11	0.89
12	TOHSAL	150.0173123234	0.0	0.12	0.88
13	TOHSAL	151.0262399168	0.0	0.13	0.87
14	TOHSAL	152.2868221477	0.0	0.14	0.86
15	TOHSAL	153.2765934262	0.0	0.15	0.85
16	TOHSAL	153.4060371964	0.0	0.16	0.84
17	TOHSAL	154.739160965	0.0	0.17	0.83
18	TOHSAL	155.3002845258	0.0	0.18	0.82
19	TOHSAL	156.3064291057	0.0	0.19	0.81
20	TOHSAL	157.1883845975	0.0	0.2	0.8
21	TOHSAL	156.7107110426	0.0	0.21	0.79
22	TOHSAL	157.5347120873	0.0	0.22	0.78
23	TOHSAL	158.8477145673	0.0	0.23	0.77
24	TOHSAL	158.4578095639	0.0	0.24	0.76
25	TOHSAL	159.2511228648	0.0	0.25	0.75
26	TOHSAL	160.1200887772	0.0	0.26	0.74
27	TOHSAL	160.8532277485	0.0	0.27	0.73
28	TOHSAL	160.9841145972	0.0	0.28	0.72
29	TOHSAL	162.746239647	0.0	0.29	0.71
30	TOHSAL	162.358669461	0.0	0.3	0.7
31	TOHSAL	169.0416760895	0.01	0.0	0.99
32	TOHSAL	169.2324317948	0.01	0.01	0.98
33	TOHSAL	169.8402473042	0.01	0.02	0.97
34	TOHSAL	170.2364434604	0.01	0.03	0.96
35	TOHSAL	171.8454444406	0.01	0.04	0.95
36	TOHSAL	171.8665279086	0.01	0.05	0.94
37	TOHSAL	172.6535838886	0.01	0.06	0.93
38	TOHSAL	171.890005342	0.01	0.07	0.92
39	TOHSAL	174.2668103093	0.01	0.08	0.91
40	TOHSAL	173.5966397313	0.01	0.09	0.9
41	TOHSAL	174.4791588266	0.01	0.1	0.89
42	TOHSAL	175.3191474248	0.01	0.11	0.88
43	TOHSAL	175.8587756013	0.01	0.12	0.87
44	TOHSAL	176.4442512306	0.01	0.13	0.86
45	TOHSAL	176.3830776417	0.01	0.14	0.85
46	TOHSAL	177.3396613638	0.01	0.15	0.84
47	TOHSAL	177.8522130291	0.01	0.16	0.83
48	TOHSAL	179.2451230723	0.01	0.17	0.82
49	TOHSAL	178.7946910289	0.01	0.18	0.81
50	TOHSAL	182.0526044742	0.01	0.19	0.8
51	TOHSAL	180.7596006852	0.01	0.2	0.79
52	TOHSAL	181.5657042102	0.01	0.21	0.78
53	TOHSAL	182.6480362545	0.01	0.22	0.77
54	TOHSAL	182.1903943923	0.01	0.23	0.76
55	TOHSAL	183.6071441922	0.01	0.24	0.75
56	TOHSAL	182.3212004535	0.01	0.25	0.74
57	TOHSAL	184.0123995523	0.01	0.26	0.73
58	TOHSAL	185.6029349322	0.01	0.27	0.72
59	TOHSAL	185.9715404749	0.01	0.28	0.71
60	TOHSAL	186.2626188615	0.01	0.29	0.7
61	TOHSAL	186.4720764413	0.01	0.3	0.69
62	TOHSAL	192.1489437816	0.02	0.0	0.98
63	TOHSAL	194.1777371472	0.02	0.01	0.97
64	TOHSAL	194.5163521677	0.02	0.02	0.96
65	TOHSAL	194.1422209188	0.02	0.03	0.95
66	TOHSAL	195.9549150662	0.02	0.04	0.94
67	TOHSAL	196.6409011911	0.02	0.05	0.93
68	TOHSAL	197.2016916126	0.02	0.06	0.92
69	TOHSAL	197.3505331109	0.02	0.07	0.91
70	TOHSAL	199.4037514652	0.02	0.08	0.9
71	TOHSAL	197.3469581295	0.02	0.09	0.89
72	TOHSAL	197.7019682663	0.02	0.1	0.88
73	TOHSAL	198.6984203847	0.02	0.11	0.87
74	TOHSAL	200.2089276752	0.02	0.12	0.86
75	TOHSAL	200.6509549648	0.02	0.13	0.85
76	TOHSAL	201.9652653895	0.02	0.14	0.84
77	TOHSAL	201.7394390365	0.02	0.15	0.83
78	TOHSAL	202.2814283185	0.02	0.16	0.82
79	TOHSAL	203.9576140858	0.02	0.17	0.81
80	TOHSAL	201.5782625918	0.02	0.18	0.8
81	TOHSAL	203.9569527594	0.02	0.19	0.79
82	TOHSAL	203.9895980879	0.02	0.2	0.78
83	TOHSAL	205.3872393771	0.02	0.21	0.77
84	TOHSAL	205.880927141	0.02	0.22	0.76
85	TOHSAL	205.9200895947	0.02	0.23	0.75
86	TOHSAL	206.8713732521	0.02	0.24	0.74
87	TOHSAL	208.1322924829	0.02	0.25	0.73
88	TOHSAL	208.0184188673	0.02	0.26	0.72
89	TOHSAL	207.9471254677	0.02	0.27	0.71
90	TOHSAL	208.7125400829	0.02	0.28	0.7
91	TOHSAL	208.8082732333	0.02	0.29	0.69
92	TOHSAL	210.1052109045	0.02	0.3	0.68
93	TOHSAL	216.5384373853	0.03	0.0	0.97
