Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XUWVUG	1.8689498186	0.0	0.0	1.0
1	XUWVUG	2.0208725578	0.0	0.01	0.99
2	XUWVUG	2.0354565925	0.0	0.02	0.98
3	XUWVUG	2.0904674484	0.0	0.03	0.97
4	XUWVUG	2.0645640176	0.0	0.04	0.96
5	XUWVUG	2.1355952358	0.0	0.05	0.95
6	XUWVUG	2.1045320861	0.0	0.06	0.94
7	XUWVUG	2.2317920156	0.0	0.07	0.93
8	XUWVUG	2.3353533183	0.0	0.08	0.92
9	XUWVUG	2.3524140027	0.0	0.09	0.91
10	XUWVUG	2.4261879771	0.0	0.1	0.9
11	XUWVUG	2.4376458777	0.0	0.11	0.89
12	XUWVUG	2.5538842756	0.0	0.12	0.88
13	XUWVUG	2.5120153882	0.0	0.13	0.87
14	XUWVUG	2.3902208841	0.0	0.14	0.86
15	XUWVUG	2.5979185564	0.0	0.15	0.85
16	XUWVUG	2.5816120001	0.0	0.16	0.84
17	XUWVUG	2.7602284553	0.0	0.17	0.83
18	XUWVUG	2.5885814749	0.0	0.18	0.82
19	XUWVUG	2.817524272	0.0	0.19	0.81
20	XUWVUG	2.8150640743	0.0	0.2	0.8
21	XUWVUG	2.870299141	0.0	0.21	0.79
22	XUWVUG	2.8468924473	0.0	0.22	0.78
23	XUWVUG	2.8481877808	0.0	0.23	0.77
24	XUWVUG	2.8406824571	0.0	0.24	0.76
25	XUWVUG	2.9627180059	0.0	0.25	0.75
26	XUWVUG	2.9676431827	0.0	0.26	0.74
27	XUWVUG	3.1199885173	0.0	0.27	0.73
28	XUWVUG	3.0806787324	0.0	0.28	0.72
29	XUWVUG	3.127375231	0.0	0.29	0.71
30	XUWVUG	3.2062117407	0.0	0.3	0.7
31	XUWVUG	4.053242172	0.01	0.0	0.99
32	XUWVUG	4.1150484621	0.01	0.01	0.98
33	XUWVUG	3.9594957429	0.01	0.02	0.97
34	XUWVUG	4.1214699079	0.01	0.03	0.96
35	XUWVUG	4.0448951711	0.01	0.04	0.95
36	XUWVUG	4.2270373773	0.01	0.05	0.94
37	XUWVUG	4.1783488508	0.01	0.06	0.93
38	XUWVUG	4.345674165	0.01	0.07	0.92
39	XUWVUG	4.2530897452	0.01	0.08	0.91
40	XUWVUG	4.1710422301	0.01	0.09	0.9
41	XUWVUG	4.3171466235	0.01	0.1	0.89
42	XUWVUG	4.188949654	0.01	0.11	0.88
43	XUWVUG	4.4354728537	0.01	0.12	0.87
44	XUWVUG	4.1501001016	0.01	0.13	0.86
45	XUWVUG	4.5386541294	0.01	0.14	0.85
46	XUWVUG	4.2333172085	0.01	0.15	0.84
47	XUWVUG	4.4677333782	0.01	0.16	0.83
48	XUWVUG	4.4052065013	0.01	0.17	0.82
49	XUWVUG	4.5600801141	0.01	0.18	0.81
50	XUWVUG	4.1404174158	0.01	0.19	0.8
51	XUWVUG	4.5201483717	0.01	0.2	0.79
52	XUWVUG	4.558564795	0.01	0.21	0.78
53	XUWVUG	4.7390846554	0.01	0.22	0.77
54	XUWVUG	4.4384308071	0.01	0.23	0.76
55	XUWVUG	4.8555233081	0.01	0.24	0.75
56	XUWVUG	4.3961220418	0.01	0.25	0.74
57	XUWVUG	4.6222195148	0.01	0.26	0.73
58	XUWVUG	4.4764413087	0.01	0.27	0.72
59	XUWVUG	4.7749763038	0.01	0.28	0.71
60	XUWVUG	4.8985715783	0.01	0.29	0.7
61	XUWVUG	4.6503157285	0.01	0.3	0.69
62	XUWVUG	5.9007216685	0.02	0.0	0.98
63	XUWVUG	4.9993811981	0.02	0.01	0.97
64	XUWVUG	5.443184557	0.02	0.02	0.96
65	XUWVUG	5.5986400047	0.02	0.03	0.95
66	XUWVUG	5.5780495201	0.02	0.04	0.94
67	XUWVUG	5.6206217321	0.02	0.05	0.93
68	XUWVUG	5.7659722201	0.02	0.06	0.92
69	XUWVUG	5.7670637962	0.02	0.07	0.91
70	XUWVUG	5.5635829761	0.02	0.08	0.9
71	XUWVUG	5.5151222024	0.02	0.09	0.89
72	XUWVUG	5.9120383535	0.02	0.1	0.88
73	XUWVUG	5.8561886112	0.02	0.11	0.87
74	XUWVUG	5.7349673101	0.02	0.12	0.86
75	XUWVUG	5.8071479483	0.02	0.13	0.85
76	XUWVUG	5.8203674969	0.02	0.14	0.84
77	XUWVUG	5.6848740601	0.02	0.15	0.83
78	XUWVUG	6.2721659546	0.02	0.16	0.82
79	XUWVUG	6.254929674	0.02	0.17	0.81
80	XUWVUG	5.80342622	0.02	0.18	0.8
81	XUWVUG	5.9484013514	0.02	0.19	0.79
82	XUWVUG	5.6250058692	0.02	0.2	0.78
83	XUWVUG	5.7947465399	0.02	0.21	0.77
84	XUWVUG	5.9851662641	0.02	0.22	0.76
85	XUWVUG	6.2546669704	0.02	0.23	0.75
86	XUWVUG	6.0818245529	0.02	0.24	0.74
87	XUWVUG	6.1648390285	0.02	0.25	0.73
88	XUWVUG	6.1128051552	0.02	0.26	0.72
89	XUWVUG	6.1049513635	0.02	0.27	0.71
90	XUWVUG	5.7086601294	0.02	0.28	0.7
91	XUWVUG	6.1830875407	0.02	0.29	0.69
92	XUWVUG	5.949895077	0.02	0.3	0.68
93	XUWVUG	6.780498798	0.03	0.0	0.97
94	XUWVUG	6.7103309992	0.03	0.01	0.96
95	XUWVUG	6.8316699225	0.03	0.02	0.95
96	XUWVUG	6.7409421494	0.03	0.03	0.94
97	XUWVUG	7.1666107413	0.03	0.04	0.93
98	XUWVUG	7.1264632622	0.03	0.05	0.92
99	XUWVUG	6.9882067638	0.03	0.06	0.91
100	XUWVUG	7.1925125164	0.03	0.07	0.9
101	XUWVUG	6.7675742176	0.03	0.08	0.89
102	XUWVUG	6.7644090894	0.03	0.09	0.88
103	XUWVUG	6.6905190438	0.03	0.1	0.87
104	XUWVUG	6.8603625835	0.03	0.11	0.86
105	XUWVUG	7.1548170492	0.03	0.12	0.85
106	XUWVUG	6.8104315276	0.03	0.13	0.84
107	XUWVUG	7.246251704	0.03	0.14	0.83
108	XUWVUG	6.9227019276	0.03	0.15	0.82
109	XUWVUG	7.0727797276	0.03	0.16	0.81
110	XUWVUG	7.2730326513	0.03	0.17	0.8
111	XUWVUG	7.2007693446	0.03	0.18	0.79
112	XUWVUG	7.139370026	0.03	0.19	0.78
113	XUWVUG	7.1040926497	0.03	0.2	0.77
114	XUWVUG	7.2686975469	0.03	0.21	0.76
115	XUWVUG	6.9228487791	0.03	0.22	0.75
116	XUWVUG	7.6104622778	0.03	0.23	0.74
117	XUWVUG	7.1136154896	0.03	0.24	0.73
118	XUWVUG	7.2523430671	0.03	0.25	0.72
119	XUWVUG	7.1888913864	0.03	0.26	0.71
120	XUWVUG	7.0001184241	0.03	0.27	0.7
121	XUWVUG	7.3737147176	0.03	0.28	0.69
122	XUWVUG	7.1074774371	0.03	0.29	0.68
123	XUWVUG	7.4562830247	0.03	0.3	0.67
124	XUWVUG	7.6154245308	0.04	0.0	0.96
125	XUWVUG	7.7650907348	0.04	0.01	0.95
126	XUWVUG	7.8687169546	0.04	0.02	0.94
127	XUWVUG	7.7665575146	0.04	0.03	0.93
128	XUWVUG	7.878087788	0.04	0.04	0.92
129	XUWVUG	8.354144319	0.04	0.05	0.91
130	XUWVUG	8.0821287965	0.04	0.06	0.9
131	XUWVUG	8.3519147822	0.04	0.07	0.89
132	XUWVUG	8.2999882902	0.04	0.08	0.88
133	XUWVUG	7.5040938099	0.04	0.09	0.87
134	XUWVUG	8.2988797976	0.04	0.1	0.86
135	XUWVUG	8.1136332307	0.04	0.11	0.85
136	XUWVUG	7.9592362282	0.04	0.12	0.84
137	XUWVUG	7.8660186897	0.04	0.13	0.83
138	XUWVUG	8.3772466315	0.04	0.14	0.82
139	XUWVUG	7.8011743389	0.04	0.15	0.81
140	XUWVUG	8.6554053428	0.04	0.16	0.8
141	XUWVUG	8.7880706155	0.04	0.17	0.79
142	XUWVUG	8.0913240086	0.04	0.18	0.78
143	XUWVUG	8.1520499017	0.04	0.19	0.77
144	XUWVUG	8.042052321	0.04	0.2	0.76
145	XUWVUG	8.7731219817	0.04	0.21	0.75
146	XUWVUG	8.3262266709	0.04	0.22	0.74
147	XUWVUG	7.8791537173	0.04	0.23	0.73
148	XUWVUG	8.4712334672	0.04	0.24	0.72
149	XUWVUG	8.092696429	0.04	0.25	0.71
150	XUWVUG	8.8967933768	0.04	0.26	0.7
151	XUWVUG	8.526750286	0.04	0.27	0.69
152	XUWVUG	8.4043320447	0.04	0.28	0.68
153	XUWVUG	8.0899662574	0.04	0.29	0.67
154	XUWVUG	8.348983295	0.04	0.3	0.66
155	XUWVUG	8.6047329183	0.05	0.0	0.95
156	XUWVUG	9.5245825617	0.05	0.01	0.94
157	XUWVUG	8.5558696389	0.05	0.02	0.93
158	XUWVUG	8.9428711524	0.05	0.03	0.92
159	XUWVUG	9.5972191147	0.05	0.04	0.91
160	XUWVUG	9.0226076673	0.05	0.05	0.9
161	XUWVUG	9.418247629	0.05	0.06	0.89
162	XUWVUG	8.7792574379	0.05	0.07	0.88
163	XUWVUG	8.5655033424	0.05	0.08	0.87
164	XUWVUG	9.1332025473	0.05	0.09	0.86
165	XUWVUG	9.677132103	0.05	0.1	0.85
166	XUWVUG	9.4332649536	0.05	0.11	0.84
167	XUWVUG	8.9881386549	0.05	0.12	0.83
168	XUWVUG	9.9864955665	0.05	0.13	0.82
169	XUWVUG	8.8354434592	0.05	0.14	0.81
170	XUWVUG	9.201716418	0.05	0.15	0.8
171	XUWVUG	8.8118220671	0.05	0.16	0.79
172	XUWVUG	9.0318196494	0.05	0.17	0.78
173	XUWVUG	9.2358614703	0.05	0.18	0.77
174	XUWVUG	9.4094355638	0.05	0.19	0.76
175	XUWVUG	8.8933579078	0.05	0.2	0.75
176	XUWVUG	9.0619465843	0.05	0.21	0.74
177	XUWVUG	9.1369519496	0.05	0.22	0.73
178	XUWVUG	9.5693991643	0.05	0.23	0.72
179	XUWVUG	8.8552989926	0.05	0.24	0.71
