Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	AXUHEH	20.4529509121	0.0	0.0	1.0
1	AXUHEH	19.3416969793	0.0	0.01	0.99
2	AXUHEH	18.1842089781	0.0	0.02	0.98
3	AXUHEH	20.505042934000002	0.0	0.03	0.97
4	AXUHEH	19.6299287864	0.0	0.04	0.96
5	AXUHEH	20.254609364100002	0.0	0.05	0.95
6	AXUHEH	19.5096242409	0.0	0.06	0.94
7	AXUHEH	20.1497783943	0.0	0.07	0.93
8	AXUHEH	19.9970394393	0.0	0.08	0.92
9	AXUHEH	20.1168261499	0.0	0.09	0.91
10	AXUHEH	20.3276148137	0.0	0.1	0.9
11	AXUHEH	20.0649365847	0.0	0.11	0.89
12	AXUHEH	19.9180070418	0.0	0.12	0.88
13	AXUHEH	20.611384095	0.0	0.13	0.87
14	AXUHEH	21.0932822938	0.0	0.14	0.86
15	AXUHEH	20.3088633922	0.0	0.15	0.85
16	AXUHEH	21.8415147657	0.0	0.16	0.84
17	AXUHEH	20.926467073599998	0.0	0.17	0.83
18	AXUHEH	20.5482821383	0.0	0.18	0.82
19	AXUHEH	20.6330520609	0.0	0.19	0.81
20	AXUHEH	20.2820532309	0.0	0.2	0.8
21	AXUHEH	20.903119154200002	0.0	0.21	0.79
22	AXUHEH	20.3745744261	0.0	0.22	0.78
23	AXUHEH	21.0928517557	0.0	0.23	0.77
24	AXUHEH	21.4005703307	0.0	0.24	0.76
25	AXUHEH	21.4703257972	0.0	0.25	0.75
26	AXUHEH	20.5369240982	0.0	0.26	0.74
27	AXUHEH	21.0104986195	0.0	0.27	0.73
28	AXUHEH	21.309641379400002	0.0	0.28	0.72
29	AXUHEH	22.1951922893	0.0	0.29	0.71
30	AXUHEH	21.3090749949	0.0	0.3	0.7
31	AXUHEH	35.0738349888	0.01	0.0	0.99
32	AXUHEH	34.5381700881	0.01	0.01	0.98
33	AXUHEH	35.189306446799996	0.01	0.02	0.97
34	AXUHEH	34.7363100116	0.01	0.03	0.96
35	AXUHEH	35.8745445867	0.01	0.04	0.95
36	AXUHEH	35.1172682365	0.01	0.05	0.94
37	AXUHEH	34.330721769200004	0.01	0.06	0.93
38	AXUHEH	33.974293375900004	0.01	0.07	0.92
39	AXUHEH	34.737994421399996	0.01	0.08	0.91
40	AXUHEH	35.9443560536	0.01	0.09	0.9
41	AXUHEH	34.9098592696	0.01	0.1	0.89
42	AXUHEH	35.171399204400004	0.01	0.11	0.88
43	AXUHEH	35.3358335438	0.01	0.12	0.87
44	AXUHEH	35.5931884892	0.01	0.13	0.86
45	AXUHEH	35.1341725986	0.01	0.14	0.85
46	AXUHEH	35.660118320900004	0.01	0.15	0.84
47	AXUHEH	34.0270905469	0.01	0.16	0.83
48	AXUHEH	35.4632262863	0.01	0.17	0.82
49	AXUHEH	34.8277084458	0.01	0.18	0.81
50	AXUHEH	35.2618657146	0.01	0.19	0.8
51	AXUHEH	36.1270906904	0.01	0.2	0.79
52	AXUHEH	36.0333005161	0.01	0.21	0.78
53	AXUHEH	35.225270345700004	0.01	0.22	0.77
54	AXUHEH	35.9068144657	0.01	0.23	0.76
55	AXUHEH	35.4486544602	0.01	0.24	0.75
56	AXUHEH	35.435257880900004	0.01	0.25	0.74
57	AXUHEH	34.758486656500004	0.01	0.26	0.73
58	AXUHEH	35.275620240500004	0.01	0.27	0.72
59	AXUHEH	34.786095052	0.01	0.28	0.71
60	AXUHEH	36.0744319713	0.01	0.29	0.7
61	AXUHEH	35.3082773303	0.01	0.3	0.69
62	AXUHEH	41.4021924206	0.02	0.0	0.98
63	AXUHEH	42.6281801119	0.02	0.01	0.97
64	AXUHEH	41.905479636500004	0.02	0.02	0.96
65	AXUHEH	40.78605327	0.02	0.03	0.95
