Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	BAZGAM	16.8045705813	0.0	0.0	1.0
1	BAZGAM	17.0891783004	0.0	0.01	0.99
2	BAZGAM	16.1143082516	0.0	0.02	0.98
3	BAZGAM	16.2763212333	0.0	0.03	0.97
4	BAZGAM	16.4320607684	0.0	0.04	0.96
5	BAZGAM	16.2543942506	0.0	0.05	0.95
6	BAZGAM	17.3245665333	0.0	0.06	0.94
7	BAZGAM	16.6370443938	0.0	0.07	0.93
8	BAZGAM	17.0831714796	0.0	0.08	0.92
9	BAZGAM	16.727761871	0.0	0.09	0.91
10	BAZGAM	17.7805796256	0.0	0.1	0.9
11	BAZGAM	17.1618931084	0.0	0.11	0.89
12	BAZGAM	16.6092035763	0.0	0.12	0.88
13	BAZGAM	17.1657258161	0.0	0.13	0.87
14	BAZGAM	17.1725120207	0.0	0.14	0.86
15	BAZGAM	16.6332773075	0.0	0.15	0.85
16	BAZGAM	17.3453353474	0.0	0.16	0.84
17	BAZGAM	16.8729768302	0.0	0.17	0.83
18	BAZGAM	17.6907495508	0.0	0.18	0.82
19	BAZGAM	17.3281585699	0.0	0.19	0.81
20	BAZGAM	16.8922046398	0.0	0.2	0.8
21	BAZGAM	17.3755102355	0.0	0.21	0.79
22	BAZGAM	17.1278991652	0.0	0.22	0.78
23	BAZGAM	17.5149111869	0.0	0.23	0.77
24	BAZGAM	17.2683133305	0.0	0.24	0.76
25	BAZGAM	17.4095369746	0.0	0.25	0.75
26	BAZGAM	17.5460104136	0.0	0.26	0.74
27	BAZGAM	17.8762428218	0.0	0.27	0.73
28	BAZGAM	17.79779466	0.0	0.28	0.72
29	BAZGAM	18.1133361573	0.0	0.29	0.71
30	BAZGAM	18.1572913001	0.0	0.3	0.7
31	BAZGAM	17.5931000909	0.01	0.0	0.99
32	BAZGAM	17.3804846331	0.01	0.01	0.98
33	BAZGAM	16.4866276134	0.01	0.02	0.97
34	BAZGAM	17.3472689046	0.01	0.03	0.96
35	BAZGAM	17.0901330435	0.01	0.04	0.95
36	BAZGAM	16.8465468286	0.01	0.05	0.94
37	BAZGAM	17.1100409666	0.01	0.06	0.93
38	BAZGAM	16.7876843687	0.01	0.07	0.92
39	BAZGAM	17.2749285531	0.01	0.08	0.91
40	BAZGAM	17.5848843885	0.01	0.09	0.9
41	BAZGAM	17.7182427985	0.01	0.1	0.89
42	BAZGAM	18.1415307566	0.01	0.11	0.88
43	BAZGAM	17.4353156205	0.01	0.12	0.87
44	BAZGAM	18.0836651571	0.01	0.13	0.86
45	BAZGAM	17.5111971826	0.01	0.14	0.85
46	BAZGAM	17.6179588481	0.01	0.15	0.84
47	BAZGAM	17.9877893394	0.01	0.16	0.83
48	BAZGAM	18.2001940465	0.01	0.17	0.82
49	BAZGAM	18.0593954116	0.01	0.18	0.81
50	BAZGAM	17.3173693674	0.01	0.19	0.8
51	BAZGAM	17.7129000969	0.01	0.2	0.79
52	BAZGAM	17.7042922108	0.01	0.21	0.78
53	BAZGAM	17.9134451554	0.01	0.22	0.77
54	BAZGAM	17.8226379005	0.01	0.23	0.76
55	BAZGAM	18.1507824129	0.01	0.24	0.75
56	BAZGAM	18.1202404658	0.01	0.25	0.74
57	BAZGAM	18.3146007853	0.01	0.26	0.73
58	BAZGAM	18.2519049029	0.01	0.27	0.72
59	BAZGAM	18.6047107585	0.01	0.28	0.71
60	BAZGAM	18.337756897	0.01	0.29	0.7
61	BAZGAM	18.0543279622	0.01	0.3	0.69
62	BAZGAM	17.754836246	0.02	0.0	0.98
63	BAZGAM	18.1787667984	0.02	0.01	0.97
64	BAZGAM	17.5935021855	0.02	0.02	0.96
65	BAZGAM	17.9881749916	0.02	0.03	0.95
66	BAZGAM	17.9445889103	0.02	0.04	0.94
67	BAZGAM	17.4992909802	0.02	0.05	0.93
68	BAZGAM	17.9654502987	0.02	0.06	0.92
69	BAZGAM	18.2128587603	0.02	0.07	0.91
70	BAZGAM	17.8228780148	0.02	0.08	0.9
71	BAZGAM	17.8791316129	0.02	0.09	0.89
72	BAZGAM	17.9631106219	0.02	0.1	0.88
73	BAZGAM	18.3922945726	0.02	0.11	0.87
74	BAZGAM	18.0261952493	0.02	0.12	0.86
75	BAZGAM	18.1845663565	0.02	0.13	0.85
76	BAZGAM	18.190647952	0.02	0.14	0.84
77	BAZGAM	18.4245372086	0.02	0.15	0.83
78	BAZGAM	18.6185113914	0.02	0.16	0.82
79	BAZGAM	17.6935156727	0.02	0.17	0.81
80	BAZGAM	18.6395678324	0.02	0.18	0.8
81	BAZGAM	18.1762834154	0.02	0.19	0.79
82	BAZGAM	18.6388415867	0.02	0.2	0.78
83	BAZGAM	18.6160565588	0.02	0.21	0.77
84	BAZGAM	18.6709102665	0.02	0.22	0.76
85	BAZGAM	18.9281748406	0.02	0.23	0.75
86	BAZGAM	19.328693044	0.02	0.24	0.74
87	BAZGAM	19.0587704126	0.02	0.25	0.73
88	BAZGAM	18.4148333432	0.02	0.26	0.72
89	BAZGAM	18.9310527689	0.02	0.27	0.71
90	BAZGAM	18.6415892537	0.02	0.28	0.7
91	BAZGAM	18.9766500509	0.02	0.29	0.69
92	BAZGAM	18.7990133812	0.02	0.3	0.68
93	BAZGAM	17.817069814	0.03	0.0	0.97
94	BAZGAM	18.9241791779	0.03	0.01	0.96
95	BAZGAM	17.8748795809	0.03	0.02	0.95
96	BAZGAM	18.1657872645	0.03	0.03	0.94
97	BAZGAM	18.5360610783	0.03	0.04	0.93
98	BAZGAM	18.8630117542	0.03	0.05	0.92
99	BAZGAM	18.4514702582	0.03	0.06	0.91
100	BAZGAM	18.7129642428	0.03	0.07	0.9
101	BAZGAM	18.7867105913	0.03	0.08	0.89
102	BAZGAM	18.8637497785	0.03	0.09	0.88
103	BAZGAM	18.6965223936	0.03	0.1	0.87
104	BAZGAM	18.3023046191	0.03	0.11	0.86
105	BAZGAM	19.0071072761	0.03	0.12	0.85
106	BAZGAM	18.2686485554	0.03	0.13	0.84
107	BAZGAM	19.3241176645	0.03	0.14	0.83
108	BAZGAM	18.6402765225	0.03	0.15	0.82
109	BAZGAM	19.0735589899	0.03	0.16	0.81
110	BAZGAM	17.9930786592	0.03	0.17	0.8
111	BAZGAM	18.7208503956	0.03	0.18	0.79
112	BAZGAM	19.4491549753	0.03	0.19	0.78
113	BAZGAM	19.3491122165	0.03	0.2	0.77
114	BAZGAM	19.4557378566	0.03	0.21	0.76
115	BAZGAM	18.9609024518	0.03	0.22	0.75
116	BAZGAM	19.9310291167	0.03	0.23	0.74
117	BAZGAM	19.4957343782	0.03	0.24	0.73
118	BAZGAM	19.159610783	0.03	0.25	0.72
119	BAZGAM	19.1947273156	0.03	0.26	0.71
120	BAZGAM	19.2858560705	0.03	0.27	0.7
121	BAZGAM	18.8881138439	0.03	0.28	0.69
122	BAZGAM	19.5221980716	0.03	0.29	0.68
123	BAZGAM	19.2056213055	0.03	0.3	0.67
124	BAZGAM	18.849200288	0.04	0.0	0.96
125	BAZGAM	19.4279718996	0.04	0.01	0.95
126	BAZGAM	18.5510820396	0.04	0.02	0.94
127	BAZGAM	18.6412539992	0.04	0.03	0.93
128	BAZGAM	19.081987024	0.04	0.04	0.92
129	BAZGAM	19.0417182245	0.04	0.05	0.91
130	BAZGAM	19.4883604399	0.04	0.06	0.9
131	BAZGAM	19.2872680784	0.04	0.07	0.89
132	BAZGAM	19.528056377	0.04	0.08	0.88
133	BAZGAM	18.7078457765	0.04	0.09	0.87
134	BAZGAM	19.1045770553	0.04	0.1	0.86
135	BAZGAM	19.104010069	0.04	0.11	0.85
136	BAZGAM	19.3661661568	0.04	0.12	0.84
137	BAZGAM	19.5084427309	0.04	0.13	0.83
138	BAZGAM	19.3807837028	0.04	0.14	0.82
139	BAZGAM	19.8522476075	0.04	0.15	0.81
140	BAZGAM	19.0593348562	0.04	0.16	0.8
141	BAZGAM	19.9523600457	0.04	0.17	0.79
142	BAZGAM	19.7825158906	0.04	0.18	0.78
143	BAZGAM	19.8396616539	0.04	0.19	0.77
144	BAZGAM	18.9679770901	0.04	0.2	0.76
145	BAZGAM	19.6865785983	0.04	0.21	0.75
146	BAZGAM	19.6943842584	0.04	0.22	0.74
147	BAZGAM	19.9516465664	0.04	0.23	0.73
148	BAZGAM	19.2661767797	0.04	0.24	0.72
149	BAZGAM	19.5546768333	0.04	0.25	0.71
