Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	BIWSEG	11.914967344	0.0	0.0	1.0
1	BIWSEG	12.3322901025	0.0	0.01	0.99
2	BIWSEG	12.1847410119	0.0	0.02	0.98
3	BIWSEG	12.2332405297	0.0	0.03	0.97
4	BIWSEG	12.0252061368	0.0	0.04	0.96
5	BIWSEG	12.2106919024	0.0	0.05	0.95
6	BIWSEG	11.9752860874	0.0	0.06	0.94
7	BIWSEG	11.7407745899	0.0	0.07	0.93
8	BIWSEG	11.9480944927	0.0	0.08	0.92
9	BIWSEG	12.5951759514	0.0	0.09	0.91
10	BIWSEG	12.3877293219	0.0	0.1	0.9
11	BIWSEG	12.4106038105	0.0	0.11	0.89
12	BIWSEG	12.0946671912	0.0	0.12	0.88
13	BIWSEG	12.7038904212	0.0	0.13	0.87
14	BIWSEG	12.8131817956	0.0	0.14	0.86
15	BIWSEG	12.525732986	0.0	0.15	0.85
16	BIWSEG	12.3747164547	0.0	0.16	0.84
17	BIWSEG	12.3683270943	0.0	0.17	0.83
18	BIWSEG	12.2767917178	0.0	0.18	0.82
19	BIWSEG	13.0603899393	0.0	0.19	0.81
20	BIWSEG	12.2601967597	0.0	0.2	0.8
21	BIWSEG	12.260053136	0.0	0.21	0.79
22	BIWSEG	12.9749035751	0.0	0.22	0.78
23	BIWSEG	12.5858996572	0.0	0.23	0.77
24	BIWSEG	13.1762360149	0.0	0.24	0.76
25	BIWSEG	12.6201552701	0.0	0.25	0.75
26	BIWSEG	12.8113581483	0.0	0.26	0.74
27	BIWSEG	12.2142836337	0.0	0.27	0.73
28	BIWSEG	13.1448455925	0.0	0.28	0.72
29	BIWSEG	12.4764501723	0.0	0.29	0.71
30	BIWSEG	12.4748582615	0.0	0.3	0.7
31	BIWSEG	22.2222335374	0.01	0.0	0.99
32	BIWSEG	24.5081779201	0.01	0.01	0.98
33	BIWSEG	27.089386441	0.01	0.02	0.97
34	BIWSEG	26.7086556061	0.01	0.03	0.96
35	BIWSEG	23.5756538216	0.01	0.04	0.95
36	BIWSEG	24.4595605077	0.01	0.05	0.94
37	BIWSEG	24.0974701298	0.01	0.06	0.93
38	BIWSEG	25.1715547425	0.01	0.07	0.92
39	BIWSEG	25.2146481385	0.01	0.08	0.91
40	BIWSEG	25.4386391895	0.01	0.09	0.9
41	BIWSEG	24.0430477917	0.01	0.1	0.89
42	BIWSEG	23.5463091541	0.01	0.11	0.88
43	BIWSEG	21.8830839303	0.01	0.12	0.87
44	BIWSEG	25.7693654644	0.01	0.13	0.86
45	BIWSEG	22.979087313	0.01	0.14	0.85
46	BIWSEG	24.081939918	0.01	0.15	0.84
47	BIWSEG	23.7211055654	0.01	0.16	0.83
48	BIWSEG	23.6461555908	0.01	0.17	0.82
49	BIWSEG	23.9395732629	0.01	0.18	0.81
50	BIWSEG	23.123655897	0.01	0.19	0.8
51	BIWSEG	25.8086909735	0.01	0.2	0.79
52	BIWSEG	23.8414554995	0.01	0.21	0.78
53	BIWSEG	23.336642402	0.01	0.22	0.77
54	BIWSEG	24.0046515948	0.01	0.23	0.76
55	BIWSEG	23.3562263382	0.01	0.24	0.75
56	BIWSEG	24.954623567	0.01	0.25	0.74
57	BIWSEG	26.671087055	0.01	0.26	0.73
58	BIWSEG	26.6014934448	0.01	0.27	0.72
59	BIWSEG	28.0892185793	0.01	0.28	0.71
60	BIWSEG	23.7173343991	0.01	0.29	0.7
61	BIWSEG	26.4240274569	0.01	0.3	0.69
62	BIWSEG	33.7645282897	0.02	0.0	0.98
