Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	HABQUY	12.5971319848	0.0	0.0	1.0
1	HABQUY	13.4595580889	0.0	0.01	0.99
2	HABQUY	13.0258053477	0.0	0.02	0.98
3	HABQUY	13.424986481	0.0	0.03	0.97
4	HABQUY	13.087468489	0.0	0.04	0.96
5	HABQUY	12.9547640408	0.0	0.05	0.95
6	HABQUY	13.0779835487	0.0	0.06	0.94
7	HABQUY	13.6525182145	0.0	0.07	0.93
8	HABQUY	13.3651348959	0.0	0.08	0.92
9	HABQUY	13.1757859244	0.0	0.09	0.91
10	HABQUY	13.3623034039	0.0	0.1	0.9
11	HABQUY	13.2182610299	0.0	0.11	0.89
12	HABQUY	13.620704451	0.0	0.12	0.88
13	HABQUY	13.3782116593	0.0	0.13	0.87
14	HABQUY	13.6240523443	0.0	0.14	0.86
15	HABQUY	13.7493761402	0.0	0.15	0.85
16	HABQUY	13.7346534973	0.0	0.16	0.84
17	HABQUY	13.3297817674	0.0	0.17	0.83
18	HABQUY	13.0688557567	0.0	0.18	0.82
19	HABQUY	13.6418780217	0.0	0.19	0.81
20	HABQUY	13.4108731981	0.0	0.2	0.8
21	HABQUY	13.7510569851	0.0	0.21	0.79
22	HABQUY	13.912526459	0.0	0.22	0.78
23	HABQUY	13.5038797162	0.0	0.23	0.77
24	HABQUY	14.024427372	0.0	0.24	0.76
25	HABQUY	13.9049396096	0.0	0.25	0.75
26	HABQUY	13.4050040175	0.0	0.26	0.74
27	HABQUY	13.9976994306	0.0	0.27	0.73
28	HABQUY	14.8601853658	0.0	0.28	0.72
29	HABQUY	14.046458858	0.0	0.29	0.71
30	HABQUY	14.3275274748	0.0	0.3	0.7
31	HABQUY	14.5821065497	0.01	0.0	0.99
32	HABQUY	14.3628281869	0.01	0.01	0.98
33	HABQUY	14.3738683475	0.01	0.02	0.97
34	HABQUY	14.2617416249	0.01	0.03	0.96
35	HABQUY	14.0688853118	0.01	0.04	0.95
36	HABQUY	14.0017243934	0.01	0.05	0.94
37	HABQUY	14.3723374095	0.01	0.06	0.93
38	HABQUY	13.9408469676	0.01	0.07	0.92
39	HABQUY	14.5933683821	0.01	0.08	0.91
40	HABQUY	14.6258799231	0.01	0.09	0.9
41	HABQUY	14.3194779061	0.01	0.1	0.89
42	HABQUY	14.2849827773	0.01	0.11	0.88
43	HABQUY	14.4687995627	0.01	0.12	0.87
44	HABQUY	14.503382375	0.01	0.13	0.86
45	HABQUY	14.8083277887	0.01	0.14	0.85
46	HABQUY	14.2971440007	0.01	0.15	0.84
47	HABQUY	14.5179738985	0.01	0.16	0.83
48	HABQUY	15.1706393928	0.01	0.17	0.82
49	HABQUY	14.8058666119	0.01	0.18	0.81
50	HABQUY	14.5787325402	0.01	0.19	0.8
51	HABQUY	15.0100789444	0.01	0.2	0.79
52	HABQUY	15.2092246261	0.01	0.21	0.78
53	HABQUY	14.704566979	0.01	0.22	0.77
54	HABQUY	15.0750376716	0.01	0.23	0.76
55	HABQUY	14.8454077722	0.01	0.24	0.75
56	HABQUY	15.1216833673	0.01	0.25	0.74
57	HABQUY	15.1211743274	0.01	0.26	0.73
58	HABQUY	15.3228759384	0.01	0.27	0.72
59	HABQUY	15.3452204449	0.01	0.28	0.71
60	HABQUY	15.2611555624	0.01	0.29	0.7
61	HABQUY	15.7059044342	0.01	0.3	0.69
62	HABQUY	15.6525006614	0.02	0.0	0.98
63	HABQUY	15.0762178604	0.02	0.01	0.97
64	HABQUY	16.1186604327	0.02	0.02	0.96
65	HABQUY	15.7325129728	0.02	0.03	0.95
66	HABQUY	15.9820609835	0.02	0.04	0.94
67	HABQUY	15.5912167578	0.02	0.05	0.93
68	HABQUY	15.7655195465	0.02	0.06	0.92
69	HABQUY	15.7170352228	0.02	0.07	0.91
70	HABQUY	16.1482658762	0.02	0.08	0.9
71	HABQUY	15.8182051444	0.02	0.09	0.89
72	HABQUY	16.3912052269	0.02	0.1	0.88
73	HABQUY	15.686352813	0.02	0.11	0.87
74	HABQUY	15.6465416598	0.02	0.12	0.86
75	HABQUY	15.8333272916	0.02	0.13	0.85
76	HABQUY	16.4872825657	0.02	0.14	0.84
77	HABQUY	16.181262046	0.02	0.15	0.83
78	HABQUY	16.3604472649	0.02	0.16	0.82
79	HABQUY	16.5452689566	0.02	0.17	0.81
80	HABQUY	16.7557271066	0.02	0.18	0.8
81	HABQUY	16.7683200506	0.02	0.19	0.79
82	HABQUY	15.7485500393	0.02	0.2	0.78
83	HABQUY	16.3999804561	0.02	0.21	0.77
84	HABQUY	16.3011416984	0.02	0.22	0.76
85	HABQUY	16.2703743171	0.02	0.23	0.75
86	HABQUY	16.7477202622	0.02	0.24	0.74
87	HABQUY	16.1230149486	0.02	0.25	0.73
88	HABQUY	15.783678396	0.02	0.26	0.72
89	HABQUY	16.0455437611	0.02	0.27	0.71
90	HABQUY	16.6121485471	0.02	0.28	0.7
91	HABQUY	16.4042195539	0.02	0.29	0.69
92	HABQUY	16.9047814534	0.02	0.3	0.68
93	HABQUY	16.560105195	0.03	0.0	0.97
94	HABQUY	17.0552903434	0.03	0.01	0.96
95	HABQUY	16.2989296113	0.03	0.02	0.95
96	HABQUY	16.881775399	0.03	0.03	0.94
97	HABQUY	16.8201996195	0.03	0.04	0.93
98	HABQUY	16.278745381	0.03	0.05	0.92
99	HABQUY	16.4057259701	0.03	0.06	0.91
100	HABQUY	17.8086387377	0.03	0.07	0.9
101	HABQUY	17.2847378158	0.03	0.08	0.89
102	HABQUY	17.0208862372	0.03	0.09	0.88
103	HABQUY	17.9411228887	0.03	0.1	0.87
104	HABQUY	17.484870328	0.03	0.11	0.86
105	HABQUY	17.7355702983	0.03	0.12	0.85
106	HABQUY	17.2390564065	0.03	0.13	0.84
107	HABQUY	17.7467323361	0.03	0.14	0.83
108	HABQUY	17.4562428165	0.03	0.15	0.82
109	HABQUY	17.0630121369	0.03	0.16	0.81
110	HABQUY	17.676221755	0.03	0.17	0.8
111	HABQUY	18.1543239958	0.03	0.18	0.79
112	HABQUY	17.9825462084	0.03	0.19	0.78
113	HABQUY	17.7791299245	0.03	0.2	0.77
114	HABQUY	17.4211270236	0.03	0.21	0.76
115	HABQUY	17.5584299354	0.03	0.22	0.75
116	HABQUY	18.3100655327	0.03	0.23	0.74
117	HABQUY	17.7274130147	0.03	0.24	0.73
118	HABQUY	18.1083381428	0.03	0.25	0.72
119	HABQUY	18.2883590588	0.03	0.26	0.71
120	HABQUY	17.6581325619	0.03	0.27	0.7
121	HABQUY	17.978429673	0.03	0.28	0.69
122	HABQUY	18.0457142604	0.03	0.29	0.68
123	HABQUY	18.1523058746	0.03	0.3	0.67
124	HABQUY	19.1779987777	0.04	0.0	0.96
125	HABQUY	18.2658951849	0.04	0.01	0.95
126	HABQUY	19.1502315762	0.04	0.02	0.94
127	HABQUY	18.4426456401	0.04	0.03	0.93
128	HABQUY	18.258847281	0.04	0.04	0.92
129	HABQUY	18.2148687417	0.04	0.05	0.91
130	HABQUY	18.403831963	0.04	0.06	0.9
131	HABQUY	18.8452247371	0.04	0.07	0.89
132	HABQUY	18.5304854246	0.04	0.08	0.88
133	HABQUY	18.2839066041	0.04	0.09	0.87
134	HABQUY	18.5490975782	0.04	0.1	0.86
135	HABQUY	19.0844974618	0.04	0.11	0.85
136	HABQUY	18.8808272389	0.04	0.12	0.84
137	HABQUY	18.6752768436	0.04	0.13	0.83
138	HABQUY	18.2808236101	0.04	0.14	0.82
139	HABQUY	18.076749324	0.04	0.15	0.81
140	HABQUY	18.7894245944	0.04	0.16	0.8
141	HABQUY	18.4296437658	0.04	0.17	0.79
142	HABQUY	18.8525216153	0.04	0.18	0.78
143	HABQUY	18.8542280797	0.04	0.19	0.77
144	HABQUY	19.1915183019	0.04	0.2	0.76
145	HABQUY	18.7295316755	0.04	0.21	0.75
146	HABQUY	19.1238787194	0.04	0.22	0.74
147	HABQUY	18.73401512	0.04	0.23	0.73
148	HABQUY	19.8883183003	0.04	0.24	0.72
149	HABQUY	19.4583241988	0.04	0.25	0.71
150	HABQUY	18.9255523796	0.04	0.26	0.7
151	HABQUY	19.2662175382	0.04	0.27	0.69
152	HABQUY	19.9506380315	0.04	0.28	0.68
153	HABQUY	19.3271613008	0.04	0.29	0.67
154	HABQUY	19.284776515	0.04	0.3	0.66
155	HABQUY	19.1198096444	0.05	0.0	0.95
156	HABQUY	19.5646843847	0.05	0.01	0.94
157	HABQUY	19.1825509938	0.05	0.02	0.93
158	HABQUY	19.4109228969	0.05	0.03	0.92
159	HABQUY	19.8002606999	0.05	0.04	0.91
160	HABQUY	19.5353674155	0.05	0.05	0.9
161	HABQUY	19.8349861129	0.05	0.06	0.89
162	HABQUY	19.798850912	0.05	0.07	0.88
163	HABQUY	19.8097889054	0.05	0.08	0.87
164	HABQUY	20.0645782728	0.05	0.09	0.86
165	HABQUY	20.4321340628	0.05	0.1	0.85
166	HABQUY	19.9714371962	0.05	0.11	0.84
167	HABQUY	20.6595700263	0.05	0.12	0.83
168	HABQUY	20.3034797	0.05	0.13	0.82
169	HABQUY	20.2153515232	0.05	0.14	0.81
170	HABQUY	19.9131329019	0.05	0.15	0.8
171	HABQUY	19.6224382032	0.05	0.16	0.79
172	HABQUY	20.3953870473	0.05	0.17	0.78
173	HABQUY	20.5466944515	0.05	0.18	0.77
174	HABQUY	20.5921978709	0.05	0.19	0.76
175	HABQUY	20.3461557896	0.05	0.2	0.75
176	HABQUY	20.317980538	0.05	0.21	0.74
177	HABQUY	19.9988353665	0.05	0.22	0.73
178	HABQUY	19.9842861501	0.05	0.23	0.72
179	HABQUY	20.0311584492	0.05	0.24	0.71
180	HABQUY	20.8887265675	0.05	0.25	0.7
181	HABQUY	20.1989326558	0.05	0.26	0.69
182	HABQUY	20.7784643561	0.05	0.27	0.68
183	HABQUY	21.3711882978	0.05	0.28	0.67
184	HABQUY	20.5162827395	0.05	0.29	0.66
185	HABQUY	19.9267561323	0.05	0.3	0.65
186	HABQUY	21.2792542824	0.06	0.0	0.94
187	HABQUY	20.7116405832	0.06	0.01	0.93
188	HABQUY	20.8028651092	0.06	0.02	0.92
189	HABQUY	20.5822831991	0.06	0.03	0.91
190	HABQUY	20.796985773	0.06	0.04	0.9
191	HABQUY	21.4866206709	0.06	0.05	0.89
192	HABQUY	20.3688984635	0.06	0.06	0.88
193	HABQUY	21.1912470894	0.06	0.07	0.87
194	HABQUY	21.8434824995	0.06	0.08	0.86
195	HABQUY	20.9056171166	0.06	0.09	0.85
196	HABQUY	20.7548287592	0.06	0.1	0.84
197	HABQUY	21.4867559388	0.06	0.11	0.83
198	HABQUY	20.4651998932	0.06	0.12	0.82
199	HABQUY	22.2521513693	0.06	0.13	0.81
200	HABQUY	21.1214733354	0.06	0.14	0.8
201	HABQUY	21.3605029906	0.06	0.15	0.79
202	HABQUY	21.4368344717	0.06	0.16	0.78
203	HABQUY	20.9812825774	0.06	0.17	0.77
204	HABQUY	21.742063679	0.06	0.18	0.76
205	HABQUY	21.198625939	0.06	0.19	0.75
206	HABQUY	21.0392308231	0.06	0.2	0.74
207	HABQUY	22.1006584982	0.06	0.21	0.73
208	HABQUY	21.1535371531	0.06	0.22	0.72
209	HABQUY	21.432453274	0.06	0.23	0.71
210	HABQUY	21.19427072	0.06	0.24	0.7
211	HABQUY	21.8061046976	0.06	0.25	0.69
212	HABQUY	22.0607962725	0.06	0.26	0.68
213	HABQUY	21.6986181093	0.06	0.27	0.67
214	HABQUY	22.2890013525	0.06	0.28	0.66
215	HABQUY	22.2831406509	0.06	0.29	0.65
216	HABQUY	21.3437653131	0.06	0.3	0.64
217	HABQUY	22.0734600834	0.07	0.0	0.93
218	HABQUY	22.2760242106	0.07	0.01	0.92
219	HABQUY	22.5757055486	0.07	0.02	0.91
220	HABQUY	21.6232806054	0.07	0.03	0.9
221	HABQUY	21.7567619242	0.07	0.04	0.89
222	HABQUY	22.5635517332	0.07	0.05	0.88
223	HABQUY	22.25403895	0.07	0.06	0.87
224	HABQUY	22.6397489618	0.07	0.07	0.86
225	HABQUY	23.2155014163	0.07	0.08	0.85
226	HABQUY	22.724899853	0.07	0.09	0.84
227	HABQUY	22.0978201081	0.07	0.1	0.83
228	HABQUY	22.381257839	0.07	0.11	0.82
229	HABQUY	21.9194051633	0.07	0.12	0.81
230	HABQUY	22.3307559993	0.07	0.13	0.8
231	HABQUY	22.9786848572	0.07	0.14	0.79
232	HABQUY	21.84452152	0.07	0.15	0.78
233	HABQUY	22.5906914145	0.07	0.16	0.77
234	HABQUY	23.8889910849	0.07	0.17	0.76
235	HABQUY	22.2174733213	0.07	0.18	0.75
236	HABQUY	22.8184057256	0.07	0.19	0.74
237	HABQUY	22.7250764149	0.07	0.2	0.73
238	HABQUY	22.9274434808	0.07	0.21	0.72
239	HABQUY	22.636117552	0.07	0.22	0.71
240	HABQUY	22.0259327732	0.07	0.23	0.7
241	HABQUY	22.6124526705	0.07	0.24	0.69
242	HABQUY	22.3532963634	0.07	0.25	0.68
243	HABQUY	23.113524204	0.07	0.26	0.67
244	HABQUY	22.2426128974	0.07	0.27	0.66
245	HABQUY	22.8816204441	0.07	0.28	0.65
246	HABQUY	23.1631567934	0.07	0.29	0.64
247	HABQUY	22.0908541956	0.07	0.3	0.63
248	HABQUY	23.4130229401	0.08	0.0	0.92
249	HABQUY	23.9389688421	0.08	0.01	0.91
250	HABQUY	23.9047682033	0.08	0.02	0.9
251	HABQUY	24.4214340981	0.08	0.03	0.89
252	HABQUY	24.1337053698	0.08	0.04	0.88
253	HABQUY	23.217542321	0.08	0.05	0.87
254	HABQUY	23.0210755367	0.08	0.06	0.86
255	HABQUY	23.1653598381	0.08	0.07	0.85
256	HABQUY	23.3748090639	0.08	0.08	0.84
257	HABQUY	23.6189503424	0.08	0.09	0.83
258	HABQUY	22.8712637632	0.08	0.1	0.82
259	HABQUY	23.4337065624	0.08	0.11	0.81
260	HABQUY	24.5780379937	0.08	0.12	0.8
261	HABQUY	23.9767403012	0.08	0.13	0.79
262	HABQUY	24.2354504752	0.08	0.14	0.78
263	HABQUY	23.8212930571	0.08	0.15	0.77
264	HABQUY	24.2023227116	0.08	0.16	0.76
265	HABQUY	24.387855445	0.08	0.17	0.75
266	HABQUY	23.7177863083	0.08	0.18	0.74
267	HABQUY	23.8961734475	0.08	0.19	0.73
268	HABQUY	24.1743433308	0.08	0.2	0.72
269	HABQUY	24.233941203	0.08	0.21	0.71
270	HABQUY	23.5798154006	0.08	0.22	0.7
271	HABQUY	23.9674015671	0.08	0.23	0.69
272	HABQUY	25.0088212013	0.08	0.24	0.68
273	HABQUY	24.1275577438	0.08	0.25	0.67
274	HABQUY	24.3211435446	0.08	0.26	0.66
275	HABQUY	24.2139981842	0.08	0.27	0.65
276	HABQUY	25.0768799674	0.08	0.28	0.64
277	HABQUY	24.1715301277	0.08	0.29	0.63
278	HABQUY	24.7728697172	0.08	0.3	0.62
279	HABQUY	26.3152951424	0.09	0.0	0.91
280	HABQUY	24.4723872508	0.09	0.01	0.9
281	HABQUY	23.9779865785	0.09	0.02	0.89
282	HABQUY	24.4823909519	0.09	0.03	0.88
283	HABQUY	24.0298638658	0.09	0.04	0.87
284	HABQUY	24.7968029329	0.09	0.05	0.86
285	HABQUY	24.0639633973	0.09	0.06	0.85
286	HABQUY	24.815213229	0.09	0.07	0.84
287	HABQUY	24.5890741809	0.09	0.08	0.83
288	HABQUY	23.834991558	0.09	0.09	0.82
289	HABQUY	25.1970168982	0.09	0.1	0.81
290	HABQUY	25.9814044892	0.09	0.11	0.8
291	HABQUY	24.6443833951	0.09	0.12	0.79
292	HABQUY	24.1181904944	0.09	0.13	0.78
293	HABQUY	24.5506548794	0.09	0.14	0.77
294	HABQUY	25.061810764	0.09	0.15	0.76
295	HABQUY	24.544489938	0.09	0.16	0.75
296	HABQUY	25.3310213749	0.09	0.17	0.74
297	HABQUY	25.7926683036	0.09	0.18	0.73
298	HABQUY	25.9154614594	0.09	0.19	0.72
299	HABQUY	24.9815229276	0.09	0.2	0.71
300	HABQUY	25.4533329549	0.09	0.21	0.7
301	HABQUY	25.9054572682	0.09	0.22	0.69
302	HABQUY	25.9734837383	0.09	0.23	0.68
303	HABQUY	26.3450529987	0.09	0.24	0.67
304	HABQUY	26.200201782	0.09	0.25	0.66
305	HABQUY	25.1956401312	0.09	0.26	0.65
306	HABQUY	25.7815975656	0.09	0.27	0.64
