Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	HKUST-1	14.7188761273	0.0	0.0	1.0
1	HKUST-1	15.0164846857	0.0	0.01	0.99
2	HKUST-1	15.5812050382	0.0	0.02	0.98
3	HKUST-1	15.3358762792	0.0	0.03	0.97
4	HKUST-1	16.9630968182	0.0	0.04	0.96
5	HKUST-1	16.1886858888	0.0	0.05	0.95
6	HKUST-1	15.7814732478	0.0	0.06	0.94
7	HKUST-1	15.9643225824	0.0	0.07	0.93
8	HKUST-1	15.4443178923	0.0	0.08	0.92
9	HKUST-1	15.7894208648	0.0	0.09	0.91
10	HKUST-1	16.1093323493	0.0	0.1	0.9
11	HKUST-1	16.295409975	0.0	0.11	0.89
12	HKUST-1	16.0868072234	0.0	0.12	0.88
13	HKUST-1	15.7434989822	0.0	0.13	0.87
14	HKUST-1	16.6282509271	0.0	0.14	0.86
15	HKUST-1	16.7532149155	0.0	0.15	0.85
16	HKUST-1	16.5627808485	0.0	0.16	0.84
17	HKUST-1	16.7361288982	0.0	0.17	0.83
18	HKUST-1	16.2277925595	0.0	0.18	0.82
19	HKUST-1	16.8910560362	0.0	0.19	0.81
20	HKUST-1	16.2028764541	0.0	0.2	0.8
21	HKUST-1	16.244345809	0.0	0.21	0.79
22	HKUST-1	16.9032554235	0.0	0.22	0.78
23	HKUST-1	17.3023557225	0.0	0.23	0.77
24	HKUST-1	16.8498414686	0.0	0.24	0.76
25	HKUST-1	17.8906401171	0.0	0.25	0.75
26	HKUST-1	17.053600494	0.0	0.26	0.74
27	HKUST-1	17.1810652724	0.0	0.27	0.73
28	HKUST-1	16.5236724275	0.0	0.28	0.72
29	HKUST-1	17.6649830883	0.0	0.29	0.71
30	HKUST-1	17.2283795243	0.0	0.3	0.7
31	HKUST-1	24.0776803741	0.01	0.0	0.99
32	HKUST-1	24.2745560222	0.01	0.01	0.98
33	HKUST-1	24.3658115742	0.01	0.02	0.97
34	HKUST-1	24.3014165187	0.01	0.03	0.96
35	HKUST-1	24.0046359849	0.01	0.04	0.95
36	HKUST-1	25.1535614959	0.01	0.05	0.94
37	HKUST-1	24.66538968	0.01	0.06	0.93
38	HKUST-1	24.5944113419	0.01	0.07	0.92
39	HKUST-1	24.4436876974	0.01	0.08	0.91
40	HKUST-1	23.8011021105	0.01	0.09	0.9
41	HKUST-1	24.3343227875	0.01	0.1	0.89
42	HKUST-1	24.3779967065	0.01	0.11	0.88
43	HKUST-1	24.8891527187	0.01	0.12	0.87
44	HKUST-1	24.9621796332	0.01	0.13	0.86
45	HKUST-1	25.2135141766	0.01	0.14	0.85
46	HKUST-1	25.2595239148	0.01	0.15	0.84
47	HKUST-1	24.6771313691	0.01	0.16	0.83
