Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	MOF-801	15.4284228149	0.0	0.0	1.0
1	MOF-801	15.8297708901	0.0	0.01	0.99
2	MOF-801	15.9230210816	0.0	0.02	0.98
3	MOF-801	15.9031179529	0.0	0.03	0.97
4	MOF-801	15.6985878908	0.0	0.04	0.96
5	MOF-801	15.4181514301	0.0	0.05	0.95
6	MOF-801	15.6691464777	0.0	0.06	0.94
7	MOF-801	15.7277986912	0.0	0.07	0.93
8	MOF-801	15.2582752113	0.0	0.08	0.92
9	MOF-801	15.1008221478	0.0	0.09	0.91
10	MOF-801	15.2784227562	0.0	0.1	0.9
11	MOF-801	15.7307028097	0.0	0.11	0.89
12	MOF-801	16.015940287	0.0	0.12	0.88
13	MOF-801	15.9794181105	0.0	0.13	0.87
14	MOF-801	15.8820905199	0.0	0.14	0.86
15	MOF-801	15.5669007899	0.0	0.15	0.85
16	MOF-801	15.8950448864	0.0	0.16	0.84
17	MOF-801	16.1354266563	0.0	0.17	0.83
18	MOF-801	15.3952221195	0.0	0.18	0.82
19	MOF-801	15.665705971	0.0	0.19	0.81
20	MOF-801	15.9198108565	0.0	0.2	0.8
21	MOF-801	15.7392491151	0.0	0.21	0.79
22	MOF-801	15.5725728462	0.0	0.22	0.78
23	MOF-801	15.9863673415	0.0	0.23	0.77
24	MOF-801	14.9539150612	0.0	0.24	0.76
25	MOF-801	15.6886958062	0.0	0.25	0.75
26	MOF-801	16.1238061443	0.0	0.26	0.74
27	MOF-801	15.8072004864	0.0	0.27	0.73
28	MOF-801	15.881018885	0.0	0.28	0.72
29	MOF-801	15.4354910261	0.0	0.29	0.71
30	MOF-801	15.7416377319	0.0	0.3	0.7
31	MOF-801	56.8254003651	0.01	0.0	0.99
32	MOF-801	56.8211427466	0.01	0.01	0.98
33	MOF-801	58.7294720826	0.01	0.02	0.97
34	MOF-801	59.3115684422	0.01	0.03	0.96
35	MOF-801	57.2018737739	0.01	0.04	0.95
36	MOF-801	58.1105088958	0.01	0.05	0.94
37	MOF-801	60.1220616535	0.01	0.06	0.93
38	MOF-801	61.3439630898	0.01	0.07	0.92
39	MOF-801	62.7270881013	0.01	0.08	0.91
40	MOF-801	60.3182482838	0.01	0.09	0.9
41	MOF-801	60.8911441033	0.01	0.1	0.89
42	MOF-801	58.1370685933	0.01	0.11	0.88
43	MOF-801	59.0937614032	0.01	0.12	0.87
44	MOF-801	60.7096171672	0.01	0.13	0.86
45	MOF-801	58.759274994	0.01	0.14	0.85
46	MOF-801	56.1445064732	0.01	0.15	0.84
47	MOF-801	59.3208825865	0.01	0.16	0.83
48	MOF-801	58.6438878206	0.01	0.17	0.82
49	MOF-801	57.9552043471	0.01	0.18	0.81
50	MOF-801	61.1125648	0.01	0.19	0.8
51	MOF-801	59.2451294756	0.01	0.2	0.79
52	MOF-801	57.9132635749	0.01	0.21	0.78
53	MOF-801	61.281207127	0.01	0.22	0.77
54	MOF-801	58.6458880344	0.01	0.23	0.76
55	MOF-801	58.4578096961	0.01	0.24	0.75
56	MOF-801	59.2733341423	0.01	0.25	0.74
57	MOF-801	59.0718600316	0.01	0.26	0.73
58	MOF-801	59.9749277069	0.01	0.27	0.72
59	MOF-801	61.1932725223	0.01	0.28	0.71
60	MOF-801	58.4943688255	0.01	0.29	0.7
61	MOF-801	59.0153792203	0.01	0.3	0.69
62	MOF-801	65.6560796993	0.02	0.0	0.98
63	MOF-801	65.8135080514	0.02	0.01	0.97
64	MOF-801	65.8756108243	0.02	0.02	0.96
65	MOF-801	68.7744333378	0.02	0.03	0.95
66	MOF-801	67.080391563	0.02	0.04	0.94
67	MOF-801	63.9622936531	0.02	0.05	0.93
68	MOF-801	66.8857484774	0.02	0.06	0.92
69	MOF-801	67.7229681637	0.02	0.07	0.91
70	MOF-801	65.546809705	0.02	0.08	0.9
