Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	RAVXIX	14.6842950014	0.0	0.0	1.0
1	RAVXIX	13.4858471699	0.0	0.01	0.99
2	RAVXIX	13.8777210622	0.0	0.02	0.98
3	RAVXIX	14.1510613493	0.0	0.03	0.97
4	RAVXIX	14.6812972915	0.0	0.04	0.96
5	RAVXIX	14.3699792814	0.0	0.05	0.95
6	RAVXIX	14.6374373864	0.0	0.06	0.94
7	RAVXIX	14.4263944405	0.0	0.07	0.93
8	RAVXIX	15.0704282377	0.0	0.08	0.92
9	RAVXIX	14.8187404917	0.0	0.09	0.91
10	RAVXIX	14.6628043607	0.0	0.1	0.9
11	RAVXIX	14.9078920587	0.0	0.11	0.89
12	RAVXIX	15.0344382254	0.0	0.12	0.88
13	RAVXIX	14.4963674863	0.0	0.13	0.87
14	RAVXIX	15.1529055898	0.0	0.14	0.86
15	RAVXIX	15.3296960045	0.0	0.15	0.85
16	RAVXIX	14.9247477021	0.0	0.16	0.84
17	RAVXIX	15.7237359435	0.0	0.17	0.83
18	RAVXIX	15.606262714	0.0	0.18	0.82
19	RAVXIX	15.3131228539	0.0	0.19	0.81
20	RAVXIX	15.7719800203	0.0	0.2	0.8
21	RAVXIX	15.1246467643	0.0	0.21	0.79
22	RAVXIX	15.295890152	0.0	0.22	0.78
23	RAVXIX	15.6156730672	0.0	0.23	0.77
24	RAVXIX	15.0180524551	0.0	0.24	0.76
25	RAVXIX	15.8847231522	0.0	0.25	0.75
26	RAVXIX	15.674818712	0.0	0.26	0.74
27	RAVXIX	16.3660798035	0.0	0.27	0.73
28	RAVXIX	15.6672081055	0.0	0.28	0.72
29	RAVXIX	15.6068786598	0.0	0.29	0.71
30	RAVXIX	16.0176389403	0.0	0.3	0.7
31	RAVXIX	16.3235892277	0.01	0.0	0.99
32	RAVXIX	16.0940258813	0.01	0.01	0.98
33	RAVXIX	16.423357666	0.01	0.02	0.97
34	RAVXIX	16.4240205448	0.01	0.03	0.96
35	RAVXIX	17.1705187306	0.01	0.04	0.95
36	RAVXIX	16.8076101672	0.01	0.05	0.94
37	RAVXIX	16.4373101283	0.01	0.06	0.93
38	RAVXIX	16.6791083391	0.01	0.07	0.92
39	RAVXIX	16.5622543188	0.01	0.08	0.91
40	RAVXIX	16.9951819091	0.01	0.09	0.9
41	RAVXIX	16.987609239	0.01	0.1	0.89
42	RAVXIX	17.4046070588	0.01	0.11	0.88
43	RAVXIX	17.0708259715	0.01	0.12	0.87
44	RAVXIX	16.9238827605	0.01	0.13	0.86
45	RAVXIX	17.5573037408	0.01	0.14	0.85
46	RAVXIX	16.6537762779	0.01	0.15	0.84
47	RAVXIX	17.005196971	0.01	0.16	0.83
48	RAVXIX	17.4513089268	0.01	0.17	0.82
49	RAVXIX	17.1871019318	0.01	0.18	0.81
50	RAVXIX	16.8638743798	0.01	0.19	0.8
51	RAVXIX	17.2182157617	0.01	0.2	0.79
52	RAVXIX	16.7119351682	0.01	0.21	0.78
53	RAVXIX	16.8104923713	0.01	0.22	0.77
54	RAVXIX	17.3155199694	0.01	0.23	0.76
55	RAVXIX	17.8299474906	0.01	0.24	0.75
56	RAVXIX	17.5917413122	0.01	0.25	0.74
57	RAVXIX	17.9931009765	0.01	0.26	0.73
58	RAVXIX	17.8241496162	0.01	0.27	0.72
59	RAVXIX	17.6547748277	0.01	0.28	0.71
60	RAVXIX	17.4221238696	0.01	0.29	0.7
61	RAVXIX	17.8381781342	0.01	0.3	0.69
62	RAVXIX	18.5415847844	0.02	0.0	0.98
63	RAVXIX	18.6063777619	0.02	0.01	0.97
64	RAVXIX	18.7578471261	0.02	0.02	0.96
65	RAVXIX	17.8913870911	0.02	0.03	0.95
66	RAVXIX	18.8329533575	0.02	0.04	0.94
67	RAVXIX	18.9893328302	0.02	0.05	0.93
68	RAVXIX	19.5398740753	0.02	0.06	0.92
69	RAVXIX	19.4553633355	0.02	0.07	0.91
70	RAVXIX	18.5533367902	0.02	0.08	0.9
71	RAVXIX	18.1370896222	0.02	0.09	0.89
72	RAVXIX	19.3046492883	0.02	0.1	0.88
73	RAVXIX	19.4357533438	0.02	0.11	0.87
74	RAVXIX	18.8871350251	0.02	0.12	0.86
75	RAVXIX	18.966309929	0.02	0.13	0.85
76	RAVXIX	19.2286943114	0.02	0.14	0.84
77	RAVXIX	18.4726919868	0.02	0.15	0.83
78	RAVXIX	19.0085241869	0.02	0.16	0.82
79	RAVXIX	18.9583435151	0.02	0.17	0.81
80	RAVXIX	20.1074180456	0.02	0.18	0.8
81	RAVXIX	19.5458245437	0.02	0.19	0.79
82	RAVXIX	19.1775943806	0.02	0.2	0.78
83	RAVXIX	19.5358852607	0.02	0.21	0.77
84	RAVXIX	19.5627285862	0.02	0.22	0.76
85	RAVXIX	19.268851173	0.02	0.23	0.75
86	RAVXIX	19.5655378167	0.02	0.24	0.74
87	RAVXIX	20.2815034931	0.02	0.25	0.73
88	RAVXIX	19.6274133823	0.02	0.26	0.72
89	RAVXIX	19.5668316562	0.02	0.27	0.71
90	RAVXIX	19.8277168242	0.02	0.28	0.7
91	RAVXIX	19.4852162123	0.02	0.29	0.69
92	RAVXIX	19.671383112	0.02	0.3	0.68
93	RAVXIX	21.0884992079	0.03	0.0	0.97
94	RAVXIX	20.5984768982	0.03	0.01	0.96
95	RAVXIX	20.9447458738	0.03	0.02	0.95
96	RAVXIX	20.9065782489	0.03	0.03	0.94
97	RAVXIX	20.4341183645	0.03	0.04	0.93
98	RAVXIX	20.8693906811	0.03	0.05	0.92
99	RAVXIX	20.5246258566	0.03	0.06	0.91
100	RAVXIX	20.6339704991	0.03	0.07	0.9
101	RAVXIX	21.3127692848	0.03	0.08	0.89
102	RAVXIX	21.3217677768	0.03	0.09	0.88
103	RAVXIX	20.8406543673	0.03	0.1	0.87
104	RAVXIX	20.7627312208	0.03	0.11	0.86
105	RAVXIX	20.9848642044	0.03	0.12	0.85
106	RAVXIX	21.3036231393	0.03	0.13	0.84
107	RAVXIX	21.3777539124	0.03	0.14	0.83
108	RAVXIX	21.0024006489	0.03	0.15	0.82
109	RAVXIX	21.5729812709	0.03	0.16	0.81
110	RAVXIX	21.0262649832	0.03	0.17	0.8
111	RAVXIX	21.2805503731	0.03	0.18	0.79
112	RAVXIX	20.3680156328	0.03	0.19	0.78
113	RAVXIX	21.5591054629	0.03	0.2	0.77
114	RAVXIX	21.1938362298	0.03	0.21	0.76
115	RAVXIX	21.0546296252	0.03	0.22	0.75
116	RAVXIX	21.9543878693	0.03	0.23	0.74
117	RAVXIX	20.7132524892	0.03	0.24	0.73
118	RAVXIX	21.9354208461	0.03	0.25	0.72
119	RAVXIX	22.2856395434	0.03	0.26	0.71
120	RAVXIX	21.7156948147	0.03	0.27	0.7
121	RAVXIX	21.7567242123	0.03	0.28	0.69
122	RAVXIX	21.618334053	0.03	0.29	0.68
123	RAVXIX	21.9832495761	0.03	0.3	0.67
124	RAVXIX	22.1426696863	0.04	0.0	0.96
125	RAVXIX	22.135880706	0.04	0.01	0.95
