Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	RAVXOD	14.0392661901	0.0	0.0	1.0
1	RAVXOD	14.652465198	0.0	0.01	0.99
2	RAVXOD	13.7416375288	0.0	0.02	0.98
3	RAVXOD	14.0517809756	0.0	0.03	0.97
4	RAVXOD	13.9120637873	0.0	0.04	0.96
5	RAVXOD	14.1173761192	0.0	0.05	0.95
6	RAVXOD	13.7362727564	0.0	0.06	0.94
7	RAVXOD	13.8091165283	0.0	0.07	0.93
8	RAVXOD	14.4135027289	0.0	0.08	0.92
9	RAVXOD	14.1853724608	0.0	0.09	0.91
10	RAVXOD	14.5592479044	0.0	0.1	0.9
11	RAVXOD	14.0091649458	0.0	0.11	0.89
12	RAVXOD	15.1110008501	0.0	0.12	0.88
13	RAVXOD	14.344492857	0.0	0.13	0.87
14	RAVXOD	14.4510349327	0.0	0.14	0.86
15	RAVXOD	14.5967729055	0.0	0.15	0.85
16	RAVXOD	14.8985736098	0.0	0.16	0.84
17	RAVXOD	15.0577070679	0.0	0.17	0.83
18	RAVXOD	14.5604072977	0.0	0.18	0.82
19	RAVXOD	15.0299957776	0.0	0.19	0.81
20	RAVXOD	15.3713741931	0.0	0.2	0.8
21	RAVXOD	14.6597552251	0.0	0.21	0.79
22	RAVXOD	14.486320822	0.0	0.22	0.78
23	RAVXOD	14.6740557156	0.0	0.23	0.77
24	RAVXOD	13.9882299565	0.0	0.24	0.76
25	RAVXOD	14.5347433033	0.0	0.25	0.75
26	RAVXOD	15.0534557652	0.0	0.26	0.74
27	RAVXOD	14.8842325806	0.0	0.27	0.73
28	RAVXOD	15.0192828911	0.0	0.28	0.72
29	RAVXOD	14.729228394	0.0	0.29	0.71
30	RAVXOD	14.8095639284	0.0	0.3	0.7
31	RAVXOD	19.6783673079	0.01	0.0	0.99
32	RAVXOD	19.9469954474	0.01	0.01	0.98
33	RAVXOD	20.7051051726	0.01	0.02	0.97
34	RAVXOD	19.0146439551	0.01	0.03	0.96
35	RAVXOD	19.2151907833	0.01	0.04	0.95
36	RAVXOD	19.8559766412	0.01	0.05	0.94
37	RAVXOD	18.8782304909	0.01	0.06	0.93
38	RAVXOD	19.7578908926	0.01	0.07	0.92
39	RAVXOD	19.55189405	0.01	0.08	0.91
40	RAVXOD	20.0288203179	0.01	0.09	0.9
41	RAVXOD	19.816557382	0.01	0.1	0.89
42	RAVXOD	19.5336876819	0.01	0.11	0.88
43	RAVXOD	20.4925842284	0.01	0.12	0.87
44	RAVXOD	20.3046526858	0.01	0.13	0.86
45	RAVXOD	20.5445362567	0.01	0.14	0.85
46	RAVXOD	18.3206010805	0.01	0.15	0.84
47	RAVXOD	19.910579505	0.01	0.16	0.83
48	RAVXOD	19.0054922651	0.01	0.17	0.82
49	RAVXOD	19.7735446857	0.01	0.18	0.81
50	RAVXOD	19.8621101849	0.01	0.19	0.8
51	RAVXOD	19.7571806273	0.01	0.2	0.79
