Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	UKUPUL	27.6781443659	0.0	0.0	1.0
1	UKUPUL	25.7835840086	0.0	0.01	0.99
2	UKUPUL	26.0692548829	0.0	0.02	0.98
3	UKUPUL	26.7953118128	0.0	0.03	0.97
4	UKUPUL	26.1058701415	0.0	0.04	0.96
5	UKUPUL	25.6789029693	0.0	0.05	0.95
6	UKUPUL	24.8155349611	0.0	0.06	0.94
7	UKUPUL	25.170723975	0.0	0.07	0.93
8	UKUPUL	26.6929529368	0.0	0.08	0.92
9	UKUPUL	26.5278256596	0.0	0.09	0.91
10	UKUPUL	24.6777704122	0.0	0.1	0.9
11	UKUPUL	26.3499469436	0.0	0.11	0.89
12	UKUPUL	26.63602455	0.0	0.12	0.88
13	UKUPUL	24.3517812425	0.0	0.13	0.87
14	UKUPUL	25.1292516689	0.0	0.14	0.86
15	UKUPUL	24.0125856499	0.0	0.15	0.85
16	UKUPUL	24.3894082784	0.0	0.16	0.84
17	UKUPUL	24.2200974686	0.0	0.17	0.83
18	UKUPUL	23.4318397909	0.0	0.18	0.82
19	UKUPUL	24.6531982137	0.0	0.19	0.81
20	UKUPUL	24.9286176637	0.0	0.2	0.8
21	UKUPUL	24.2491831247	0.0	0.21	0.79
22	UKUPUL	24.1879413564	0.0	0.22	0.78
23	UKUPUL	23.5728536454	0.0	0.23	0.77
24	UKUPUL	24.2460818513	0.0	0.24	0.76
25	UKUPUL	24.4068952369	0.0	0.25	0.75
26	UKUPUL	23.3058045426	0.0	0.26	0.74
27	UKUPUL	21.9356992937	0.0	0.27	0.73
28	UKUPUL	22.3539141392	0.0	0.28	0.72
29	UKUPUL	22.9434294994	0.0	0.29	0.71
30	UKUPUL	21.8504125669	0.0	0.3	0.7
31	UKUPUL	284.4154561057	0.01	0.0	0.99
32	UKUPUL	285.7543410611	0.01	0.01	0.98
33	UKUPUL	287.1762870695	0.01	0.02	0.97
34	UKUPUL	284.680119648	0.01	0.03	0.96
35	UKUPUL	284.9999103829	0.01	0.04	0.95
36	UKUPUL	284.7033489309	0.01	0.05	0.94
37	UKUPUL	285.4579651794	0.01	0.06	0.93
38	UKUPUL	283.3056906189	0.01	0.07	0.92
39	UKUPUL	285.1470419899	0.01	0.08	0.91
40	UKUPUL	286.3091508954	0.01	0.09	0.9
41	UKUPUL	284.2955793019	0.01	0.1	0.89
42	UKUPUL	284.2168641456	0.01	0.11	0.88
43	UKUPUL	288.1808144007	0.01	0.12	0.87
44	UKUPUL	284.6580097948	0.01	0.13	0.86
45	UKUPUL	283.8034682843	0.01	0.14	0.85
46	UKUPUL	285.0422958019	0.01	0.15	0.84
47	UKUPUL	282.4483897836	0.01	0.16	0.83
48	UKUPUL	284.5547567874	0.01	0.17	0.82
49	UKUPUL	283.8813718757	0.01	0.18	0.81
50	UKUPUL	287.584087049	0.01	0.19	0.8
51	UKUPUL	284.4485317178	0.01	0.2	0.79
52	UKUPUL	283.5519083602	0.01	0.21	0.78
53	UKUPUL	286.9976484216	0.01	0.22	0.77
54	UKUPUL	285.8978198296	0.01	0.23	0.76
55	UKUPUL	288.6027371676	0.01	0.24	0.75
56	UKUPUL	284.1438903327	0.01	0.25	0.74
57	UKUPUL	283.3828492168	0.01	0.26	0.73
58	UKUPUL	283.2680136917	0.01	0.27	0.72
59	UKUPUL	287.2485685717	0.01	0.28	0.71
60	UKUPUL	284.4485615735	0.01	0.29	0.7
61	UKUPUL	285.5331817778	0.01	0.3	0.69
62	UKUPUL	289.3401321631	0.02	0.0	0.98
63	UKUPUL	293.6177821185	0.02	0.01	0.97
64	UKUPUL	295.9885478185	0.02	0.02	0.96
65	UKUPUL	290.0853779931	0.02	0.03	0.95
66	UKUPUL	296.6790728017	0.02	0.04	0.94
67	UKUPUL	291.7340708764	0.02	0.05	0.93
68	UKUPUL	295.7612488015	0.02	0.06	0.92
69	UKUPUL	290.8246039432	0.02	0.07	0.91
70	UKUPUL	292.5108533322	0.02	0.08	0.9
71	UKUPUL	296.3396658751	0.02	0.09	0.89
72	UKUPUL	294.106183591	0.02	0.1	0.88
73	UKUPUL	291.9097221793	0.02	0.11	0.87
74	UKUPUL	295.2444600721	0.02	0.12	0.86
75	UKUPUL	291.7205203738	0.02	0.13	0.85
76	UKUPUL	295.3635455815	0.02	0.14	0.84
77	UKUPUL	293.4496119692	0.02	0.15	0.83
78	UKUPUL	295.7553961094	0.02	0.16	0.82
79	UKUPUL	296.4579338893	0.02	0.17	0.81
80	UKUPUL	291.0670499024	0.02	0.18	0.8
81	UKUPUL	296.1621850138	0.02	0.19	0.79
82	UKUPUL	294.8619431617	0.02	0.2	0.78
83	UKUPUL	293.8459449001	0.02	0.21	0.77
84	UKUPUL	293.7467364987	0.02	0.22	0.76
85	UKUPUL	294.6198648453	0.02	0.23	0.75
86	UKUPUL	292.0603760706	0.02	0.24	0.74
87	UKUPUL	293.7125904107	0.02	0.25	0.73
88	UKUPUL	292.624654146	0.02	0.26	0.72
89	UKUPUL	292.7783139705	0.02	0.27	0.71
90	UKUPUL	298.0798715889	0.02	0.28	0.7
91	UKUPUL	294.8309825262	0.02	0.29	0.69
92	UKUPUL	297.7429470023	0.02	0.3	0.68
93	UKUPUL	298.5947012771	0.03	0.0	0.97
94	UKUPUL	299.8702191613	0.03	0.01	0.96
95	UKUPUL	295.5478105334	0.03	0.02	0.95
96	UKUPUL	300.3835760833	0.03	0.03	0.94
97	UKUPUL	295.4525693711	0.03	0.04	0.93
98	UKUPUL	295.9750467405	0.03	0.05	0.92
