Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	VETTIZ	24.3725124779	0.0	0.0	1.0
1	VETTIZ	24.1055638459	0.0	0.01	0.99
2	VETTIZ	24.565644886	0.0	0.02	0.98
3	VETTIZ	25.7614659048	0.0	0.03	0.97
4	VETTIZ	24.1619958257	0.0	0.04	0.96
5	VETTIZ	25.9551502546	0.0	0.05	0.95
6	VETTIZ	25.2917030375	0.0	0.06	0.94
7	VETTIZ	25.1773837334	0.0	0.07	0.93
8	VETTIZ	24.4086472314	0.0	0.08	0.92
9	VETTIZ	24.905065085	0.0	0.09	0.91
10	VETTIZ	25.1028135243	0.0	0.1	0.9
11	VETTIZ	25.0066564353	0.0	0.11	0.89
12	VETTIZ	26.3609760976	0.0	0.12	0.88
13	VETTIZ	24.9819065246	0.0	0.13	0.87
14	VETTIZ	25.7982005883	0.0	0.14	0.86
15	VETTIZ	25.1578110707	0.0	0.15	0.85
16	VETTIZ	24.6538061419	0.0	0.16	0.84
17	VETTIZ	25.3418399229	0.0	0.17	0.83
18	VETTIZ	25.2589549833	0.0	0.18	0.82
19	VETTIZ	25.3117850221	0.0	0.19	0.81
20	VETTIZ	25.3319490875	0.0	0.2	0.8
21	VETTIZ	25.302280471	0.0	0.21	0.79
22	VETTIZ	25.8716932102	0.0	0.22	0.78
23	VETTIZ	26.6914955488	0.0	0.23	0.77
24	VETTIZ	26.488306648	0.0	0.24	0.76
25	VETTIZ	27.0493171737	0.0	0.25	0.75
26	VETTIZ	26.8265176951	0.0	0.26	0.74
27	VETTIZ	26.8683576692	0.0	0.27	0.73
28	VETTIZ	26.8037897644	0.0	0.28	0.72
29	VETTIZ	27.4644764916	0.0	0.29	0.71
30	VETTIZ	26.9852950103	0.0	0.3	0.7
31	VETTIZ	33.8755515533	0.01	0.0	0.99
32	VETTIZ	32.6870826594	0.01	0.01	0.98
33	VETTIZ	31.4561635253	0.01	0.02	0.97
34	VETTIZ	31.6444636496	0.01	0.03	0.96
35	VETTIZ	31.8684023404	0.01	0.04	0.95
36	VETTIZ	32.251905393	0.01	0.05	0.94
37	VETTIZ	33.8612665948	0.01	0.06	0.93
38	VETTIZ	32.9268933782	0.01	0.07	0.92
39	VETTIZ	31.1759485225	0.01	0.08	0.91
40	VETTIZ	32.7313213562	0.01	0.09	0.9
41	VETTIZ	32.6398175946	0.01	0.1	0.89
42	VETTIZ	32.2214176086	0.01	0.11	0.88
43	VETTIZ	32.8486936619	0.01	0.12	0.87
44	VETTIZ	32.2955440759	0.01	0.13	0.86
45	VETTIZ	32.9257652498	0.01	0.14	0.85
46	VETTIZ	33.0289352822	0.01	0.15	0.84
47	VETTIZ	33.5163902295	0.01	0.16	0.83
48	VETTIZ	33.424243847	0.01	0.17	0.82
49	VETTIZ	32.2966646447	0.01	0.18	0.81
50	VETTIZ	32.2821321364	0.01	0.19	0.8
51	VETTIZ	34.4119391663	0.01	0.2	0.79
52	VETTIZ	34.2245252929	0.01	0.21	0.78
53	VETTIZ	32.8161711764	0.01	0.22	0.77
54	VETTIZ	33.6440207562	0.01	0.23	0.76
55	VETTIZ	33.9272696082	0.01	0.24	0.75
56	VETTIZ	34.0542303563	0.01	0.25	0.74
57	VETTIZ	34.647816924	0.01	0.26	0.73
58	VETTIZ	33.7556781484	0.01	0.27	0.72
59	VETTIZ	33.2279321218	0.01	0.28	0.71
60	VETTIZ	33.5463241293	0.01	0.29	0.7
