Run_ID	MOF	Mass_Uptake	CO2	O2	N2
0	XAFXOT	13.763987446199998	0.0	0.0	1.0
1	XAFXOT	13.6241003126	0.0	0.01	0.99
2	XAFXOT	13.2614866627	0.0	0.02	0.98
3	XAFXOT	13.475215238499999	0.0	0.03	0.97
4	XAFXOT	13.1119722146	0.0	0.04	0.96
5	XAFXOT	14.5236359423	0.0	0.05	0.95
6	XAFXOT	13.2976845365	0.0	0.06	0.94
7	XAFXOT	13.0361093906	0.0	0.07	0.93
8	XAFXOT	13.330268184100001	0.0	0.08	0.92
9	XAFXOT	13.675907428	0.0	0.09	0.91
10	XAFXOT	13.2607014981	0.0	0.1	0.9
11	XAFXOT	13.3126821384	0.0	0.11	0.89
12	XAFXOT	13.358146145	0.0	0.12	0.88
13	XAFXOT	13.0013873998	0.0	0.13	0.87
14	XAFXOT	13.8838148902	0.0	0.14	0.86
15	XAFXOT	12.9008641854	0.0	0.15	0.85
16	XAFXOT	13.6312592531	0.0	0.16	0.84
17	XAFXOT	13.653397593	0.0	0.17	0.83
18	XAFXOT	13.3823861499	0.0	0.18	0.82
19	XAFXOT	13.454814736500001	0.0	0.19	0.81
20	XAFXOT	13.1787196479	0.0	0.2	0.8
21	XAFXOT	13.2760705848	0.0	0.21	0.79
22	XAFXOT	12.6310681064	0.0	0.22	0.78
23	XAFXOT	13.2370901363	0.0	0.23	0.77
24	XAFXOT	13.6013069389	0.0	0.24	0.76
25	XAFXOT	13.3854414609	0.0	0.25	0.75
26	XAFXOT	13.2673755847	0.0	0.26	0.74
27	XAFXOT	13.0240915921	0.0	0.27	0.73
28	XAFXOT	13.7142915626	0.0	0.28	0.72
29	XAFXOT	12.812852469600001	0.0	0.29	0.71
30	XAFXOT	12.546931861600001	0.0	0.3	0.7
31	XAFXOT	87.30315887100001	0.01	0.0	0.99
32	XAFXOT	87.33726070770001	0.01	0.01	0.98
33	XAFXOT	88.4710673408	0.01	0.02	0.97
34	XAFXOT	86.90538571489999	0.01	0.03	0.96
35	XAFXOT	86.8131333487	0.01	0.04	0.95
36	XAFXOT	86.9945011552	0.01	0.05	0.94
37	XAFXOT	87.5684217508	0.01	0.06	0.93
38	XAFXOT	87.05595413360001	0.01	0.07	0.92
39	XAFXOT	86.24626249379999	0.01	0.08	0.91
40	XAFXOT	86.98905240389999	0.01	0.09	0.9
41	XAFXOT	87.10226987639999	0.01	0.1	0.89
42	XAFXOT	87.1755956268	0.01	0.11	0.88
43	XAFXOT	88.0280047971	0.01	0.12	0.87
44	XAFXOT	87.3529394508	0.01	0.13	0.86
45	XAFXOT	86.4017254261	0.01	0.14	0.85
46	XAFXOT	86.1587242217	0.01	0.15	0.84
47	XAFXOT	88.0356468993	0.01	0.16	0.83
48	XAFXOT	87.49403220379999	0.01	0.17	0.82
49	XAFXOT	85.7827566734	0.01	0.18	0.81
50	XAFXOT	87.5787322491	0.01	0.19	0.8
51	XAFXOT	87.2051850527	0.01	0.2	0.79
52	XAFXOT	86.6526247549	0.01	0.21	0.78
53	XAFXOT	87.48082587540001	0.01	0.22	0.77
54	XAFXOT	88.1406875889	0.01	0.23	0.76
55	XAFXOT	87.2250980543	0.01	0.24	0.75
56	XAFXOT	88.2894127975	0.01	0.25	0.74
57	XAFXOT	88.3200748325	0.01	0.26	0.73
58	XAFXOT	88.03540189370001	0.01	0.27	0.72
59	XAFXOT	87.4582725392	0.01	0.28	0.71
60	XAFXOT	87.33928737549999	0.01	0.29	0.7
61	XAFXOT	88.5754551377	0.01	0.3	0.69
62	XAFXOT	88.29437074459999	0.02	0.0	0.98
63	XAFXOT	89.8400728277	0.02	0.01	0.97
64	XAFXOT	89.53527857440001	0.02	0.02	0.96
65	XAFXOT	89.0403745932	0.02	0.03	0.95
66	XAFXOT	88.8327377659	0.02	0.04	0.94
67	XAFXOT	89.2855857044	0.02	0.05	0.93
68	XAFXOT	89.5839916742	0.02	0.06	0.92
69	XAFXOT	89.5127400779	0.02	0.07	0.91
70	XAFXOT	89.1225337799	0.02	0.08	0.9
71	XAFXOT	88.8962250662	0.02	0.09	0.89
72	XAFXOT	90.24743612479999	0.02	0.1	0.88
73	XAFXOT	89.1963087487	0.02	0.11	0.87
74	XAFXOT	88.9182886815	0.02	0.12	0.86
75	XAFXOT	88.9021917	0.02	0.13	0.85
76	XAFXOT	88.8919159222	0.02	0.14	0.84
77	XAFXOT	88.79330154	0.02	0.15	0.83
78	XAFXOT	89.2913989474	0.02	0.16	0.82
79	XAFXOT	89.2957317476	0.02	0.17	0.81
80	XAFXOT	89.6987315578	0.02	0.18	0.8
81	XAFXOT	88.9908683334	0.02	0.19	0.79
82	XAFXOT	89.0593106478	0.02	0.2	0.78
83	XAFXOT	88.5862351694	0.02	0.21	0.77
84	XAFXOT	89.5873896463	0.02	0.22	0.76
85	XAFXOT	88.3083657598	0.02	0.23	0.75
86	XAFXOT	89.4028869458	0.02	0.24	0.74
87	XAFXOT	89.2494768719	0.02	0.25	0.73
88	XAFXOT	88.742616611	0.02	0.26	0.72
89	XAFXOT	88.6808262259	0.02	0.27	0.71
90	XAFXOT	89.61131699709999	0.02	0.28	0.7
91	XAFXOT	90.050766285	0.02	0.29	0.69
92	XAFXOT	88.3413209066	0.02	0.3	0.68
93	XAFXOT	90.8050538736	0.03	0.0	0.97
94	XAFXOT	90.2443201614	0.03	0.01	0.96
95	XAFXOT	89.83255604930001	0.03	0.02	0.95
96	XAFXOT	90.2679360789	0.03	0.03	0.94
97	XAFXOT	89.6635415595	0.03	0.04	0.93
98	XAFXOT	90.1762714994	0.03	0.05	0.92
99	XAFXOT	90.0628844173	0.03	0.06	0.91
100	XAFXOT	90.48245042139999	0.03	0.07	0.9
101	XAFXOT	89.7766672532	0.03	0.08	0.89
102	XAFXOT	89.5025377505	0.03	0.09	0.88
103	XAFXOT	89.82214495059999	0.03	0.1	0.87
104	XAFXOT	90.27098379799999	0.03	0.11	0.86
105	XAFXOT	90.21978283760001	0.03	0.12	0.85
106	XAFXOT	90.2431490801	0.03	0.13	0.84
107	XAFXOT	89.9602323111	0.03	0.14	0.83
108	XAFXOT	89.2809759153	0.03	0.15	0.82
109	XAFXOT	90.3538956851	0.03	0.16	0.81
110	XAFXOT	90.1397644489	0.03	0.17	0.8
111	XAFXOT	90.253695188	0.03	0.18	0.79
112	XAFXOT	90.0861508334	0.03	0.19	0.78
113	XAFXOT	90.17406991979999	0.03	0.2	0.77
114	XAFXOT	90.0960077291	0.03	0.21	0.76
115	XAFXOT	90.17291632450001	0.03	0.22	0.75
116	XAFXOT	89.2817780291	0.03	0.23	0.74
117	XAFXOT	90.45064942309999	0.03	0.24	0.73
118	XAFXOT	90.7631391138	0.03	0.25	0.72
119	XAFXOT	89.91584097639999	0.03	0.26	0.71
120	XAFXOT	89.8230088788	0.03	0.27	0.7
121	XAFXOT	90.1601897291	0.03	0.28	0.69
122	XAFXOT	89.8341385492	0.03	0.29	0.68
123	XAFXOT	90.2740945723	0.03	0.3	0.67
124	XAFXOT	90.3943864716	0.04	0.0	0.96
125	XAFXOT	90.1941669774	0.04	0.01	0.95
126	XAFXOT	89.8404240972	0.04	0.02	0.94
127	XAFXOT	90.8649270107	0.04	0.03	0.93
128	XAFXOT	90.7159719691	0.04	0.04	0.92
129	XAFXOT	89.6712789653	0.04	0.05	0.91
130	XAFXOT	90.7951117367	0.04	0.06	0.9
131	XAFXOT	89.5117299282	0.04	0.07	0.89
132	XAFXOT	90.53326596209999	0.04	0.08	0.88
133	XAFXOT	90.47275958540001	0.04	0.09	0.87
134	XAFXOT	90.87211502129999	0.04	0.1	0.86
135	XAFXOT	89.9918830277	0.04	0.11	0.85
136	XAFXOT	90.0010906247	0.04	0.12	0.84
137	XAFXOT	91.0055960042	0.04	0.13	0.83
138	XAFXOT	90.5550832059	0.04	0.14	0.82
139	XAFXOT	89.839167195	0.04	0.15	0.81
140	XAFXOT	90.1552773535	0.04	0.16	0.8
141	XAFXOT	90.1819183069	0.04	0.17	0.79
142	XAFXOT	90.4111437431	0.04	0.18	0.78
143	XAFXOT	90.73038968559999	0.04	0.19	0.77
144	XAFXOT	89.8523243299	0.04	0.2	0.76
145	XAFXOT	90.5741171064	0.04	0.21	0.75
146	XAFXOT	90.1925795258	0.04	0.22	0.74
147	XAFXOT	89.9233164661	0.04	0.23	0.73
148	XAFXOT	90.1073655546	0.04	0.24	0.72
149	XAFXOT	90.1824291066	0.04	0.25	0.71
150	XAFXOT	90.53734661809999	0.04	0.26	0.7
151	XAFXOT	90.3150811935	0.04	0.27	0.69
152	XAFXOT	90.5400628843	0.04	0.28	0.68
153	XAFXOT	90.471821839	0.04	0.29	0.67
154	XAFXOT	89.894118422	0.04	0.3	0.66
155	XAFXOT	89.84287926030001	0.05	0.0	0.95
156	XAFXOT	89.970337308	0.05	0.01	0.94
157	XAFXOT	90.4109174734	0.05	0.02	0.93
158	XAFXOT	90.0496360698	0.05	0.03	0.92
159	XAFXOT	90.6684385032	0.05	0.04	0.91
160	XAFXOT	91.04085501680001	0.05	0.05	0.9
161	XAFXOT	90.9429523835	0.05	0.06	0.89
162	XAFXOT	90.45651786139999	0.05	0.07	0.88
163	XAFXOT	90.8140456644	0.05	0.08	0.87
